location	LR	alpha
635549.000000	1.790284	1.578214e+03
635599.003410	1.150618	6.011722e+02
635649.006819	0.325492	2.331093e+03
635699.010229	0.109805	3.286148e+03
635749.013638	0.029477	5.066227e+03
635799.017048	0.022554	8.916431e+03
635849.020457	0.022207	3.228999e+04
635899.023867	0.016234	2.071113e+04
635949.027276	0.000440	4.250538e+04
635999.030686	0.000035	1.559153e+05
636049.034095	0.570546	2.863931e+03
636099.037505	0.153818	9.088389e+03
636149.040915	1.203205	4.539992e+03
636199.044324	0.068878	1.600331e+04
636249.047734	0.050291	5.181640e+03
636299.051143	0.030760	3.326665e+03
636349.054553	0.000899	8.760508e+03
636399.057962	0.000340	1.689248e+04
636449.061372	0.005142	1.953732e+04
636499.064781	0.002005	3.851233e+08
636549.068191	0.000579	4.198858e+08
636599.071600	0.066740	3.027051e+04
636649.075010	0.000862	3.583163e+05
636699.078420	0.114146	3.760226e+04
636749.081829	0.124436	6.528340e+04
636799.085239	0.383570	2.435629e+07
636849.088648	0.211082	1.679176e+07
636899.092058	1.127530	2.949069e+04
636949.095467	0.040132	2.678375e+08
636999.098877	0.140542	2.699893e+04
637049.102286	0.486620	9.353127e+03
637099.105696	0.086958	3.852697e+04
637149.109105	0.002399	3.925261e+05
637199.112515	0.000220	4.617195e+08
637249.115925	0.444398	1.175915e+07
637299.119334	0.062802	2.183404e+04
637349.122744	0.062413	3.572602e+04
637399.126153	0.062561	9.877931e+03
637449.129563	0.063171	5.731843e+03
637499.132972	0.063001	4.049544e+03
637549.136382	0.065224	3.106327e+03
637599.139791	0.083013	2.466631e+03
637649.143201	0.118408	2.057474e+03
637699.146611	0.290244	7.991373e+02
637749.150020	1.219015	8.180550e+02
637799.153430	1.858784	1.018555e+03
637849.156839	1.762990	1.650243e+03
637899.160249	0.524303	2.952468e+04
637949.163658	1.626871	3.283312e+03
637999.167068	1.873338	1.311617e+03
638049.170477	2.160861	8.122918e+02
638099.173887	2.304831	6.299196e+02
638149.177296	2.252834	5.482935e+02
638199.180706	2.023119	5.131415e+02
638249.184116	1.716060	4.954882e+02
638299.187525	1.423539	4.723279e+02
638349.190935	1.278353	4.028665e+02
638399.194344	1.300584	3.841103e+02
638449.197754	1.340771	3.854095e+02
638499.201163	1.350383	3.927268e+02
638549.204573	1.292471	4.060692e+02
638599.207982	1.144196	4.309542e+02
638649.211392	0.927155	4.824046e+02
638699.214801	0.705596	5.720465e+02
638749.218211	0.505225	7.207669e+02
638799.221621	0.403321	9.620716e+02
638849.225030	0.390677	1.301791e+03
638899.228440	0.376445	1.977075e+03
638949.231849	0.771511	9.421906e+03
638999.235259	0.167448	1.692209e+08
639049.238668	1.503679	7.367876e+03
639099.242078	1.293327	3.314216e+03
639149.245487	1.428746	1.510824e+03
639199.248897	2.219796	1.647095e+03
639249.252306	2.872604	1.699723e+03
639299.255716	1.727199	3.627055e+03
639349.259126	0.039300	1.649133e+04
639399.262535	0.303909	9.447598e+07
639449.265945	0.248208	5.145320e+03
639499.269354	0.697571	2.523107e+03
639549.272764	1.982105	1.411643e+03
639599.276173	0.859846	1.228388e+03
639649.279583	0.047129	1.962308e+08
639699.282992	0.197454	4.544774e+07
639749.286402	0.365802	5.491652e+05
639799.289811	1.691877	2.154100e+03
639849.293221	0.419453	1.685714e+03
639899.296631	0.155802	6.300476e+03
639949.300040	0.171262	5.108512e+03
639999.303450	0.134275	5.594198e+04
640049.306859	0.075763	1.394618e+08
640099.310269	0.209341	7.826993e+03
640149.313678	0.116541	1.408668e+08
640199.317088	0.145090	3.319446e+04
640249.320497	0.140989	3.185525e+04
640299.323907	0.162068	1.468355e+08
640349.327316	0.265023	1.997487e+04
640399.330726	0.281673	2.224617e+04
640449.334136	0.495266	1.828410e+04
640499.337545	0.009586	1.320820e+05
640549.340955	0.000000	1.879259e+06
640599.344364	0.163609	1.665814e+03
640649.347774	0.020001	7.542730e+03
640699.351183	0.070244	4.687646e+03
640749.354593	0.077614	6.158607e+03
640799.358002	0.041557	1.311220e+04
640849.361412	0.020989	1.248718e+05
640899.364822	0.005350	5.448227e+04
640949.368231	0.074064	6.003086e+04
640999.371641	0.087869	6.725478e+04
641049.375050	0.132676	1.126544e+04
641099.378460	0.079359	6.390475e+04
641149.381869	0.305529	5.115950e+04
641199.385279	0.014666	2.386884e+08
641249.388688	0.081925	1.019801e+08
641299.392098	0.130229	1.496873e+08
641349.395507	0.064244	1.519225e+08
641399.398917	0.132802	1.173191e+05
641449.402327	0.033408	5.305252e+04
