location	LR	alpha	D
2476401.000000	1.175578	5.141387e-03	0.005254
2476451.007795	1.029054	8.836576e-03	0.005254
2476501.015590	1.503752	1.778964e-01	0.047290
2476551.023385	1.787816	4.109917e-02	0.047290
2476601.031180	1.618958	5.999065e-02	0.047290
2476651.038976	0.805974	9.920547e-02	0.026272
2476701.046771	0.768524	2.146870e-02	0.015763
2476751.054566	0.614730	2.454015e-03	0.005254
2476801.062361	1.477165	6.301864e-01	0.047290
2476851.070156	0.974286	4.073521e-01	0.047290
2476901.077951	2.171067	1.464807e-01	0.047290
2476951.085746	1.362429	4.005454e-03	0.005254
2477001.093541	0.275762	1.426982e-01	0.005254
2477051.101336	2.131431	3.353924e-03	0.005254
2477101.109131	3.631541	2.491751e-03	0.005254
2477151.116927	3.430856	3.450376e-03	0.005254
2477201.124722	0.442897	1.641031e-01	0.010509
2477251.132517	0.862447	3.548905e-02	0.005254
2477301.140312	1.078425	4.164639e-02	0.010509
2477351.148107	1.817500	5.995559e-02	0.047290
2477401.155902	2.239512	3.950169e-03	0.005254
2477451.163697	2.888830	4.016284e-03	0.005254
2477501.171492	3.560047	4.072176e-03	0.010509
2477551.179287	3.710551	4.155381e-03	0.010509
2477601.187082	2.797319	6.097161e-02	0.047290
2477651.194878	4.062363	5.226923e-03	0.015763
2477701.202673	6.588899	5.343312e-03	0.015763
2477751.210468	0.333012	1.102644e+00	0.015763
2477801.218263	3.350706	2.315627e-02	0.031527
2477851.226058	6.929265	1.467461e-01	0.047290
2477901.233853	3.718139	1.010293e-02	0.021018
2477951.241648	4.774384	7.256196e-03	0.015763
2478001.249443	2.494601	7.256230e-03	0.010509
2478051.257238	1.288280	1.113764e-01	0.047290
2478101.265033	1.351245	1.314852e-01	0.047290
2478151.272829	1.655970	2.275591e-01	0.026272
2478201.280624	0.939241	4.786227e-02	0.005254
2478251.288419	3.394123	4.234193e-04	0.010509
2478301.296214	5.559157	3.465333e-04	0.015763
2478351.304009	3.066854	1.770233e-01	0.047290
2478401.311804	8.210072	3.519115e-04	0.015763
2478451.319599	4.292845	3.528407e-04	0.015763
2478501.327394	10.402025	3.533602e-04	0.015763
2478551.335189	13.448994	3.490536e-04	0.015763
2478601.342984	15.290515	3.495621e-04	0.010509
2478651.350780	16.389362	3.549282e-04	0.010509
2478701.358575	16.716750	4.258848e-04	0.010509
2478751.366370	17.514488	3.473767e-04	0.010509
2478801.374165	17.719142	3.565101e-04	0.010509
2478851.381960	17.704645	3.570406e-04	0.010509
2478901.389755	17.554907	3.575726e-04	0.010509
2478951.397550	17.000522	3.950149e-04	0.010509
2479001.405345	15.875485	3.956663e-04	0.010509
2479051.413140	16.066273	4.312423e-04	0.010509
2479101.420935	14.777170	4.320187e-04	0.010509
2479151.428731	12.266380	4.347580e-04	0.010509
2479201.436526	5.096908	4.335799e-04	0.015763
2479251.444321	3.005602	2.701547e+00	0.047290
2479301.452116	15.968554	4.397127e-04	0.015763
2479351.459911	18.796815	4.379317e-04	0.015763
2479401.467706	20.467009	4.387323e-04	0.015763
2479451.475501	21.642848	4.421433e-04	0.015763
2479501.483296	22.582645	4.570121e-04	0.015763
2479551.491091	23.353751	4.578842e-04	0.015763
2479601.498886	23.647481	4.587595e-04	0.015763
2479651.506682	23.583320	4.596382e-04	0.015763
2479701.514477	23.575280	5.131609e-04	0.015763
2479751.522272	23.742910	5.142607e-04	0.015763
2479801.530067	23.209988	5.154756e-04	0.015763
2479851.537862	20.939586	5.165852e-04	0.015763
2479901.545657	19.821299	5.425578e-04	0.015763
2479951.553452	2.716686	5.838434e-01	0.047290
2480001.561247	25.220544	5.902771e-04	0.015763
2480051.569042	22.597941	5.982223e-04	0.015763
2480101.576837	29.949384	5.997173e-04	0.015763
2480151.584633	30.444149	6.012199e-04	0.015763
2480201.592428	31.261241	6.027301e-04	0.015763
2480251.600223	32.536177	6.042478e-04	0.015763
2480301.608018	25.364559	6.071217e-04	0.015763
2480351.615813	29.659103	6.073063e-04	0.015763
2480401.623608	28.849097	6.088471e-04	0.015763
2480451.631403	23.838538	6.131718e-04	0.015763
2480501.639198	19.954169	6.147427e-04	0.015763
2480551.646993	19.538810	6.163216e-04	0.015763
2480601.654788	15.874386	6.728967e-04	0.015763
2480651.662584	9.801170	6.916291e-04	0.015763
2480701.670379	3.544510	6.936281e-04	0.015763
2480751.678174	3.313258	6.112091e-03	0.010509
2480801.685969	5.781135	8.551188e-03	0.015763
2480851.693764	3.940783	9.079259e-03	0.021018
2480901.701559	3.795344	2.552345e+00	0.047290
2480951.709354	7.748722	1.067851e-02	0.031527
2481001.717149	6.293402	1.524966e-01	0.047290
2481051.724944	7.182260	1.106271e-02	0.026272
2481101.732739	3.455894	3.214798e+00	0.047290
2481151.740535	6.035048	2.010735e-02	0.047290
2481201.748330	4.042712	2.450239e-02	0.047290
2481251.756125	3.035551	1.776841e-01	0.047290
2481301.763920	13.140567	1.250881e-03	0.015763
2481351.771715	17.417111	1.257436e-03	0.015763
2481401.779510	20.774966	1.264060e-03	0.021018
2481451.787305	21.009760	1.270754e-03	0.021018
2481501.795100	2.344543	1.503852e-01	0.026272
2481551.802895	21.606184	1.390950e-03	0.021018
2481601.810690	24.036867	1.399059e-03	0.021018
2481651.818486	22.016661	1.413064e-03	0.021018
2481701.826281	23.317624	1.415566e-03	0.021018
2481751.834076	11.685526	1.555176e-03	0.026272
2481801.841871	23.390662	1.432466e-03	0.021018
2481851.849666	20.540732	1.543918e-03	0.026272
2481901.857461	11.339125	1.449775e-03	0.026272
2481951.865256	23.578470	1.458588e-03	0.026272
2482001.873051	26.138839	1.501290e-03	0.026272
2482051.880846	26.353594	1.618097e-03	0.026272
2482101.888641	13.780392	1.813754e-03	0.031527
2482151.896437	17.413852	2.118309e-03	0.031527
2482201.904232	8.463737	1.440411e-02	0.047290
2482251.912027	15.699200	2.154059e-02	0.047290
2482301.919822	13.850109	5.771457e-02	0.047290
2482351.927617	17.988657	3.891141e-03	0.047290
2482401.935412	26.018089	3.450194e-03	0.042036
2482451.943207	26.385385	3.768911e-03	0.047290
2482501.951002	28.220481	5.194695e-03	0.047290
2482551.958797	29.148653	4.819358e-03	0.047290
2482601.966592	29.033765	3.599315e-03	0.042036
2482651.974388	29.179422	3.546126e-03	0.047290
2482701.982183	17.084680	3.775937e-03	0.047290
2482751.989978	12.570744	3.724406e-03	0.047290
2482801.997773	9.891661	2.526328e-02	0.047290
2482852.005568	11.259087	2.561910e-03	0.047290
2482902.013363	31.531618	2.437050e-03	0.047290
2482952.021158	3.005602	5.673250e+01	0.047290
2483002.028953	26.798499	1.972053e-03	0.047290
2483052.036748	12.655364	1.894847e-03	0.047290
2483102.044543	26.008841	1.695644e-03	0.042036
2483152.052339	30.782851	1.476750e-03	0.036781
2483202.060134	30.820258	1.355329e-03	0.031527
2483252.067929	30.906152	1.321013e-03	0.031527
2483302.075724	30.923508	1.430457e-03	0.031527
2483352.083519	32.031975	1.514020e-03	0.036781
2483402.091314	32.635658	1.523633e-03	0.036781
2483452.099109	33.020863	1.538284e-03	0.036781
2483502.106904	32.410072	1.623180e-03	0.042036
2483552.114699	28.039737	1.741878e-03	0.042036
2483602.122494	30.418928	1.793958e-03	0.042036
2483652.130290	29.884911	1.573591e-03	0.036781
2483702.138085	26.536546	1.583978e-03	0.036781
2483752.145880	22.877078	1.511553e-03	0.031527
2483802.153675	19.372076	1.406165e-03	0.031527
2483852.161470	15.791105	1.414454e-03	0.031527
2483902.169265	12.149816	1.422841e-03	0.031527
2483952.177060	9.309356	4.237024e-03	0.047290
2484002.184855	11.260704	4.190215e-03	0.047290
2484052.192650	12.499356	4.274734e-03	0.047290
2484102.200445	13.024133	4.221190e-03	0.047290
2484152.208241	12.754367	4.233986e-03	0.047290
2484202.216036	11.861785	4.285383e-03	0.047290
2484252.223831	11.324863	4.210195e-03	0.047290
2484302.231626	12.854367	4.137599e-03	0.047290
2484352.239421	8.001946	6.205526e-03	0.047290
2484402.247216	5.867633	5.228892e-02	0.047290
2484452.255011	10.004243	8.933521e-03	0.047290
2484502.262806	11.465571	1.342676e-02	0.047290
2484552.270601	7.720398	1.531140e-02	0.047290
2484602.278396	8.743698	8.675081e-04	0.021018
2484652.286192	9.698307	7.725556e-03	0.047290
2484702.293987	8.079497	8.738260e-04	0.021018
2484752.301782	10.702752	8.261787e-04	0.021018
2484802.309577	7.279349	8.802367e-04	0.021018
2484852.317372	5.855981	7.910515e-04	0.021018
2484902.325167	2.768233	6.972999e+00	0.047290
2484952.332962	7.956024	7.916262e-04	0.015763
