location	LR	alpha	D
294779.000000	2.431575	7.099212e+01	0.039221
294829.004799	0.547361	6.336531e-01	0.039221
294879.009598	0.000000	2.552671e-01	0.019610
294929.014397	0.000000	3.872767e-01	0.019610
294979.019196	0.000000	6.309416e-01	0.019610
295029.023995	1.891467	1.411458e-01	0.039221
295079.028794	0.401191	3.488542e-01	0.039221
295129.033593	1.506405	2.264629e-01	0.039221
295179.038392	2.135627	8.512956e-02	0.039221
295229.043191	0.389644	1.985706e+00	0.039221
295279.047990	2.072670	7.477570e-01	0.019610
295329.052789	2.523823	1.168456e+00	0.039221
295379.057588	0.093588	4.195974e-01	0.039221
295429.062388	0.000000	8.033413e-01	0.019610
295479.067187	0.000000	9.944327e-01	0.019610
295529.071986	1.868318	1.559900e-01	0.039221
295579.076785	0.234482	1.255329e+00	0.039221
295629.081584	2.396873	9.508623e-02	0.039221
295679.086383	2.932448	1.716950e-02	0.039221
295729.091182	0.954832	9.328636e-01	0.039221
295779.095981	0.000000	2.032515e+00	0.019610
295829.100780	0.425302	6.900547e-02	0.039221
295879.105579	0.888303	1.520060e+00	0.019610
295929.110378	1.479786	1.624044e-01	0.039221
295979.115177	0.888303	6.366644e+00	0.019610
296029.119976	0.350594	3.198978e-02	0.019610
296079.124775	2.586952	5.745056e-02	0.039221
296129.129574	3.797648	7.553325e-02	0.039221
296179.134373	2.660494	5.656794e-02	0.039221
296229.139172	2.489222	2.038706e-01	0.019610
296279.143971	3.162982	9.512942e-02	0.019610
296329.148770	3.386450	8.813887e-02	0.019610
296379.153569	3.764793	6.446290e-02	0.019610
296429.158368	1.658411	2.345656e-01	0.039221
296479.163167	3.130234	5.425858e-02	0.039221
296529.167966	2.049108	3.459889e-02	0.039221
296579.172765	0.000000	3.547439e-01	0.019610
296629.177564	3.167729	1.838172e-02	0.039221
296679.182364	1.061464	1.063664e-01	0.039221
296729.187163	0.081195	4.266156e+00	0.039221
296779.191962	0.880948	2.862622e+00	0.019610
296829.196761	1.682237	3.846554e-01	0.019610
296879.201560	0.000000	3.748174e+00	0.019610
296929.206359	0.040260	1.855773e+00	0.039221
296979.211158	0.539677	1.459656e-01	0.039221
297029.215957	0.000000	1.662982e+00	0.019610
297079.220756	0.888303	2.076396e+00	0.019610
297129.225555	1.030376	5.796116e-01	0.039221
297179.230354	0.871023	1.190834e-01	0.039221
297229.235153	2.784784	2.007870e-01	0.019610
297279.239952	2.474002	3.112319e-01	0.019610
297329.244751	2.827450	1.167824e-01	0.039221
297379.249550	0.154795	1.021238e+00	0.039221
297429.254349	0.000000	4.370549e+00	0.019610
297479.259148	0.208868	2.008676e-01	0.039221
297529.263947	0.311317	1.021842e+00	0.039221
297579.268746	0.000000	1.374373e+00	0.019610
297629.273545	0.000000	5.640811e-01	0.019610
297679.278344	0.000000	6.084684e-01	0.019610
297729.283143	0.105513	1.399958e-01	0.039221
297779.287942	0.000000	5.283537e-01	0.019610
297829.292741	2.279706	6.184775e-02	0.039221
297879.297540	0.053239	1.025425e+00	0.019610
297929.302340	1.189290	1.049848e-01	0.039221
297979.307139	0.000000	1.756771e-01	0.019610
298029.311938	0.000000	2.685282e-01	0.019610
298079.316737	0.396852	3.787489e-01	0.039221
298129.321536	1.689850	2.373050e-02	0.039221
298179.326335	1.567295	1.593069e-01	0.039221
298229.331134	1.871093	4.292876e-01	0.039221
298279.335933	0.561317	1.353423e-01	0.039221
298329.340732	0.082852	1.316041e+00	0.039221
298379.345531	0.771355	6.174571e-02	0.039221
298429.350330	0.328909	3.104814e-01	0.039221
298479.355129	1.819478	4.774082e-01	0.039221
298529.359928	0.880948	3.275102e-01	0.019610
298579.364727	0.692574	6.240758e-01	0.039221
298629.369526	1.004384	6.195299e-01	0.039221
298679.374325	1.136057	4.090338e-02	0.039221
298729.379124	0.000000	2.230847e+00	0.019610
298779.383923	0.241256	5.796947e+00	0.039221
298829.388722	0.888303	5.307086e-01	0.019610
298879.393521	2.400001	2.537451e-01	0.039221
298929.398320	1.139362	4.225603e-01	0.039221
298979.403119	3.572968	1.779351e-02	0.039221
299029.407918	0.072694	4.371160e-01	0.039221
299079.412717	2.101934	1.220207e+00	0.039221
299129.417516	1.333316	2.198508e-01	0.039221
299179.422316	2.502472	5.989029e-01	0.039221
299229.427115	3.015341	1.612316e-01	0.039221
299279.431914	3.713346	4.991018e-02	0.039221
299329.436713	7.145022	2.232822e-02	0.039221
299379.441512	1.496430	6.301149e-02	0.039221
299429.446311	2.569233	2.466871e-02	0.039221
299479.451110	3.243360	1.111676e-02	0.039221
299529.455909	5.214210	1.069085e-02	0.039221
299579.460708	1.313042	1.567822e-01	0.039221
299629.465507	1.132118	1.040358e+00	0.039221
299679.470306	0.428394	2.760506e-01	0.019610
299729.475105	0.408618	1.326331e-01	0.019610
299779.479904	0.412176	8.542145e-02	0.019610
299829.484703	0.412743	6.299716e-02	0.019610
299879.489502	0.412938	4.989822e-02	0.019610
299929.494301	0.000000	4.660299e-02	0.019610
299979.499100	0.413085	3.524238e-02	0.019610
300029.503899	0.413119	3.072952e-02	0.019610
300079.508698	0.413142	2.724123e-02	0.019610
300129.513497	0.276436	2.446416e-02	0.019610
300179.518296	0.000000	3.003892e-02	0.019610
300229.523095	0.000000	3.433704e-02	0.019610
300279.527894	0.000000	4.007051e-02	0.019610
300329.532693	0.000000	4.810250e-02	0.019610
300379.537493	0.000000	6.016169e-02	0.019610
300429.542292	0.000000	8.029029e-02	0.019610
300479.547091	0.000000	1.206602e-01	0.019610
300529.551890	0.000000	2.426787e-01	0.019610
300579.556689	0.912486	2.127626e+00	0.039221
300629.561488	0.888303	9.553004e-01	0.019610
300679.566287	1.918136	1.653415e+00	0.039221
300729.571086	0.114704	1.475988e-02	0.039221
300779.575885	0.000000	6.459989e-01	0.019610
300829.580684	0.000000	1.749764e-01	0.019610
300879.585483	0.000000	1.986278e-01	0.019610
300929.590282	0.000000	1.152769e+00	0.019610
300979.595081	0.000000	2.724228e+00	0.019610
301029.599880	0.961242	3.108818e-01	0.039221
301079.604679	0.082852	4.165472e-01	0.039221
301129.609478	0.020037	2.232255e-01	0.039221
301179.614277	0.097375	7.263431e-01	0.039221
301229.619076	0.228148	3.788190e+00	0.039221
301279.623875	0.142448	2.370424e-01	0.019610
301329.628674	1.165277	4.945831e-02	0.039221
301379.633473	0.000000	3.917284e-01	0.019610
301429.638272	0.000000	1.488127e-01	0.019610
301479.643071	0.000000	9.185333e-02	0.019610
301529.647870	0.375561	4.693958e-02	0.039221
301579.652669	0.724827	5.677859e-02	0.039221
301629.657469	0.647314	1.107598e-01	0.039221
301679.662268	0.888303	9.726259e-01	0.019610
301729.667067	1.111403	7.659379e-01	0.019610
301779.671866	0.983652	5.556828e-02	0.039221
301829.676665	4.071809	2.159530e-02	0.039221
301879.681464	1.390506	5.381525e-02	0.039221
301929.686263	2.414998	7.355764e-01	0.039221
301979.691062	1.180219	6.948825e-02	0.039221
302029.695861	1.544857	3.168770e-02	0.039221
302079.700660	0.219694	1.845688e-02	0.039221
302129.705459	0.000000	6.532197e-02	0.019610
302179.710258	0.872195	7.533441e-02	0.019610
302229.715057	0.872195	1.098047e-01	0.019610
302279.719856	0.872195	2.024287e-01	0.019610
302329.724655	0.872195	1.293752e+00	0.019610
302379.729454	0.105634	2.171139e-01	0.039221
302429.734253	0.678247	3.374981e-02	0.039221
302479.739052	1.878479	3.918228e-02	0.039221
302529.743851	0.328087	6.291159e-02	0.039221
302579.748650	0.000000	1.853321e-01	0.019610
302629.753449	0.000000	1.045720e-01	0.019610
302679.758248	0.000000	1.129500e-01	0.019610
302729.763047	0.000000	2.133828e-01	0.019610
302779.767846	0.038708	5.397589e-01	0.039221
302829.772645	0.714620	5.524166e-02	0.039221
302879.777445	1.133005	2.363254e-01	0.019610
302929.782244	0.944351	2.363031e-01	0.019610
302979.787043	0.054377	1.785370e-01	0.019610
303029.791842	0.696600	8.174842e-02	0.039221
303079.796641	1.604938	1.273647e-01	0.039221
303129.801440	0.000000	1.304552e+00	0.019610
303179.806239	2.378649	1.126021e+00	0.039221
303229.811038	1.030393	1.557602e-01	0.039221
303279.815837	3.946892	2.876429e-02	0.039221
303329.820636	2.730739	1.387571e-02	0.039221
303379.825435	0.901661	4.646582e-01	0.019610
303429.830234	0.872195	3.258192e-01	0.019610
303479.835033	0.872195	1.381931e-01	0.019610
303529.839832	0.000000	1.555207e-01	0.019610
303579.844631	1.760207	3.787346e-02	0.039221
303629.849430	1.949116	3.271098e-02	0.039221
303679.854229	0.391252	1.256684e-01	0.039221
303729.859028	0.000000	4.117915e-01	0.019610
303779.863827	0.888303	8.655618e-01	0.019610
303829.868626	0.888303	1.878856e-01	0.019610
303879.873425	0.888303	1.053801e-01	0.019610
303929.878224	0.888303	7.322510e-02	0.019610
303979.883023	0.888303	5.610543e-02	0.019610
304029.887822	0.000000	5.966821e-02	0.019610
304079.892621	0.000000	7.941375e-02	0.019610
304129.897421	0.000000	1.186914e-01	0.019610
304179.902220	0.000000	2.348439e-01	0.019610
304229.907019	0.441469	1.577018e-01	0.039221
304279.911818	1.494786	6.379988e-02	0.019610
304329.916617	0.888303	1.515799e+00	0.019610
304379.921416	1.225975	1.033782e-01	0.039221
304429.926215	3.213059	1.226902e-02	0.039221
304479.931014	0.849484	1.154612e-01	0.039221
304529.935813	2.015810	1.410000e-02	0.039221
304579.940612	0.809522	6.449554e-02	0.039221
304629.945411	4.880419	2.366610e-02	0.039221
304679.950210	1.701401	8.820303e-02	0.039221
304729.955009	3.083565	2.857450e-02	0.039221
304779.959808	4.505298	7.057157e-02	0.039221
304829.964607	8.742683	2.352003e-03	0.039221
304879.969406	19.335807	1.986417e-03	0.039221
304929.974205	6.096186	5.105823e-02	0.039221
304979.979004	4.748559	5.172883e-02	0.039221
305029.983803	2.168641	3.418646e-02	0.019610
305079.988602	2.907248	1.746754e-02	0.039221
305129.993401	0.948620	7.228631e-02	0.019610
305179.998200	1.837540	2.790816e-01	0.039221
305230.002999	2.311116	6.818193e-03	0.039221
305280.007798	9.078062	5.994029e-03	0.039221
305330.012597	4.743465	7.533016e-03	0.039221
305380.017397	2.313902	6.061608e-01	0.039221
305430.022196	0.000000	2.410702e+00	0.019610
305480.026995	0.097375	1.180065e+02	0.039221
305530.031794	1.177095	3.164437e+01	0.039221
305580.036593	0.493257	4.792984e-01	0.019610
305630.041392	2.348099	1.599117e-01	0.039221
305680.046191	4.986488	4.883915e-03	0.039221
305730.050990	0.535064	6.555553e-02	0.039221
305780.055789	12.384917	4.767476e-03	0.039221
305830.060588	11.459120	4.674608e-03	0.039221
305880.065387	6.361410	4.585289e-03	0.039221
305930.070186	1.391029	5.972235e-02	0.039221
305980.074985	1.778413	8.396010e-02	0.019610
306030.079784	2.640254	1.152650e-02	0.039221
306080.084583	1.889241	4.396969e-02	0.019610
306130.089382	1.207509	1.141885e-01	0.019610
306180.094181	2.889092	7.504414e-02	0.019610
306230.098980	5.188620	3.770288e-02	0.039221
306280.103779	1.662276	4.703966e-02	0.039221
306330.108578	3.473910	1.187110e+00	0.039221
306380.113377	3.947328	9.043973e-02	0.039221
306430.118176	3.389375	2.222419e-01	0.039221
306480.122975	3.024214	3.123999e-02	0.039221
306530.127774	5.204950	1.813038e-02	0.039221
306580.132573	6.971681	1.709724e-02	0.039221
306630.137373	6.596282	1.829652e-02	0.039221
306680.142172	6.156953	1.363857e-02	0.039221
306730.146971	5.579881	1.446039e-02	0.039221
306780.151770	5.109829	1.538761e-02	0.039221
306830.156569	5.409895	9.124390e-03	0.019610
306880.161368	2.349596	9.332433e-03	0.039221
306930.166167	7.439853	9.826676e-03	0.019610
306980.170966	1.720407	3.975761e-02	0.019610
307030.175765	0.379923	2.299919e-01	0.019610
307080.180564	1.843108	5.945908e-02	0.039221
307130.185363	3.302004	7.904373e-02	0.039221
307180.190162	9.291715	3.682325e-03	0.019610
307230.194961	2.363614	1.113121e-01	0.039221
307280.199760	2.248790	1.170960e-02	0.019610
307330.204559	3.091252	6.787504e-02	0.039221
307380.209358	2.571274	1.589844e-02	0.019610
307430.214157	7.674390	8.392865e-03	0.019610
307480.218956	7.841142	1.028967e-02	0.019610
307530.223755	0.991456	4.030059e-01	0.019610
307580.228554	0.568412	1.399067e-01	0.039221
307630.233353	4.200911	1.133394e-02	0.039221
307680.238152	5.078276	1.524316e-02	0.019610
307730.242951	2.279160	2.925095e-02	0.039221
307780.247750	1.489622	1.645531e-02	0.039221
307830.252549	3.792013	1.853990e-02	0.019610
307880.257349	4.236956	4.407596e-02	0.039221
307930.262148	8.762141	3.778650e-03	0.019610
307980.266947	11.462292	6.123284e-03	0.019610
308030.271746	10.784369	4.980758e-03	0.019610
308080.276545	3.499908	2.132327e-01	0.019610
308130.281344	5.475407	2.590219e-02	0.019610
308180.286143	5.865648	9.622026e-02	0.039221
308230.290942	0.880948	4.429583e+00	0.019610
308280.295741	6.581245	8.649919e-03	0.019610
308330.300540	3.153714	3.917720e-02	0.019610
308380.305339	12.228454	4.766263e-03	0.019610
308430.310138	13.469548	4.493221e-03	0.019610
308480.314937	13.271635	4.574366e-03	0.019610
308530.319736	12.994457	4.658964e-03	0.019610
308580.324535	12.357714	4.760628e-03	0.019610
308630.329334	10.438302	4.605943e-03	0.019610
308680.334133	7.812853	1.383020e-02	0.019610
308730.338932	0.553162	7.114589e-01	0.039221
308780.343731	9.899952	1.222813e-02	0.019610
308830.348530	1.152201	1.901519e-01	0.039221
308880.353329	0.335107	1.698594e-01	0.039221
308930.358128	7.920726	1.323980e-02	0.019610
308980.362927	5.890740	1.254753e-02	0.019610
309030.367726	3.902368	3.797912e-03	0.019610
309080.372525	10.024235	5.443726e-03	0.019610
309130.377325	6.005929	6.089445e-03	0.019610
309180.382124	4.767900	3.994912e-02	0.039221
309230.386923	3.484105	3.778181e-02	0.019610
309280.391722	8.130902	9.551160e-03	0.019610
309330.396521	5.526668	4.890044e-02	0.019610
309380.401320	11.261656	7.907228e-03	0.019610
309430.406119	13.167106	7.473867e-03	0.019610
309480.410918	6.992767	7.404715e-03	0.019610
309530.415717	9.784247	7.640465e-03	0.019610
309580.420516	11.842975	7.709996e-03	0.019610
309630.425315	9.575889	7.469999e-03	0.019610
309680.430114	4.519790	1.633609e-02	0.019610
309730.434913	9.019871	3.238486e-03	0.019610
309780.439712	10.325178	3.187623e-03	0.019610
309830.444511	8.657737	9.444687e-03	0.019610
309880.449310	7.359446	6.398468e-03	0.019610
309930.454109	6.886798	1.859156e-02	0.039221
309980.458908	9.072058	1.136857e-02	0.019610
310030.463707	9.542086	1.120933e-02	0.019610
310080.468506	8.672117	1.467833e-02	0.039221
310130.473305	9.845992	1.232700e-02	0.039221
310180.478104	10.583527	1.134776e-02	0.039221
310230.482903	8.251324	1.378491e-02	0.019610
310280.487702	11.348157	1.205439e-02	0.019610
310330.492501	5.604916	1.116791e-02	0.019610
310380.497301	7.091990	8.024059e-03	0.019610
310430.502100	12.100926	1.039413e-02	0.019610
310480.506899	3.076559	8.865950e-03	0.019610
310530.511698	8.950572	2.085186e-02	0.019610
310580.516497	8.700229	2.283612e-02	0.019610
310630.521296	8.068931	2.550593e-02	0.039221
310680.526095	3.985477	6.957573e-02	0.039221
310730.530894	5.894010	1.998438e-02	0.019610
310780.535693	4.767196	4.907258e-02	0.039221
310830.540492	3.418153	2.198502e+00	0.039221
310880.545291	3.573714	3.889747e-01	0.039221
310930.550090	6.309727	5.895354e-02	0.039221
310980.554889	7.197368	4.587948e-02	0.039221
311030.559688	1.914240	8.917975e-02	0.019610
311080.564487	3.215175	1.663350e-02	0.019610
311130.569286	2.747282	1.238941e-02	0.019610
311180.574085	2.948914	1.275092e-02	0.039221
311230.578884	8.482769	1.055870e-02	0.039221
311280.583683	3.389813	3.851294e-02	0.039221
311330.588482	2.249407	2.228046e-02	0.039221
311380.593281	10.450127	5.726302e-03	0.039221
311430.598080	13.149031	5.592846e-03	0.039221
311480.602879	12.050570	5.304111e-03	0.039221
311530.607678	5.229762	5.285432e-03	0.039221
311580.612478	0.800718	5.404463e-03	0.039221
311630.617277	0.719724	2.225380e+00	0.039221
311680.622076	0.635189	9.507154e-01	0.039221
311730.626875	1.686457	5.134101e-01	0.039221
311780.631674	2.424109	2.873081e-01	0.039221
311830.636473	0.978881	3.596742e-01	0.039221
311880.641272	0.716412	3.086760e-01	0.039221
311930.646071	1.582770	1.439644e-01	0.039221
311980.650870	0.524649	8.328460e-01	0.039221
312030.655669	1.500637	3.565521e-01	0.039221
312080.660468	0.938038	1.651517e-01	0.019610
312130.665267	5.134990	3.837134e-03	0.039221
312180.670066	3.566804	3.901589e-03	0.039221
312230.674865	0.760251	5.135342e-02	0.039221
312280.679664	0.424856	4.230124e-02	0.019610
312330.684463	6.078614	2.648022e-03	0.039221
312380.689262	7.362764	2.112560e-03	0.039221
312430.694061	8.239936	2.115169e-03	0.039221
312480.698860	8.233615	2.141061e-03	0.039221
312530.703659	7.251774	2.081420e-03	0.039221
312580.708458	6.632615	2.103526e-03	0.039221
312630.713257	5.055489	2.036907e-03	0.039221
312680.718056	4.099727	2.143731e-03	0.039221
312730.722855	3.382735	2.156228e-03	0.039221
312780.727654	0.872195	2.538459e-02	0.019610
312830.732454	0.872195	2.295629e-02	0.019610
312880.737253	0.872195	2.095201e-02	0.019610
312930.742052	1.123418	1.926961e-02	0.019610
312980.746851	0.880948	2.126704e-02	0.019610
313030.751650	0.880948	2.333503e-02	0.019610
313080.756449	0.880948	2.584850e-02	0.019610
313130.761248	0.880948	2.896879e-02	0.019610
313180.766047	0.880948	3.294585e-02	0.019610
313230.770846	0.880948	3.818868e-02	0.019610
313280.775645	0.880948	4.541594e-02	0.019610
313330.780444	0.880948	5.601728e-02	0.019610
313380.785243	0.880948	7.307504e-02	0.019610
313430.790042	0.880948	1.050696e-01	0.019610
313480.794841	0.880948	1.869008e-01	0.019610
313530.799640	0.880948	8.450490e-01	0.019610
313580.804439	0.462563	2.778064e-01	0.039221
313630.809238	0.575617	8.562088e-01	0.039221
313680.814037	0.282915	4.475268e-01	0.039221
313730.818836	0.784677	1.619010e+00	0.039221
313780.823635	0.228148	8.305527e-01	0.039221
313830.828434	0.228148	1.366927e+01	0.039221
313880.833233	0.888303	1.531934e+00	0.019610
313930.838032	0.485183	1.123196e-01	0.039221
313980.842831	1.342212	8.008391e-02	0.039221
314030.847630	2.595529	3.705488e+00	0.039221
314080.852430	0.254910	8.382668e-01	0.039221
314130.857229	0.228148	1.094460e+00	0.039221
314180.862028	0.955537	1.870967e-01	0.039221
314230.866827	1.380357	1.011806e+00	0.039221
314280.871626	0.888303	3.835857e+00	0.019610
314330.876425	1.592005	9.227733e+00	0.039221
314380.881224	0.973674	1.141566e-01	0.019610
314430.886023	3.054978	1.788003e-01	0.019610
314480.890822	0.888303	2.348714e+00	0.019610
314530.895621	0.580862	2.204024e-01	0.039221
314580.900420	1.147904	4.801914e-02	0.039221
314630.905219	0.130266	1.419728e-01	0.039221
314680.910018	0.000000	2.178255e-01	0.019610
314730.914817	1.025044	2.824545e-01	0.039221
314780.919616	1.472334	1.393549e-01	0.039221
314830.924415	0.845549	1.444468e-01	0.039221
314880.929214	2.469776	2.276734e-02	0.039221
314930.934013	1.956088	6.591018e-02	0.039221
314980.938812	0.719724	2.245016e+01	0.039221
315030.943611	0.241256	3.946857e+01	0.039221
315080.948410	2.431575	1.376091e+01	0.039221
315130.953209	1.967902	2.113398e-01	0.039221
315180.958008	0.533399	3.424462e-01	0.019610
315230.962807	1.771487	5.225842e-01	0.019610
315280.967606	0.262624	1.644565e-01	0.039221
315330.972406	0.637851	6.937524e-02	0.039221
315380.977205	0.521657	5.999316e-02	0.039221
315430.982004	1.629736	1.714727e-01	0.039221
315480.986803	2.467113	1.577362e+01	0.039221
315530.991602	0.914222	1.935222e-01	0.019610
315580.996401	3.462889	1.289133e+00	0.019610
315631.001200	0.419507	1.363618e-01	0.019610
315681.005999	0.872195	3.332777e-01	0.019610
315731.010798	2.461643	1.395173e-01	0.039221
315781.015597	0.000000	2.033361e-01	0.019610
315831.020396	0.000000	2.792023e-01	0.019610
315881.025195	0.105852	2.554561e-01	0.039221
315931.029994	0.097375	1.051335e+00	0.039221
315981.034793	0.985391	2.214164e-02	0.039221
316031.039592	0.000000	2.970598e+00	0.019610
316081.044391	1.146315	1.429327e-01	0.039221
316131.049190	0.504076	1.692312e+00	0.039221
316181.053989	1.069294	3.125440e-02	0.039221
316231.058788	2.731483	4.110416e-02	0.039221
316281.063587	0.337931	4.723227e-02	0.019610
316331.068386	1.499114	6.252227e-02	0.019610
316381.073185	3.442398	6.782465e-02	0.019610
316431.077984	2.698134	1.305454e-01	0.019610
316481.082783	3.807484	7.847385e-02	0.019610
316531.087582	2.084788	2.102033e-01	0.019610
316581.092382	1.655154	9.592910e-02	0.039221
316631.097181	4.753952	5.574435e-02	0.039221
316681.101980	0.526065	2.259803e-01	0.039221
316731.106779	2.665956	4.361942e-02	0.039221
316781.111578	1.926812	2.943916e-02	0.019610
316831.116377	2.915255	2.256134e-02	0.019610
316881.121176	1.979608	2.490254e-02	0.019610
316931.125975	1.290969	1.796747e-02	0.019610
316981.130774	0.650189	1.942159e-02	0.019610
317031.135573	0.964597	1.391893e-02	0.019610
317081.140372	1.665493	1.442065e-02	0.019610
317131.145171	1.682154	1.275043e-02	0.019610
317181.149970	1.798448	1.300320e-02	0.039221
317231.154769	2.389442	1.221804e-02	0.039221
317281.159568	2.707949	1.454264e-02	0.039221
317331.164367	2.251021	1.243735e-02	0.039221
317381.169166	2.725514	1.250220e-02	0.039221
317431.173965	1.851993	1.869917e-01	0.039221
317481.178764	2.045587	2.935267e-02	0.039221
317531.183563	0.464377	1.151814e-01	0.039221
317581.188362	0.219276	2.124827e-01	0.039221
317631.193161	0.463961	1.069584e-01	0.039221
317681.197960	0.769248	5.352413e-02	0.039221
317731.202759	0.743300	7.092082e-02	0.019610
317781.207558	1.074057	3.717560e-02	0.019610
317831.212358	0.999129	1.351540e-01	0.039221
317881.217157	3.498197	3.440536e-02	0.019610
317931.221956	2.188826	2.297883e-01	0.039221
317981.226755	3.064923	1.504263e-01	0.039221
318031.231554	1.692897	7.372805e-02	0.019610
318081.236353	1.550298	4.951238e-01	0.019610
318131.241152	0.921227	1.073741e-01	0.019610
318181.245951	0.433175	7.069052e-02	0.019610
318231.250750	1.443499	8.641417e-01	0.039221
318281.255549	0.056914	7.865990e-01	0.019610
318331.260348	1.169612	8.414943e-01	0.039221
318381.265147	0.872195	3.675179e+00	0.019610
318431.269946	1.021525	1.145803e-01	0.019610
318481.274745	0.243049	3.134285e-01	0.039221
318531.279544	1.134839	5.281584e-01	0.019610
318581.284343	2.369436	7.047039e-02	0.039221
318631.289142	0.799418	2.714231e-01	0.039221
318681.293941	0.636825	3.504015e-01	0.019610
318731.298740	0.000000	1.290497e+00	0.019610
318781.303539	0.000000	4.858996e-01	0.019610
318831.308338	0.000000	1.902244e+00	0.019610
318881.313137	0.888303	3.254800e+00	0.019610
318931.317936	0.888303	1.759366e+01	0.019610
318981.322735	0.888303	5.166322e+00	0.019610
319031.327534	0.736096	1.551841e-01	0.039221
319081.332334	2.828246	9.319176e-03	0.039221
319131.337133	1.123955	6.204819e-03	0.039221
319181.341932	1.512711	1.135225e-01	0.039221
319231.346731	0.043024	7.483782e-02	0.019610
