location	LR	alpha
1000014.000000	0.001827	6.883777e+01
1000064.001000	1.634204	9.662423e-02
1000114.002000	0.930449	4.879729e-02
1000164.003000	0.000248	1.423824e+00
1000214.004001	0.678461	9.346878e-02
1000264.005001	0.001827	6.883778e+01
1000314.006001	0.000293	2.086985e+00
1000364.007001	0.797271	3.255993e-02
1000414.008001	0.446334	2.171669e-01
1000464.009001	0.036729	8.749165e-02
1000514.010001	0.027791	3.217402e-02
1000564.011001	0.034933	1.687567e-02
1000614.012002	0.023909	1.614168e-02
1000664.013002	0.005240	2.541863e-02
1000714.014002	0.003199	4.414792e-02
1000764.015002	0.001440	1.547074e-01
1000814.016002	0.007299	5.799274e-01
1000864.017002	0.000000	7.057943e+02
1000914.018002	0.034146	2.419837e+00
1000964.019002	0.000000	1.718952e+00
1001014.020003	0.170794	8.375358e-01
1001064.021003	2.433050	3.774740e-02
1001114.022003	0.000000	6.066743e+00
1001164.023003	0.461978	1.050662e-02
1001214.024003	0.435645	7.972492e-03
1001264.025003	0.355047	6.297415e-03
1001314.026003	0.529715	4.655898e-03
1001364.027003	0.877102	4.014735e-03
1001414.028004	1.136999	3.730234e-03
1001464.029004	1.231922	3.657873e-03
1001514.030004	1.119500	3.773177e-03
1001564.031004	0.732832	4.229104e-03
1001614.032004	0.000000	2.384736e+00
1001664.033004	0.000000	1.087646e+00
1001714.034004	0.023551	6.385320e-02
1001764.035004	1.878493	1.221932e-01
1001814.036005	0.069371	7.050113e-01
1001864.037005	0.392573	3.356674e+01
1001914.038005	0.395632	1.241527e-01
1001964.039005	0.080672	6.897245e-02
1002014.040005	0.157171	5.690261e-02
1002064.041005	0.244651	1.826260e-01
1002114.042005	0.086372	1.152700e-01
1002164.043005	0.105481	2.399869e-02
1002214.044006	0.185974	1.319070e-02
1002264.045006	0.258555	4.420972e-03
1002314.046006	0.597256	3.489322e-03
1002364.047006	0.747771	3.315815e-03
1002414.048006	0.028458	4.174445e-02
1002464.049006	0.045016	3.188037e-01
1002514.050006	0.135163	4.492114e-02
1002564.051006	0.232723	2.105069e-01
1002614.052007	0.623464	2.429500e-02
1002664.053007	0.744898	4.871863e-02
1002714.054007	0.022592	4.708487e-02
1002764.055007	0.426195	1.334681e-01
1002814.056007	0.653953	2.713809e-01
1002864.057007	0.001827	1.207529e+01
1002914.058007	0.170794	8.220698e-01
1002964.059007	0.275021	2.420370e-01
1003014.060008	3.357814	6.876871e-03
1003064.061008	0.958310	9.277995e+00
1003114.062008	2.082751	9.160469e-03
1003164.063008	0.000257	2.197022e+00
1003214.064008	4.791722	1.204093e-01
1003264.065008	1.001194	1.154752e-02
1003314.066008	0.323368	9.657865e-03
1003364.067008	0.146062	7.466065e-03
1003414.068009	1.068796	1.812223e-02
1003464.069009	0.426424	3.022190e-01
1003514.070009	3.410747	2.321384e-02
1003564.071009	0.209064	8.161025e-01
1003614.072009	0.026492	2.357043e+00
1003664.073009	0.061871	7.054485e-01
1003714.074009	0.006968	1.619692e-01
1003764.075009	0.692066	4.065809e-02
1003814.076010	0.203704	3.430603e-02
1003864.077010	0.636606	8.122508e-02
1003914.078010	0.000248	5.481038e+01
1003964.079010	0.061253	3.574072e-01
1004014.080010	1.719154	1.983563e-02
1004064.081010	2.167220	5.183269e-02
1004114.082010	0.028740	1.902021e-01
1004164.083010	0.000000	1.972708e+00
1004214.084011	1.467258	1.168820e-02
1004264.085011	0.953629	3.354491e-02
1004314.086011	1.870725	3.771413e-02
1004364.087011	2.314122	1.292861e-02
1004414.088011	0.269265	1.326320e+00
1004464.089011	3.361959	4.557957e-03
1004514.090011	3.446950	3.595394e-03
1004564.091011	6.587324	3.870648e-03
1004614.092012	6.247641	8.391410e-03
1004664.093012	1.994894	2.472574e-02
1004714.094012	1.160584	2.910443e-02
1004764.095012	0.251511	1.159095e-02
1004814.096012	0.294870	1.351485e-01
1004864.097012	0.000248	4.735107e+00
1004914.098012	0.269265	1.472316e+01
1004964.099012	1.977789	2.856234e-02
1005014.100013	4.262343	2.156059e-02
1005064.101013	0.524151	1.060476e-01
1005114.102013	0.842035	5.184528e-03
1005164.103013	2.783651	5.329664e-03
1005214.104013	0.991161	1.787521e-02
1005264.105013	0.524589	1.010374e-01
1005314.106013	0.000000	1.131934e+02
1005364.107013	0.097700	1.429385e-02
1005414.108014	0.137559	3.569981e-02
1005464.109014	0.159916	5.646810e-01
1005514.110014	0.401065	1.787892e-01
1005564.111014	0.000000	1.080946e+02
1005614.112014	0.551957	1.875850e-01
1005664.113014	1.661071	1.200645e-01
1005714.114014	0.455031	1.067388e-01
1005764.115014	0.332372	1.178815e+01
1005814.116015	0.490719	2.576492e-02
1005864.117015	0.618455	8.155799e-02
1005914.118015	1.331050	3.993538e-01
1005964.119015	2.495101	1.312994e-02
1006014.120015	3.734119	1.968499e-02
1006064.121015	0.448047	6.056095e-02
1006114.122015	0.146842	1.612263e+00
1006164.123015	0.385798	1.442720e-01
1006214.124016	0.000000	1.745205e+00
1006264.125016	0.000115	1.481090e+00
1006314.126016	0.000001	2.887102e-01
1006364.127016	0.639234	1.246104e-01
1006414.128016	0.002851	1.134958e+00
1006464.129016	0.953627	1.056105e-02
1006514.130016	1.459956	6.796395e-03
1006564.131016	3.418720	3.880035e-03
1006614.132017	4.630946	2.958019e-03
1006664.133017	4.530207	2.926501e-03
1006714.134017	0.130543	8.131404e-01
1006764.135017	0.003248	6.072372e-01
1006814.136017	0.363045	3.021967e-02
1006864.137017	0.948737	1.183336e-01
1006914.138017	0.000000	1.054466e+01
1006964.139017	1.235134	6.667033e-02
1007014.140018	0.850003	8.112524e-01
1007064.141018	0.855161	1.636588e-01
1007114.142018	0.000000	8.449649e+01
1007164.143018	0.748119	1.930035e-01
1007214.144018	2.286121	7.092834e-02
1007264.145018	1.699297	1.562770e+00
1007314.146018	0.553894	2.706189e-01
1007364.147018	0.079719	1.772121e+00
1007414.148019	0.203178	2.360560e-01
1007464.149019	0.186700	5.415076e-02
1007514.150019	0.001827	3.201729e-01
1007564.151019	0.127880	8.708236e-03
1007614.152019	0.000000	1.174720e-01
1007664.153019	0.000000	2.148729e-01
1007714.154019	0.000000	2.052693e+00
1007764.155019	0.000248	3.701866e+00
1007814.156020	0.225589	1.917640e-01
1007864.157020	0.000000	1.219143e+00
1007914.158020	1.476009	4.904504e-02
1007964.159020	0.000656	6.310999e-01
1008014.160020	0.449651	2.720172e-01
1008064.161020	0.269036	1.724131e+00
1008114.162020	0.628173	4.036077e-02
1008164.163020	1.002121	4.483908e-02
1008214.164021	0.623742	6.669167e-02
1008264.165021	0.293976	2.760360e-01
1008314.166021	0.000248	3.666954e+00
1008364.167021	0.000000	5.537558e+00
1008414.168021	0.080857	1.615986e-01
1008464.169021	0.052125	1.174645e-01
1008514.170021	0.528798	4.971084e-02
1008564.171021	0.828134	3.317727e-02
1008614.172022	0.424241	2.166174e-01
1008664.173022	0.305757	6.446561e-02
1008714.174022	1.025701	5.244059e-02
1008764.175022	0.298174	4.150642e-02
1008814.176022	1.288055	2.508388e-02
1008864.177022	0.876924	1.218543e-01
1008914.178022	0.000000	6.740731e+01
1008964.179022	1.073613	2.232120e-02
1009014.180023	0.848829	3.898722e-01
1009064.181023	0.000647	4.756220e+00
1009114.182023	0.719534	2.863649e-01
1009164.183023	0.930021	1.598774e-02
1009214.184023	7.103346	5.655460e-03
1009264.185023	6.872720	2.151159e-02
1009314.186023	7.164124	5.574724e-03
1009364.187023	4.932797	5.824437e-03
1009414.188024	1.151786	1.367250e-02
1009464.189024	0.477540	2.274536e-01
1009514.190024	1.025728	4.979647e-02
1009564.191024	0.421974	3.342236e-02
1009614.192024	0.045427	1.007111e+00
1009664.193024	0.021897	4.568564e-01
1009714.194024	0.041232	7.589554e-02
1009764.195024	1.210787	4.168389e-03
1009814.196025	0.000248	1.947038e+00
1009864.197025	0.817296	5.389985e-02
1009914.198025	0.381965	1.221116e-01
1009964.199025	1.958227	4.441960e-02
1010014.200025	0.000000	5.999250e+01
