location	LR	alpha
294781.000000	0.319567	6.603462e+07
294831.005497	0.303747	2.911613e+04
294881.010995	0.000000	2.685239e+06
294931.016492	0.024182	3.725650e+03
294981.021989	0.051732	4.475979e+03
295031.027486	0.020956	2.428727e+04
295081.032984	0.076698	2.309726e+04
295131.038481	0.156131	8.290635e+07
295181.043978	0.002749	2.478821e+08
295231.049475	0.515275	7.188895e+07
295281.054973	0.705144	3.784388e+07
295331.060470	0.000000	1.200000e+09
295381.065967	0.000000	8.349926e+05
295431.071464	0.000000	5.800910e+05
295481.076962	0.000000	1.252718e+06
295531.082459	2.121970	1.934154e+04
295581.087956	0.157665	1.094652e+04
295631.093453	0.000000	1.200000e+09
295681.098951	0.000000	1.200000e+09
295731.104448	0.010994	4.582633e+04
295781.109945	0.138844	2.240449e+04
295831.115442	0.000000	2.044032e+06
295881.120940	0.000000	1.200000e+09
295931.126437	0.000000	1.636541e+06
295981.131934	0.696964	5.562217e+07
296031.137431	0.000000	4.034461e+06
296081.142929	0.000016	1.853345e+05
296131.148426	0.000000	1.183932e+06
296181.153923	0.051050	4.531964e+04
296231.159420	0.099056	1.743909e+08
296281.164918	1.348827	1.953254e+04
296331.170415	0.175596	2.529702e+04
296381.175912	0.000016	3.906325e+08
296431.181409	0.000016	4.986395e+04
296481.186907	0.000000	8.760959e+04
296531.192404	0.000000	2.298135e+05
296581.197901	0.061561	2.561795e+04
296631.203398	0.158475	8.369078e+07
296681.208896	0.101802	9.409913e+03
296731.214393	0.658917	3.994532e+05
296781.219890	0.539280	7.077135e+03
296831.225387	0.000026	3.276194e+04
296881.230885	0.000016	3.906326e+08
296931.236382	0.054105	2.372910e+04
296981.241879	0.000000	1.200000e+09
297031.247376	0.000000	1.200000e+09
297081.252874	0.429578	7.759156e+04
297131.258371	0.916129	1.948439e+04
297181.263868	0.553097	4.596595e+03
297231.269365	0.182920	2.308308e+03
297281.274863	0.000000	2.518261e+05
297331.280360	0.000000	1.200000e+09
297381.285857	0.896860	1.968378e+07
297431.291354	1.511970	3.080943e+07
297481.296852	0.666965	5.137157e+07
297531.302349	1.411696	4.450373e+03
297581.307846	0.378839	1.462132e+05
297631.313343	0.000000	1.200000e+09
297681.318841	0.000000	1.919656e+05
297731.324338	0.000000	2.449806e+05
297781.329835	0.000000	2.042111e+05
297831.335332	0.076881	9.930105e+03
297881.340830	0.114403	8.931193e+07
297931.346327	0.114394	1.684078e+04
297981.351824	0.108638	6.244347e+03
298031.357321	0.088714	4.281300e+03
298081.362819	0.051601	3.786615e+03
298131.368316	0.006122	4.474076e+03
298181.373813	0.000000	3.315005e+04
298231.379310	0.000000	4.528354e+04
298281.384808	0.000000	7.142705e+04
298331.390305	0.000000	1.689898e+05
298381.395802	0.000000	4.344645e+05
298431.401299	0.106230	1.134586e+04
298481.406797	0.316310	3.946489e+07
298531.412294	0.000000	8.982747e+05
298581.417791	0.000000	1.200000e+09
298631.423288	0.000000	1.200000e+09
298681.428786	0.317364	5.177987e+07
298731.434283	0.840820	1.010544e+04
298781.439780	2.701974	5.190103e+03
298831.445277	0.658003	6.133574e+03
298881.450775	0.158446	6.257539e+04
298931.456272	0.000000	1.388369e+06
298981.461769	0.000000	1.200000e+09
299031.467266	0.000000	1.200000e+09
299081.472764	0.000000	1.140713e+06
299131.478261	0.381448	1.194202e+04
299181.483758	0.361244	1.097835e+04
299231.489255	0.045075	1.467439e+04
299281.494753	0.020449	5.093427e+04
299331.500250	0.000000	1.200000e+09
299381.505747	1.143203	1.959940e+04
299431.511244	0.044948	1.196761e+04
299481.516742	0.000000	8.101369e+05
299531.522239	0.000000	8.131509e+05
299581.527736	0.000000	1.479454e+05
299631.533233	0.000000	8.814299e+05
299681.538731	0.000000	4.971544e+05
299731.544228	0.000000	9.966842e+04
299781.549725	0.000000	5.538605e+04
299831.555222	0.000000	3.834811e+04
299881.560720	0.000000	2.932661e+04
299931.566217	0.000000	2.374139e+04
299981.571714	0.000000	1.994322e+04
300031.577211	0.000000	1.719271e+04
300081.582709	0.000000	1.510894e+04
300131.588206	0.000000	1.347567e+04
300181.593703	0.000000	1.313997e+04
300231.599200	0.000000	1.468820e+04
300281.604698	0.000000	1.665001e+04
300331.610195	0.000000	1.921665e+04
300381.615692	0.000000	2.271881e+04
300431.621189	0.000000	2.778197e+04
300481.626687	0.000000	3.574908e+04
300531.632184	0.000000	5.012298e+04
300581.637681	0.000000	8.382854e+04
300631.643178	0.000000	2.559318e+05
300681.648676	0.000000	2.620019e+05
300731.654173	0.000000	8.882525e+04
300781.659670	0.000000	5.347779e+04
300831.665167	0.000000	4.191230e+04
300881.670665	0.000000	6.090857e+04
