location	LR	alpha
560668.000000	0.020797	4.516225e+07
560718.002589	15.967299	1.043098e+02
560768.005179	12.795155	1.164283e+02
560818.007768	7.273859	3.357865e+02
560868.010358	1.234688	8.105078e+02
560918.012947	2.515910	7.522232e+06
560968.015537	0.024915	7.636838e+04
561018.018126	2.558016	3.589792e+03
561068.020716	3.100836	8.568998e+06
561118.023305	6.481822	7.211816e+02
561168.025894	0.532842	3.778362e+04
561218.028484	1.387842	9.854530e+05
561268.031073	0.127952	3.563537e+07
561318.033663	5.778499	4.535037e+02
561368.036252	12.042208	5.031244e+02
561418.038842	7.918326	8.094955e+02
561468.041431	0.941138	5.568107e+06
561518.044021	0.642503	2.283255e+04
561568.046610	1.989840	2.948960e+06
561618.049199	0.272582	8.521378e+07
561668.051789	1.629190	3.861372e+03
561718.054378	3.289282	6.349153e+06
561768.056968	2.409745	2.031172e+03
561818.059557	7.793485	7.575157e+02
561868.062147	9.958465	4.664948e+02
561918.064736	8.579062	3.838206e+02
561968.067326	9.828072	4.052793e+02
562018.069915	1.007980	5.132982e+06
562068.072504	0.545666	4.445514e+03
562118.075094	1.192617	7.757098e+06
562168.077683	11.279090	1.833042e+02
562218.080273	17.242028	1.731376e+02
562268.082862	15.421979	1.710564e+02
562318.085452	14.061732	1.711129e+02
562368.088041	16.094825	1.714596e+02
562418.090631	9.080200	1.768380e+02
562468.093220	0.435721	4.533416e+07
562518.095809	5.744012	1.902539e+02
562568.098399	13.858607	1.901207e+02
562618.100988	14.350672	1.948689e+02
562668.103578	8.251024	2.066522e+02
562718.106167	0.000000	2.724102e+05
562768.108757	1.988913	5.196771e+06
562818.111346	10.734201	2.496004e+02
562868.113936	13.476078	2.568563e+02
562918.116525	10.554160	2.859071e+02
562968.119114	0.127952	1.213621e+05
563018.121704	1.840595	2.601576e+03
563068.124293	0.186854	6.352867e+07
563118.126883	0.508954	5.691603e+04
563168.129472	2.975341	5.941354e+03
563218.132062	0.896902	2.459459e+07
563268.134651	0.025137	1.117869e+05
563318.137241	7.825263	1.191256e+03
563368.139830	2.505183	3.158381e+07
563418.142419	0.544093	2.255053e+07
563468.145009	1.711358	1.365511e+04
563518.147598	3.708819	3.892528e+03
563568.150188	9.757742	1.224661e+03
563618.152777	2.828385	2.044344e+07
563668.155367	1.371197	3.181834e+07
563718.157956	2.040050	2.361284e+07
563768.160546	10.670613	8.371525e+02
563818.163135	10.218959	8.066252e+02
563868.165724	1.656462	2.125730e+07
563918.168314	0.080685	7.571324e+04
563968.170903	0.257508	1.187979e+06
564018.173493	0.020337	3.165587e+04
564068.176082	0.000205	2.120381e+05
564118.178672	1.361720	2.248462e+03
564168.181261	1.161859	6.523848e+03
564218.183851	0.840486	1.186189e+04
564268.186440	0.144736	6.070967e+03
564318.189030	1.112014	1.460232e+03
564368.191619	2.178770	9.873891e+02
564418.194208	0.787993	2.461897e+03
564468.196798	0.716154	3.722335e+07
564518.199387	0.746404	3.368633e+03
564568.201977	0.041570	1.272164e+04
564618.204566	2.691893	5.306777e+02
564668.207156	2.807155	5.711201e+02
564718.209745	2.049278	6.579366e+02
564768.212335	1.344410	8.188933e+02
564818.214924	0.951866	1.024723e+03
564868.217513	0.740347	1.311145e+03
564918.220103	0.615799	1.696042e+03
564968.222692	0.480615	2.403112e+03
565018.225282	0.271414	4.507152e+03
565068.227871	0.166058	1.722051e+04
565118.230461	0.169499	1.100361e+08
565168.233050	0.581987	1.249423e+04
565218.235640	0.252967	1.624414e+04
565268.238229	0.032506	7.586915e+04
565318.240818	0.061139	1.234637e+08
565368.243408	0.228233	4.174962e+04
565418.245997	0.285818	1.216913e+08
565468.248587	0.035344	5.889435e+05
565518.251176	0.910042	3.159939e+03
565568.253766	1.041706	2.703956e+03
565618.256355	1.653603	1.217018e+07
565668.258945	0.263334	8.477440e+07
565718.261534	2.371679	8.453434e+03
565768.264123	0.006537	9.687378e+04
565818.266713	1.534318	1.083706e+04
565868.269302	0.014636	1.705967e+05
565918.271892	0.000000	4.614699e+06
565968.274481	0.005840	6.683798e+05
566018.277071	0.121935	2.702364e+04
566068.279660	0.731196	6.649693e+07
566118.282250	0.525158	1.081429e+04
566168.284839	0.273568	4.680797e+07
566218.287428	0.750655	1.365237e+04
566268.290018	0.105490	3.890947e+07
566318.292607	1.102597	6.030077e+03
566368.295197	0.031185	2.555876e+05
566418.297786	0.004086	3.253289e+04
566468.300376	0.230543	3.407772e+04
566518.302965	0.013399	3.224814e+05
566568.305555	0.763091	1.801025e+03
566618.308144	1.279769	1.878976e+03
566668.310733	0.582968	2.913272e+03
566718.313323	0.000127	2.294243e+08
566768.315912	0.009373	3.090580e+05
566818.318502	0.331045	6.127325e+04
566868.321091	0.201960	3.166826e+04
566918.323681	0.038335	1.858187e+08
566968.326270	0.000000	1.200000e+09
567018.328860	1.247617	1.104906e+07
567068.331449	0.000739	1.671279e+05
567118.334038	1.495234	2.681531e+04
567168.336628	0.416349	4.488872e+07
567218.339217	0.145580	3.653115e+07
567268.341807	0.008464	2.105728e+05
567318.344396	0.014301	2.340224e+05
567368.346986	0.029913	2.612363e+04
567418.349575	0.063267	2.294838e+08
567468.352165	0.087675	1.525457e+04
567518.354754	0.600460	5.647987e+03
567568.357343	1.078649	1.199683e+04
567618.359933	0.030210	5.149439e+04
567668.362522	0.000000	4.420244e+05
567718.365112	0.000000	1.814875e+05
567768.367701	0.016605	4.724899e+03
567818.370291	0.036795	2.969947e+03
567868.372880	0.000000	2.262610e+04
567918.375470	0.013957	1.633106e+03
567968.378059	0.104342	1.214384e+03
568018.380648	0.645284	9.633605e+02
568068.383238	1.237433	9.128071e+02
568118.385827	1.231805	1.008597e+03
568168.388417	0.000000	8.501131e+04
568218.391006	0.000000	1.200000e+09
568268.393596	0.067064	5.335583e+07
568318.396185	0.517053	4.214812e+04
568368.398775	1.441124	1.623832e+04
568418.401364	2.959393	2.817836e+03
568468.403953	0.181051	8.526076e+03
568518.406543	0.654841	8.083383e+03
568568.409132	0.073145	2.557551e+08
568618.411722	0.024752	1.479615e+05
568668.414311	0.187869	1.433739e+08
568718.416901	0.837031	1.490087e+04
568768.419490	0.407930	7.242191e+07
568818.422080	0.661412	6.785485e+03
568868.424669	1.368399	3.177573e+03
568918.427258	1.399145	2.184533e+03
568968.429848	1.063819	1.828922e+03
569018.432437	1.034247	1.501588e+03
569068.435027	2.436314	5.820649e+02
569118.437616	4.012152	5.379212e+02
569168.440206	4.930169	5.652512e+02
569218.442795	4.815604	6.684132e+02
569268.445385	3.295400	1.655522e+03
569318.447974	2.472322	6.840386e+03
569368.450563	2.073562	5.030842e+03
569418.453153	3.421036	1.425439e+03
569468.455742	0.319969	1.535704e+04
569518.458332	0.171114	1.419879e+04
569568.460921	0.000000	3.410107e+05
569618.463511	1.871669	3.956028e+07
569668.466100	0.430001	2.251655e+04
569718.468690	0.405237	5.756346e+07
569768.471279	2.797381	3.756447e+07
569818.473868	1.463652	2.501740e+03
569868.476458	3.135016	1.410577e+03
569918.479047	0.135675	3.014275e+07
569968.481637	2.295119	2.043059e+04
570018.484226	1.873414	5.934415e+03
570068.486816	0.009721	5.344676e+04
570118.489405	1.490091	3.564181e+07
570168.491995	0.175786	7.248270e+04
570218.494584	0.000596	8.480668e+05
570268.497173	0.421458	5.204152e+03
570318.499763	0.218320	2.585233e+04
570368.502352	0.000164	5.711900e+04
570418.504942	0.000008	4.158679e+05
570468.507531	0.000001	8.617275e+04
570518.510121	0.000008	3.839792e+06
570568.512710	0.000008	3.877552e+04
570618.515300	0.000459	3.157568e+04
570668.517889	0.000453	1.180541e+06
570718.520479	2.278985	5.992242e+03
570768.523068	1.474313	1.443549e+03
570818.525657	0.009742	3.050366e+08
570868.528247	0.312826	2.056643e+04
570918.530836	0.734359	1.445240e+07
570968.533426	3.395379	9.481995e+02
571018.536015	2.726644	1.618410e+03
571068.538605	1.831180	5.789813e+03
571118.541194	1.211255	1.844347e+07
571168.543784	1.055702	2.372913e+04
571218.546373	5.572167	9.772609e+02
571268.548962	4.228173	9.916952e+02
571318.551552	2.551375	1.229896e+03
571368.554141	0.262167	9.497664e+03
571418.556731	0.000000	1.726080e+05
571468.559320	0.148660	7.720421e+07
571518.561910	0.574290	5.409983e+07
571568.564499	1.176731	2.908592e+03
571618.567089	2.097095	1.683656e+03
571668.569678	3.960587	1.045840e+03
571718.572267	1.228341	3.806024e+03
571768.574857	1.144090	6.652122e+03
571818.577446	0.090774	3.697676e+04
571868.580036	0.437207	2.363624e+04
571918.582625	0.000011	1.762515e+05
571968.585215	0.161417	1.895762e+05
572018.587804	0.400868	4.117297e+07
572068.590394	2.219466	3.192400e+07
572118.592983	0.296794	4.176896e+04
572168.595572	1.315481	2.442386e+07
572218.598162	1.491917	1.241970e+04
572268.600751	1.033019	3.608334e+07
572318.603341	1.207238	1.267302e+04
572368.605930	0.260284	3.032365e+04
572418.608520	0.087970	1.485628e+05
572468.611109	0.705051	2.808812e+03
572518.613699	2.402344	4.723073e+03
572568.616288	2.287271	3.281913e+07
572618.618877	7.188081	1.334144e+03
572668.621467	1.057556	2.153096e+07
