location	LR	alpha
4436.000000	38.387472	4.837133e+01
4486.002591	87.352358	5.048801e+01
4536.005182	80.646067	5.086556e+01
4586.007772	89.370083	5.290539e+01
4636.010363	89.211990	5.321327e+01
4686.012954	87.324652	5.456335e+01
4736.015545	83.193159	5.618257e+01
4786.018136	84.694092	5.759728e+01
4836.020726	83.318434	5.907403e+01
4886.023317	83.318434	5.907403e+01
4936.025908	28.113647	6.227397e+01
4986.028499	28.113647	6.227397e+01
5036.031090	75.009358	6.437573e+01
5086.033681	53.620483	6.617581e+01
5136.036271	77.004299	6.738346e+01
5186.038862	72.646585	6.997416e+01
5236.041453	80.277418	7.103381e+01
5286.044044	78.861562	7.255094e+01
5336.046635	48.201531	7.312458e+01
5386.049225	82.327668	7.558013e+01
5436.051816	86.419689	7.757795e+01
5486.054407	89.187695	7.884587e+01
5536.056998	90.958410	8.019018e+01
5586.059589	92.207937	8.161416e+01
5636.062179	93.101646	8.312101e+01
5686.064770	93.715838	8.471539e+01
5736.067361	94.084637	8.640415e+01
5786.069952	94.211582	8.819379e+01
5836.072543	94.063331	9.009448e+01
5886.075133	93.531198	9.211758e+01
5936.077724	92.231639	9.427844e+01
5986.080315	75.835973	9.623126e+01
6036.082906	75.835973	9.623126e+01
6086.085497	84.884562	1.021018e+02
6136.088087	84.884562	1.021018e+02
6186.090678	93.261077	1.051903e+02
6236.093269	85.794058	1.082322e+02
6286.095860	94.371979	1.149253e+02
6336.098451	94.104037	1.160421e+02
6386.101042	91.916755	1.213319e+02
6436.103632	91.279715	1.224078e+02
6486.106223	91.279715	1.224078e+02
6536.108814	26.782438	1.289914e+02
6586.111405	26.782438	1.289914e+02
6636.113996	85.928045	1.343279e+02
6686.116586	85.447860	1.369261e+02
6736.119177	81.839314	1.401240e+02
6786.121768	68.071486	1.406775e+02
6836.124359	82.959930	1.428220e+02
6886.126950	74.470615	1.489483e+02
6936.129540	74.470615	1.489483e+02
6986.132131	69.721012	1.586940e+02
7036.134722	69.721012	1.586940e+02
7086.137313	53.511698	1.703400e+02
7136.139904	5.026151	1.699524e+02
7186.142494	68.873332	1.737772e+02
7236.145085	73.660878	1.803300e+02
7286.147676	73.309796	1.823041e+02
7336.150267	70.084236	1.895129e+02
7386.152858	70.084236	1.895129e+02
7436.155448	18.970241	2.001084e+02
7486.158039	18.970241	2.001084e+02
7536.160630	52.875860	2.125603e+02
7586.163221	30.562636	2.151239e+02
7636.165812	30.562636	2.151239e+02
7686.168403	26.908664	2.365677e+02
7736.170993	47.300581	2.389633e+02
7786.173584	29.976350	2.597762e+02
7836.176175	29.976350	2.597762e+02
7886.178766	5.743620	2.918453e+02
7936.181357	5.743620	2.918453e+02
7986.183947	32.900433	3.182413e+02
8036.186538	27.482611	3.509686e+02
8086.189129	29.783695	3.926505e+02
8136.191720	12.994750	4.722648e+02
8186.194311	12.994750	4.722648e+02
8236.196901	0.240296	3.121703e+07
8286.199492	14.552452	6.956996e+02
8336.202083	1.753532	1.909699e+07
8386.204674	1.753532	1.909699e+07
8436.207265	1.839113	4.952938e+03
8486.209855	0.265239	1.116318e+08
8536.212446	0.265239	1.116318e+08
8586.215037	0.586154	5.125330e+07
