location	LR	alpha
1378006.000000	0.000000	1.200000e+09
1378056.002500	0.000000	1.200000e+09
1378106.005000	0.061319	1.606337e+04
1378156.007500	0.259482	1.354857e+08
1378206.010001	0.036704	9.491836e+04
1378256.012501	0.000000	1.409712e+05
1378306.015001	0.000000	1.200000e+09
1378356.017501	0.120177	4.146998e+03
1378406.020001	0.695568	2.609402e+07
1378456.022501	0.073627	2.950498e+03
1378506.025002	0.000000	1.088079e+05
1378556.027502	0.000000	1.207877e+05
1378606.030002	0.000000	1.336017e+06
1378656.032502	0.000000	1.165825e+05
1378706.035002	0.000198	2.072860e+04
1378756.037502	0.001068	4.481198e+04
1378806.040002	0.001067	1.175751e+05
1378856.042503	0.360290	1.336212e+04
1378906.045003	0.082805	1.886810e+08
1378956.047503	0.082670	3.402524e+04
1379006.050003	0.074580	1.242370e+04
1379056.052503	0.068623	7.623876e+03
1379106.055003	0.313521	1.777413e+03
1379156.057504	1.035507	1.994557e+03
1379206.060004	1.551468	2.263375e+03
1379256.062504	0.982559	2.957661e+03
1379306.065004	1.368269	1.073418e+04
1379356.067504	1.782066	3.184856e+03
1379406.070004	1.151209	3.355836e+03
1379456.072504	0.000000	1.200000e+09
1379506.075005	0.000000	1.200000e+09
1379556.077505	0.584815	1.127911e+08
1379606.080005	0.204750	1.408933e+08
1379656.082505	0.000000	4.340317e+05
1379706.085005	0.004194	2.645517e+08
1379756.087505	0.128650	3.764281e+04
1379806.090005	0.132958	6.062101e+06
1379856.092506	1.923252	8.894091e+03
1379906.095006	0.003480	1.081023e+05
1379956.097506	0.833853	8.852879e+03
1380006.100006	0.341815	5.104166e+03
1380056.102506	0.000000	1.200000e+09
1380106.105006	0.000000	2.814072e+05
1380156.107507	1.888534	5.673657e+04
1380206.110007	0.000000	1.511571e+06
1380256.112507	0.000000	3.762329e+05
1380306.115007	1.265555	6.531113e+03
1380356.117507	0.009922	4.343366e+03
1380406.120007	0.007063	1.951032e+04
1380456.122507	0.152685	4.039107e+04
1380506.125008	0.000000	1.200000e+09
1380556.127508	0.000000	3.806094e+05
1380606.130008	0.000000	1.514375e+05
1380656.132508	0.000000	6.249082e+04
1380706.135008	0.000000	4.065259e+04
1380756.137508	0.000000	6.579070e+04
1380806.140009	0.000000	1.723915e+05
1380856.142509	0.000000	2.852291e+05
1380906.145009	0.040725	3.389651e+04
1380956.147509	0.929594	1.315689e+04
1381006.150009	0.086988	1.304542e+04
1381056.152509	0.012013	1.207867e+05
1381106.155009	0.000000	1.529155e+05
1381156.157510	0.409586	2.202700e+07
1381206.160010	1.049650	2.372895e+03
1381256.162510	1.729017	3.240192e+03
1381306.165010	2.265170	1.434817e+07
1381356.167510	0.246567	5.524907e+07
1381406.170010	0.247309	6.933753e+04
1381456.172511	0.000000	1.200000e+09
1381506.175011	1.092297	2.394614e+07
1381556.177511	1.859932	1.849604e+03
1381606.180011	3.881068	1.697809e+03
1381656.182511	2.835149	1.574918e+03
1381706.185011	2.581780	1.362248e+03
1381756.187511	0.205605	4.968243e+04
1381806.190012	1.316791	1.361879e+03
1381856.192512	0.599988	5.923377e+03
1381906.195012	0.522056	4.837586e+04
1381956.197512	3.644977	1.154227e+04
1382006.200012	0.036212	6.150127e+04
1382056.202512	0.115510	9.680869e+02
1382106.205013	0.792011	9.538296e+02
1382156.207513	0.948535	1.006553e+03
1382206.210013	0.895607	1.129975e+03
1382256.212513	0.795318	1.342242e+03
1382306.215013	0.713886	1.627623e+03
1382356.217513	0.617519	1.999666e+03
1382406.220013	0.537063	2.843708e+03
1382456.222514	0.304592	4.475353e+03
1382506.225014	0.283230	5.566134e+04
1382556.227514	0.065494	1.264697e+08
1382606.230014	0.670291	1.022445e+04
1382656.232514	0.742448	1.169307e+08
1382706.235014	0.298793	8.677938e+07
1382756.237514	0.000000	1.200000e+09
1382806.240015	0.320626	4.963755e+03
1382856.242515	0.949472	2.911300e+03
1382906.245015	1.006276	2.552303e+03
1382956.247515	0.632012	5.553257e+03
1383006.250015	1.298446	1.077822e+04
1383056.252515	0.269478	1.171917e+08
1383106.255016	0.204270	1.337891e+08
1383156.257516	0.188500	1.192392e+04
1383206.260016	0.002868	3.723874e+07
1383256.262516	0.000000	3.139408e+05
1383306.265016	0.654535	2.380342e+07
1383356.267516	0.943286	4.175206e+07
1383406.270016	0.000000	5.741613e+05
1383456.272517	0.712798	7.490489e+04
1383506.275017	1.817174	7.880632e+03
1383556.277517	0.375671	2.690942e+03
1383606.280017	0.917336	1.857994e+03
1383656.282517	1.604449	1.671662e+03
1383706.285017	1.377619	1.722489e+03
1383756.287518	1.053164	1.740582e+03
1383806.290018	0.000000	2.123689e+05
1383856.292518	0.212008	1.185649e+08
1383906.295018	0.172396	5.654642e+03
1383956.297518	1.702636	7.840658e+03
1384006.300018	0.305148	4.508013e+05
1384056.302518	0.401279	3.779415e+04
1384106.305019	0.210487	1.247670e+08
1384156.307519	0.463035	1.714679e+04
1384206.310019	0.922718	3.853547e+03
1384256.312519	1.795306	2.697834e+03
1384306.315019	2.139075	2.312050e+03
1384356.317519	1.847909	2.008073e+03
1384406.320020	1.440014	1.717800e+03
1384456.322520	1.076348	1.534990e+03
1384506.325020	0.743750	1.398208e+03
1384556.327520	0.436814	1.268603e+03
1384606.330020	0.160155	1.109347e+03
1384656.332520	0.025638	6.235559e+03
1384706.335020	0.034454	8.562998e+03
1384756.337521	0.040733	1.608633e+04
1384806.340021	0.041106	3.917757e+05
1384856.342521	0.013529	5.862492e+03
1384906.345021	0.670220	3.245611e+03
1384956.347521	1.017424	2.450675e+03
1385006.350021	0.171218	3.137560e+03
1385056.352521	0.570258	1.784663e+05
1385106.355022	0.003480	1.817720e+05
1385156.357522	0.105036	3.492136e+04
1385206.360022	0.502726	1.824328e+04
1385256.362522	0.536557	2.680710e+07
1385306.365022	2.317364	4.575340e+03
1385356.367522	0.868440	3.195965e+03
1385406.370023	0.000000	1.204674e+05
1385456.372523	0.000000	1.200000e+09
1385506.375023	0.178648	5.905073e+07
1385556.377523	0.000000	5.609042e+05
1385606.380023	1.693744	2.127453e+03
1385656.382523	2.198047	2.078949e+03
1385706.385023	1.795659	2.350360e+03
1385756.387524	1.619279	3.817248e+03
1385806.390024	0.289774	4.692018e+07
1385856.392524	0.128443	8.487440e+03
1385906.395024	0.049645	4.191281e+04
1385956.397524	0.045289	5.174884e+04
1386006.400024	0.000000	2.014534e+05
1386056.402525	0.001119	7.629147e+03
1386106.405025	0.030641	1.015847e+04
1386156.407525	0.041098	2.002598e+04
1386206.410025	0.041106	1.942191e+05
1386256.412525	0.041400	1.232356e+04
1386306.415025	0.257578	4.076117e+03
1386356.417525	0.366176	4.906370e+03
1386406.420026	0.081641	1.074210e+05
1386456.422526	0.247348	1.214022e+08
1386506.425026	0.937425	1.278758e+04
1386556.427526	0.799648	5.898907e+03
1386606.430026	0.048621	4.659507e+03
1386656.432526	0.000000	2.800470e+05
1386706.435027	0.000000	1.200000e+09
1386756.437527	2.237240	1.638819e+07
1386806.440027	0.098636	1.904552e+08
1386856.442527	0.236532	1.321361e+04
1386906.445027	0.000000	1.200000e+09
1386956.447527	0.000000	1.251114e+05
1387006.450027	1.051961	1.509100e+05
1387056.452528	0.000000	7.084846e+05
1387106.455028	0.000000	9.189797e+04
1387156.457528	0.264896	1.214567e+04
1387206.460028	0.320096	3.332405e+04
1387256.462528	0.000000	1.200000e+09
1387306.465028	0.000000	4.848446e+05
1387356.467529	0.000000	1.349665e+06
1387406.470029	0.001067	7.836219e+05
1387456.472529	0.269933	7.537310e+07
1387506.475029	0.556050	5.396998e+05
1387556.477529	0.000000	2.421768e+05
1387606.480029	0.000000	4.615645e+05
1387656.482529	0.000000	9.275892e+05
1387706.485030	0.304358	4.802087e+04
1387756.487530	0.378192	2.753583e+07
1387806.490030	0.082733	7.973114e+03
1387856.492530	0.000000	1.906441e+05
1387906.495030	0.234239	4.120055e+04
1387956.497530	0.226667	1.792600e+04
1388006.500030	0.021168	2.362833e+08
1388056.502531	0.015138	5.741921e+04
1388106.505031	0.000895	1.720319e+04
1388156.507531	0.157763	8.886503e+07
1388206.510031	1.075490	1.680517e+04
1388256.512531	0.000000	1.200000e+09
1388306.515031	0.000000	1.056955e+06
1388356.517532	0.000000	5.460349e+05
1388406.520032	0.000000	1.200000e+09
1388456.522532	0.124165	9.992803e+07
1388506.525032	0.000000	6.371707e+05
1388556.527532	0.016657	4.222030e+05
1388606.530032	1.672916	5.708214e+03
1388656.532532	0.601620	2.427386e+03
1388706.535033	0.147001	1.979077e+03
1388756.537533	0.000000	3.739409e+04
1388806.540033	0.000000	2.816233e+04
1388856.542533	0.000000	2.258630e+04
1388906.545033	0.148783	8.014396e+02
1388956.547533	0.370890	8.244503e+02
1389006.550034	0.587625	8.670969e+02
1389056.552534	0.794451	9.322133e+02
1389106.555034	0.982869	1.030338e+03
1389156.557534	1.135752	1.184873e+03
1389206.560034	1.202742	1.445849e+03
1389256.562534	0.978295	1.985567e+03
1389306.565034	0.549591	2.126957e+04
1389356.567535	1.953370	4.122636e+03
1389406.570035	1.570561	7.467572e+03
1389456.572535	0.619008	3.416468e+04
1389506.575035	0.307509	1.057977e+04
1389556.577535	0.022443	9.318006e+07
1389606.580035	1.723955	1.450737e+04
1389656.582536	0.066083	1.516102e+08
1389706.585036	0.044635	1.125414e+08
1389756.587536	0.129909	1.254794e+08
1389806.590036	0.000000	1.200000e+09
1389856.592536	0.000000	1.475711e+05
1389906.595036	0.045478	1.917424e+04
1389956.597536	0.263214	1.480591e+08
1390006.600037	0.121140	6.654921e+04
1390056.602537	0.240299	9.372941e+03
1390106.605037	0.101645	1.079483e+08
1390156.607537	0.041575	5.531351e+04
1390206.610037	0.762261	3.877056e+04
1390256.612537	0.036206	2.320583e+04
1390306.615038	0.126628	1.269350e+08
1390356.617538	0.010018	5.547117e+04
1390406.620038	0.023597	4.668674e+04
1390456.622538	0.061967	3.411277e+04
1390506.625038	0.025519	3.812264e+04
1390556.627538	0.063670	3.122331e+04
1390606.630038	0.000000	1.175088e+06
1390656.632539	0.053843	1.388893e+04
1390706.635039	0.124902	1.076548e+05
1390756.637539	0.068381	3.948730e+04
1390806.640039	0.017777	2.962052e+04
1390856.642539	0.016130	2.297936e+06
1390906.645039	0.768132	7.316568e+03
1390956.647539	0.402668	3.640750e+03
1391006.650040	0.316743	1.043645e+03
1391056.652540	0.412738	9.274076e+02
1391106.655040	0.447307	8.787484e+02
1391156.657540	0.432228	8.647889e+02
1391206.660040	0.387340	8.817780e+02
1391256.662540	0.337332	9.420854e+02
1391306.665041	0.311321	1.065489e+03
1391356.667541	0.316670	1.208036e+03
1391406.670041	0.328861	1.330799e+03
1391456.672541	0.331321	1.456705e+03
1391506.675041	0.319836	1.613046e+03
1391556.677541	0.296721	1.826157e+03
1391606.680041	0.265711	2.122207e+03
1391656.682542	0.225986	2.542734e+03
1391706.685042	0.171976	3.209016e+03
1391756.687542	0.100424	4.494472e+03
1391806.690042	0.013240	7.831303e+03
1391856.692542	0.000000	1.921362e+05
1391906.695042	0.000000	1.200000e+09
1391956.697543	0.124798	1.649603e+08
1392006.700043	0.345511	6.879498e+07
1392056.702543	0.105552	9.633473e+04
1392106.705043	0.283569	3.042877e+04
1392156.707543	0.462101	4.982590e+07
1392206.710043	0.001067	3.069373e+08
1392256.712543	0.001067	3.069374e+08
1392306.715044	0.028617	5.163260e+04
1392356.717544	0.269598	1.077887e+04
1392406.720044	0.346839	1.516031e+04
1392456.722544	0.052759	3.855159e+04
1392506.725044	0.124663	2.942526e+04
1392556.727544	0.129909	1.254793e+08
1392606.730045	0.105843	2.501292e+04
1392656.732545	0.041106	3.783367e+05
1392706.735045	0.123470	7.824359e+04
1392756.737545	1.290825	3.782612e+07
1392806.740045	1.165384	9.372428e+03
1392856.742545	1.249606	3.473040e+07
1392906.745045	0.188637	1.849815e+07
1392956.747546	2.130828	2.274833e+03
1393006.750046	1.991544	1.620679e+03
1393056.752546	0.697126	1.372085e+03
1393106.755046	0.000000	1.280963e+05
1393156.757546	0.243071	1.222969e+04
1393206.760046	0.294832	4.177383e+04
1393256.762546	0.269933	7.537313e+07
1393306.765047	1.718497	5.196122e+03
1393356.767547	2.249590	2.623312e+07
1393406.770047	2.900987	2.931838e+03
1393456.772547	1.678923	3.196461e+07
1393506.775047	0.000000	1.200000e+09
1393556.777547	0.368348	3.231455e+07
1393606.780048	0.189972	5.925234e+07
1393656.782548	0.351372	9.762332e+07
1393706.785048	0.000003	3.375766e+05
1393756.787548	0.271939	1.414687e+04
1393806.790048	0.000582	7.900839e+04
1393856.792548	0.000000	2.529553e+05
1393906.795048	0.000000	2.786536e+05
1393956.797549	0.000000	1.200000e+09
1394006.800049	0.144454	7.898188e+07
1394056.802549	0.000000	1.200000e+09
1394106.805049	0.049661	1.143105e+05
1394156.807549	0.037071	4.709796e+04
1394206.810049	0.319443	1.175044e+04
1394256.812550	0.520113	2.110121e+04
1394306.815050	0.876142	1.170054e+04
1394356.817550	0.000000	2.170456e+07
1394406.820050	0.000000	1.200000e+09
1394456.822550	0.000000	2.199655e+05
1394506.825050	0.000000	7.863792e+04
1394556.827550	0.000825	2.162323e+04
1394606.830051	0.001067	5.981606e+04
1394656.832551	0.059010	6.235583e+03
1394706.835051	0.166665	5.606314e+03
1394756.837551	0.040464	1.781137e+08
1394806.840051	0.179159	2.130351e+04
1394856.842551	0.041106	5.961494e+05
1394906.845052	0.130395	4.036649e+04
1394956.847552	0.000605	3.076332e+08
1395006.850052	1.325343	7.394772e+07
1395056.852552	0.218597	9.569121e+07
1395106.855052	0.614197	4.874830e+07
1395156.857552	0.000000	1.200000e+09
1395206.860052	1.245106	5.717749e+04
1395256.862553	0.249881	8.321872e+07
1395306.865053	0.000000	4.598630e+05
