location	LR	alpha
635358.000000	0.000000	1.200000e+09
635408.007013	0.625441	1.612255e+04
635458.014025	0.012784	7.526067e+04
635508.021038	0.000612	6.493229e+05
635558.028050	1.162724	7.445760e+03
635608.035063	0.376563	3.515273e+03
635658.042076	0.093125	3.380624e+03
635708.049088	0.026745	2.556634e+03
635758.056101	0.050557	2.149823e+03
635808.063114	0.067538	2.397444e+03
635858.070126	0.037281	1.457819e+04
635908.077139	0.046303	4.449557e+03
635958.084151	0.011014	8.879741e+03
636008.091164	0.020947	2.601649e+04
636058.098177	0.021863	2.106271e+04
636108.105189	2.037563	3.801885e+03
636158.112202	0.240249	2.411161e+04
636208.119215	2.705085	1.881561e+03
636258.126227	2.275076	8.968193e+02
636308.133240	2.682712	5.972295e+02
636358.140252	3.268847	4.679435e+02
636408.147265	4.017696	3.956363e+02
636458.154278	5.044091	3.554646e+02
636508.161290	5.273934	3.077413e+02
636558.168303	5.660020	2.753324e+02
636608.175316	5.961717	2.596810e+02
636658.182328	5.654533	2.238437e+02
636708.189341	5.415327	2.054431e+02
636758.196353	5.004386	1.884746e+02
636808.203366	4.644325	1.773453e+02
636858.210379	4.378996	1.703383e+02
636908.217391	4.175066	1.656014e+02
636958.224404	4.016790	1.623545e+02
637008.231417	3.897566	1.603084e+02
637058.238429	3.817026	1.594203e+02
637108.245442	3.780854	1.599530e+02
637158.252454	3.546588	1.585992e+02
637208.259467	3.227838	1.568187e+02
637258.266480	2.948364	1.562280e+02
637308.273492	2.697574	1.566325e+02
637358.280505	2.468740	1.580155e+02
637408.287518	2.257264	1.604964e+02
637458.294530	2.059737	1.643245e+02
637508.301543	1.873265	1.698591e+02
637558.308555	1.694573	1.774555e+02
637608.315568	1.518285	1.873715e+02
637658.322581	1.333377	1.993893e+02
637708.329593	1.116269	2.136476e+02
637758.336606	0.813783	2.320419e+02
637808.343619	0.272562	2.628075e+02
637858.350631	0.015173	5.081609e+03
637908.357644	0.015173	4.608151e+03
637958.364656	0.150270	3.021145e+02
638008.371669	0.515190	2.746761e+02
638058.378682	0.640234	2.628772e+02
638108.385694	0.670607	2.571309e+02
638158.392707	0.656375	2.557180e+02
638208.399719	0.619647	2.586847e+02
638258.406732	0.572057	2.668029e+02
638308.413745	0.521006	2.807361e+02
638358.420757	0.471769	2.998886e+02
638408.427770	0.427599	3.225819e+02
638458.434783	0.390132	3.483830e+02
638508.441795	0.360342	3.786336e+02
638558.448808	0.339682	4.192902e+02
638608.455820	0.352649	6.856706e+02
638658.462833	0.378447	7.590586e+02
638708.469846	0.405270	8.205591e+02
638758.476858	0.432937	8.686619e+02
638808.483871	0.471079	8.739907e+02
638858.490884	0.536032	9.509231e+02
638908.497896	0.656063	1.148130e+03
638958.504909	1.005184	1.556594e+03
639008.511921	2.192567	5.049957e+03
639058.518934	0.033430	4.699154e+04
639108.525947	0.033638	1.257016e+04
639158.532959	0.207754	3.737714e+03
639208.539972	0.596725	2.839712e+03
639258.546985	2.319628	9.379764e+03
639308.553997	0.004668	2.541911e+05
639358.561010	0.004743	1.500797e+04
639408.568022	0.033395	1.338326e+03
639458.575035	0.167089	1.432869e+03
639508.582048	0.340696	1.942832e+03
639558.589060	0.547175	2.199156e+03
639608.596073	0.985347	2.756181e+03
639658.603086	0.124736	4.085441e+04
639708.610098	0.151244	3.155184e+04
639758.617111	0.026233	6.658062e+04
639808.624123	0.600286	1.173108e+07
639858.631136	0.209890	3.978938e+03
639908.638149	0.112566	3.050475e+04
639958.645161	0.330123	5.492053e+03
640008.652174	0.143505	9.857891e+03
640058.659187	0.041246	1.672668e+05
640108.666199	0.000000	1.200000e+09
640158.673212	0.131769	2.386018e+04
640208.680224	0.462937	7.946746e+04
640258.687237	0.290590	1.745498e+04
640308.694250	1.820218	4.278429e+03
640358.701262	0.810282	2.488266e+03
640408.708275	0.586826	1.794540e+03
640458.715288	0.621351	8.505755e+02
640508.722300	1.059488	7.192703e+02
640558.729313	1.380618	7.135487e+02
640608.736325	1.641044	7.559535e+02
640658.743338	1.963530	8.427365e+02
640708.750351	2.506581	9.490918e+02
640758.757363	3.734099	1.106421e+03
640808.764376	5.252757	1.526315e+03
640858.771388	4.208873	3.091425e+03
640908.778401	0.000000	2.062871e+06
640958.785414	0.000000	3.171935e+05
641008.792426	0.000000	1.987497e+05
641058.799439	0.000000	9.695289e+04
641108.806452	0.000000	3.840281e+04
641158.813464	0.017057	6.755440e+03
641208.820477	0.054679	1.139276e+04
641258.827489	0.001345	1.210408e+05
641308.834502	0.018488	1.988754e+08
641358.841515	1.311574	6.589657e+06
641408.848527	0.000000	2.622529e+05
641458.855540	0.322555	6.613520e+03
