location	LR	alpha	D
294772.000000	0.986322	1.668179e+02	0.039226
294822.005499	1.288123	4.443540e-01	0.039226
294872.010998	0.000000	2.999176e-01	0.019613
294922.016497	0.000000	1.333089e-01	0.019613
294972.021996	0.000000	2.308670e-01	0.019613
295022.027495	2.261480	3.245654e-01	0.039226
295072.032993	0.607911	4.348346e-02	0.039226
295122.038492	2.249342	7.518088e-01	0.039226
295172.043991	0.401887	2.106889e-01	0.039226
295222.049490	0.838070	1.262480e+01	0.019613
295272.054989	0.870506	2.184002e-01	0.039226
295322.060488	0.122096	6.663127e-01	0.039226
295372.065987	1.451634	1.848884e-01	0.039226
295422.071486	0.394110	3.879917e-01	0.039226
295472.076985	0.566048	4.785266e-01	0.039226
295522.082484	1.511107	7.060148e-01	0.039226
295572.087982	1.783469	1.345022e-02	0.039226
295622.093481	1.510120	9.293598e+00	0.039226
295672.098980	1.064446	1.019480e-01	0.039226
295722.104479	0.309475	1.051202e+00	0.039226
295772.109978	0.000000	3.884750e-01	0.019613
295822.115477	0.000000	8.501310e-01	0.019613
295872.120976	0.838070	8.065044e-01	0.019613
295922.126475	0.832456	6.405037e+00	0.019613
295972.131974	1.045249	3.415693e-01	0.039226
296022.137473	1.663126	3.123883e-02	0.039226
296072.142971	2.275421	3.486924e-02	0.039226
296122.148470	3.193792	4.314244e-02	0.039226
296172.153969	1.201763	8.347819e-01	0.039226
296222.159468	3.974379	6.863396e-02	0.019613
296272.164967	2.825728	1.366197e-01	0.019613
296322.170466	2.024159	9.724290e-01	0.039226
296372.175965	5.109285	5.964929e-02	0.019613
296422.181464	3.608159	1.572227e-01	0.039226
296472.186963	2.670482	4.720933e-02	0.019613
296522.192462	1.499558	7.398616e-02	0.039226
296572.197960	0.817659	1.176706e+00	0.019613
296622.203459	0.000000	5.659455e-01	0.019613
296672.208958	0.278908	2.941206e-01	0.039226
296722.214457	0.397475	5.248940e-01	0.039226
296772.219956	0.000000	2.510437e+00	0.019613
296822.225455	2.123600	9.815587e-01	0.039226
296872.230954	2.057833	2.231767e-01	0.039226
296922.236453	0.537448	5.042509e+00	0.039226
296972.241952	0.000000	1.298428e+00	0.019613
297022.247451	1.627407	3.267559e+00	0.039226
297072.252949	0.679134	5.828687e+00	0.039226
297122.258448	2.183968	1.416071e-01	0.039226
297172.263947	0.000000	7.861663e-01	0.019613
297222.269446	0.838070	1.782914e+00	0.019613
297272.274945	1.108894	2.009207e-01	0.039226
297322.280444	0.766508	3.605722e-01	0.039226
297372.285943	0.544613	8.750144e-01	0.039226
297422.291442	1.819032	1.236023e+00	0.039226
297472.296941	1.788415	8.393407e-01	0.039226
297522.302440	0.000000	1.379698e+00	0.019613
297572.307938	0.000000	7.839071e-01	0.019613
297622.313437	0.395062	1.864178e-01	0.039226
297672.318936	0.838070	4.559453e-01	0.019613
297722.324435	1.649442	2.175516e-01	0.039226
297772.329934	0.838070	2.569556e+00	0.019613
297822.335433	0.838070	8.781837e-01	0.019613
297872.340932	0.838070	3.591811e+00	0.019613
297922.346431	0.960001	7.912772e-02	0.019613
297972.351930	0.000000	8.792453e-01	0.019613
298022.357429	0.000000	3.300565e-01	0.019613
298072.362927	1.835795	4.870709e-01	0.039226
298122.368426	1.846429	1.973123e+00	0.039226
298172.373925	0.932357	5.570271e-01	0.039226
298222.379424	0.352392	1.077399e-01	0.039226
298272.384923	1.798274	5.131513e-01	0.039226
298322.390422	0.000000	1.430203e+00	0.019613
298372.395921	0.273377	6.121176e-01	0.039226
298422.401420	0.000000	3.947185e-01	0.019613
298472.406919	0.668181	1.587447e-01	0.019613
298522.412418	1.486093	2.897682e-01	0.019613
298572.417916	0.785669	1.038223e-01	0.039226
298622.423415	0.955704	1.421406e-01	0.039226
298672.428914	0.825755	2.709467e+00	0.019613
298722.434413	0.774252	2.887004e-01	0.039226
298772.439912	0.481086	9.554075e-01	0.039226
298822.445411	0.000000	3.941482e-01	0.019613
298872.450910	2.029333	1.547406e-01	0.039226
298922.456409	1.413696	8.188694e-02	0.039226
298972.461908	0.524737	3.586169e-01	0.039226
299022.467407	1.393688	1.139320e+00	0.019613
299072.472905	0.513424	2.638934e-01	0.039226
299122.478404	1.972911	6.686043e-02	0.039226
299172.483903	0.639655	1.218075e-01	0.019613
299222.489402	0.977882	2.473686e-01	0.019613
299272.494901	1.046630	2.669691e+00	0.019613
299322.500400	1.233018	1.492076e+00	0.039226
299372.505899	0.869209	1.116218e-01	0.039226
299422.511398	0.000000	8.269363e-01	0.019613
299472.516897	0.000000	6.480570e-01	0.019613
299522.522396	0.010808	5.860059e-01	0.019613
299572.527894	1.169330	3.720607e-02	0.039226
299622.533393	2.168132	5.593535e-02	0.019613
299672.538892	1.183951	1.362802e-02	0.019613
299722.544391	0.832456	2.578184e-01	0.019613
299772.549890	0.832456	1.242881e-01	0.019613
299822.555389	0.832456	8.188028e-02	0.019613
299872.560888	0.832456	6.104977e-02	0.019613
299922.566387	0.832456	4.866842e-02	0.019613
299972.571886	0.832456	4.046236e-02	0.019613
300022.577385	0.832456	3.462429e-02	0.019613
300072.582883	0.832456	3.025849e-02	0.019613
300122.588382	0.832456	2.687038e-02	0.019613
300172.593881	0.021601	2.730959e-02	0.019613
300222.599380	0.021591	3.081658e-02	0.019613
300272.604879	0.021576	3.535702e-02	0.019613
300322.610378	0.021552	4.146657e-02	0.019613
300372.615877	0.021510	5.012863e-02	0.019613
300422.621376	0.021421	6.336511e-02	0.019613
300472.626875	0.021155	8.609979e-02	0.019613
300522.632374	0.019387	1.342768e-01	0.019613
300572.637872	0.350387	3.048615e-01	0.039226
300622.643371	1.256635	9.491136e-01	0.019613
300672.648870	0.757138	1.632402e+00	0.039226
300722.654369	0.000000	9.720040e-01	0.019613
300772.659868	0.235949	1.066041e-02	0.039226
300822.665367	0.000000	1.487627e-01	0.019613
300872.670866	0.000000	9.890455e-02	0.019613
300922.676365	0.000000	1.682472e-01	0.019613
300972.681864	0.000000	5.629011e-01	0.019613
301022.687363	1.437216	1.150388e-01	0.039226
301072.692861	0.000000	2.948921e-01	0.019613
301122.698360	2.624542	8.390648e-01	0.039226
301172.703859	1.056825	4.829102e-02	0.039226
301222.709358	1.010834	4.310581e-01	0.039226
301272.714857	2.212064	3.652508e-01	0.039226
301322.720356	0.802016	6.131199e-02	0.039226
301372.725855	0.832456	5.523372e-01	0.019613
301422.731354	0.648290	1.076047e+00	0.039226
301472.736853	0.000000	2.462203e-01	0.019613
301522.742352	0.000000	1.215284e-01	0.019613
301572.747850	0.010353	1.006271e-01	0.019613
301622.753349	0.006757	1.732936e-01	0.019613
301672.758848	0.264455	1.309222e-01	0.039226
301722.764347	1.074920	3.900619e-01	0.039226
301772.769846	3.016043	3.440665e-02	0.039226
301822.775345	1.163965	2.735464e-02	0.039226
301872.780844	0.000000	3.843794e-01	0.019613
301922.786343	0.375611	1.163676e-01	0.039226
301972.791842	0.000000	3.093435e-01	0.019613
302022.797341	0.000000	1.351392e-01	0.019613
302072.802839	0.000000	8.645359e-02	0.019613
302122.808338	0.000000	6.355653e-02	0.019613
302172.813837	0.000000	5.024835e-02	0.019613
302222.819336	0.000000	6.309791e-02	0.019613
302272.824835	0.000000	8.560720e-02	0.019613
302322.830334	0.000000	1.330825e-01	0.019613
302372.835833	0.000000	2.987739e-01	0.019613
302422.841332	0.000000	1.754045e+00	0.019613
302472.846831	0.235770	5.836398e-02	0.039226
302522.852330	0.172104	4.969424e-01	0.039226
302572.857828	0.000000	4.640762e-01	0.019613
302622.863327	1.959133	6.332308e-01	0.039226
302672.868826	0.000000	1.078054e+00	0.019613
302722.874325	0.000000	7.559380e-01	0.019613
302772.879824	2.573791	2.138268e-01	0.039226
302822.885323	0.168074	2.269061e-01	0.039226
302872.890822	0.589305	9.695159e-01	0.039226
302922.896321	0.493784	2.602829e-01	0.039226
302972.901820	1.377548	9.593190e+00	0.039226
303022.907319	3.649799	7.909868e-03	0.039226
303072.912817	1.907662	2.297739e-01	0.039226
303122.918316	0.000000	2.453069e-01	0.019613
303172.923815	1.978811	3.821387e-01	0.039226
303222.929314	0.522432	2.806162e+01	0.039226
303272.934813	0.346705	5.980506e-01	0.039226
303322.940312	1.428099	3.426644e-01	0.039226
303372.945811	2.001979	2.177385e+00	0.039226
303422.951310	0.000000	3.877057e-01	0.019613
303472.956809	0.000000	3.424347e-01	0.019613
303522.962308	0.723929	1.131673e-01	0.039226
303572.967806	0.518847	2.288268e-01	0.019613
303622.973305	1.546264	2.412882e+00	0.019613
303672.978804	1.733269	1.446153e-01	0.039226
303722.984303	0.433116	3.625551e-02	0.039226
303772.989802	0.686951	7.817230e-01	0.039226
303822.995301	1.152232	5.607600e-02	0.039226
303873.000800	0.000000	1.538446e-01	0.019613
303923.006299	0.000000	9.374539e-02	0.019613
303973.011798	0.000000	6.741128e-02	0.019613
304023.017297	0.817659	8.696740e-02	0.019613
304073.022795	0.817659	1.363990e-01	0.019613
304123.028294	0.817659	3.160247e-01	0.019613
304173.033793	0.817659	9.971917e-01	0.019613
304223.039292	0.924018	1.715248e-01	0.039226
304273.044791	1.624927	5.826511e-02	0.019613
304323.050290	0.475069	7.523649e-01	0.039226
304373.055789	2.873519	3.195711e-01	0.039226
304423.061288	1.560028	4.226265e-02	0.039226
304473.066787	1.690993	3.204163e-01	0.039226
304523.072286	2.624681	8.329155e-02	0.039226
304573.077784	0.211049	4.814983e-01	0.039226
304623.083283	1.548565	8.423817e-01	0.039226
304673.088782	0.000000	5.738547e-01	0.019613
304723.094281	0.652449	1.343114e+01	0.039226
304773.099780	0.437014	2.797189e-01	0.039226
304823.105279	1.612947	2.766510e-01	0.039226
304873.110778	0.000000	1.102007e+00	0.019613
304923.116277	0.000000	2.915256e+00	0.019613
304973.121776	0.832456	9.854186e+01	0.019613
305023.127275	1.605455	1.152436e-01	0.039226
305073.132773	0.980093	3.583510e-02	0.039226
305123.138272	0.624971	3.733867e-01	0.039226
305173.143771	2.482219	1.269652e+00	0.039226
305223.149270	2.318375	6.707180e-02	0.039226
305273.154769	0.388313	1.317266e-01	0.039226
305323.160268	1.253751	7.575884e-01	0.019613
305373.165767	0.558134	2.618131e-01	0.019613
305423.171266	0.423268	8.042182e+00	0.039226
305473.176765	0.394705	1.942595e+00	0.039226
305523.182264	1.875612	3.594776e-02	0.039226
305573.187762	0.000000	6.621651e+00	0.019613
305623.193261	0.200139	2.588923e-01	0.039226
305673.198760	0.146894	1.442330e-01	0.039226
305723.204259	0.192742	1.287495e-01	0.039226
305773.209758	0.000000	5.265412e-01	0.019613
305823.215257	0.000000	4.409293e-01	0.019613
305873.220756	1.099764	4.933790e-02	0.039226
305923.226255	0.216369	2.511839e-01	0.019613
305973.231754	1.429586	4.170023e-02	0.019613
306023.237253	2.746809	1.010418e-01	0.039226
306073.242751	0.022755	1.041281e-01	0.019613
306123.248250	0.174026	3.137041e+00	0.039226
306173.253749	0.648290	4.970861e-01	0.039226
306223.259248	1.345048	7.046565e-01	0.039226
306273.264747	1.069643	3.943933e-02	0.039226
306323.270246	1.223316	1.129436e+00	0.039226
306373.275745	0.907638	4.964333e-02	0.039226
306423.281244	0.626633	2.132149e-01	0.039226
306473.286743	0.900397	4.963011e-01	0.039226
306523.292242	0.000000	2.978242e-01	0.019613
306573.297740	0.825755	2.877542e-01	0.019613
306623.303239	0.825755	1.445219e+00	0.019613
306673.308738	1.469849	4.681854e-02	0.039226
306723.314237	0.674269	4.573654e-01	0.039226
306773.319736	0.297899	3.397535e-01	0.039226
306823.325235	0.000000	2.022748e-01	0.019613
306873.330734	1.195503	1.545013e-01	0.019613
306923.336233	1.218732	4.337803e-01	0.019613
306973.341732	1.676061	7.385544e-01	0.039226
307023.347231	2.926306	4.466733e-02	0.039226
307073.352729	0.241574	1.547380e+00	0.039226
307123.358228	0.000000	1.158499e+00	0.019613
307173.363727	1.023223	1.652067e-01	0.039226
307223.369226	0.780207	4.041677e-01	0.039226
307273.374725	0.643886	1.581924e-02	0.039226
307323.380224	0.588045	1.005192e-01	0.039226
307373.385723	0.000000	1.835263e-01	0.019613
307423.391222	0.000000	1.039941e-01	0.019613
307473.396721	0.817659	1.507476e-01	0.019613
