location	LR	alpha	D
5223862.000000	1.223938	8.504910e+01	0.042655
5223912.007419	58.130456	3.693102e-04	0.042655
5223962.014837	53.849636	3.551242e-04	0.042655
5224012.022256	44.505374	3.546835e-04	0.042655
5224062.029674	27.568289	3.561785e-04	0.042655
5224112.037093	37.923708	3.567079e-04	0.042655
5224162.044511	45.394278	3.572390e-04	0.042655
5224212.051930	57.739412	3.577716e-04	0.042655
5224262.059348	57.709935	3.735880e-04	0.042655
5224312.066767	49.870923	3.596159e-04	0.042655
5224362.074185	37.442732	3.601555e-04	0.042655
5224412.081604	1.023855	6.697030e-01	0.042655
5224462.089023	25.909514	3.604586e-04	0.042655
5224512.096441	26.219280	3.610009e-04	0.042655
5224562.103860	2.281203	4.965830e-02	0.042655
5224612.111278	2.790424	4.117485e-01	0.042655
5224662.118697	17.823437	3.773124e-04	0.042655
5224712.126115	43.794970	3.639796e-04	0.042655
5224762.133534	41.833052	3.792323e-04	0.042655
5224812.140952	40.172714	3.798325e-04	0.042655
5224862.148371	17.794005	3.807003e-04	0.042655
5224912.155789	1.166306	6.942668e-02	0.042655
5224962.163208	0.266007	3.064101e-01	0.042655
5225012.170627	2.422397	9.859803e-01	0.042655
5225062.178045	1.819497	8.096097e-01	0.021327
5225112.185464	0.948153	2.462213e+00	0.042655
5225162.192882	0.000000	1.464686e+00	0.021327
5225212.200301	2.815371	1.107912e-02	0.042655
5225262.207719	1.496063	1.202498e-01	0.021327
5225312.215138	2.012133	1.522014e+00	0.042655
5225362.222556	0.451542	8.034949e+00	0.042655
5225412.229975	0.000000	6.779568e+00	0.021327
5225462.237393	0.197025	5.223191e-01	0.042655
5225512.244812	0.000000	4.355421e+00	0.021327
5225562.252231	0.598978	1.270847e-02	0.042655
5225612.259649	0.022616	1.194531e+01	0.042655
5225662.267068	0.172664	1.916124e+00	0.021327
5225712.274486	0.000000	1.912507e+00	0.021327
5225762.281905	0.000000	2.876450e-01	0.021327
5225812.289323	0.260758	7.181037e-01	0.042655
5225862.296742	0.696317	2.537173e-01	0.042655
5225912.304160	0.862385	2.414688e-01	0.042655
5225962.311579	3.250960	4.620921e-02	0.021327
5226012.318997	7.953884	3.948318e-04	0.042655
5226062.326416	21.075112	4.325778e-04	0.042655
5226112.333835	18.701611	3.964232e-04	0.042655
5226162.341253	3.648607	1.011303e-01	0.021327
5226212.348672	11.009187	3.806666e-04	0.042655
5226262.356090	1.407913	9.283048e-02	0.021327
5226312.363509	3.242037	3.311591e-02	0.042655
5226362.370927	1.577819	3.465297e-01	0.042655
5226412.378346	5.237266	1.911981e-02	0.042655
5226462.385764	8.212065	2.085558e-02	0.042655
5226512.393183	0.412853	5.308134e-01	0.042655
5226562.400602	1.648232	2.781642e-01	0.042655
5226612.408020	5.010934	1.813807e-02	0.042655
5226662.415439	5.187105	1.508646e-02	0.042655
5226712.422857	1.417701	1.453801e-02	0.021327
5226762.430276	1.147629	7.567647e-02	0.021327
5226812.437694	3.128428	5.162673e-02	0.021327
5226862.445113	3.060950	6.108575e-02	0.021327
5226912.452531	2.561566	8.301772e-02	0.021327
5226962.459950	2.867287	1.631764e-01	0.021327
5227012.467368	1.790988	9.119767e-01	0.042655
5227062.474787	1.834811	7.206114e-02	0.021327
5227112.482206	1.533233	9.196656e-02	0.042655
5227162.489624	0.000000	7.736760e-01	0.021327
5227212.497043	1.838085	2.171934e-02	0.021327
5227262.504461	0.887275	2.207931e-02	0.042655
5227312.511880	0.000000	2.458411e+01	0.021327
5227362.519298	2.118495	1.959246e-02	0.042655
5227412.526717	4.868247	3.955112e-04	0.042655
5227462.534135	16.261298	4.149309e-04	0.042655
5227512.541554	26.177450	4.156498e-04	0.042655
5227562.548972	24.510345	4.163710e-04	0.042655
