location	LR	alpha
635352.000000	0.000000	1.200000e+09
635402.003406	0.000000	3.430241e+05
635452.006812	1.151770	4.720223e+03
635502.010217	0.000000	7.773527e+05
635552.013623	0.008679	4.552085e+05
635602.017029	0.000000	1.134310e+05
635652.020435	0.000000	4.165289e+04
635702.023841	0.228746	5.035393e+03
635752.027246	0.550176	1.141210e+04
635802.030652	0.149884	5.185435e+04
635852.034058	0.008323	7.272235e+04
635902.037464	0.004904	2.421258e+04
635952.040869	0.000913	1.955539e+05
636002.044275	0.217065	5.810172e+04
636052.047681	0.202589	5.267742e+03
636102.051087	0.000000	2.686437e+05
636152.054493	0.003766	1.953761e+05
636202.057898	0.100677	1.587280e+05
636252.061304	0.000000	2.049291e+05
636302.064710	0.000000	4.982128e+04
636352.068116	0.083142	5.351985e+03
636402.071522	0.197896	9.086929e+03
636452.074927	0.028732	5.941191e+06
636502.078333	0.625467	2.046256e+03
636552.081739	0.009942	7.730708e+05
636602.085145	0.529740	9.840989e+04
636652.088551	0.088991	2.023025e+04
636702.091956	0.013275	6.019765e+04
636752.095362	0.635661	3.553874e+03
636802.098768	1.299134	7.651550e+03
636852.102174	0.337238	8.685214e+03
636902.105579	0.472915	3.096864e+03
636952.108985	0.565593	1.891241e+03
637002.112391	0.796664	1.353833e+03
637052.115797	0.922328	1.188269e+03
637102.119203	0.924455	1.125086e+03
637152.122608	0.832030	1.212670e+03
637202.126014	0.848718	1.718912e+03
637252.129420	0.494711	3.037451e+03
637302.132826	0.064453	1.178402e+05
637352.136232	1.110212	7.141338e+03
637402.139637	0.702726	3.171605e+03
637452.143043	0.584436	2.164253e+03
637502.146449	0.435540	1.673078e+03
637552.149855	0.403046	1.073655e+03
637602.153261	0.510406	8.112367e+02
637652.156666	0.619266	6.789252e+02
637702.160072	0.696909	5.949013e+02
637752.163478	0.699528	5.557092e+02
637802.166884	0.506960	5.729090e+02
637852.170289	0.000000	1.350674e+05
637902.173695	0.165370	3.327762e+07
637952.177101	0.000000	8.795739e+04
638002.180507	0.374985	5.049038e+02
638052.183913	0.571724	4.806706e+02
638102.187318	0.576049	4.771501e+02
638152.190724	0.501394	4.828203e+02
638202.194130	0.389174	4.953911e+02
638252.197536	0.260280	5.155646e+02
638302.200942	0.129409	5.460222e+02
638352.204347	0.009507	5.911751e+02
638402.207753	0.000000	6.711719e+03
638452.211159	0.000000	7.368369e+03
638502.214565	0.000000	8.304016e+03
638552.217971	0.000000	9.511843e+03
638602.221376	0.000000	1.113083e+04
638652.224782	0.000000	1.341400e+04
638702.228188	0.000000	1.687552e+04
638752.231594	0.003370	1.152240e+03
638802.234999	0.091683	1.262291e+03
638852.238405	0.155008	1.464355e+03
638902.241811	0.000000	3.364408e+05
638952.245217	0.000000	1.200000e+09
639002.248623	1.351594	1.137695e+04
639052.252028	1.350876	4.196802e+03
639102.255434	0.000358	1.720142e+05
639152.258840	0.173792	2.984190e+05
639202.262246	0.093304	4.022751e+04
639252.265652	0.122651	8.465627e+03
639302.269057	0.152414	4.697827e+03
639352.272463	0.164956	3.266894e+03
639402.275869	0.174299	2.642512e+03
639452.279275	0.042948	3.229220e+03
639502.282681	0.025107	5.049374e+03
639552.286086	0.044694	8.607431e+03
639602.289492	0.018002	2.430883e+05
639652.292898	0.321765	4.281836e+07
639702.296304	0.000000	1.200000e+09
639752.299710	0.006393	2.030629e+05
639802.303115	0.005419	4.021247e+04
639852.306521	0.000000	3.583048e+05
639902.309927	0.000000	3.856461e+05
639952.313333	0.110324	9.247994e+03
640002.316738	0.121094	3.016177e+05
640052.320144	0.868655	1.598744e+05
640102.323550	0.000000	1.981454e+05
640152.326956	0.004866	3.289474e+08
640202.330362	0.824127	9.539281e+03
640252.333767	0.000000	3.059901e+05
640302.337173	0.006029	3.116980e+08
640352.340579	0.239460	9.075200e+03
640402.343985	0.092229	5.816393e+03
640452.347391	0.060145	4.255218e+03
640502.350796	0.091310	2.987901e+03
640552.354202	0.211419	2.415115e+03
640602.357608	0.313860	2.157830e+03
640652.361014	0.308733	2.562694e+03
640702.364420	0.787581	1.166503e+04
640752.367825	0.259200	1.046094e+08
640802.371231	0.348338	6.496107e+07
640852.374637	0.008272	7.232670e+04
640902.378043	1.237322	1.587418e+04
640952.381448	1.383918	4.433991e+03
641002.384854	1.054671	1.945385e+03
641052.388260	0.549345	1.033153e+07
641102.391666	0.089444	1.241076e+05
641152.395072	1.009503	7.332102e+03
641202.398477	0.000000	2.999309e+05
641252.401883	0.356055	5.313983e+07
641302.405289	1.982889	4.919069e+07
641352.408695	0.000000	1.200000e+09
641402.412101	0.001607	9.793632e+04
641452.415506	1.298869	5.803508e+03
641502.418912	0.029126	9.741341e+04
641552.422318	1.821229	1.154827e+03
641602.425724	2.953683	8.047577e+02
641652.429130	3.858186	7.042979e+02
641702.432535	4.203751	7.291997e+02
641752.435941	2.933492	2.327753e+03
641802.439347	2.657258	1.300429e+03
641852.442753	0.000000	5.307105e+05
641902.446158	0.042788	3.316894e+04
641952.449564	0.623711	2.083365e+04
642002.452970	1.303795	2.941376e+03
642052.456376	1.579229	4.836299e+06
642102.459782	0.580346	1.425698e+03
642152.463187	0.000000	9.702048e+05
642202.466593	0.000000	6.284299e+04
642252.469999	0.000000	9.197922e+04
