location	LR	alpha
2476104.000000	0.000000	1.200000e+09
2476154.006675	0.000000	3.148250e+05
2476204.013350	0.000000	3.831148e+06
2476254.020025	0.000000	4.055076e+05
2476304.026701	0.000000	4.918741e+05
2476354.033376	0.195582	5.398068e+03
2476404.040051	0.432816	1.229441e+05
2476454.046726	2.163285	6.971147e+03
2476504.053401	2.235941	2.491277e+03
2476554.060076	2.240064	1.985468e+03
2476604.066751	1.735261	2.175776e+03
2476654.073427	0.707846	3.563927e+07
2476704.080102	0.975638	7.808304e+03
2476754.086777	0.008096	3.820177e+04
2476804.093452	0.346323	3.906179e+07
2476854.100127	0.193172	8.704384e+03
2476904.106802	0.000000	1.200000e+09
2476954.113477	0.000000	1.889857e+05
2477004.120153	0.189613	2.247793e+04
2477054.126828	0.429195	6.215184e+07
2477104.133503	0.000000	8.084920e+05
2477154.140178	1.084157	4.584496e+07
2477204.146853	0.000000	3.351564e+05
2477254.153528	0.000000	2.302903e+05
2477304.160203	0.290681	5.130550e+07
2477354.166879	0.268149	8.085880e+03
2477404.173554	0.546438	1.792494e+03
2477454.180229	0.666708	1.463312e+03
2477504.186904	0.555859	1.375168e+03
2477554.193579	0.318864	1.447437e+03
2477604.200254	0.058837	1.968994e+03
2477654.206929	0.000000	1.150763e+05
2477704.213605	0.000000	2.724661e+07
2477754.220280	0.698129	4.708322e+03
2477804.226955	2.293266	1.119346e+04
2477854.233630	0.177100	1.287645e+04
2477904.240305	0.045635	2.307386e+04
2477954.246980	0.000000	6.268527e+05
2478004.253655	0.000000	8.979623e+05
2478054.260331	0.000000	1.355616e+05
2478104.267006	0.000000	1.046574e+06
2478154.273681	0.000000	1.200000e+09
2478204.280356	0.000000	5.502723e+06
2478254.287031	0.002854	2.248596e+08
2478304.293706	0.000187	3.854958e+04
2478354.300381	0.000000	7.310667e+05
2478404.307057	0.653634	1.646319e+04
2478454.313732	0.000000	1.200000e+09
2478504.320407	1.252725	2.574341e+07
2478554.327082	0.842099	6.138835e+03
2478604.333757	0.353918	7.025543e+04
2478654.340432	0.000000	1.200000e+09
2478704.347107	0.000000	2.464152e+05
2478754.353783	0.000000	7.610752e+04
2478804.360458	0.000000	4.500366e+04
2478854.367133	0.000000	3.194732e+04
2478904.373808	0.000014	1.194897e+04
2478954.380483	0.000482	1.113299e+04
2479004.387158	0.001974	1.415290e+04
2479054.393833	0.005271	2.606824e+04
2479104.400509	0.005709	2.248595e+08
