location	LR	alpha
635360.000000	0.011520	2.268165e+08
635410.006813	0.000000	1.200000e+09
635460.013626	0.277229	1.400837e+04
635510.020439	0.229959	1.751258e+04
635560.027252	0.029235	4.312119e+04
635610.034065	0.607111	3.131176e+03
635660.040878	0.439820	2.539432e+03
635710.047691	0.200960	2.477747e+03
635760.054504	0.097065	2.435410e+03
635810.061317	0.019312	2.775184e+03
635860.068129	0.000000	1.330882e+04
635910.074942	0.000000	1.690775e+04
635960.081755	0.000000	2.317453e+04
636010.088568	0.000000	3.682269e+04
636060.095381	0.000000	8.957745e+04
636110.102194	0.000000	1.200000e+09
636160.109007	0.159867	3.845358e+07
636210.115820	0.295866	1.116949e+03
636260.122633	0.593368	1.132041e+03
636310.129446	0.674613	1.338249e+03
636360.136259	0.957540	1.743385e+03
636410.143072	1.567329	2.312921e+03
636460.149885	1.530329	4.123084e+03
636510.156698	0.000000	1.200000e+09
636560.163511	0.000000	1.200000e+09
636610.170324	0.908569	1.216630e+04
636660.177137	0.075830	1.881533e+04
636710.183950	0.000000	1.200000e+09
636760.190762	0.011520	4.451926e+05
636810.197575	0.381339	1.570277e+04
636860.204388	0.037202	5.918115e+04
636910.211201	0.057598	2.268166e+08
636960.218014	0.040088	5.267689e+04
637010.224827	0.000591	2.800114e+04
637060.231640	0.079085	1.332512e+08
637110.238453	0.945066	4.093249e+07
637160.245266	0.000000	3.533322e+05
637210.252079	0.000016	1.059505e+05
637260.258892	0.495991	8.303633e+03
637310.265705	0.000000	3.657075e+05
637360.272518	0.629941	4.023006e+07
637410.279331	0.695822	2.525690e+03
637460.286144	0.109814	1.296456e+03
637510.292957	0.011164	4.694013e+03
637560.299770	0.002399	4.402789e+03
637610.306583	0.039786	7.198296e+02
637660.313395	0.209767	6.663849e+02
637710.320208	0.439432	6.435484e+02
637760.327021	0.699458	6.644886e+02
637810.333834	0.935581	8.547383e+02
637860.340647	0.837742	1.643935e+03
637910.347460	3.686435	4.501775e+04
637960.354273	1.887441	9.214117e+02
638010.361086	1.401210	6.551598e+02
638060.367899	1.080700	5.385214e+02
638110.374712	0.849735	4.759574e+02
638160.381525	0.676850	4.416481e+02
638210.388338	0.542938	4.225111e+02
638260.395151	0.435592	4.124880e+02
638310.401964	0.346086	4.089888e+02
638360.408777	0.267933	4.110824e+02
638410.415590	0.196235	4.188300e+02
638460.422403	0.127527	4.334349e+02
638510.429216	0.060000	4.574015e+02
638560.436028	0.000000	9.822137e+03
638610.442841	0.000000	1.156663e+04
638660.449654	0.000000	1.406462e+04
638710.456467	0.000000	1.793877e+04
638760.463280	0.000000	2.475861e+04
638810.470093	0.000000	3.994445e+04
638860.476906	0.000000	1.033105e+05
638910.483719	0.000000	1.980121e+05
638960.490532	0.000000	2.403034e+05
639010.497345	0.290232	1.452373e+05
639060.504158	0.152312	6.241532e+04
639110.510971	0.111968	8.747143e+03
639160.517784	0.234434	3.833870e+03
639210.524597	0.088397	1.436587e+04
639260.531410	2.127173	1.102570e+04
639310.538223	0.055164	2.286963e+05
639360.545036	0.263092	2.640428e+04
639410.551849	0.427915	2.946727e+07
639460.558661	0.361155	3.854081e+04
639510.565474	0.145116	2.607295e+07
639560.572287	0.000000	5.021084e+05
639610.579100	3.176079	3.616389e+03
639660.585913	1.569920	5.542007e+03
639710.592726	0.542297	2.318593e+04
639760.599539	0.000000	2.538350e+05
639810.606352	0.000000	1.703931e+05
639860.613165	0.000000	9.263023e+04
639910.619978	0.000000	1.975031e+05
639960.626791	0.630807	1.328744e+03
640010.633604	1.311491	1.182097e+03
640060.640417	0.426045	4.175905e+04
640110.647230	0.000000	1.200000e+09
640160.654043	2.290518	1.589602e+03
640210.660856	0.000000	1.200000e+09
640260.667669	0.427193	2.705710e+04
640310.674482	0.145116	2.607295e+07
640360.681294	0.178472	1.047718e+04
640410.688107	0.222515	4.775766e+03
640460.694920	0.000000	7.916942e+05
640510.701733	0.045816	1.665376e+08
640560.708546	0.000000	3.674552e+05
640610.715359	0.000000	5.450023e+04
