location	LR	alpha	D
5223855.000000	88.255331	2.610301e-05	0.018879
5223905.002507	73.631903	2.611192e-05	0.018879
5223955.005013	65.626866	2.570611e-05	0.018879
5224005.007520	57.780345	2.583612e-05	0.018879
5224055.010026	50.802638	2.569295e-05	0.018879
5224105.012533	51.643059	2.794727e-05	0.018879
5224155.015039	51.372179	2.612102e-05	0.018879
5224205.017546	41.126081	2.570121e-05	0.018879
5224255.020052	37.979203	2.613184e-05	0.018879
5224305.022559	27.169644	3.740418e-04	0.037759
5224355.025065	24.520744	3.746257e-04	0.037759
5224405.027572	20.219929	3.761523e-04	0.037759
5224455.030078	12.915755	3.758460e-04	0.037759
5224505.032585	2.981813	2.898322e-02	0.037759
5224555.035091	0.761989	8.284399e-01	0.037759
5224605.037598	1.174362	1.303815e-01	0.037759
5224655.040104	1.733023	4.706621e-02	0.037759
5224705.042611	11.096114	3.788122e-04	0.037759
5224755.045117	11.586292	3.794112e-04	0.037759
5224805.047624	9.169677	3.809287e-04	0.037759
5224855.050130	2.472618	4.130880e-03	0.037759
5224905.052637	3.918823	4.222457e-03	0.037759
5224955.055143	3.773837	5.894070e-03	0.037759
5225005.057650	0.871046	1.737679e-01	0.037759
5225055.060156	3.214707	1.224414e-02	0.037759
5225105.062663	0.999360	7.032902e-01	0.037759
5225155.065169	0.527786	3.588884e-01	0.037759
5225205.067676	0.939976	2.158672e+00	0.037759
5225255.070182	2.074332	4.790552e-03	0.037759
5225305.072689	6.389799	4.908123e-03	0.037759
5225355.075196	9.013330	5.010596e-03	0.037759
5225405.077702	4.511741	5.057058e-03	0.037759
5225455.080209	5.094769	5.197237e-03	0.037759
5225505.082715	0.324095	6.697444e-01	0.037759
5225555.085222	0.047464	2.307097e+01	0.037759
5225605.087728	2.328384	2.999343e-02	0.037759
5225655.090235	2.784737	2.666132e-02	0.037759
5225705.092741	1.081211	7.831986e-01	0.037759
5225755.095248	9.075745	6.015326e-03	0.037759
5225805.097754	2.395145	6.138414e-03	0.037759
5225855.100261	4.373988	6.286344e-03	0.037759
5225905.102767	6.197511	4.069316e-03	0.037759
5225955.105274	6.717092	4.108331e-03	0.037759
5226005.107780	13.235960	3.949721e-04	0.037759
5226055.110287	15.679880	3.962897e-04	0.037759
5226105.112793	17.418286	3.962765e-04	0.037759
5226155.115300	17.863868	3.969320e-04	0.037759
5226205.117806	12.647663	3.317678e-04	0.037759
5226255.120313	14.580953	3.982494e-04	0.037759
5226305.122819	7.967081	3.989113e-04	0.037759
5226355.125326	8.372261	4.002552e-04	0.037759
5226405.127832	7.205198	3.349629e-04	0.037759
5226455.130339	4.796058	4.009106e-04	0.037759
5226505.132845	0.000000	1.216156e+00	0.018879
