location	LR	alpha	D
635568.000000	10.123103	1.332150e-03	0.037759
635618.006218	10.006259	1.236860e-03	0.037759
635668.012436	9.963555	1.243267e-03	0.037759
635718.018654	10.006122	1.354711e-03	0.037759
635768.024872	10.021878	1.256285e-03	0.037759
635818.031090	9.707662	1.262897e-03	0.037759
635868.037308	9.901699	1.378049e-03	0.037759
635918.043526	9.374000	1.386009e-03	0.037759
635968.049744	7.400244	1.394060e-03	0.037759
636018.055962	0.000000	3.042569e+00	0.018879
636068.062180	7.549402	1.422485e-03	0.037759
636118.068398	1.564854	3.030827e-02	0.037759
636168.074616	1.523459	9.730970e+00	0.037759
636218.080834	8.015153	2.274055e-03	0.037759
636268.087052	10.424452	1.457033e-03	0.037759
636318.093270	11.264812	1.465934e-03	0.037759
636368.099489	13.101319	2.355758e-03	0.037759
636418.105707	13.669555	2.410657e-03	0.037759
636468.111925	7.696389	2.402937e-03	0.037759
636518.118143	1.993680	1.053724e-01	0.037759
636568.124361	1.267471	1.442502e-02	0.037759
636618.130579	2.915815	2.037806e-02	0.037759
636668.136797	2.179332	2.591027e-02	0.037759
636718.143015	2.564843	1.010222e-02	0.037759
636768.149233	2.234879	7.911523e-03	0.037759
636818.155451	0.000000	3.121303e+00	0.018879
636868.161669	5.280717	2.650271e-03	0.037759
636918.167887	1.095716	5.760338e-01	0.037759
636968.174105	1.374215	4.329411e-02	0.037759
637018.180323	1.174046	2.098624e-01	0.037759
637068.186541	6.877156	2.731112e-03	0.037759
637118.192759	6.447397	2.747853e-03	0.037759
637168.198977	4.250487	2.773413e-03	0.037759
637218.205195	10.332410	1.647040e-03	0.037759
637268.211413	0.761989	1.087402e+00	0.037759
637318.217631	7.561948	1.669964e-03	0.037759
637368.223849	7.954715	1.509097e-03	0.037759
637418.230067	8.489056	1.676500e-03	0.037759
637468.236285	8.104958	1.688295e-03	0.037759
637518.242503	7.842433	1.538115e-03	0.037759
637568.248721	7.709492	1.548037e-03	0.037759
637618.254939	7.463276	1.558089e-03	0.018879
637668.261157	7.739451	1.568271e-03	0.018879
637718.267375	8.077027	1.578588e-03	0.018879
637768.273593	8.431444	1.589041e-03	0.018879
637818.279811	8.698714	1.599634e-03	0.018879
637868.286029	8.497999	1.610368e-03	0.018879
637918.292248	1.787384	1.475484e-02	0.037759
637968.298466	6.708130	1.632276e-03	0.037759
638018.304684	6.181499	1.643454e-03	0.018879
638068.310902	5.127404	1.654787e-03	0.018879
638118.317120	3.892346	1.666278e-03	0.018879
638168.323338	2.665391	1.677929e-03	0.018879
638218.329556	2.482003	3.776350e-03	0.037759
638268.335774	3.188728	4.017860e-03	0.037759
638318.341992	4.013380	3.899068e-03	0.037759
638368.348210	4.269429	4.157065e-03	0.037759
638418.354428	4.821917	4.030029e-03	0.037759
638468.360646	4.657392	4.098865e-03	0.037759
638518.366864	4.726774	4.067290e-03	0.037759
638568.373082	4.490534	4.147045e-03	0.037759
638618.379300	4.351249	4.219971e-03	0.037759
638668.385518	4.166685	4.612520e-03	0.037759
638718.391736	4.533974	4.727001e-03	0.037759
638768.397954	3.547204	4.743830e-03	0.037759
638818.404172	4.376010	4.534455e-03	0.037759
638868.410390	4.592505	4.568662e-03	0.037759
638918.416608	3.374757	4.657331e-03	0.037759
638968.422826	4.813334	5.299004e-03	0.037759
639018.429044	2.973731	5.559234e-03	0.037759
639068.435262	8.342929	5.392205e-03	0.037759
639118.441480	7.146251	5.616509e-03	0.037759
639168.447698	6.291181	5.815510e-03	0.037759
639218.453916	3.165463	5.909740e-03	0.037759
639268.460134	7.006980	5.546669e-03	0.037759
639318.466352	1.441196	1.003902e-01	0.037759
639368.472570	0.986751	2.087953e-01	0.037759
