location	LR	alpha	D
635868.000000	0.345352	1.436909e+01	0.031385
635918.004416	1.241262	1.951234e-02	0.031385
635968.008833	1.064708	3.567009e-02	0.031385
636018.013249	1.280606	2.330158e-02	0.031385
636068.017665	1.716135	4.010816e-02	0.031385
636118.022082	2.238260	9.243129e-02	0.031385
636168.026498	1.189894	2.344649e-01	0.015692
636218.030914	0.968468	2.104121e-01	0.015692
636268.035331	1.040257	4.528907e-02	0.031385
636318.039747	0.787218	5.582429e-02	0.031385
636368.044163	0.000000	7.274676e-02	0.015692
636418.048580	0.000000	1.043919e-01	0.015692
636468.052996	0.000000	1.847661e-01	0.015692
636518.057412	1.322331	1.026145e-01	0.031385
636568.061829	2.258276	1.894594e-01	0.031385
636618.066245	1.302704	2.731385e-01	0.015692
636668.070661	0.337595	7.029606e-01	0.031385
636718.075078	0.000000	1.006296e+00	0.015692
636768.079494	0.000000	1.190536e+00	0.015692
636818.083910	0.932360	1.362338e-01	0.031385
636868.088327	2.524619	5.941967e-03	0.031385
636918.092743	1.033752	3.018898e-01	0.031385
636968.097159	0.000000	5.687970e-01	0.015692
637018.101576	0.235877	5.025322e-01	0.031385
637068.105992	0.576317	2.072754e-01	0.031385
637118.110409	1.642232	7.013018e-02	0.031385
637168.114825	0.498522	2.013035e-02	0.031385
637218.119241	1.126499	2.559620e-01	0.031385
637268.123658	6.094571	4.424982e-03	0.031385
637318.128074	5.108411	4.508106e-03	0.031385
637368.132490	4.600463	3.006866e-03	0.031385
637418.136907	3.137314	2.604245e-03	0.031385
637468.141323	2.024016	2.458080e-03	0.031385
637518.145739	0.645751	6.412115e-02	0.015692
637568.150156	0.645751	5.060083e-02	0.015692
637618.154572	0.645751	4.178933e-02	0.015692
637668.158988	0.645751	3.559151e-02	0.015692
637718.163405	0.645751	3.099466e-02	0.015692
637768.167821	0.645751	2.744941e-02	0.015692
637818.172237	0.645751	2.463194e-02	0.015692
637868.176654	0.645751	2.233901e-02	0.015692
637918.181070	0.645751	2.043662e-02	0.015692
637968.185486	0.645751	1.883282e-02	0.015692
638018.189903	0.645751	1.746242e-02	0.015692
638068.194319	0.645751	1.627793e-02	0.015692
638118.198735	0.645751	1.524392e-02	0.015692
638168.203152	0.000000	1.602571e-02	0.015692
638218.207568	0.000000	1.717248e-02	0.015692
638268.211984	0.000000	1.849603e-02	0.015692
638318.216401	0.221947	1.186024e-02	0.031385
638368.220817	0.102730	1.247688e-02	0.031385
638418.225233	0.000000	2.405896e-02	0.015692
638468.229650	2.206363	9.502916e-03	0.031385
638518.234066	2.460138	9.413495e-03	0.031385
638568.238482	2.635629	9.325739e-03	0.031385
638618.242899	2.760659	8.812145e-03	0.031385
638668.247315	2.666692	1.011163e-02	0.031385
638718.251731	2.520058	1.055643e-02	0.031385
638768.256148	2.165478	9.903085e-03	0.031385
638818.260564	2.492598	1.231099e-02	0.031385
638868.264980	3.241435	1.216132e-02	0.031385
638918.269397	2.935983	1.478323e-02	0.031385
638968.273813	1.075723	2.806006e-01	0.031385
