location	LR	alpha
4431.000000	35.762016	9.857248e+01
4481.001761	41.745609	1.008653e+02
4531.003523	24.480601	1.025710e+02
4581.005284	39.797206	1.046163e+02
4631.007045	31.422340	1.066772e+02
4681.008806	38.601412	1.077999e+02
4731.010568	21.356028	1.104680e+02
4781.012329	36.055000	1.115792e+02
4831.014090	31.801661	1.145623e+02
4881.015852	20.554097	1.143663e+02
4931.017613	20.842638	1.183824e+02
4981.019374	20.842638	1.183824e+02
5031.021136	33.889767	1.189299e+02
5081.022897	21.682153	1.216177e+02
5131.024658	33.522995	1.220528e+02
5181.026419	31.921037	1.249504e+02
5231.028181	38.959797	1.260699e+02
5281.029942	37.160188	1.271695e+02
5331.031703	7.053714	1.273223e+02
5381.033465	41.342767	1.289872e+02
5431.035226	47.440442	1.314429e+02
5481.036987	49.024132	1.327909e+02
5531.038748	50.141192	1.342551e+02
5581.040510	50.876944	1.358441e+02
5631.042271	51.245652	1.375682e+02
5681.044032	51.197060	1.394389e+02
5731.045794	50.567047	1.414715e+02
5781.047555	48.809614	1.436855e+02
5831.049316	23.696130	1.456282e+02
5881.051077	23.696130	1.456282e+02
5931.052839	42.722563	1.463726e+02
5981.054600	33.197861	1.506114e+02
6031.056361	33.197861	1.506114e+02
6081.058123	43.736260	1.549981e+02
6131.059884	43.736260	1.549981e+02
6181.061645	28.702411	1.587839e+02
6231.063407	28.702411	1.587839e+02
6281.065168	56.075264	1.612385e+02
6331.066929	58.040990	1.626817e+02
6381.068690	59.386522	1.646233e+02
6431.070452	52.308820	1.663502e+02
6481.072213	52.308820	1.663502e+02
6531.073974	62.406225	1.692044e+02
6581.075736	62.406225	1.692044e+02
6631.077497	62.379070	1.722985e+02
6681.079258	62.326765	1.724368e+02
6731.081019	59.560857	1.751167e+02
6781.082781	44.036291	1.758387e+02
6831.084542	60.186402	1.777926e+02
6881.086303	60.809978	1.804107e+02
6931.088065	60.809978	1.804107e+02
6981.089826	50.314263	1.848503e+02
7031.091587	50.314263	1.848503e+02
7081.093349	56.927959	1.858706e+02
7131.095110	30.398365	1.883382e+02
7181.096871	30.398365	1.883382e+02
7231.098632	38.576623	1.917667e+02
7281.100394	53.485043	1.925308e+02
7331.102155	56.313007	1.955215e+02
7381.103916	56.313007	1.955215e+02
7431.105678	54.114526	2.001127e+02
7481.107439	51.784929	2.028430e+02
7531.109200	46.374866	2.062147e+02
7581.110961	40.670030	2.062579e+02
7631.112723	40.670030	2.062579e+02
7681.114484	0.936425	4.066038e+07
7731.116245	0.936425	4.066038e+07
7781.118007	42.396672	2.186377e+02
7831.119768	42.396672	2.186377e+02
7881.121529	40.204153	2.220415e+02
7931.123291	20.988253	2.257166e+02
7981.125052	33.674146	2.265701e+02
8031.126813	0.261424	6.447066e+07
8081.128574	0.261424	6.447066e+07
8131.130336	8.158223	2.355995e+02
8181.132097	8.158223	2.355995e+02
8231.133858	11.123012	2.374129e+02
8281.135620	11.123012	2.374129e+02
8331.137381	33.721300	2.381186e+02
8381.139142	30.741347	2.401331e+02
8431.140903	38.850448	2.412836e+02
8481.142665	30.911217	2.454630e+02
8531.144426	30.911217	2.454630e+02
8581.146187	18.664591	2.494704e+02
8631.147949	18.664591	2.494704e+02
8681.149710	1.397119	3.085858e+07
8731.151471	1.397119	3.085858e+07
8781.153232	29.700075	2.513923e+02
8831.154994	7.827214	2.497420e+02
8881.156755	7.827214	2.497420e+02
