location	LR	alpha
3500013.000000	2.055566	5.793567e+00
3500063.000900	0.022486	1.997658e-01
3500113.001800	0.281919	1.786442e-01
3500163.002700	0.080018	2.050508e-02
3500213.003600	0.592876	8.596465e+01
3500263.004500	0.734287	4.464977e-02
3500313.005400	0.202341	7.028012e-01
3500363.006300	0.000000	1.207609e+01
3500413.007200	1.046134	1.918230e-01
3500463.008100	0.913727	1.420299e-02
3500513.009000	0.000000	4.012037e+00
3500563.009900	0.239875	5.256155e-03
3500613.010800	0.423634	5.255993e-03
3500663.011700	0.424632	1.026448e-02
3500713.012600	0.000000	1.215314e+01
3500763.013500	0.338333	1.371385e-01
3500813.014400	0.255531	2.838493e-01
3500863.015300	0.314964	1.930990e-01
3500913.016200	0.195799	1.699034e-02
3500963.017100	1.305740	3.272542e-01
3501013.018000	0.000000	1.221997e+01
3501063.018900	1.233222	3.777055e-01
3501113.019800	2.699543	1.153823e-02
3501163.020701	0.759230	3.177545e-02
3501213.021601	0.610139	8.894402e-02
3501263.022501	1.409829	1.404630e-02
3501313.023401	2.975069	8.527733e-03
3501363.024301	2.596111	7.595653e-03
3501413.025201	4.102725	4.567402e-03
3501463.026101	1.866150	4.149097e-03
3501513.027001	0.125984	4.898394e-03
3501563.027901	0.000000	3.160216e-01
3501613.028801	0.024535	7.749664e-01
3501663.029701	0.000385	1.988262e+00
3501713.030601	0.100476	6.688733e-02
3501763.031501	0.033657	1.228046e-01
3501813.032401	0.019725	3.635258e-02
3501863.033301	0.001196	3.318271e-02
3501913.034201	0.000385	7.210874e-02
3501963.035101	0.000385	6.765617e-01
3502013.036001	0.000385	9.164372e-02
3502063.036901	0.000385	4.291531e-02
3502113.037801	0.000371	2.820500e-02
3502163.038701	0.000000	6.283996e-02
3502213.039601	0.000000	8.513030e-02
3502263.040501	0.000000	1.319269e-01
3502313.041401	0.000000	2.929788e-01
3502363.042301	0.000815	8.788428e+01
3502413.043201	0.000000	4.058444e+00
3502463.044101	0.014470	1.286633e+00
3502513.045001	0.212613	1.546651e+00
3502563.045901	0.000000	2.614314e+02
3502613.046801	0.017991	1.233645e+00
3502663.047701	0.014489	1.564900e-01
3502713.048601	0.021570	2.702616e-01
3502763.049501	0.128924	1.510310e-01
3502813.050401	0.000000	1.726719e+00
3502863.051301	0.018165	1.291341e+00
3502913.052201	0.014413	2.805234e+00
3502963.053101	0.000000	3.450560e+00
3503013.054001	0.047631	8.812851e-02
3503063.054901	0.100076	2.612579e-01
3503113.055801	0.098854	3.149775e-01
3503163.056701	0.018165	4.438044e+01
3503213.057601	0.112223	1.870398e+00
3503263.058501	0.646718	4.278314e-02
3503313.059401	0.649066	5.177110e-01
3503363.060302	0.154230	5.380748e-02
3503413.061202	0.000385	6.593989e+01
3503463.062102	0.361521	8.630093e-02
3503513.063002	0.000154	1.092927e+00
3503563.063902	0.074340	1.344540e-01
3503613.064802	0.018165	3.883289e+01
3503663.065702	0.026112	7.672553e-01
3503713.066602	0.000000	1.285625e+01
3503763.067502	0.635578	7.706230e-01
3503813.068402	0.000000	1.754342e+02
3503863.069302	0.000000	1.289355e+01
3503913.070202	0.007985	7.079347e-01
3503963.071102	0.000344	1.008119e+00
3504013.072002	2.273293	5.750168e-02
3504063.072902	0.000000	1.294362e+01
3504113.073802	0.014413	1.282089e+00
3504163.074702	3.286903	8.775482e-03
3504213.075602	1.694419	1.193297e-02
3504263.076502	0.000000	1.114722e+01
3504313.077402	0.000000	3.899394e+00
3504363.078302	0.308997	2.649710e-01
3504413.079202	3.363855	3.366311e-02
3504463.080102	0.336520	5.630882e-01
3504513.081002	0.019479	2.636880e-01
3504563.081902	0.458307	3.701647e-01
3504613.082802	1.754541	3.509638e-02
3504663.083702	0.998748	1.314069e-02
3504713.084602	0.976767	8.149571e-03
3504763.085502	1.366158	5.498379e-03
3504813.086402	1.128951	5.240060e-03
3504863.087302	0.000000	3.341437e-01
3504913.088202	0.000000	8.517766e-01
3504963.089102	0.221324	1.014644e-01
3505013.090002	0.838245	6.768290e+00
3505063.090902	1.686610	3.205938e-01
3505113.091802	0.818413	1.795176e-02
3505163.092702	0.338411	1.424130e-02
3505213.093602	0.195417	5.656699e-02
3505263.094502	0.000000	2.355480e+00
3505313.095402	0.019191	1.455186e-01
3505363.096302	0.000000	1.246075e+02
3505413.097202	0.000000	2.603195e-01
3505463.098102	0.262310	3.449249e-02
3505513.099002	1.228711	2.125294e-01
3505563.099902	1.105935	1.580923e-02
3505613.100803	0.000000	1.873280e+00
3505663.101703	0.000382	8.252904e-01
3505713.102603	0.038657	3.344626e-02
3505763.103503	0.000000	4.633832e-01
3505813.104403	0.000000	5.702331e+00
3505863.105303	0.000000	5.968575e-01
3505913.106203	0.000000	1.711689e-01
3505963.107103	0.000000	2.864447e-01
3506013.108003	0.000000	1.480020e+00
3506063.108903	0.000000	7.449297e-01
3506113.109803	0.292805	3.667574e-03
3506163.110703	1.448968	3.422538e-03
3506213.111603	1.253735	8.680779e-03
3506263.112503	1.210023	3.748826e-03
3506313.113403	0.668400	4.066672e-03
3506363.114303	0.385042	4.642329e-03
3506413.115203	0.245055	5.320306e-03
3506463.116103	0.172346	5.932674e-03
3506513.117003	0.124598	6.743425e-03
3506563.117903	0.099459	8.062079e-03
3506613.118803	0.094087	1.001910e-02
3506663.119703	0.092139	1.322458e-02
3506713.120603	0.090449	1.983007e-02
3506763.121503	0.109486	3.939037e-02
3506813.122403	0.109133	1.454584e+01
