location	LR	alpha	D
1850808.000000	1.915399	7.225287e+01	0.042655
1850858.006099	0.462729	9.662434e-02	0.042655
1850908.012199	3.217677	4.724635e-02	0.042655
1850958.018298	0.451542	1.821560e+00	0.042655
1851008.024398	3.068831	3.715451e-02	0.021327
1851058.030497	3.091469	1.154184e-01	0.021327
1851108.036596	3.236373	2.117885e-01	0.021327
1851158.042696	9.687568	7.596988e-02	0.021327
1851208.048795	2.468401	3.971946e-01	0.042655
1851258.054895	3.963993	4.688505e-02	0.021327
1851308.060994	6.815022	3.061702e-02	0.021327
1851358.067093	1.806534	1.844250e-01	0.042655
1851408.073193	3.620403	7.014538e-02	0.042655
1851458.079292	3.407738	2.145895e-01	0.042655
1851508.085391	3.040429	3.157185e-02	0.021327
1851558.091491	0.803282	9.975475e-02	0.021327
1851608.097590	1.475226	1.809689e-02	0.021327
1851658.103690	0.773142	6.031267e-01	0.021327
1851708.109789	1.231401	1.521102e-01	0.042655
1851758.115888	0.264369	2.698741e+00	0.042655
1851808.121988	1.291204	3.844651e-02	0.042655
1851858.128087	0.369640	2.719356e-01	0.042655
1851908.134187	0.769112	1.280867e-02	0.042655
1851958.140286	3.692671	1.201033e-02	0.042655
1852008.146385	0.009582	2.038517e+01	0.042655
1852058.152485	0.000000	3.347513e-01	0.021327
1852108.158584	0.000000	9.119526e-01	0.021327
1852158.164684	3.207467	6.712029e-03	0.042655
1852208.170783	1.957517	1.795622e-01	0.042655
1852258.176882	0.920514	1.019643e+01	0.021327
1852308.182982	0.000000	1.670616e+00	0.021327
1852358.189081	2.583398	1.354113e-02	0.042655
1852408.195180	0.684513	5.748059e-01	0.042655
1852458.201280	0.200249	1.463186e+00	0.042655
1852508.207379	0.000000	4.578863e-01	0.021327
1852558.213479	0.875897	1.671623e-01	0.042655
1852608.219578	0.977892	6.066604e-01	0.021327
1852658.225677	0.198608	1.733460e-01	0.042655
1852708.231777	0.937425	9.506323e-02	0.042655
1852758.237876	1.105938	1.674645e-01	0.042655
1852808.243976	0.910268	3.194867e+00	0.021327
1852858.250075	1.442715	1.359772e-01	0.042655
1852908.256174	1.732441	8.122170e-02	0.042655
1852958.262274	0.768587	4.367804e-02	0.042655
1853008.268373	0.000000	2.514057e-01	0.021327
1853058.274473	0.448746	1.873422e+00	0.042655
1853108.280572	2.327822	2.211184e+00	0.042655
1853158.286671	2.090520	6.774558e-01	0.021327
1853208.292771	1.704048	2.378157e-01	0.021327
1853258.298870	0.900077	1.175656e-01	0.021327
1853308.304970	2.111576	7.807667e-02	0.042655
1853358.311069	2.515666	4.972836e-02	0.042655
1853408.317168	0.577212	4.911646e-02	0.021327
1853458.323268	1.647137	4.077149e-02	0.021327
1853508.329367	1.346581	8.777937e-01	0.021327
1853558.335466	1.467063	1.245647e-01	0.021327
1853608.341566	1.405506	8.199992e-02	0.021327
1853658.347665	0.433463	5.677849e-02	0.042655
1853708.353765	0.000000	5.543690e-01	0.021327
