location	LR	alpha
800002.000000	1.370403	1.467630e+01
800052.003101	0.000000	3.002328e+00
800102.006201	0.000000	1.192604e+01
800152.009302	0.000000	2.999303e-01
800202.012402	0.000000	1.333150e-01
800252.015503	0.000000	8.570480e-02
800302.018604	0.000000	6.315172e-02
800352.021704	0.000000	8.109300e-02
800402.024805	0.000000	1.224800e-01
800452.027906	0.000000	2.501454e-01
800502.031006	0.000000	5.908403e+00
800552.034107	0.000000	2.306180e-01
800602.037207	0.000000	1.519703e-01
800652.040308	0.000000	4.143691e-01
800702.043409	0.000000	6.330252e-01
800752.046509	0.000000	1.508772e+00
800802.049610	0.000000	2.418871e+02
800852.052711	0.175607	6.503536e-03
800902.055811	0.000000	7.473930e-01
800952.058912	0.000000	1.816561e-01
801002.062012	0.000000	1.033930e-01
801052.065113	0.000000	7.226083e-02
801102.068214	0.000522	1.695533e-02
801152.071314	0.005792	1.661934e-02
801202.074415	0.006238	2.419972e-02
801252.077516	0.006239	4.706193e-02
801302.080616	0.006239	8.531369e-01
801352.083717	0.006239	5.289799e-02
801402.086817	0.006239	2.565368e-02
801452.089918	0.006239	1.693276e-02
801502.093019	0.006238	1.263737e-02
801552.096119	0.006234	1.008289e-02
801602.099220	0.006212	8.396899e-03
801652.102320	0.006095	7.226829e-03
801702.105421	0.005681	6.403033e-03
801752.108522	0.004881	5.746821e-03
801802.111622	0.005862	4.496234e-03
801852.114723	0.030993	3.387214e-03
801902.117824	0.063843	3.325069e-03
801952.120924	0.088661	3.470114e-03
802002.124025	0.104678	3.768625e-03
802052.127125	0.115649	4.236186e-03
802102.130226	0.124605	4.911525e-03
802152.133327	0.128931	5.895315e-03
802202.136427	0.115865	7.479072e-03
802252.139528	0.042066	1.063809e-02
802302.142629	0.000000	5.753364e-01
802352.145729	0.028069	2.007777e-01
802402.148830	2.897902	8.845362e-02
802452.151930	0.000000	8.081861e-01
802502.155031	0.000000	7.740389e+01
802552.158132	0.000000	1.036152e+01
802602.161232	0.004408	1.166693e-01
802652.164333	0.000313	5.256231e-02
802702.167433	0.000013	4.220965e-02
802752.170534	0.000000	3.887346e-02
802802.173635	0.000000	4.777572e-02
802852.176735	0.000000	6.288543e-02
802902.179836	0.000000	8.521508e-02
802952.182937	0.000000	1.321338e-01
803002.186037	0.000000	2.940170e-01
803052.189138	0.000000	1.305890e+00
803102.192238	0.145760	4.624662e-02
803152.195339	0.023837	1.735896e-02
803202.198440	0.614429	3.215350e-02
803252.201540	0.000316	5.064917e-01
803302.204641	0.000000	2.843290e-01
803352.207742	0.000000	1.301409e-01
803402.210842	0.013826	3.521424e-02
803452.213943	0.000000	1.226235e+00
803502.217043	0.000000	2.845597e+00
803552.220144	0.059285	7.849067e-02
803602.223245	0.006239	3.206459e+00
803652.226345	0.001049	1.825851e+00
803702.229446	0.192550	2.210309e-01
803752.232547	0.000000	4.336116e+00
803802.235647	0.000000	6.801362e+00
803852.238748	0.000000	1.774820e+00
803902.241848	0.193553	1.630382e+00
803952.244949	0.000000	5.345335e+00
804002.248050	0.066647	6.969741e+00
804052.251150	0.000000	1.919647e+00
804102.254251	0.000000	5.924683e-01
804152.257351	0.000000	1.549858e+00
804202.260452	0.215505	1.234223e-02
804252.263553	1.040968	6.851896e-02
804302.266653	0.280185	1.851448e-02
804352.269754	0.235033	1.082956e-02
804402.272855	0.076784	1.047499e-02
804452.275955	0.000000	7.240953e-02
804502.279056	0.000001	6.327571e-02
804552.282156	0.000468	6.674644e-02
804602.285257	0.958424	5.926743e-02
804652.288358	0.093685	1.349322e-01
804702.291458	0.000000	3.022020e-01
804752.294559	0.000000	1.291078e+00
804802.297660	0.711174	1.031355e-01
804852.300760	0.065771	1.795077e-01
804902.303861	0.193664	4.303920e-02
804952.306961	0.000000	1.061293e+00
805002.310062	0.000000	8.168858e-01
805052.313163	0.000000	8.383892e-01
805102.316263	0.000000	1.865780e-01
805152.319364	0.024889	8.608619e-03
805202.322464	0.120520	1.216870e-02
805252.325565	0.569824	2.028829e-02
805302.328666	0.629782	2.835765e-01
805352.331766	1.415621	2.667455e-02
805402.334867	0.000000	4.502590e+00
805452.337968	0.000000	8.184405e-01
805502.341068	1.648292	5.656171e-03
805552.344169	0.000000	3.486661e+01
805602.347269	0.881334	6.466888e-01
805652.350370	0.112017	3.952681e-01
805702.353471	1.151496	7.164281e-02
805752.356571	2.279067	5.065736e-02
805802.359672	3.791930	2.136115e-02
805852.362773	0.000000	2.128706e+00
