location	LR	alpha	D
509771.000000	567.971123	3.837188e-05	0.015456
509821.002629	554.683840	3.844219e-05	0.015456
509871.005257	564.926753	3.838415e-05	0.015456
509921.007886	560.116825	3.835948e-05	0.015456
509971.010514	560.849604	3.846067e-05	0.015456
510021.013143	561.023696	3.846683e-05	0.015456
510071.015771	559.476423	3.847300e-05	0.015456
510121.018400	560.409949	3.838403e-05	0.015456
510171.021028	561.712512	3.848534e-05	0.015456
510221.023657	557.284552	3.842717e-05	0.015456
510271.026285	559.969663	3.840246e-05	0.015456
510321.028914	561.213946	3.843948e-05	0.015456
510371.031542	559.354458	3.841474e-05	0.015456
510421.034171	556.609247	3.851622e-05	0.015456
510471.036799	555.633000	3.845796e-05	0.015456
510521.039428	556.690379	3.843320e-05	0.015456
510571.042056	555.262912	3.843937e-05	0.015456
510621.044685	554.876590	3.844552e-05	0.015456
510671.047313	550.449762	3.846425e-05	0.015456
510721.049942	545.011034	3.848880e-05	0.015456
510771.052570	554.125765	3.855954e-05	0.015456
510821.055199	557.191822	3.856575e-05	0.015456
510871.057827	558.695105	3.847634e-05	0.015456
510921.060456	559.293797	3.851351e-05	0.015456
510971.063084	558.654493	3.851969e-05	0.015456
511021.065713	535.306333	3.849486e-05	0.015456
511071.068341	558.694274	3.850103e-05	0.015456
511121.070970	559.736180	3.860297e-05	0.015456
511171.073598	560.241704	3.854444e-05	0.015456
511221.076227	559.796960	3.851956e-05	0.015456
511271.078855	559.341423	3.855682e-05	0.015456
511321.081484	558.041793	3.862781e-05	0.015456
511371.084112	556.736457	3.856922e-05	0.015456
511421.086741	554.023990	3.864025e-05	0.015456
511471.089369	539.065899	3.855050e-05	0.015456
511521.091998	551.924225	3.858782e-05	0.015456
511571.094626	551.420508	3.859403e-05	0.015456
511621.097255	549.951848	3.856909e-05	0.015456
511671.099883	548.280805	3.860645e-05	0.015456
511721.102512	545.626252	3.858149e-05	0.015456
511771.105140	541.781882	3.868386e-05	0.015456
511821.107769	539.904028	3.862507e-05	0.015456
511871.110397	537.314401	3.863130e-05	0.015456
511921.113026	533.395021	3.863752e-05	0.015456
511971.115654	527.376344	3.861253e-05	0.015456
512021.118283	521.564676	3.861875e-05	0.015456
512071.120911	517.160554	3.872130e-05	0.015456
512121.123540	486.905872	3.872754e-05	0.015456
512171.126168	491.452896	3.873380e-05	0.015456
512221.128797	498.039508	3.874004e-05	0.015456
512271.131425	469.920201	3.873455e-05	0.015456
512321.134054	469.115580	3.865606e-05	0.015456
512371.136682	476.945182	3.866229e-05	0.015456
512421.139311	476.365604	3.866852e-05	0.015456
512471.141939	481.751553	3.870607e-05	0.015456
512521.144568	500.236532	3.871231e-05	0.015456
512571.147196	508.856396	3.868722e-05	0.015456
512621.149825	514.779188	3.879014e-05	0.015456
512671.152453	519.227770	3.869970e-05	0.015456
512721.155082	531.187748	3.873730e-05	0.015456
512771.157710	533.080608	3.871218e-05	0.015456
512821.160339	534.717381	3.874982e-05	0.015456
512871.162967	535.132699	3.882152e-05	0.015456
512921.165596	535.029429	3.876233e-05	0.015456
512971.168224	537.188759	3.873718e-05	0.015456
513021.170853	538.033963	3.877486e-05	0.015456
513071.173481	537.590563	3.878111e-05	0.015456
513121.176110	525.821591	3.878739e-05	0.015456
513171.178738	537.021268	3.879367e-05	0.015456
513221.181367	540.276042	3.879993e-05	0.015456
513271.183995	541.888049	3.880621e-05	0.015456
513321.186624	542.873401	3.881248e-05	0.015456
513371.189252	543.474109	3.881876e-05	0.015456
513421.191881	543.593806	3.879353e-05	0.015456
513471.194509	543.861498	3.883132e-05	0.015456
513521.197138	543.529743	3.880609e-05	0.015456
513571.199766	543.167379	3.890964e-05	0.015456
513621.202395	542.669793	3.881864e-05	0.015456
513671.205023	541.964830	3.882491e-05	0.015456
513721.207652	541.039819	3.892857e-05	0.015456
513771.210280	540.145505	3.886905e-05	0.015456
513821.212909	538.607464	3.884378e-05	0.015456
513871.215537	536.988032	3.894753e-05	0.015456
513921.218166	535.295243	3.888796e-05	0.015456
513971.220794	533.002172	3.889426e-05	0.015456
514021.223423	530.129695	3.890057e-05	0.015456
514071.226051	526.016027	3.897283e-05	0.015456
514121.228680	512.309101	3.897916e-05	0.015456
514171.231308	511.914131	3.891949e-05	0.015456
514221.233937	516.210195	3.899182e-05	0.015456
514271.236565	512.513813	3.893211e-05	0.015456
514321.239194	489.984138	3.890674e-05	0.015456
514371.241822	508.155580	3.894475e-05	0.015456
514421.244451	504.658005	3.901719e-05	0.015456
514471.247079	498.237038	3.892567e-05	0.015456
514521.249708	461.210449	3.894488e-05	0.015456
514571.252336	484.644029	3.897005e-05	0.015456
514621.254965	478.291675	3.897637e-05	0.015456
514671.257593	461.727242	3.898271e-05	0.015456
514721.260222	487.358930	3.898904e-05	0.015456
514771.262850	480.479410	3.896360e-05	0.015456
514821.265479	453.698490	3.906800e-05	0.015456
514871.268107	460.146214	3.897626e-05	0.015456
514921.270736	497.496047	3.908072e-05	0.015456
514971.273364	503.927389	3.902074e-05	0.015456
515021.275993	507.633673	3.902707e-05	0.015456
515071.278621	509.653328	3.909982e-05	0.015456
515121.281250	510.603871	3.903979e-05	0.015456
515171.283879	505.475547	3.904613e-05	0.015456
515221.286507	512.063143	3.905249e-05	0.015456
515271.289136	510.347047	3.902695e-05	0.015456
515321.291764	506.990049	3.903330e-05	0.015456
515371.294393	510.119750	3.907156e-05	0.015456
515421.297021	510.537125	3.904600e-05	0.015456
515471.299650	515.713172	3.905236e-05	0.015456
515521.302278	518.155340	3.909066e-05	0.015456
515571.304907	518.999665	3.916363e-05	0.015456
515621.307535	518.837876	3.913246e-05	0.015456
515671.310164	518.448452	3.910977e-05	0.015456
515721.312792	515.374302	3.908416e-05	0.015456
515771.315421	496.733258	3.909052e-05	0.015456
515821.318049	515.031338	3.918357e-05	0.015456
515871.320678	514.211790	3.916440e-05	0.015456
515921.323306	513.934980	3.910964e-05	0.015456
515971.325935	508.355062	3.911602e-05	0.015456
516021.328563	469.720442	3.915443e-05	0.015456
516071.331192	502.288071	3.922765e-05	0.015456
516121.333820	510.989811	3.913514e-05	0.015456
516171.336449	516.417168	3.924047e-05	0.015456
516221.339077	520.628425	3.918000e-05	0.015456
516271.341706	523.791612	3.918639e-05	0.015456
516321.344334	526.395925	3.919280e-05	0.015456
516371.346963	528.398557	3.916708e-05	0.015456
516421.349591	530.267384	3.927258e-05	0.015456
516471.352220	532.126987	3.921201e-05	0.015456
516521.354848	533.567464	3.921842e-05	0.015456
516571.357477	534.644376	3.919267e-05	0.015456
516621.360105	535.771501	3.919908e-05	0.015456
516671.362734	536.966472	3.923765e-05	0.015456
516721.365362	537.858270	3.924407e-05	0.015456
516771.367991	538.461045	3.921829e-05	0.015456
516821.370619	539.361387	3.925691e-05	0.015456
516871.373248	539.800925	3.923112e-05	0.015456
516921.375876	540.552115	3.926976e-05	0.015456
516971.378505	540.858136	3.924394e-05	0.015456
517021.381133	541.485916	3.928261e-05	0.015456
517071.383762	541.680811	3.925678e-05	0.015456
517121.386390	542.204516	3.929548e-05	0.015456
517171.389019	542.493292	3.930191e-05	0.015456
517221.391647	542.551937	3.927606e-05	0.015456
517271.394276	542.946644	3.931479e-05	0.015456
517321.396904	542.929747	3.928891e-05	0.015456
517371.399533	543.252434	3.932767e-05	0.015456
517421.402161	543.118809	3.940153e-05	0.015456
517471.404790	543.243176	3.930822e-05	0.015456
517521.407418	543.473625	3.934701e-05	0.015456
517571.410047	543.306149	3.932110e-05	0.015456
517621.412675	543.243707	3.942743e-05	0.015456
517671.415304	543.211336	3.943391e-05	0.015456
517721.417932	543.213120	3.934044e-05	0.015456
517771.420561	543.321140	3.937930e-05	0.015456
517821.423189	543.224312	3.938576e-05	0.015456
517871.425818	542.924568	3.935980e-05	0.015456
517921.428446	542.972776	3.939869e-05	0.015456
517971.431075	542.819805	3.940517e-05	0.015456
518021.433703	542.649643	3.941164e-05	0.015456
518071.436332	542.280570	3.938564e-05	0.015456
518121.438960	542.015627	3.949231e-05	0.015456
518171.441589	542.043331	3.943106e-05	0.015456
518221.444217	541.811293	3.943754e-05	0.015456
518271.446846	541.383288	3.941150e-05	0.015456
518321.449474	541.305520	3.945051e-05	0.015456
518371.452103	540.851074	3.942446e-05	0.015456
518421.454731	540.565593	3.943093e-05	0.015456
518471.457360	540.267810	3.943741e-05	0.015456
518521.459988	540.139469	3.947646e-05	0.015456
518571.462617	539.817982	3.948296e-05	0.015456
518621.465245	539.303693	3.945687e-05	0.015456
518671.467874	538.893890	3.956393e-05	0.015456
518721.470502	538.786234	3.950246e-05	0.015456
518771.473131	538.420648	3.950896e-05	0.015456
518821.475759	537.863269	3.948283e-05	0.015456
518871.478388	537.477009	3.948933e-05	0.015456
518921.481016	537.015633	3.959657e-05	0.015456
518971.483645	536.674326	3.950233e-05	0.015456
519021.486273	536.440044	3.954151e-05	0.015456
519071.488902	536.014293	3.954803e-05	0.015456
519121.491530	535.578965	3.955455e-05	0.015456
519171.494159	535.134051	3.956106e-05	0.015456
519221.496787	534.679763	3.956759e-05	0.015456
519271.499416	534.033174	3.954138e-05	0.015456
519321.502044	533.742859	3.958064e-05	0.015456
519371.504673	533.017101	3.965545e-05	0.015456
519421.507301	532.768488	3.959369e-05	0.015456
519471.509930	532.083469	3.956746e-05	0.015456
519521.512558	531.515488	3.967512e-05	0.015456
519571.515187	531.236928	3.961330e-05	0.015456
519621.517815	530.707618	3.961984e-05	0.015456
519671.520444	530.168823	3.962638e-05	0.015456
519721.523072	529.620550	3.963293e-05	0.015456
519771.525701	529.062607	3.963948e-05	0.015456
519821.528329	528.258644	3.971452e-05	0.015456
519871.530958	527.730620	3.961972e-05	0.015456
519921.533586	528.094230	3.962625e-05	0.015456
519971.536215	527.672817	3.966569e-05	0.015456
