location	LR	alpha
294754.000000	0.000000	1.200000e+09
294804.003198	0.000000	1.200000e+09
294854.006396	0.165894	2.784483e+04
294904.009594	0.002056	2.624259e+04
294954.012792	0.000000	2.692413e+05
295004.015990	0.000000	1.200000e+09
295054.019188	0.000000	1.200000e+09
295104.022387	0.087872	9.035604e+04
295154.025585	0.000000	1.200000e+09
295204.028783	0.000000	3.021744e+05
295254.031981	0.000000	1.200000e+09
295304.035179	1.474165	1.036496e+04
295354.038377	1.699695	3.738413e+07
295404.041575	0.000000	3.136648e+05
295454.044773	0.000000	1.200000e+09
295504.047971	0.000000	2.499135e+05
295554.051169	0.000000	1.200000e+09
295604.054367	0.000000	6.170609e+05
295654.057565	0.013029	1.379289e+08
295704.060764	0.000117	4.110298e+08
295754.063962	0.000010	1.708430e+05
295804.067160	0.000000	1.200000e+09
295854.070358	0.000000	1.200000e+09
295904.073556	0.511988	6.481931e+07
295954.076754	0.953464	1.441029e+04
296004.079952	0.000000	5.217120e+05
296054.083150	0.000000	3.023241e+05
296104.086348	0.000000	2.973598e+05
296154.089546	0.000000	1.200000e+09
296204.092744	0.000000	1.200000e+09
296254.095942	1.628755	1.797817e+07
296304.099141	0.000000	1.200000e+09
296354.102339	5.268288	7.090831e+06
296404.105537	1.435577	2.808464e+07
296454.108735	0.055190	7.165924e+04
296504.111933	0.055164	1.388894e+05
296554.115131	0.001955	3.320726e+04
296604.118329	0.000000	6.375441e+05
296654.121527	0.000000	1.200000e+09
296704.124725	0.000000	3.705407e+05
296754.127923	0.093463	1.702933e+08
296804.131121	0.093463	7.792477e+05
296854.134319	0.270837	3.626575e+04
296904.137517	0.075239	1.880552e+08
296954.140716	0.023787	2.453728e+08
297004.143914	0.149691	2.684353e+07
297054.147112	0.002927	2.707157e+08
297104.150310	0.000000	1.200000e+09
297154.153508	0.000000	1.644129e+06
297204.156706	0.218171	3.698998e+07
297254.159904	0.911461	1.228425e+04
297304.163102	0.000000	1.200000e+09
297354.166300	0.000000	1.200000e+09
297404.169498	1.369980	3.090540e+07
297454.172696	0.343743	4.687017e+07
297504.175894	0.189108	6.302526e+07
297554.179093	0.000000	1.200000e+09
297604.182291	0.000000	2.254512e+06
297654.185489	0.000000	5.900502e+05
297704.188687	0.000000	1.248871e+06
297754.191885	0.000000	1.227084e+05
297804.195083	0.555800	4.934172e+04
297854.198281	0.026220	5.711083e+07
297904.201479	0.004218	2.594895e+08
297954.204677	0.020795	6.347085e+04
298004.207875	0.049947	1.207978e+04
298054.211073	0.103612	2.008020e+04
298104.214271	0.115808	1.196284e+08
298154.217470	0.000000	1.200000e+09
298204.220668	0.000000	1.200000e+09
298254.223866	0.023570	1.721633e+08
298304.227064	0.000000	3.415548e+06
298354.230262	0.000000	2.875872e+05
298404.233460	0.000000	4.994331e+05
298454.236658	0.000000	8.780508e+05
298504.239856	0.007720	2.404805e+08
298554.243054	0.004809	2.663722e+04
298604.246252	0.000000	1.028131e+06
298654.249450	0.182419	1.512451e+08
298704.252648	0.301216	1.217950e+08
298754.255846	0.000000	1.200000e+09
298804.259045	0.000000	1.200000e+09
298854.262243	0.000000	1.247726e+05
298904.265441	0.000000	1.200000e+09
298954.268639	0.000000	1.200000e+09
299004.271837	0.000000	1.200000e+09
299054.275035	0.000000	1.200000e+09
299104.278233	0.024621	9.792922e+04
299154.281431	0.540361	3.559328e+07
299204.284629	0.364202	2.010948e+04
299254.287827	0.408116	1.044075e+04
299304.291025	0.177471	4.353422e+04
299354.294223	0.125183	3.264798e+04
299404.297422	0.000000	1.200000e+09
299454.300620	0.000000	2.430444e+05
299504.303818	0.000000	3.010970e+05
299554.307016	0.000000	5.006300e+05
299604.310214	0.000000	1.200000e+09
299654.313412	0.628254	7.517648e+04
299704.316610	0.000190	3.294466e+04
299754.319808	0.000058	2.013613e+04
299804.323006	0.000007	1.673379e+04
299854.326204	0.000001	1.557751e+04
299904.329402	0.000000	1.513215e+04
299954.332600	0.000000	1.475362e+04
300004.335799	0.000000	1.554753e+04
300054.338997	0.000000	1.383809e+04
300104.342195	0.000000	1.280023e+04
300154.345393	0.000000	1.424945e+04
