location	LR	alpha
3500002.000000	0.000240	4.194589e+02
3500052.001200	0.511521	2.143438e-01
3500102.002400	0.000000	5.217937e-01
3500152.003600	0.010700	1.381233e+00
3500202.004800	0.144528	4.196609e-02
3500252.006000	0.000240	4.219909e+00
3500302.007200	0.168716	2.783158e-01
3500352.008400	0.000095	1.143396e+00
3500402.009600	0.625710	9.347778e-01
3500452.010800	0.000000	1.213102e+01
3500502.012000	2.532408	5.480419e-02
3500552.013200	0.000631	1.898000e+00
3500602.014400	0.000000	6.043515e+00
3500652.015600	2.028815	1.288702e-02
3500702.016800	0.241083	2.442180e-02
3500752.018000	0.868247	7.512005e-02
3500802.019200	0.076835	6.519426e-01
3500852.020401	0.000095	2.237192e+02
3500902.021601	0.010700	2.828579e+00
3500952.022801	0.007443	1.288454e+02
3501002.024001	0.000095	4.676217e+00
3501052.025201	0.007443	2.865535e+00
3501102.026401	0.000000	8.587624e-01
3501152.027601	0.007443	2.858842e+00
3501202.028801	0.092063	1.966627e+00
3501252.030001	0.130257	3.795653e-02
3501302.031201	0.901446	1.733541e-02
3501352.032401	0.133986	1.598244e-01
3501402.033601	1.679598	3.966160e-02
3501452.034801	0.523035	1.122932e-02
3501502.036001	0.199255	8.143216e-03
3501552.037201	0.024911	3.927726e-02
3501602.038401	0.001175	1.798994e+00
3501652.039601	0.011021	4.543085e-01
3501702.040801	0.931820	5.862631e-01
3501752.042001	1.195032	1.346868e-02
3501802.043201	0.697944	9.198787e-03
3501852.044401	0.130521	5.870291e-03
3501902.045601	0.045274	4.314661e-02
3501952.046801	0.048312	2.271127e+00
3502002.048001	0.037701	4.456175e-02
3502052.049201	0.023318	2.143826e-02
3502102.050401	0.031542	1.355976e-02
3502152.051601	0.192190	7.631322e-03
3502202.052801	0.268235	7.820081e-03
3502252.054001	0.144591	9.299188e-03
3502302.055201	0.014796	1.330636e-02
3502352.056401	0.001598	3.850520e-01
3502402.057601	0.248353	4.983618e-01
3502452.058801	0.055382	5.375727e-01
3502502.060001	0.233183	2.488353e+01
3502552.061202	3.533496	2.679718e-02
3502602.062402	1.224372	1.018713e-01
3502652.063602	0.007527	4.839764e-01
3502702.064802	0.172667	7.109201e-02
3502752.066002	0.013865	2.385426e-01
3502802.067202	0.000000	2.432697e+00
