location	LR	alpha
295024.000000	0.598956	1.537437e+07
295074.006202	0.337997	3.618834e+07
295124.012404	0.510531	4.453866e+04
295174.018606	0.199260	7.491532e+07
295224.024807	0.000000	1.200000e+09
295274.031009	0.377623	2.206912e+05
295324.037211	0.000000	2.268134e+06
295374.043413	0.144046	1.178164e+05
295424.049615	0.467645	2.634112e+05
295474.055817	0.786225	1.098354e+04
295524.062019	0.077408	9.916093e+07
295574.068220	0.061950	5.574568e+04
295624.074422	0.014211	2.366951e+08
295674.080624	0.262623	1.720996e+08
295724.086826	0.000402	4.896296e+08
295774.093028	0.161232	3.423789e+07
295824.099230	0.335224	5.732565e+07
295874.105432	0.000000	1.200000e+09
295924.111633	1.394027	4.812023e+07
295974.117835	0.000000	1.200000e+09
296024.124037	0.410476	1.969911e+07
296074.130239	0.320712	5.729857e+04
296124.136441	0.370969	3.048383e+04
296174.142643	0.000000	1.200000e+09
296224.148845	2.512466	4.039527e+06
296274.155047	2.626438	7.834180e+03
296324.161248	1.011030	2.269586e+04
296374.167450	2.262997	1.328141e+04
296424.173652	0.410536	6.908095e+04
296474.179854	0.000000	3.418517e+05
296524.186056	0.021881	6.843688e+04
296574.192258	0.375051	3.611176e+07
296624.198460	0.000000	1.200000e+09
296674.204661	0.704181	3.603954e+07
296724.210863	1.323340	2.438873e+07
296774.217065	4.418999	2.110736e+07
296824.223267	3.920640	5.310314e+06
296874.229469	3.287326	6.371518e+03
296924.235671	0.256909	1.077597e+08
296974.241873	0.012278	4.822051e+07
297024.248074	0.000021	5.875850e+08
297074.254276	0.000021	1.420727e+05
297124.260478	0.000000	3.942295e+05
297174.266680	0.072572	1.669491e+04
297224.272882	0.604158	2.672230e+04
297274.279084	0.351926	2.420400e+07
297324.285286	0.976522	6.164829e+07
297374.291487	0.000000	1.200000e+09
297424.297689	0.210088	1.144288e+08
297474.303891	0.462253	4.778748e+05
297524.310093	0.424070	4.124292e+04
297574.316295	0.059823	1.386437e+08
297624.322497	1.340230	1.248652e+04
297674.328699	0.351604	3.205686e+04
297724.334900	0.598839	8.932853e+03
297774.341102	0.003397	2.241297e+08
297824.347304	0.003397	9.678383e+04
297874.353506	0.150513	7.746425e+03
297924.359708	0.000082	1.142415e+05
297974.365910	0.000000	2.707476e+05
298024.372112	0.000000	1.547517e+05
298074.378313	0.000000	3.806368e+06
298124.384515	0.000000	1.308442e+06
298174.390717	0.129330	1.844312e+08
298224.396919	0.131887	1.513823e+08
298274.403121	0.116141	2.635106e+08
298324.409323	0.000000	9.525273e+05
298374.415525	0.521639	3.668221e+04
298424.421727	0.044665	5.403511e+07
298474.427928	0.847333	3.813869e+07
298524.434130	3.252775	5.775828e+03
298574.440332	1.303980	8.164603e+07
298624.446534	0.691607	5.801851e+04
298674.452736	0.044962	8.075114e+04
298724.458938	0.144535	1.875744e+08
298774.465140	0.255549	4.362417e+04
298824.471341	0.127396	7.154871e+04
298874.477543	0.013593	7.360325e+04
298924.483745	0.040843	3.059147e+08
298974.489947	0.230391	2.804345e+08
299024.496149	0.014824	1.552000e+08
299074.502351	0.128931	2.613847e+08
299124.508553	0.684010	2.357215e+04
299174.514754	2.077202	2.143905e+07
299224.520956	1.585223	5.916057e+03
299274.527158	0.331465	3.526261e+07
299324.533360	0.000000	1.200000e+09
299374.539562	0.127752	1.768320e+08
299424.545764	0.122370	3.614484e+04
299474.551966	0.000000	8.972526e+06
299524.558167	0.000000	2.536513e+05
299574.564369	0.038743	6.336628e+04
299624.570571	0.036218	1.722269e+05
299674.576773	0.036228	4.850662e+04
299724.582975	0.041624	1.684827e+04
299774.589177	0.049089	1.020712e+04
299824.595379	0.043174	7.630239e+03
299874.601580	0.030024	6.282486e+03
299924.607782	0.016164	5.490726e+03
299974.613984	0.005290	5.059334e+03
300024.620186	0.000000	1.727226e+04
300074.626388	0.000000	1.525246e+04
300124.632590	0.000000	1.461208e+04
300174.638792	0.000017	6.588371e+03
300224.644993	0.000000	1.883141e+04
300274.651195	0.000000	2.200905e+04
300324.657397	0.000000	2.647676e+04
300374.663599	0.000000	3.322030e+04
300424.669801	0.000000	4.457285e+04
300474.676003	0.002174	1.518001e+04
300524.682205	0.031086	5.183530e+03
300574.688407	0.230163	8.274372e+03
300624.694608	0.003311	1.109409e+05
300674.700810	0.364333	1.499115e+08
300724.707012	0.000000	1.200000e+09
300774.713214	0.161323	2.996854e+04
300824.719416	0.163336	9.602663e+03
300874.725618	0.169318	1.582520e+04
300924.731820	0.240164	1.623500e+05
300974.738021	0.203161	6.628150e+04
301024.744223	0.062960	1.395410e+08
301074.750425	0.443429	1.994294e+04
301124.756627	0.084897	3.054837e+05
301174.762829	1.006365	1.874170e+04
301224.769031	0.463321	1.446704e+08
301274.775233	0.435817	5.312513e+04
301324.781434	0.000000	6.471482e+05
301374.787636	0.000000	2.261725e+05
301424.793838	0.000000	8.443189e+04
301474.800040	0.000000	5.190402e+04
301524.806242	0.000000	3.746891e+04
301574.812444	0.000000	2.931584e+04
301624.818646	0.142177	2.896610e+03
301674.824847	0.799042	2.342022e+03
301724.831049	1.612933	2.487842e+03
301774.837251	1.109493	8.975931e+03
301824.843453	0.947330	4.958311e+03
301874.849655	0.000000	5.508119e+06
301924.855857	0.210805	7.753013e+07
301974.862059	0.078573	1.339289e+04
302024.868260	0.000000	7.116530e+04
302074.874462	0.000000	4.590376e+04
302124.880664	0.253711	1.837139e+03
302174.886866	0.651760	1.424369e+03
302224.893068	0.939626	1.259705e+03
302274.899270	0.984334	1.226855e+03
302324.905472	0.865340	1.317193e+03
302374.911674	0.843459	3.007147e+03
302424.917875	0.326112	3.146708e+07
302474.924077	0.394712	2.016571e+07
302524.930279	0.818302	1.637167e+07
302574.936481	0.855691	3.465164e+03
302624.942683	0.907006	2.875392e+03
302674.948885	0.440632	3.294476e+03
302724.955087	0.113504	4.123157e+03
302774.961288	0.000000	3.429242e+04
302824.967490	0.000000	4.585866e+04
302874.973692	0.003015	1.177602e+04
302924.979894	0.001955	2.407329e+04
302974.986096	0.001778	2.049918e+08
303024.992298	0.004540	1.859946e+05
303074.998500	0.000000	1.414235e+05
303125.004701	0.000000	1.672139e+06
303175.010903	0.012246	3.319661e+08
303225.017105	2.967313	1.650722e+04
303275.023307	2.190279	3.049973e+03
303325.029509	0.752760	4.476852e+03
303375.035711	0.250241	3.536766e+03
303425.041913	0.000000	4.020125e+04
303475.048114	0.001635	1.358015e+04
303525.054316	0.001976	1.899914e+04
303575.060518	0.001864	3.319955e+04
303625.066720	0.157585	1.658810e+04
303675.072922	0.171068	2.544122e+04
303725.079124	0.000001	3.615004e+05
303775.085326	0.000001	5.118443e+05
303825.091527	0.052594	2.128622e+04
303875.097729	0.010623	1.565163e+04
303925.103931	0.004749	1.250110e+04
303975.110133	0.000359	1.603827e+04
304025.116335	0.003972	6.985912e+03
304075.122537	0.071881	5.623693e+03
304125.128739	0.019658	2.487544e+04
304175.134940	0.237736	1.087804e+04
304225.141142	0.021473	1.057605e+08
304275.147344	0.234143	2.037806e+08
304325.153546	0.000098	4.738036e+08
304375.159748	0.008939	4.008359e+08
304425.165950	0.008939	1.307054e+05
304475.172152	0.008941	3.193030e+04
304525.178354	0.009049	1.813472e+04
304575.184555	0.009430	1.256825e+04
304625.190757	0.000000	4.139615e+04
304675.196959	0.000000	6.153238e+04
304725.203161	0.000000	1.198124e+05
304775.209363	0.000000	2.266764e+06
304825.215565	0.491787	1.274719e+08
304875.221767	0.320078	1.081971e+05
304925.227968	0.338559	1.166569e+08
304975.234170	0.000000	1.200000e+09
305025.240372	0.000000	1.200000e+09
305075.246574	0.027409	1.884114e+04
305125.252776	0.459352	1.160588e+08
305175.258978	0.408999	2.016508e+05
305225.265180	0.759646	1.931578e+07
305275.271381	0.093039	5.088599e+04
305325.277583	0.000739	6.938888e+05
305375.283785	0.000739	4.177307e+08
305425.289987	0.041497	1.830806e+08
305475.296189	0.032534	3.765812e+08
305525.302391	0.000000	1.200000e+09
305575.308593	0.000000	1.200000e+09
305625.314794	0.000000	3.403763e+05
305675.320996	0.000000	1.235594e+05
305725.327198	0.163773	4.609547e+04
305775.333400	0.111356	1.159856e+04
305825.339602	0.018284	7.064231e+04
305875.345804	0.018284	6.219971e+04
305925.352006	0.000000	6.768959e+05
305975.358207	0.000000	1.937685e+05
306025.364409	0.000000	7.612512e+04
306075.370611	0.083303	8.128830e+03
306125.376813	0.443514	4.929786e+03
306175.383015	0.708647	4.209362e+03
306225.389217	0.003459	5.326684e+04
306275.395419	0.003445	3.782923e+08
306325.401620	0.003445	5.235061e+04
306375.407822	0.039980	2.654335e+03
306425.414024	0.240098	2.648535e+03
306475.420226	0.309820	3.017118e+03
306525.426428	0.358379	3.799046e+03
306575.432630	0.575066	5.224239e+03
306625.438832	0.622905	8.597463e+03
306675.445034	0.671040	3.473608e+04
306725.451235	0.002446	4.331330e+08
306775.457437	0.002446	1.228135e+05
306825.463639	0.451009	4.529379e+03
306875.469841	0.466927	4.758209e+03
306925.476043	0.548035	8.583139e+03
306975.482245	0.730007	2.573383e+07
307025.488447	0.153164	1.510103e+08
307075.494648	0.046052	1.459665e+08
307125.500850	0.058826	1.935802e+08
307175.507052	1.103243	1.059361e+04
307225.513254	0.070887	1.704828e+08
307275.519456	0.108130	1.695190e+08
307325.525658	0.156527	5.250784e+07
307375.531860	0.219099	1.595371e+04
307425.538061	0.705964	7.829972e+03
307475.544263	0.563316	1.490525e+04
307525.550465	0.677301	2.134251e+04
307575.556667	0.335061	1.823492e+04
307625.562869	0.000000	1.200000e+09
307675.569071	0.028487	9.931482e+04
307725.575273	0.053705	2.441119e+08
307775.581474	1.034283	7.448758e+06
307825.587676	0.131505	1.521644e+08
307875.593878	1.500456	8.008615e+03
307925.600080	3.306235	8.569320e+06
307975.606282	0.351434	1.002877e+08
308025.612484	1.910511	6.691761e+06
308075.618686	2.681896	8.196060e+04
308125.624887	0.071820	1.911830e+08
308175.631089	0.072049	7.927561e+04
308225.637291	0.478562	2.230102e+04
308275.643493	0.383499	4.537871e+04
308325.649695	0.380713	4.698879e+04
308375.655897	0.431820	9.255259e+03
308425.662099	0.253824	5.789738e+03
308475.668300	0.799564	3.725681e+03
308525.674502	1.356621	3.340073e+03
308575.680704	0.946782	4.265703e+03
308625.686906	0.180962	4.222792e+07
308675.693108	0.351061	9.346552e+07
308725.699310	0.388994	1.088903e+08
308775.705512	0.375701	1.793833e+04
308825.711714	0.016782	1.433270e+05
308875.717915	0.106375	5.841903e+04
308925.724117	0.153140	2.986942e+04
308975.730319	0.454680	1.054421e+04
309025.736521	0.000000	1.333392e+05
309075.742723	0.000000	8.290299e+08
309125.748925	0.101466	1.815894e+08
309175.755127	0.315160	1.164758e+08
