location	LR	alpha	D
1378527.000000	0.172009	3.079306e+02	0.033939
1378577.004335	1.176743	3.158255e-01	0.033939
1378627.008669	1.990712	1.790813e-01	0.016970
1378677.013004	3.558770	4.001617e-01	0.033939
1378727.017338	1.112485	1.978131e-01	0.033939
1378777.021673	1.070165	2.858618e-01	0.033939
1378827.026007	3.292051	6.382095e-02	0.016970
1378877.030342	10.467396	3.714821e-02	0.033939
1378927.034676	5.526930	2.285865e-02	0.016970
1378977.039011	2.309994	1.110710e-01	0.016970
1379027.043346	2.063218	5.554440e-02	0.016970
1379077.047680	3.252216	1.036312e-02	0.016970
1379127.052015	2.860888	1.193576e-02	0.016970
1379177.056349	3.634042	3.217643e-02	0.016970
1379227.060684	0.708402	2.591454e-02	0.033939
1379277.065018	0.937840	1.673488e-02	0.033939
1379327.069353	0.000000	7.087739e-01	0.016970
1379377.073687	0.126557	1.691109e+00	0.033939
1379427.078022	1.397305	9.762288e-02	0.033939
1379477.082357	2.882202	3.200905e-01	0.033939
1379527.086691	1.831382	5.237131e-01	0.033939
1379577.091026	0.000000	6.286098e+00	0.016970
1379627.095360	1.026412	2.305076e+01	0.033939
1379677.099695	1.961003	3.872213e-02	0.033939
1379727.104029	0.270656	2.473697e-02	0.033939
1379777.108364	2.977684	2.954703e-01	0.033939
1379827.112698	3.990918	1.180971e-02	0.033939
1379877.117033	6.430660	9.692136e-03	0.016970
1379927.121368	2.279646	2.004054e-01	0.016970
1379977.125702	7.660569	1.024001e-02	0.016970
1380027.130037	2.002349	2.442497e-01	0.016970
1380077.134371	2.003683	1.210478e-01	0.016970
1380127.138706	1.983891	2.463310e-02	0.033939
1380177.143040	2.810963	6.025819e-02	0.033939
1380227.147375	1.908194	5.878601e-01	0.033939
1380277.151709	3.849973	1.081750e+00	0.033939
1380327.156044	0.743454	5.045323e-02	0.033939
1380377.160379	6.878885	2.366115e-02	0.016970
1380427.164713	6.815967	1.837209e-02	0.016970
1380477.169048	4.800882	2.115771e-02	0.016970
1380527.173382	5.661826	4.107149e-02	0.016970
1380577.177717	2.646586	8.063310e-02	0.016970
1380627.182051	4.394150	5.433270e-01	0.033939
1380677.186386	9.196486	8.265236e-02	0.033939
1380727.190720	2.257681	3.631217e-01	0.033939
1380777.195055	3.877024	3.895478e-01	0.016970
1380827.199389	7.513745	3.919017e-02	0.016970
1380877.203724	6.501324	2.386653e-02	0.016970
1380927.208059	0.884414	1.146274e+01	0.033939
1380977.212393	3.150726	6.275742e-02	0.033939
1381027.216728	0.524831	3.444623e+00	0.033939
1381077.221062	2.591993	3.735747e-02	0.016970
1381127.225397	2.280695	1.209368e-01	0.033939
1381177.229731	0.000000	1.019518e+00	0.016970
1381227.234066	0.140321	4.178032e+00	0.033939
1381277.238400	0.000000	3.705535e+00	0.016970
1381327.242735	1.697165	1.543265e-01	0.016970
1381377.247070	0.685833	1.171067e+00	0.033939
1381427.251404	1.035764	2.252494e-01	0.033939
1381477.255739	1.349455	4.692288e+01	0.016970
1381527.260073	0.000000	6.896844e+00	0.016970
1381577.264408	0.659349	3.607460e-01	0.033939
1381627.268742	0.147838	2.334716e-01	0.033939
1381677.273077	3.708931	5.423164e-02	0.033939
1381727.277411	5.610549	8.554480e-02	0.033939
1381777.281746	5.945925	9.885371e-02	0.016970
1381827.286081	8.678295	4.681028e-02	0.033939
1381877.290415	4.773674	1.572936e-01	0.033939
1381927.294750	0.790525	6.938522e-01	0.033939
1381977.299084	3.832988	6.936785e-01	0.033939
1382027.303419	8.005829	4.343053e-02	0.033939
1382077.307753	7.769708	2.686414e-02	0.033939
1382127.312088	6.948246	2.050189e-02	0.033939
1382177.316422	1.883099	2.936257e-02	0.033939
1382227.320757	1.652966	2.467507e-02	0.033939
1382277.325092	5.968981	9.605190e-03	0.033939
1382327.329426	3.360265	1.007835e-02	0.033939
1382377.333761	0.217669	1.254361e-01	0.033939
1382427.338095	2.014124	1.891736e-02	0.033939
