location	LR	alpha
560663.000000	0.127168	3.781043e+07
560713.002444	0.000000	2.168824e+05
560763.004887	0.203025	1.678088e+07
560813.007331	0.370531	1.846913e+07
560863.009774	0.159067	1.810122e+04
560913.012218	0.081843	3.150631e+04
560963.014661	0.010787	8.068881e+07
561013.017105	1.229042	5.952867e+04
561063.019548	0.877728	7.535197e+07
561113.021992	0.972786	5.825646e+03
561163.024436	0.078317	1.041597e+06
561213.026879	0.207819	1.288872e+08
561263.029323	0.081955	3.683928e+05
561313.031766	0.418193	1.887591e+04
561363.034210	1.165416	1.031463e+04
561413.036653	0.612943	1.352724e+04
561463.039097	0.066617	1.114083e+05
561513.041541	0.873648	9.530932e+07
561563.043984	0.163184	3.928884e+04
561613.046428	0.377011	1.151069e+04
561663.048871	0.305125	9.875359e+07
561713.051315	0.449495	5.091171e+04
561763.053758	0.487231	3.964895e+04
561813.056202	0.613387	9.927083e+03
561863.058645	0.085704	1.144167e+05
561913.061089	0.614465	1.030418e+04
561963.063533	0.827240	7.532224e+04
562013.065976	0.190060	6.935696e+04
562063.068420	0.024790	4.503373e+07
562113.070863	0.607742	1.372695e+04
562163.073307	1.092529	7.982502e+03
562213.075750	0.335417	1.267406e+08
562263.078194	0.888152	9.144008e+03
562313.080638	0.423444	2.618534e+04
562363.083081	0.221262	2.740742e+04
562413.085525	0.099147	4.615966e+04
562463.087968	0.000000	1.506251e+06
562513.090412	0.021377	2.469962e+08
562563.092855	0.093999	1.089785e+04
562613.095299	0.043965	1.179245e+04
562663.097742	0.054129	3.967992e+04
562713.100186	0.000000	1.015433e+06
562763.102630	0.227556	3.510247e+04
562813.105073	0.689964	2.045035e+04
562863.107517	0.142637	3.716258e+03
562913.109960	0.537367	7.407883e+03
562963.112404	0.595352	7.063616e+04
563013.114847	0.596420	2.525417e+07
563063.117291	0.072430	8.591083e+04
563113.119734	0.080176	2.407933e+08
563163.122178	0.165742	5.717600e+04
563213.124622	0.076044	2.375573e+08
563263.127065	0.012634	4.533960e+04
563313.129509	0.006423	1.958697e+08
563363.131952	0.194453	6.438072e+04
563413.134396	0.094813	2.102831e+08
563463.136839	0.139067	4.318130e+07
563513.139283	0.319098	2.397101e+04
563563.141727	0.019216	1.766653e+05
563613.144170	0.163335	4.861255e+07
563663.146614	0.306292	1.190071e+08
563713.149057	1.557496	8.729189e+03
563763.151501	0.313922	2.621522e+04
563813.153944	0.191160	3.792363e+04
563863.156388	0.127168	3.626601e+05
563913.158831	0.492356	8.522816e+03
563963.161275	0.210505	3.110509e+04
564013.163719	0.002442	8.703852e+04
564063.166162	0.000000	6.321485e+05
564113.168606	0.000001	1.553218e+05
564163.171049	0.000170	4.308695e+08
564213.173493	0.193940	1.371248e+04
564263.175936	0.028777	9.644947e+03
564313.178380	0.011732	7.117755e+03
564363.180824	0.006280	5.712025e+03
564413.183267	0.003856	4.803971e+03
564463.185711	0.002555	4.173278e+03
564513.188154	0.001762	3.708550e+03
564563.190598	0.001051	3.416849e+03
564613.193041	0.000094	3.758382e+03
564663.195485	0.000000	1.067206e+04
564713.197928	0.000000	1.225646e+04
564763.200372	0.032753	1.854440e+03
564813.202816	0.045542	2.037208e+03
564863.205259	0.049063	2.359752e+03
564913.207703	0.052474	2.838740e+03
564963.210146	0.053476	3.582654e+03
565013.212590	0.009848	4.883976e+03
565063.215033	0.107876	7.673388e+03
565113.217477	1.921105	6.721695e+06
565163.219920	0.152232	1.904307e+08
565213.222364	0.000000	3.141782e+05
565263.224808	1.202751	2.828169e+04
565313.227251	0.003811	3.462507e+08
565363.229695	0.000162	4.974529e+08
565413.232138	0.071858	2.639310e+08
565463.234582	0.000000	1.200000e+09
565513.237025	0.000000	3.726172e+05
565563.239469	0.000000	3.534886e+05
565613.241913	0.000277	4.657841e+08
565663.244356	0.029912	4.914440e+04
565713.246800	0.772325	7.512489e+07
565763.249243	0.533120	1.391183e+08
565813.251687	0.328930	1.992448e+04
565863.254130	2.451581	1.392145e+07
565913.256574	0.248663	3.298168e+04
565963.259017	0.436968	1.837513e+04
566013.261461	0.334077	1.420951e+05
566063.263905	0.141075	1.753342e+08
566113.266348	0.749066	8.947587e+07
566163.268792	0.048081	2.673165e+08
566213.271235	0.000411	4.282207e+08
566263.273679	0.000969	9.827746e+04
566313.276122	0.444611	1.431189e+04
566363.278566	0.041614	1.219521e+05
