location	LR	alpha
800736.000000	0.000000	1.200000e+03
800786.001452	1.089789	9.056175e-03
800836.002903	0.461750	1.672746e-03
800886.004355	0.455251	1.334783e-03
800936.005806	0.430039	1.256435e-03
800986.007258	0.394981	1.249807e-03
801036.008709	0.356707	1.283545e-03
801086.010161	0.318478	1.348313e-03
801136.011612	0.282283	1.437049e-03
801186.013064	0.249535	1.543978e-03
801236.014515	0.221054	1.663357e-03
801286.015967	0.197178	1.801359e-03
801336.017418	0.177898	1.973042e-03
801386.018870	0.163577	2.234512e-03
801436.020321	0.198841	4.742643e-03
801486.021773	0.642764	9.878762e-03
801536.023224	0.000000	5.166983e+02
801586.024676	0.000000	2.551852e-01
801636.026127	0.000000	1.236781e-01
801686.027579	0.000000	8.161736e-02
801736.029030	0.000000	6.090475e-02
801786.030482	0.000000	4.857701e-02
801836.031934	0.000000	4.039970e-02
801886.033385	0.000000	3.457881e-02
801936.034837	0.000000	3.022405e-02
801986.036288	0.000000	2.684346e-02
802036.037740	0.003779	6.838455e-03
802086.039191	0.018387	6.684274e-03
802136.040643	0.026706	7.184290e-03
802186.042094	0.029663	8.110776e-03
802236.043546	0.030171	9.538595e-03
802286.044997	0.029411	1.173846e-02
802336.046449	0.026742	1.558252e-02
802386.047900	0.022047	2.430153e-02
802436.049352	0.019826	5.283931e-02
802486.050803	0.019794	4.705906e-01
802536.052255	0.020763	1.322534e-01
802586.053706	0.000935	7.266914e-01
802636.055158	0.001395	6.331540e-02
802686.056609	0.002795	3.103290e-02
802736.058061	0.004116	2.040886e-02
802786.059512	0.005291	1.511110e-02
802836.060964	0.006388	1.195720e-02
802886.062416	0.007634	9.797712e-03
802936.063867	0.013510	7.389023e-03
802986.065319	0.093829	5.049243e-03
803036.066770	0.163517	5.086543e-03
803086.068222	0.179943	5.484775e-03
803136.069673	0.165243	6.255312e-03
803186.071125	0.149853	7.433105e-03
803236.072576	0.143613	9.080327e-03
803286.074028	0.149862	1.155017e-02
803336.075479	0.198130	1.574350e-02
803386.076931	0.906484	2.505708e-02
803436.078382	0.000000	5.773722e+00
803486.079834	0.043433	2.215458e+00
803536.081285	0.037739	4.259682e-01
803586.082737	0.001604	4.314384e-01
803636.084188	2.011564	5.923701e-02
803686.085640	1.478043	2.366099e-02
803736.087091	0.000935	7.219223e-01
803786.088543	1.341153	6.414090e-02
803836.089994	1.555729	4.669674e-02
803886.091446	0.001604	1.789741e+00
803936.092898	1.395254	6.591830e-02
803986.094349	0.000000	3.878038e+00
804036.095801	0.019138	5.342319e-02
804086.097252	0.186859	3.967803e-02
804136.098704	0.120926	4.163231e-01
804186.100155	0.151876	2.491761e-02
804236.101607	0.616777	9.946989e-03
804286.103058	0.001604	8.325053e-01
804336.104510	0.125039	5.961123e-03
804386.105961	0.005122	2.912789e-02
804436.107413	0.004640	2.043337e-02
804486.108864	0.000000	8.114079e-02
804536.110316	0.000000	1.225870e-01
804586.111767	0.000000	2.505835e-01
804636.113219	0.000000	5.678542e+00
804686.114670	0.049330	8.155270e-02
804736.116122	0.051573	3.202034e-02
804786.117573	0.705500	1.054868e-02
804836.119025	0.351779	2.378262e-02
804886.120477	0.622986	1.473323e-01
804936.121928	0.267783	2.107077e-02
804986.123380	0.250102	8.918953e-03
805036.124831	0.230688	6.291503e-03
805086.126283	0.126258	4.783991e-03
805136.127734	0.503379	2.004167e-03
805186.129186	1.547906	1.479487e-03
805236.130637	2.647987	1.354712e-03
805286.132089	3.761085	1.334790e-03
805336.133540	2.964231	1.273062e-03
805386.134992	0.000000	1.353637e+00
805436.136443	0.000000	1.104611e+00
805486.137895	0.000000	6.444321e+00
805536.139346	1.020704	1.270511e-03
805586.140798	0.273542	1.377579e-03
805636.142249	0.468140	1.730824e-03
805686.143701	6.087128	1.626595e-03
805736.145152	8.355300	1.929940e-03
805786.146604	10.575045	1.553759e-03
805836.148055	6.123366	1.328426e-03
805886.149507	0.233705	1.390784e-03
805936.150959	7.376143	1.161432e-03
805986.152410	6.544419	1.273646e-03
806036.153862	0.131608	1.799533e-03
806086.155313	0.015155	4.924517e-01
806136.156765	5.340998	9.620639e-04
806186.158216	6.255692	8.969110e-04
806236.159668	6.408656	8.753136e-04
806286.161119	3.506637	8.377205e-04
806336.162571	6.969506	7.933874e-04
806386.164022	5.409289	7.478461e-04
806436.165474	0.598532	5.682039e-01
806486.166925	4.350544	6.922799e-04
806536.168377	6.785793	6.739568e-04
806586.169828	7.796648	6.623773e-04
806636.171280	8.248823	6.553032e-04
806686.172731	8.404951	6.515850e-04
806736.174183	8.375677	6.506238e-04
806786.175634	8.214028	6.521408e-04
806836.177086	7.945150	6.561151e-04
806886.178537	7.577341	6.627869e-04
806936.179989	7.105550	6.727403e-04
806986.181441	6.510102	6.871255e-04
807036.182892	5.749441	7.081591e-04
807086.184344	4.739571	7.404091e-04
807136.185795	3.290293	7.951965e-04
807186.187247	0.821576	9.128288e-04
807236.188698	0.001604	1.885836e+00
807286.190150	0.817778	8.662892e-03
807336.191601	0.000000	9.096699e-01
807386.193053	1.695950	1.335443e-03
807436.194504	2.331352	1.241343e-03
807486.195956	2.456006	1.256963e-03
807536.197407	2.325122	1.321081e-03
