location	LR	alpha
295047.000000	0.000042	4.637496e+08
295097.003001	0.000000	3.000901e+05
295147.006002	0.000000	3.398980e+08
295197.009003	0.003172	9.326310e+04
295247.012004	0.000000	1.200000e+09
295297.015005	0.001176	6.344118e+07
295347.018005	0.008017	1.720687e+08
295397.021006	0.000000	1.200000e+09
295447.024007	0.000340	5.339336e+07
295497.027008	0.000000	3.593934e+05
295547.030009	0.011405	3.091288e+04
295597.033010	0.000000	6.313025e+05
295647.036011	3.668258	3.027234e+07
295697.039012	0.000000	1.200000e+09
295747.042013	0.000000	2.504309e+05
295797.045014	0.278198	1.265806e+04
295847.048014	0.036507	1.965595e+08
295897.051015	0.079555	3.922656e+04
295947.054016	0.102668	3.171876e+04
295997.057017	0.053036	1.394763e+08
296047.060018	0.000000	5.657556e+05
296097.063019	0.000336	1.040088e+07
296147.066020	0.036644	1.024663e+08
296197.069021	0.004026	1.589806e+05
296247.072022	1.579271	1.494291e+07
296297.075023	0.000000	1.200000e+09
296347.078023	3.630088	6.402364e+06
296397.081024	0.622827	3.982526e+07
296447.084025	0.605933	6.000708e+03
296497.087026	0.036988	4.796944e+07
296547.090027	0.000717	8.339791e+04
296597.093028	0.053845	1.825169e+08
296647.096029	0.000000	7.096291e+05
296697.099030	0.000000	1.006767e+06
296747.102031	1.564676	7.633043e+03
296797.105032	4.122368	1.654590e+04
296847.108032	0.000000	3.856053e+05
296897.111033	0.000000	2.161514e+07
296947.114034	0.000208	4.331921e+08
296997.117035	0.000000	1.200000e+09
297047.120036	0.000000	1.200000e+09
297097.123037	0.000541	3.538524e+08
297147.126038	0.036988	4.796944e+07
297197.129039	0.375150	1.126110e+04
297247.132040	0.784239	8.437237e+04
297297.135041	0.000000	1.200000e+09
297347.138041	0.024177	2.191078e+08
297397.141042	0.311376	8.703219e+07
297447.144043	0.051782	2.021432e+08
297497.147044	0.026017	5.304678e+04
297547.150045	0.000000	9.597123e+06
297597.153046	0.077390	1.355048e+08
297647.156047	0.899163	6.897683e+03
297697.159048	1.378710	5.887484e+03
297747.162049	0.278792	7.903270e+03
297797.165050	0.100969	6.209790e+04
297847.168050	0.000000	1.200000e+09
297897.171051	0.098032	1.139823e+08
297947.174052	0.020972	7.312781e+05
297997.177053	0.000005	4.073988e+05
298047.180054	0.000000	3.507235e+05
298097.183055	0.000000	4.400800e+05
298147.186056	0.000026	9.742809e+04
298197.189057	0.000013	1.099653e+05
298247.192058	0.008203	2.540106e+08
298297.195059	0.005677	2.426193e+08
298347.198059	0.000184	8.498903e+04
298397.201060	0.000151	3.202841e+08
298447.204061	0.000000	6.139197e+05
298497.207062	0.359670	9.100085e+03
298547.210063	2.083004	1.315688e+04
298597.213064	0.155697	1.411011e+08
298647.216065	0.000000	1.200000e+09
298697.219066	0.000000	1.200000e+09
298747.222067	0.000000	1.200000e+09
298797.225068	0.003949	1.807843e+08
298847.228068	0.033000	1.827285e+04
298897.231069	0.048011	1.568906e+08
298947.234070	0.000000	1.200000e+09
298997.237071	0.000000	1.200000e+09
299047.240072	0.000000	4.895202e+06
299097.243073	0.040366	3.912880e+04
299147.246074	6.078607	7.332870e+03
299197.249075	4.015008	3.880140e+03
299247.252076	1.964129	9.774776e+06
299297.255077	0.077536	1.454144e+08
299347.258077	3.500487	4.021359e+03
299397.261078	0.492337	1.619009e+07
299447.264079	0.858326	2.999042e+03
299497.267080	0.000000	1.490854e+05
299547.270081	0.101306	5.827484e+04
299597.273082	0.000000	7.107389e+05
299647.276083	0.022934	2.143379e+08
299697.279084	0.022828	2.588105e+04
299747.282085	0.020477	1.267380e+04
299797.285086	0.016794	8.760698e+03
299847.288086	0.013649	6.827136e+03
299897.291087	0.011263	5.644170e+03
299947.294088	0.009522	4.826835e+03
299997.297089	0.008475	4.191272e+03
300047.300090	0.008999	3.595678e+03
300097.303091	0.013305	3.067528e+03
300147.306092	0.019053	2.849107e+03
300197.309093	0.020107	2.910634e+03
300247.312094	0.017444	3.194652e+03
300297.315095	0.015252	3.651685e+03
300347.318095	0.014151	4.222326e+03
300397.321096	0.012871	4.947428e+03
