location	LR	alpha
560740.000000	10.068467	1.406975e+02
560790.001678	19.936805	1.467961e+02
560840.003355	20.343421	1.512980e+02
560890.005033	19.730865	1.574887e+02
560940.006711	17.877582	1.641271e+02
560990.008389	11.187846	1.728531e+02
561040.010066	0.501066	2.067000e+07
561090.011744	1.876796	9.336078e+06
561140.013422	17.207854	1.942822e+02
561190.015100	15.986755	1.964389e+02
561240.016777	12.516492	2.024078e+02
561290.018455	18.715466	2.047737e+02
561340.020133	22.213604	2.129698e+02
561390.021810	22.810225	2.188989e+02
561440.023488	22.151893	2.328343e+02
561490.025166	18.633590	2.520349e+02
561540.026844	1.825119	2.515419e+07
561590.028521	1.529627	2.933118e+02
561640.030199	13.215492	2.878722e+02
561690.031877	22.411775	2.888713e+02
561740.033555	21.662814	2.935831e+02
561790.035232	24.951005	2.943570e+02
561840.036910	24.179208	3.013473e+02
561890.038588	21.520416	3.230366e+02
561940.040266	18.970790	3.589283e+02
561990.041943	1.964337	1.820265e+07
562040.043621	6.822236	1.195838e+03
562090.045299	7.918980	2.156614e+03
562140.046976	3.035263	5.881911e+03
562190.048654	11.129452	5.087649e+02
562240.050332	13.021825	4.626964e+02
562290.052010	13.052158	4.489750e+02
562340.053687	11.403199	4.508467e+02
562390.055365	7.742928	4.754364e+02
562440.057043	5.476186	5.386569e+02
562490.058721	2.893756	9.229987e+02
562540.060398	2.257981	1.886032e+03
562590.062076	0.635129	2.819982e+03
562640.063754	0.041596	6.153243e+03
562690.065431	0.000000	1.967336e+05
562740.067109	0.025948	1.453002e+08
562790.068787	0.009627	4.017796e+04
562840.070465	0.225229	1.836085e+04
562890.072142	0.204231	5.887762e+03
562940.073820	0.825262	2.792019e+03
562990.075498	0.587662	1.282809e+07
563040.077176	1.751375	1.755813e+03
563090.078853	0.271723	2.907525e+04
563140.080531	1.501787	1.237282e+04
563190.082209	1.805359	9.590200e+03
563240.083886	0.800140	1.449919e+04
563290.085564	0.000000	1.200000e+09
563340.087242	0.240447	1.153129e+08
563390.088920	0.394067	3.952876e+07
563440.090597	0.053875	1.446083e+05
563490.092275	0.000000	1.200000e+09
563540.093953	0.129051	1.180814e+08
563590.095631	0.248718	1.439070e+04
563640.097308	0.283854	2.798059e+04
563690.098986	0.393440	1.300668e+04
563740.100664	0.080975	1.342675e+05
563790.102342	0.001079	7.746597e+04
