location	LR	alpha
635379.000000	0.000000	1.200000e+09
635429.005710	0.014487	3.857824e+04
635479.011421	0.000000	2.995723e+05
635529.017131	0.034225	2.811580e+04
635579.022841	0.000000	2.525769e+05
635629.028551	0.000000	7.900245e+04
635679.034262	0.000000	3.512389e+04
635729.039972	0.005817	2.970043e+03
635779.045682	0.000068	3.214962e+03
635829.051393	0.000000	1.520738e+04
635879.057103	0.000000	2.002213e+04
635929.062813	0.000000	2.929809e+04
635979.068523	0.000000	5.458782e+04
636029.074234	0.000000	3.989965e+05
636079.079944	0.000000	2.413784e+05
636129.085654	0.000000	3.943701e+05
636179.091364	0.000000	2.435999e+05
636229.097075	0.000000	4.743307e+04
636279.102785	0.000000	2.627459e+04
636329.108495	0.000000	2.730016e+04
636379.114206	0.000000	5.088391e+04
636429.119916	0.000000	3.737848e+05
636479.125626	0.000000	1.200000e+09
636529.131336	0.000000	1.903335e+05
636579.137047	0.047092	9.746673e+04
636629.142757	0.002854	2.248596e+08
636679.148467	0.000000	3.524813e+05
636729.154178	0.346323	3.906180e+07
636779.159888	0.036694	2.573704e+04
636829.165598	0.184850	6.944676e+03
636879.171308	0.141274	1.300733e+08
636929.177019	0.000000	4.572782e+05
636979.182729	0.019502	1.342536e+04
637029.188439	0.004286	7.393387e+04
637079.194149	0.000000	3.513698e+05
637129.199860	0.000000	3.037064e+05
637179.205570	0.000000	2.001033e+05
637229.211280	0.570659	6.777640e+03
637279.216991	0.222701	6.125445e+03
637329.222701	0.000000	4.242531e+05
637379.228411	0.000000	9.701725e+04
637429.234121	0.000000	3.873086e+04
637479.239832	0.000000	2.419493e+04
637529.245542	0.000000	1.759240e+04
637579.251252	0.000000	1.382085e+04
637629.256963	0.000000	1.138093e+04
637679.262673	0.000000	9.673239e+03
637729.268383	0.000000	8.411155e+03
637779.274093	0.000000	7.440391e+03
637829.279804	0.000000	6.670523e+03
637879.285514	0.000000	6.045035e+03
637929.291224	0.000000	5.526792e+03
637979.296934	0.000000	5.090391e+03
638029.302645	0.000000	4.717864e+03
638079.308355	0.000000	4.396144e+03
638129.314065	0.000000	4.115500e+03
638179.319776	0.000000	4.288699e+03
638229.325486	0.000000	4.594337e+03
638279.331196	0.000000	4.946884e+03
638329.336906	0.000000	5.358031e+03
638379.342617	0.000000	5.843718e+03
638429.348327	0.000000	6.426230e+03
638479.354037	0.000000	7.137737e+03
638529.359748	0.000000	8.026410e+03
638579.365458	0.000000	9.167840e+03
638629.371168	0.000000	1.068774e+04
638679.376878	0.000000	1.281174e+04
638729.382589	0.000000	1.598934e+04
638779.388299	0.000000	2.126306e+04
638829.394009	0.000000	3.172775e+04
638879.399719	0.000000	6.247503e+04
638929.405430	0.000000	2.021692e+06
638979.411140	0.000000	2.744015e+05
639029.416850	0.000000	8.200499e+04
639079.422561	0.000000	5.042653e+05
639129.428271	0.000000	3.079892e+05
639179.433981	0.000861	1.713265e+04
639229.439691	0.000000	2.743301e+05
639279.445402	0.000000	1.496966e+05
639329.451112	0.000000	2.909372e+05
639379.456822	0.000000	1.200000e+09
639429.462533	0.041437	1.839286e+04
639479.468243	0.000000	9.797526e+05
639529.473953	0.000000	1.680184e+05
639579.479663	0.000000	2.216447e+05
639629.485374	0.000000	1.200000e+09
639679.491084	0.000000	5.463403e+05
639729.496794	0.000000	1.200000e+09
639779.502505	0.002854	2.248596e+08
639829.508215	0.000000	1.503451e+05
639879.513925	0.000000	4.666691e+04
639929.519635	0.000000	2.762007e+04
639979.525346	0.115113	2.012273e+03
640029.531056	0.354199	2.343711e+03
640079.536766	0.349915	1.089162e+04
640129.542476	0.004293	4.933145e+04
640179.548187	0.048349	2.909095e+04
640229.553897	0.134158	3.482178e+04
640279.559607	0.000000	1.200000e+09
640329.565318	0.198528	2.288753e+04
640379.571028	0.311703	1.336612e+04
640429.576738	0.047091	9.373001e+05
640479.582448	0.048298	6.753975e+03
640529.588159	0.073413	2.907600e+03
640579.593869	0.008359	4.413951e+03
640629.599579	0.002585	8.992316e+03
640679.605290	0.002854	3.118749e+04
640729.611000	0.002789	2.662411e+04
640779.616710	0.000000	1.200000e+09
640829.622420	0.021920	3.535887e+04
640879.628131	1.610273	9.585944e+03
640929.633841	0.002914	7.468350e+04
640979.639551	0.190699	2.069624e+03
641029.645261	0.915130	1.960277e+03
641079.650972	0.990504	6.004561e+03
641129.656682	0.037784	1.226924e+08
641179.662392	0.290540	2.367736e+04
641229.668103	0.000000	1.200000e+09
641279.673813	0.893219	2.556881e+04
641329.679523	0.000870	2.731277e+08
641379.685233	0.355727	3.099159e+04
641429.690944	0.000000	1.200000e+09
641479.696654	0.000000	2.926034e+05
641529.702364	0.000000	2.968349e+05
641579.708075	0.044906	4.869049e+04
641629.713785	0.006443	2.164534e+04
641679.719495	0.033075	1.661594e+08
641729.725205	0.357660	1.767777e+04
641779.730916	0.421942	4.067010e+03
641829.736626	0.267422	1.950700e+04
641879.742336	0.000000	9.817658e+04
641929.748046	0.000000	4.090073e+05
641979.753757	0.000000	1.210068e+05
642029.759467	0.004299	3.584204e+04
642079.765177	0.047053	1.879087e+04
642129.770888	0.039456	5.592345e+03
642179.776598	0.053306	2.646162e+03
642229.782308	0.426312	1.211971e+03
642279.788018	0.932765	1.067073e+03
642329.793729	1.502061	1.114614e+03
642379.799439	2.321569	1.562483e+03
642429.805149	1.734042	1.254643e+03
642479.810860	1.103496	1.273049e+03
642529.816570	0.389633	2.060453e+03
642579.822280	0.286321	1.029259e+04
642629.827990	0.000000	1.018391e+06
642679.833701	0.000000	1.502638e+05
642729.839411	0.000000	1.118698e+05
642779.845121	0.000000	1.010105e+05
642829.850831	0.000000	2.044057e+05
642879.856542	0.000000	4.919786e+04
642929.862252	0.000000	2.796425e+04
642979.867962	0.000000	1.953361e+04
643029.873673	0.000000	2.397757e+04
643079.879383	0.000000	3.806363e+04
643129.885093	0.000000	9.226853e+04
643179.890803	0.000000	3.038318e+05
643229.896514	0.000000	7.353247e+04
643279.902224	0.295761	1.539557e+03
643329.907934	1.515632	1.725163e+03
643379.913645	1.341140	4.249780e+03
643429.919355	2.789788	1.999324e+03
643479.925065	1.809955	9.547775e+02
643529.930775	1.107915	7.907734e+02
643579.936486	0.000000	3.630595e+06
643629.942196	0.167463	9.147150e+02
643679.947906	0.338769	6.775394e+03
643729.953617	0.439725	1.194645e+03
643779.959327	0.000000	6.930174e+04
643829.965037	0.000000	1.200000e+09
643879.970747	0.169098	8.266979e+03
643929.976458	0.466733	2.819543e+03
643979.982168	0.000000	1.427275e+06
644029.987878	1.443671	1.137602e+04
644079.993588	0.000000	2.298772e+05
644129.999299	0.000000	8.905428e+04
644180.005009	0.000000	6.385511e+04
644230.010719	0.000000	1.132045e+06
644280.016430	0.000000	2.011653e+05
644330.022140	0.024549	1.787584e+04
644380.027850	0.709917	5.248077e+03
644430.033560	0.249386	4.195939e+03
644480.039271	0.419629	4.261703e+03
644530.044981	0.000000	1.287829e+05
