location	LR	alpha	D
5223887.000000	2.248198	7.161108e+01	0.037612
5223937.006014	0.000000	2.856734e-01	0.018806
5223987.012028	0.000000	2.400578e-01	0.018806
5224037.018041	0.033794	1.771713e+02	0.037612
5224087.024055	0.256607	1.237420e-01	0.037612
5224137.030069	0.860028	3.753528e-01	0.018806
5224187.036083	1.425278	7.157481e-01	0.037612
5224237.042097	1.058990	9.965040e-01	0.018806
5224287.048111	0.991346	3.744371e-01	0.037612
5224337.054124	1.820660	5.261908e-02	0.037612
5224387.060138	9.335794	1.078486e-02	0.037612
5224437.066152	1.608662	1.186204e+00	0.037612
5224487.072166	2.800364	2.026781e-02	0.037612
5224537.078180	1.161670	5.827456e-02	0.037612
5224587.084194	1.912766	1.758034e+00	0.037612
5224637.090207	1.257129	1.189272e+00	0.037612
5224687.096221	1.604986	1.736709e-01	0.018806
5224737.102235	1.340065	4.930306e-01	0.037612
5224787.108249	0.033794	2.952855e+01	0.037612
5224837.114263	1.444453	3.199026e-02	0.037612
5224887.120277	2.027539	1.289867e+00	0.037612
5224937.126290	4.078635	3.786998e-02	0.037612
5224987.132304	1.901075	7.348558e-01	0.037612
5225037.138318	0.826855	2.335394e+00	0.018806
5225087.144332	0.000000	1.402413e+01	0.018806
5225137.150346	2.665754	1.141223e-01	0.037612
5225187.156360	1.663746	5.953456e-01	0.018806
5225237.162373	1.545388	1.603471e-01	0.018806
5225287.168387	1.749418	8.943988e-02	0.018806
5225337.174401	1.093402	2.986977e-01	0.037612
5225387.180415	3.025973	5.267324e-02	0.037612
5225437.186429	1.997717	4.243079e-02	0.037612
5225487.192443	0.478342	9.389116e-02	0.037612
5225537.198456	0.522928	1.307168e-01	0.037612
5225587.204470	1.227559	3.904399e-01	0.037612
5225637.210484	0.717670	3.041596e-01	0.037612
5225687.216498	1.985748	2.306731e-02	0.037612
5225737.222512	1.411954	2.054013e-02	0.037612
5225787.228526	0.736667	1.892063e-02	0.018806
5225837.234539	2.692427	6.657994e-02	0.037612
5225887.240553	0.294151	3.241136e-02	0.018806
