location	LR	alpha
635538.000000	0.352812	4.761760e+07
635588.007020	0.129531	8.824789e+07
635638.014039	0.488597	3.777756e+03
635688.021059	0.129752	4.082932e+03
635738.028079	0.000000	1.236842e+05
635788.035098	0.000000	1.440450e+05
635838.042118	0.009327	1.564316e+04
635888.049138	0.010687	3.263251e+04
635938.056157	0.198301	1.163927e+04
635988.063177	0.004994	4.491224e+04
636038.070197	0.227109	1.649278e+04
636088.077216	0.131684	2.235248e+04
636138.084236	0.942401	2.518901e+04
636188.091256	1.102578	3.353743e+07
636238.098275	1.895074	1.388303e+03
636288.105295	1.376967	1.459914e+03
636338.112314	0.955095	1.835883e+03
636388.119334	0.687996	2.527200e+03
636438.126354	0.647289	4.194751e+03
636488.133373	0.615035	1.005519e+04
636538.140393	0.289471	1.422874e+05
636588.147413	0.253864	1.385268e+08
636638.154432	0.258293	1.154469e+04
636688.161452	0.184458	2.275229e+08
636738.168472	0.508731	1.489846e+04
636788.175491	0.000000	1.200000e+09
636838.182511	0.000000	1.200000e+09
636888.189531	2.018473	2.927777e+03
636938.196550	0.167071	3.565866e+03
636988.203570	0.107764	5.451969e+03
637038.210590	0.554187	3.107184e+07
637088.217609	0.094443	2.167310e+08
637138.224629	0.118365	1.583677e+04
637188.231649	0.124626	5.987439e+04
637238.238668	0.421044	8.388670e+03
637288.245688	0.265204	4.531350e+03
637338.252708	1.215519	3.326582e+03
637388.259727	0.700247	2.386198e+03
637438.266747	0.355496	2.016911e+03
637488.273767	0.237241	1.746382e+03
637538.280786	0.194799	1.549042e+03
637588.287806	0.193428	1.398726e+03
637638.294826	0.221205	1.274277e+03
637688.301845	0.276203	1.163737e+03
637738.308865	0.365781	1.063597e+03
637788.315884	0.513777	9.745059e+02
637838.322904	0.801979	8.964519e+02
637888.329924	1.726634	9.201800e+02
637938.336943	0.813391	7.794426e+02
637988.343963	0.582713	7.208276e+02
638038.350983	0.485697	6.405976e+02
638088.358002	0.474173	5.591441e+02
638138.365022	0.523781	5.115423e+02
638188.372042	0.601372	4.867938e+02
638238.379061	0.687767	4.725837e+02
638288.386081	0.773882	4.638982e+02
638338.393101	0.855280	4.588184e+02
638388.400120	0.930324	4.565415e+02
638438.407140	0.999070	4.569963e+02
638488.414160	1.062966	4.604111e+02
638538.421179	1.124703	4.674296e+02
638588.428199	1.188222	4.790182e+02
638638.435219	1.258924	4.962097e+02
638688.442238	1.343556	5.190673e+02
638738.449258	1.450339	5.474985e+02
638788.456278	1.590520	5.814589e+02
638838.463297	1.783880	6.219708e+02
638888.470317	2.080365	6.699821e+02
638938.477337	2.757874	7.388264e+02
638988.484356	1.820214	8.713089e+02
639038.491376	1.901820	1.089268e+03
639088.498396	2.075289	9.700262e+02
639138.505415	1.679669	1.046294e+03
639188.512435	1.405561	1.013684e+03
639238.519454	1.719959	1.105450e+03
639288.526474	0.316363	3.951699e+03
639338.533494	0.000000	1.021688e+06
639388.540513	0.120165	8.619218e+04
639438.547533	0.675049	6.283365e+03
639488.554553	0.729905	2.758476e+03
639538.561572	1.311219	1.784632e+03
639588.568592	2.186491	2.370939e+03
639638.575612	0.299057	5.423617e+07
639688.582631	0.818998	3.642575e+05
639738.589651	0.016975	1.375910e+05
639788.596671	0.000000	1.200000e+09
639838.603690	0.000000	6.013706e+04
639888.610710	0.000000	7.807908e+05
639938.617730	0.000000	6.591267e+04
639988.624749	0.000000	2.341425e+05
640038.631769	0.547592	9.402128e+03
640088.638789	1.648303	1.014991e+03
640138.645808	0.196770	3.419109e+03
640188.652828	0.735758	4.542400e+07
640238.659848	0.000219	4.296347e+08
640288.666867	0.000000	1.200000e+09
640338.673887	0.001041	3.686314e+08
640388.680907	1.591723	3.349176e+04
640438.687926	1.951525	1.821239e+03
640488.694946	0.070427	2.978332e+04
640538.701966	0.535035	3.702751e+07
640588.708985	0.200882	8.962571e+04
640638.716005	0.452523	1.605587e+04
640688.723024	0.545461	6.469011e+03
640738.730044	1.317459	4.544813e+03
640788.737064	0.000000	3.135552e+06
640838.744083	0.050622	2.047853e+08
640888.751103	1.445811	1.626246e+04
640938.758123	0.000000	1.200000e+09
640988.765142	0.000390	1.239598e+06
641038.772162	0.361055	3.236481e+07
641088.779182	0.034596	2.138218e+08
641138.786201	0.019233	1.036662e+05
641188.793221	0.508952	4.747868e+03
641238.800241	0.424569	1.065370e+08
641288.807260	0.225754	2.172954e+04
641338.814280	0.733564	3.318802e+07
641388.821300	0.000000	1.200000e+09
641438.828319	0.003106	3.994149e+04
641488.835339	0.000431	1.977364e+05
641538.842359	3.015392	6.358616e+06
641588.849378	0.470878	4.573743e+04
641638.856398	1.223014	5.038491e+03
641688.863418	1.657362	2.696261e+03
641738.870437	0.000000	1.200000e+09
641788.877457	0.029337	7.704437e+07
641838.884477	0.000000	2.814961e+05
641888.891496	0.038142	1.164979e+04
641938.898516	0.004385	6.604629e+03
641988.905535	0.000000	3.998608e+05
642038.912555	0.162404	2.231163e+04
642088.919575	0.153922	2.073070e+04
642138.926594	0.103833	3.801712e+03
642188.933614	0.002758	5.076054e+03
