location	LR	alpha	D
1850835.000000	6.005913	1.615074e-02	0.017691
1850885.004800	2.204993	1.630446e-02	0.017691
1850935.009599	3.123430	1.866279e-02	0.017691
1850985.014399	4.778305	9.539062e-03	0.017691
1851035.019198	4.772816	9.975218e-03	0.017691
1851085.023998	4.256010	1.342318e-02	0.017691
1851135.028797	2.441575	4.527726e-01	0.035382
1851185.033597	3.951480	3.973952e-02	0.035382
1851235.038396	7.527479	3.498933e-02	0.017691
1851285.043196	3.383138	1.293164e-02	0.017691
1851335.047995	7.658473	7.267137e-03	0.017691
1851385.052795	2.405537	1.968917e-01	0.017691
1851435.057594	4.620407	8.394989e-02	0.017691
1851485.062394	4.948393	5.355652e-02	0.017691
1851535.067193	3.238683	3.870128e-02	0.017691
1851585.071993	2.863223	3.332667e-02	0.017691
1851635.076792	4.494376	3.489150e-02	0.035382
1851685.081592	3.421539	7.403681e-02	0.035382
1851735.086391	0.000000	1.389028e+02	0.017691
1851785.091191	4.262308	2.642640e-02	0.035382
1851835.095990	5.704642	2.170358e-02	0.017691
1851885.100790	6.042834	1.754128e-02	0.017691
1851935.105589	5.678116	1.175197e-02	0.017691
1851985.110389	6.185165	1.530397e-02	0.017691
1852035.115188	2.896907	2.189320e-02	0.035382
1852085.119988	4.030492	1.560874e-01	0.035382
1852135.124788	2.906631	7.413119e-02	0.035382
1852185.129587	2.116217	3.198894e-02	0.017691
1852235.134387	3.197673	3.039009e-02	0.017691
1852285.139186	3.394931	7.699177e-02	0.035382
1852335.143986	2.527362	7.813963e-01	0.035382
1852385.148785	2.210165	4.641948e-01	0.035382
1852435.153585	2.451717	5.006017e-01	0.035382
1852485.158384	2.698264	1.679638e-01	0.035382
1852535.163184	3.767187	5.526529e-03	0.017691
1852585.167983	2.471198	3.730417e-01	0.035382
1852635.172783	2.309114	1.320992e+00	0.035382
1852685.177582	0.000000	1.019037e+01	0.017691
1852735.182382	0.207326	6.276727e-02	0.035382
1852785.187181	3.745771	6.335173e-03	0.017691
1852835.191981	9.272929	6.299849e-03	0.035382
1852885.196780	0.801964	1.129046e+00	0.035382
1852935.201580	6.296143	4.439842e-03	0.035382
1852985.206379	3.788026	6.838414e-03	0.017691
1853035.211179	5.043961	6.822875e-03	0.035382
1853085.215978	3.453115	9.027879e-03	0.035382
1853135.220778	0.972906	6.435076e-03	0.035382
1853185.225577	0.352343	3.996995e-02	0.035382
1853235.230377	0.335094	1.628741e+00	0.035382
1853285.235176	1.086258	4.657514e-01	0.035382
1853335.239976	4.497579	2.365744e-02	0.035382
1853385.244776	0.000000	1.298030e+00	0.017691
1853435.249575	0.000000	1.777666e+00	0.017691
1853485.254375	0.107282	4.402964e-01	0.035382
1853535.259174	0.102396	1.553214e-01	0.035382
1853585.263974	0.000000	1.023333e-01	0.017691
1853635.268773	0.000000	7.174084e-02	0.017691
1853685.273573	0.000000	5.522992e-02	0.017691
1853735.278372	0.000000	4.489701e-02	0.017691
1853785.283172	0.800069	3.666550e-02	0.017691
1853835.287971	1.758957	1.934988e-03	0.017691
1853885.292771	3.693002	1.939396e-03	0.017691
1853935.297570	3.964844	1.955417e-03	0.017691
1853985.302370	3.258942	6.227375e-02	0.035382
1854035.307169	4.710758	1.908490e-03	0.017691
1854085.311969	7.798226	1.929978e-03	0.035382
1854135.316768	5.512158	1.945625e-03	0.035382
1854185.321568	0.856817	3.752149e-02	0.017691
1854235.326367	1.327889	3.747426e-02	0.035382
1854285.331167	0.799047	5.099196e-02	0.035382
1854335.335966	0.788670	3.699868e-02	0.035382
1854385.340766	2.498361	3.224368e-03	0.035382
1854435.345565	3.065834	3.268282e-03	0.035382
1854485.350365	2.975571	3.314597e-03	0.017691
1854535.355164	1.812095	3.298837e-03	0.017691
1854585.359964	0.000000	7.759957e-02	0.017691
1854635.364764	0.000000	1.146841e-01	0.017691
1854685.369563	0.000000	2.196578e-01	0.017691
1854735.374363	0.000000	2.594238e+00	0.017691
1854785.379162	0.653918	4.578688e+00	0.035382
1854835.383962	1.537375	8.499295e-02	0.035382
1854885.388761	0.000000	1.963226e+01	0.017691
1854935.393561	1.410765	1.857400e-01	0.017691
1854985.398360	0.874920	8.218252e-01	0.017691
1855035.403160	0.085703	5.905557e+00	0.035382
1855085.407959	0.000000	1.396642e+00	0.017691
1855135.412759	0.000000	1.251664e+00	0.017691
1855185.417558	0.000000	3.945091e-01	0.017691
1855235.422358	0.000000	2.621438e+00	0.017691
1855285.427157	2.761122	9.200542e-02	0.035382
1855335.431957	0.000000	2.019116e-01	0.017691
1855385.436756	0.000000	1.096524e-01	0.017691
1855435.441556	0.000000	7.526270e-02	0.017691
1855485.446355	1.292856	7.866084e-02	0.017691
1855535.451155	1.292838	1.170174e-01	0.017691
1855585.455954	1.292761	2.283798e-01	0.017691
1855635.460754	1.292858	4.725811e+00	0.017691
1855685.465553	0.679701	2.287214e-01	0.035382
1855735.470353	0.000000	3.938256e-01	0.017691
1855785.475152	1.307647	2.757765e-01	0.035382
1855835.479952	0.876456	3.145312e-02	0.035382
1855885.484752	1.695307	2.016290e-01	0.035382
1855935.489551	0.085961	9.608033e-01	0.035382
1855985.494351	0.886336	4.789177e+00	0.017691
1856035.499150	2.142030	6.429213e-02	0.035382
1856085.503950	2.299178	2.436568e-02	0.035382
1856135.508749	0.886336	3.581154e-01	0.017691
1856185.513549	0.861925	3.811162e-01	0.017691
1856235.518348	0.861925	6.480059e-01	0.017691
