location	LR	alpha	D
1850731.000000	0.693337	1.005948e+01	0.039226
1850781.004599	2.511421	2.197821e-02	0.019613
1850831.009197	3.110007	2.419400e-02	0.019613
1850881.013796	3.098283	1.130882e-01	0.039226
1850931.018394	0.832456	1.336064e+00	0.019613
1850981.022993	2.272082	6.281965e-02	0.019613
1851031.027592	1.838119	4.054434e-02	0.019613
1851081.032190	1.940831	7.062699e-02	0.019613
1851131.036789	2.226956	7.455119e-02	0.019613
1851181.041388	1.168657	8.221509e-02	0.019613
1851231.045986	1.077509	1.250599e-01	0.019613
1851281.050585	1.071242	2.853705e-01	0.019613
1851331.055183	0.730892	2.144971e-01	0.039226
1851381.059782	0.535358	1.347409e-01	0.039226
1851431.064381	0.516963	1.361762e-01	0.039226
1851481.068979	1.363369	1.119327e+00	0.039226
1851531.073578	0.450535	1.948285e-02	0.039226
1851581.078177	1.695948	2.356554e-01	0.039226
1851631.082775	0.699303	1.883586e-02	0.039226
1851681.087374	0.825755	7.459263e-01	0.019613
1851731.091972	2.949191	3.920391e-02	0.039226
1851781.096571	2.551747	7.189786e-02	0.039226
1851831.101170	3.921532	9.477401e-01	0.039226
1851881.105768	2.970501	5.971881e-02	0.019613
1851931.110367	2.229286	2.302804e-01	0.039226
1851981.114966	1.909294	1.517136e-01	0.039226
1852031.119564	0.000000	1.996023e-01	0.019613
1852081.124163	0.631517	4.855860e-02	0.039226
1852131.128761	0.035469	2.073570e-01	0.039226
1852181.133360	1.695339	1.213757e-01	0.039226
1852231.137959	0.167848	2.073899e-01	0.019613
1852281.142557	1.757410	1.313022e-01	0.039226
1852331.147156	1.713135	1.794987e-01	0.039226
1852381.151754	0.590002	6.963935e-01	0.039226
1852431.156353	1.627720	1.310565e+00	0.039226
1852481.160952	1.122523	4.684555e-02	0.039226
1852531.165550	0.000000	7.128242e-01	0.019613
1852581.170149	0.939379	3.638917e-01	0.039226
1852631.174748	0.844411	3.445775e-01	0.019613
1852681.179346	2.016226	1.603835e-01	0.039226
1852731.183945	0.567091	1.298770e-01	0.039226
1852781.188543	0.497189	6.024443e-02	0.019613
1852831.193142	2.308261	5.337916e-02	0.019613
1852881.197741	0.458858	2.040738e-01	0.039226
1852931.202339	1.377727	8.131660e-01	0.039226
1852981.206938	0.000000	1.111826e+00	0.019613
1853031.211537	0.871246	9.237913e-01	0.019613
1853081.216135	0.748162	3.494358e-01	0.039226
1853131.220734	0.000000	2.843109e+00	0.019613
1853181.225332	3.175286	1.291901e+00	0.039226
1853231.229931	0.654701	5.270076e-01	0.039226
1853281.234530	1.838007	1.228819e+00	0.039226
1853331.239128	3.117861	2.956889e-01	0.039226
1853381.243727	0.397695	4.719881e-02	0.039226
1853431.248326	0.000000	1.359799e-01	0.019613
1853481.252924	0.000000	8.679745e-02	0.019613
1853531.257523	0.000000	6.374249e-02	0.019613
1853581.262121	0.000000	6.426122e-02	0.019613
1853631.266720	0.000000	8.776212e-02	0.019613
1853681.271319	0.000000	1.383626e-01	0.019613
1853731.275917	0.000000	3.267611e-01	0.019613
1853781.280516	0.000000	3.657963e+00	0.019613
1853831.285114	0.000000	3.134378e-01	0.019613
1853881.289713	0.284316	2.043935e-01	0.039226
1853931.294312	0.304462	7.962542e-02	0.039226
1853981.298910	1.093229	1.152455e+00	0.039226
1854031.303509	2.948188	1.781470e-02	0.039226
1854081.308108	1.265280	3.742039e-01	0.019613
1854131.312706	1.829049	5.035402e-02	0.039226
1854181.317305	3.246797	8.492277e-02	0.039226
1854231.321903	1.987119	1.661248e-01	0.039226
1854281.326502	2.767498	4.814598e-02	0.039226
1854331.331101	2.532691	3.435137e-02	0.039226
1854381.335699	1.776551	3.240303e-02	0.039226
1854431.340298	0.930513	3.327236e-02	0.039226
1854481.344897	0.825755	4.831989e-02	0.019613
1854531.349495	0.000000	5.365516e-02	0.019613
1854581.354094	0.000000	6.910616e-02	0.019613
1854631.358692	0.000000	9.705495e-02	0.019613
1854681.363291	0.000000	1.629622e-01	0.019613
1854731.367890	0.000000	5.077838e-01	0.019613
1854781.372488	0.838070	1.810634e+00	0.019613
1854831.377087	1.141394	7.116472e-02	0.039226
1854881.381685	2.663764	1.850762e-02	0.039226
1854931.386284	1.920146	2.203396e-02	0.039226
1854981.390883	1.861009	1.094800e-01	0.039226
1855031.395481	1.307073	8.298497e-02	0.039226
1855081.400080	0.682730	2.680967e-02	0.039226
1855131.404679	0.000000	7.521999e+00	0.019613
1855181.409277	0.890027	3.853451e-02	0.039226
1855231.413876	0.838070	8.487307e+00	0.019613
1855281.418474	1.161923	2.818123e-01	0.039226
1855331.423073	3.001036	6.078319e-02	0.019613
1855381.427672	1.293059	3.734182e-01	0.019613
1855431.432270	2.466719	2.333165e-01	0.019613
1855481.436869	2.181701	3.979267e-02	0.019613
1855531.441468	5.226580	1.473451e-01	0.039226
1855581.446066	8.029214	4.605574e-02	0.039226
1855631.450665	6.392586	2.634754e-02	0.039226
1855681.455263	3.559679	3.914599e-02	0.039226
1855731.459862	2.158967	2.204020e-02	0.039226
1855781.464461	0.653125	8.897302e-01	0.039226
1855831.469059	0.000000	1.139500e+00	0.019613
1855881.473658	2.116760	1.633239e-01	0.039226
1855931.478257	0.832456	8.874592e-01	0.019613
1855981.482855	1.245470	1.841297e+00	0.019613
1856031.487454	0.838468	2.086502e-01	0.039226
1856081.492052	0.539503	2.161853e-01	0.039226
1856131.496651	0.449662	1.671019e-01	0.039226
1856181.501250	1.796415	5.867935e-02	0.039226
1856231.505848	0.908582	3.864806e-02	0.039226
1856281.510447	0.000000	1.371265e-01	0.019613
1856331.515045	0.000000	1.490962e-01	0.019613
1856381.519644	0.000000	3.936963e-01	0.019613
1856431.524243	0.293066	5.052116e-02	0.039226
1856481.528841	0.000000	8.907921e-01	0.019613
1856531.533440	1.451980	1.146508e+00	0.039226
1856581.538039	0.806874	1.921169e-01	0.039226
1856631.542637	1.400044	1.340143e-01	0.039226
1856681.547236	1.040724	5.516046e-02	0.039226
1856731.551834	0.000000	1.370617e-01	0.019613
1856781.556433	0.240127	1.386391e-02	0.039226
1856831.561032	0.000000	9.129716e-02	0.019613
1856881.565630	0.391641	3.238293e-02	0.039226
1856931.570229	1.548701	4.804433e-02	0.039226
1856981.574828	1.858940	1.404738e-01	0.039226
1857031.579426	1.035101	2.632768e-01	0.039226
1857081.584025	2.361781	2.103108e-02	0.019613
1857131.588623	1.649130	1.749561e-01	0.019613
1857181.593222	1.651011	1.011862e-01	0.019613
1857231.597821	1.651268	7.117529e-02	0.019613
1857281.602419	1.651355	5.489416e-02	0.019613
1857331.607018	0.651318	3.472153e-02	0.039226
1857381.611617	0.725151	3.607813e-02	0.039226
1857431.616215	1.008537	2.936741e-02	0.039226
1857481.620814	1.027995	2.866555e-02	0.039226
1857531.625412	1.400139	2.486401e-02	0.019613
1857581.630011	0.690253	2.014674e-02	0.019613
1857631.634610	0.211300	3.267333e-02	0.039226
1857681.639208	0.412530	1.939741e-02	0.039226
1857731.643807	0.000000	6.361196e-02	0.019613
1857781.648405	0.000000	5.028319e-02	0.019613
1857831.653004	0.000000	5.232247e-02	0.019613
1857881.657603	0.000000	6.691112e-02	0.019613
1857931.662201	0.000000	9.278031e-02	0.019613
1857981.666800	1.112025	6.712662e-03	0.039226
1858031.671399	0.000000	4.091570e-01	0.019613
1858081.675997	0.215099	4.280762e-02	0.039226
1858131.680596	0.000000	9.009414e-01	0.019613
1858181.685194	0.469991	3.787258e-01	0.039226
1858231.689793	0.781086	7.677043e-02	0.039226
1858281.694392	1.581597	1.833445e-02	0.039226
1858331.698990	0.000000	3.960266e-01	0.019613
1858381.703589	0.878174	1.474283e-01	0.039226
1858431.708188	1.900357	4.439646e-02	0.039226
1858481.712786	0.843496	5.447433e-02	0.039226
1858531.717385	2.250800	7.894195e-01	0.039226
1858581.721983	1.612772	6.752120e-02	0.039226
1858631.726582	3.439904	1.255870e-01	0.039226
1858681.731181	2.865718	2.593299e-02	0.019613
1858731.735779	2.024071	1.943767e-01	0.019613
1858781.740378	2.057992	1.073918e-01	0.019613
1858831.744977	2.059541	7.419086e-02	0.019613
1858881.749575	2.059904	5.667071e-02	0.019613
1858931.754174	2.060050	4.584453e-02	0.019613
1858981.758772	2.060125	3.849130e-02	0.019613
1859031.763371	2.060169	3.317085e-02	0.019613
1859081.767970	2.060199	2.914262e-02	0.019613
1859131.772568	2.060219	2.598682e-02	0.019613
1859181.777167	2.060235	2.344770e-02	0.019613
1859231.781765	2.060246	2.136060e-02	0.019613
1859281.786364	2.060256	1.961469e-02	0.019613
1859331.790963	2.060263	1.813261e-02	0.019613
1859381.795561	2.060269	1.685877e-02	0.019613
1859431.800160	2.060275	1.575216e-02	0.019613
1859481.804759	2.060279	1.478188e-02	0.019613
1859531.809357	0.220933	1.338077e-02	0.039226
1859581.813956	0.837064	1.294759e-02	0.039226
1859631.818554	0.846852	1.228478e-02	0.039226
1859681.823153	0.871496	1.168653e-02	0.039226
1859731.827752	0.927030	1.114385e-02	0.039226
1859781.832350	1.266455	1.046361e-02	0.039226
1859831.836949	2.474354	1.019683e-02	0.039226
1859881.841548	2.973783	9.781217e-03	0.039226
1859931.846146	2.917932	9.398157e-03	0.019613
1859981.850745	3.749765	9.043971e-03	0.039226
1860031.855343	4.038619	8.715514e-03	0.039226
1860081.859942	2.865470	8.499426e-03	0.039226
1860131.864541	2.940600	1.272351e-02	0.039226
1860181.869139	2.642462	1.343588e-02	0.039226
1860231.873738	1.325231	2.498831e-02	0.039226
1860281.878336	1.247146	4.964937e-02	0.039226
1860331.882935	1.170523	1.801485e-02	0.039226
1860381.887534	0.750576	4.454414e-02	0.039226
1860431.892132	2.734571	1.865938e-02	0.039226
1860481.896731	1.971021	1.271048e-02	0.019613
1860531.901330	1.738729	1.342134e-02	0.019613
1860581.905928	1.273982	1.421643e-02	0.019613
1860631.910527	1.584654	2.708256e-02	0.019613
1860681.915125	2.058149	3.796448e-02	0.019613
1860731.919724	2.866539	3.497723e-02	0.019613
1860781.924323	2.354994	3.297388e-02	0.019613
1860831.928921	1.978609	4.936827e-02	0.039226
1860881.933520	3.168917	2.205614e-02	0.019613
1860931.938119	4.218425	2.366575e-02	0.019613
1860981.942717	2.882490	5.129743e-02	0.019613
1861031.947316	6.028059	8.530839e-02	0.039226
1861081.951914	5.058529	4.698601e-03	0.039226
1861131.956513	4.022174	7.744107e-02	0.039226
1861181.961112	3.643341	3.883008e-02	0.039226
1861231.965710	3.176271	1.474263e-02	0.039226
1861281.970309	3.447655	1.334861e-02	0.039226
1861331.974908	2.564910	1.264523e-02	0.039226
1861381.979506	4.362995	7.910244e-03	0.039226
1861431.984105	6.352127	1.170714e-02	0.039226
1861481.988703	1.589723	1.386399e-02	0.039226
1861531.993302	2.496454	1.960805e-02	0.039226
1861581.997901	2.566142	9.638573e-03	0.039226
1861632.002499	1.272671	8.888725e-02	0.039226
1861682.007098	1.882333	6.116231e-03	0.039226
1861732.011696	0.817659	4.613308e-01	0.019613
1861782.016295	0.817659	1.578608e-01	0.019613
1861832.020894	0.817659	9.522228e-02	0.019613
1861882.025492	0.817659	6.817194e-02	0.019613
1861932.030091	0.817659	5.309027e-02	0.019613
1861982.034690	0.817659	4.347279e-02	0.019613
1862032.039288	0.817659	3.680538e-02	0.019613
1862082.043887	1.249219	3.085180e-02	0.019613
1862132.048485	0.832456	3.961029e-02	0.019613
1862182.053084	0.832456	4.744078e-02	0.019613
1862232.057683	0.832456	5.913008e-02	0.019613
1862282.062281	0.839879	6.351299e-02	0.019613
1862332.066880	0.838876	8.637248e-02	0.019613
1862382.071479	0.832456	2.267208e-01	0.019613
1862432.076077	0.832456	4.104075e+00	0.019613
1862482.080676	0.911484	4.784560e-01	0.039226
1862532.085274	0.817659	1.516161e+00	0.019613
1862582.089873	0.817659	2.851042e-01	0.019613
1862632.094472	0.817659	1.303010e-01	0.019613
1862682.099070	0.817659	8.444812e-02	0.019613
1862732.103669	0.000541	6.246625e-02	0.019613
1862782.108268	0.000000	1.026591e-01	0.019613
1862832.112866	1.077052	1.478038e-02	0.039226
1862882.117465	0.794975	3.507566e-02	0.039226
1862932.122063	1.714396	2.863129e-02	0.039226
1862982.126662	1.588954	1.813036e-02	0.039226
1863032.131261	1.577565	3.134233e-02	0.039226
1863082.135859	0.473866	4.426154e-01	0.039226
1863132.140458	1.411991	2.543129e-02	0.039226
1863182.145056	0.000000	1.235266e-01	0.019613
1863232.149655	0.000000	8.154963e-02	0.019613
1863282.154254	1.438103	6.527210e-02	0.019613
1863332.158852	1.428839	8.965850e-02	0.019613
1863382.163451	1.236092	1.431357e-01	0.019613
1863432.168050	1.413730	3.546942e-01	0.019613
1863482.172648	1.453267	7.415311e-02	0.039226
1863532.177247	0.550007	9.902848e-02	0.039226
1863582.181845	0.838070	5.500006e-01	0.019613
1863632.186444	0.442526	2.536866e-02	0.039226
1863682.191043	0.850286	1.812166e-02	0.039226
1863732.195641	1.846518	1.016574e+00	0.039226
1863782.200240	0.813473	2.638525e-02	0.039226
1863832.204839	2.206169	7.895286e-01	0.039226
1863882.209437	0.832456	2.303512e+00	0.019613
1863932.214036	0.499045	2.173360e-01	0.039226
1863982.218634	0.243491	1.078956e-01	0.039226
1864032.223233	0.000000	1.375780e-01	0.019613
1864082.227832	0.000000	9.541064e-02	0.019613
1864132.232430	0.000000	1.583791e-01	0.019613
1864182.237029	0.467882	6.530152e-02	0.039226
1864232.241628	3.292926	7.007756e-02	0.039226
1864282.246226	1.903718	1.523736e-01	0.039226
1864332.250825	0.421541	4.174032e-01	0.019613
1864382.255423	0.191160	3.357153e-01	0.039226
1864432.260022	2.399681	1.240439e-01	0.039226
1864482.264621	1.077167	7.959480e-02	0.039226
1864532.269219	1.227830	2.536579e+00	0.019613
1864582.273818	1.697393	1.003669e+00	0.039226
1864632.278416	0.241574	1.215849e+00	0.039226
1864682.283015	0.381021	4.178712e-01	0.039226
1864732.287614	2.001907	1.787740e+00	0.039226
1864782.292212	0.648290	4.671682e+00	0.039226
1864832.296811	0.709623	1.060042e+01	0.039226
1864882.301410	1.901490	1.353335e-02	0.039226
1864932.306008	1.511107	1.950736e+00	0.039226
1864982.310607	0.000000	7.648480e-01	0.019613
1865032.315205	0.000000	2.110895e+00	0.019613
1865082.319804	0.150087	3.629332e+00	0.039226
1865132.324403	0.314559	3.546893e-02	0.039226
1865182.329001	0.000000	1.208107e-01	0.019613
1865232.333600	0.000000	8.035700e-02	0.019613
1865282.338199	0.817659	7.809356e-02	0.019613
1865332.342797	0.817659	1.157662e-01	0.019613
1865382.347396	0.817659	2.236611e-01	0.019613
1865432.351994	1.340880	4.586315e-02	0.019613
1865482.356593	0.817659	2.588628e-01	0.019613
1865532.361192	1.220236	7.660936e-02	0.039226
1865582.365790	1.047345	8.198636e-02	0.019613
1865632.370389	0.832456	2.119032e-01	0.019613
1865682.374988	0.832456	1.811317e+00	0.019613
1865732.379586	0.838070	5.362028e-01	0.019613
1865782.384185	0.308660	2.689630e-01	0.039226
1865832.388783	2.172262	4.087038e-02	0.039226
1865882.393382	1.825091	4.925975e-02	0.039226
1865932.397981	2.725854	1.347710e+00	0.039226
1865982.402579	2.716050	9.646103e-02	0.039226
1866032.407178	1.243089	2.145607e+00	0.019613
1866082.411776	2.746835	2.585550e-01	0.019613
1866132.416375	2.879561	2.999608e-01	0.039226
1866182.420974	3.351394	8.916692e-02	0.039226
1866232.425572	1.890392	2.430471e-01	0.039226
1866282.430171	0.011758	3.111241e-01	0.039226
1866332.434770	0.294632	2.421053e-01	0.039226
1866382.439368	1.365874	2.283914e+00	0.039226
1866432.443967	0.000000	7.248114e-01	0.019613
1866482.448565	0.533203	2.290043e-01	0.039226
1866532.453164	0.000000	6.838841e-01	0.019613
1866582.457763	2.008417	1.557638e+00	0.039226
1866632.462361	0.667257	9.792910e-02	0.039226
1866682.466960	1.104817	6.610367e-02	0.019613
1866732.471559	0.843132	1.569467e+00	0.039226
1866782.476157	0.666046	1.726026e-01	0.019613
1866832.480756	0.708628	5.617393e-01	0.039226
1866882.485354	0.000000	1.042151e+00	0.019613
1866932.489953	0.522432	3.888975e+00	0.039226
1866982.494552	1.560144	1.460742e+00	0.039226
1867032.499150	0.140507	2.666164e+00	0.039226
1867082.503749	1.360911	1.437062e-01	0.039226
1867132.508347	2.366300	6.999547e-01	0.039226
1867182.512946	2.122956	1.632941e-01	0.039226
1867232.517545	1.212174	3.378612e-01	0.039226
1867282.522143	2.004020	1.317495e+00	0.039226
1867332.526742	1.435270	6.162294e-01	0.019613
1867382.531341	3.036179	2.466489e-01	0.039226
1867432.535939	0.825755	4.731974e+00	0.019613
1867482.540538	0.587560	7.583552e-01	0.039226
1867532.545136	0.918594	5.599649e-02	0.039226
1867582.549735	1.526164	1.725385e-01	0.039226
1867632.554334	1.070868	3.768669e-02	0.039226
1867682.558932	0.349496	2.996102e-01	0.039226
1867732.563531	0.729966	1.386270e-01	0.039226
1867782.568130	1.100781	5.862407e-01	0.039226
1867832.572728	0.010778	1.981089e-01	0.019613
1867882.577327	0.010817	1.085213e-01	0.019613
1867932.581925	0.010826	7.472819e-02	0.019613
1867982.586524	0.000000	5.923397e-02	0.019613
1868032.591123	0.000000	7.721568e-02	0.019613
1868082.595721	0.000000	1.138474e-01	0.019613
1868132.600320	1.560182	2.599652e-02	0.039226
1868182.604919	1.607674	3.836938e-02	0.039226
1868232.609517	1.878016	1.022229e-01	0.039226
1868282.614116	0.000000	1.248165e+00	0.019613
1868332.618714	3.302873	4.020438e-02	0.039226
1868382.623313	0.168130	1.868063e-02	0.039226
1868432.627912	0.000000	2.012481e-01	0.019613
1868482.632510	0.000000	1.094566e-01	0.019613
1868532.637109	0.000000	9.421898e-02	0.019613
1868582.641707	0.000000	1.551224e-01	0.019613
1868632.646306	0.764855	5.704678e-02	0.039226
1868682.650905	1.364134	7.483672e-02	0.039226
1868732.655503	0.113687	6.882926e-02	0.039226
1868782.660102	0.003557	2.589561e-01	0.019613
1868832.664701	0.825755	3.274483e+00	0.019613
1868882.669299	0.000000	4.932042e-01	0.019613
1868932.673898	0.593953	1.236782e+00	0.039226
1868982.678496	0.709069	2.255002e+00	0.039226
1869032.683095	0.712044	7.395853e-01	0.039226
1869082.687694	0.454573	2.685304e-01	0.039226
1869132.692292	0.000000	2.810812e-01	0.019613
1869182.696891	0.000000	1.294542e-01	0.019613
1869232.701490	0.000000	8.409165e-02	0.019613
1869282.706088	0.000000	6.227101e-02	0.019613
1869332.710687	0.000000	4.944159e-02	0.019613
1869382.715285	0.000000	4.099547e-02	0.019613
1869432.719884	0.000000	3.501402e-02	0.019613
1869482.724483	0.000000	3.055578e-02	0.019613
1869532.729081	0.432174	2.782474e-02	0.019613
1869582.733680	0.432154	3.147406e-02	0.019613
1869632.738279	0.432125	3.622513e-02	0.019613
1869682.742877	0.432079	4.266558e-02	0.019613
1869732.747476	0.431994	5.189132e-02	0.019613
1869782.752074	0.431805	6.620765e-02	0.019613
