location	LR	alpha
1311351.000000	32.220035	4.219302e+01
1311401.002067	31.951262	4.699001e+01
1311451.004133	29.800418	5.404107e+01
1311501.006200	2.869692	1.230459e+07
1311551.008266	37.820376	6.195815e+01
1311601.010333	39.990233	6.658111e+01
1311651.012399	40.646868	6.915981e+01
1311701.014466	40.936964	7.471287e+01
1311751.016532	39.905136	8.000225e+01
1311801.018599	38.615178	8.341497e+01
1311851.020666	36.960613	8.751856e+01
1311901.022732	34.861805	9.262544e+01
1311951.024799	32.094308	9.936221e+01
1312001.026865	25.896473	1.096268e+02
1312051.028932	9.536657	1.121659e+02
1312101.030998	0.015041	5.075454e+07
1312151.033065	19.507293	1.326414e+02
1312201.035131	21.212250	1.545207e+02
1312251.037198	18.326360	1.926484e+02
1312301.039265	11.327348	2.763195e+02
1312351.041331	2.178154	2.909719e+04
1312401.043398	2.168754	3.270041e+07
1312451.045464	0.476530	5.220346e+07
1312501.047531	10.393478	1.996747e+03
1312551.049597	11.548076	1.486508e+03
1312601.051664	1.582334	8.682290e+06
1312651.053730	1.783559	4.903526e+06
1312701.055797	0.996462	4.492387e+04
1312751.057864	0.916782	1.378571e+04
1312801.059930	0.045122	5.075454e+07
1312851.061997	3.629684	7.328228e+02
1312901.064063	2.161608	5.636119e+02
1312951.066130	0.000000	1.200000e+09
1313001.068196	5.507204	3.344955e+02
1313051.070263	10.061235	2.669438e+02
1313101.072329	11.874623	2.416499e+02
1313151.074396	12.110318	2.302453e+02
1313201.076462	10.742327	2.270901e+02
1313251.078529	1.140924	2.300462e+02
1313301.080596	1.003545	2.322665e+04
1313351.082662	3.869389	2.195265e+02
1313401.084729	0.443535	2.168242e+02
1313451.086795	1.662158	2.156487e+02
1313501.088862	3.421329	2.199716e+02
1313551.090928	1.438357	3.157631e+07
1313601.092995	8.203400	2.124804e+02
1313651.095061	0.841645	1.410560e+07
1313701.097128	21.135344	1.859991e+02
1313751.099195	22.661259	1.811769e+02
1313801.101261	23.000170	1.759275e+02
1313851.103328	21.710811	1.714843e+02
1313901.105394	0.191132	3.831544e+07
1313951.107461	25.574499	1.567575e+02
1314001.109527	27.695198	1.519606e+02
1314051.111594	28.729782	1.497102e+02
1314101.113660	29.008165	1.493910e+02
1314151.115727	28.546512	1.508138e+02
1314201.117794	27.103220	1.541349e+02
1314251.119860	25.170756	1.577684e+02
1314301.121927	17.956733	1.582336e+02
1314351.123993	16.594184	1.581383e+02
1314401.126060	24.273331	1.575456e+02
1314451.128126	25.514212	1.611457e+02
1314501.130193	23.714775	1.694557e+02
1314551.132259	17.320171	1.796540e+02
1314601.134326	2.289544	1.319731e+07
1314651.136393	20.905957	1.834233e+02
1314701.138459	18.049958	1.876864e+02
1314751.140526	16.635093	1.898100e+02
1314801.142592	2.284026	9.284320e+06
1314851.144659	8.232000	1.989911e+02
1314901.146725	0.036707	1.054867e+05
1314951.148792	0.729013	2.057475e+02
1315001.150858	4.514916	2.092813e+02
1315051.152925	4.869703	2.188974e+02
1315101.154992	0.000000	1.200000e+09
1315151.157058	0.000000	1.200000e+09
1315201.159125	3.029157	4.055440e+02
1315251.161191	7.284812	4.178374e+02
1315301.163258	3.094522	9.173389e+06
1315351.165324	17.571783	2.930943e+02
1315401.167391	20.092508	2.666745e+02
1315451.169457	19.891113	2.755570e+02
1315501.171524	3.220769	3.171469e+02
1315551.173591	18.189030	3.148113e+02
1315601.175657	11.124309	3.759902e+02
1315651.177724	0.388927	4.710157e+07
1315701.179790	2.270348	1.557728e+07
1315751.181857	13.283438	3.861874e+02
1315801.183923	13.522752	3.913696e+02
1315851.185990	9.830716	3.966721e+02
