location	LR	alpha	D
294914.000000	0.279765	2.223861e+02	0.032467
294964.006301	0.000000	3.000474e-01	0.016234
295014.012601	0.093572	2.353523e-01	0.032467
295064.018902	0.110799	3.116603e+00	0.032467
295114.025203	0.776532	1.090660e-01	0.032467
295164.031503	2.140201	2.306360e+01	0.032467
295214.037804	0.550083	2.531000e+00	0.032467
295264.044104	1.006097	2.171764e-01	0.032467
295314.050405	0.000000	9.266702e-01	0.016234
295364.056706	0.527997	3.992455e-01	0.032467
295414.063006	0.836302	4.200594e-01	0.032467
295464.069307	1.083985	7.467652e-01	0.032467
295514.075608	0.158790	1.501419e-01	0.032467
295564.081908	0.000000	6.288681e-01	0.016234
295614.088209	1.861579	2.929794e+00	0.032467
295664.094509	0.000000	1.325249e+01	0.016234
295714.100810	0.000000	2.926251e+00	0.016234
295764.107111	0.710772	1.133259e-02	0.032467
295814.113411	0.422367	1.162919e-02	0.032467
295864.119712	0.097708	1.560827e+00	0.032467
295914.126013	1.363477	8.867769e-01	0.032467
295964.132313	2.370270	2.493128e-01	0.032467
296014.138614	0.982826	3.621153e-01	0.016234
296064.144914	1.151952	1.357425e-01	0.032467
296114.151215	3.931770	7.060936e-02	0.032467
296164.157516	2.659696	1.684359e-01	0.032467
296214.163816	2.895740	4.803148e-02	0.016234
296264.170117	3.395508	1.001419e-01	0.016234
296314.176418	4.649618	1.247707e-01	0.016234
296364.182718	4.299652	2.691685e-02	0.016234
296414.189019	2.490125	1.963402e-01	0.032467
296464.195320	0.289772	1.194929e+01	0.032467
296514.201620	5.912359	3.831397e-02	0.032467
296564.207921	4.744383	3.807010e-02	0.032467
296614.214221	3.504060	4.683579e-02	0.032467
296664.220522	0.332426	2.231335e-01	0.016234
296714.226823	3.736766	9.898799e-02	0.016234
296764.233123	2.408384	1.495641e-01	0.016234
296814.239424	1.964473	2.060460e-01	0.016234
296864.245725	1.997522	9.618906e-02	0.032467
296914.252025	0.122773	1.405352e+00	0.032467
296964.258326	1.010485	5.423527e-02	0.032467
297014.264626	0.739161	2.807978e-01	0.032467
297064.270927	1.674991	1.471903e-02	0.032467
297114.277228	0.968553	2.773139e-02	0.032467
297164.283528	0.000000	1.647554e+00	0.016234
297214.289829	1.756419	4.940340e-01	0.032467
297264.296130	2.322751	8.202542e-02	0.032467
297314.302430	1.173064	2.169887e-01	0.032467
297364.308731	1.617613	9.749179e-01	0.032467
297414.315032	1.657640	7.523598e-01	0.032467
297464.321332	0.867617	1.675420e-02	0.032467
297514.327633	0.401451	1.140617e+00	0.032467
297564.333933	0.506607	8.910933e-02	0.032467
297614.340234	0.999239	8.525497e-02	0.032467
297664.346535	2.409193	8.035645e-03	0.032467
297714.352835	0.401451	2.947519e+00	0.032467
297764.359136	0.674380	9.493019e-01	0.016234
297814.365437	2.051473	1.808920e-01	0.032467
297864.371737	0.674380	2.592765e+00	0.016234
297914.378038	1.917834	7.289430e-02	0.016234
297964.384338	0.000000	6.527296e-01	0.016234
298014.390639	0.000000	1.857316e-01	0.016234
298064.396940	0.791131	1.013540e-01	0.032467
298114.403240	0.244417	7.400281e-01	0.032467
298164.409541	0.672426	2.925333e-02	0.032467
298214.415842	0.809098	3.269413e+00	0.032467
298264.422142	2.690253	3.400053e-01	0.032467
298314.428443	1.264589	3.192905e+00	0.032467
298364.434743	0.981261	3.889026e-01	0.032467
298414.441044	0.752288	5.039878e-01	0.032467
298464.447345	0.690879	2.506217e-01	0.032467
298514.453645	5.671740	3.069411e-03	0.032467
298564.459946	1.234362	2.122390e-01	0.016234
298614.466247	0.752020	1.137077e-01	0.016234
298664.472547	1.422146	2.236153e+00	0.032467
298714.478848	0.664587	2.161339e-01	0.032467
298764.485149	0.000000	2.175943e+00	0.016234
298814.491449	0.735724	3.918350e-01	0.032467
298864.497750	2.284736	4.373970e-03	0.032467
298914.504050	0.674380	9.596888e-01	0.016234
298964.510351	0.674380	8.055589e+00	0.016234
299014.516652	1.889015	1.343068e+00	0.032467
299064.522952	1.452254	4.733300e-02	0.016234
299114.529253	0.436400	2.472734e-01	0.016234
299164.535554	1.225938	9.483501e-02	0.032467
299214.541854	2.259305	2.472094e-01	0.032467
299264.548155	2.861321	5.095942e-01	0.032467
299314.554455	3.297669	1.830539e-01	0.032467
299364.560756	1.995391	6.466883e-02	0.032467
299414.567057	1.513914	3.186684e-02	0.032467
299464.573357	0.733775	1.040551e-01	0.032467
299514.579658	1.157552	2.639802e-02	0.032467
299564.585959	1.931731	1.922644e-01	0.032467
299614.592259	1.725323	1.103851e-01	0.032467
299664.598560	0.000000	2.726381e+00	0.016234
299714.604860	0.452898	5.540043e-02	0.032467
299764.611161	0.000000	1.255084e-01	0.016234
299814.617462	0.000000	8.240771e-02	0.016234
299864.623762	0.638479	1.451688e-02	0.032467
299914.630063	0.000000	4.885397e-02	0.016234
299964.636364	0.000000	4.059042e-02	0.016234
300014.642664	0.000000	3.471795e-02	0.016234
300064.648965	0.000000	3.032992e-02	0.016234
300114.655266	0.000000	2.692664e-02	0.016234
300164.661566	0.770591	2.365284e-02	0.016234
300214.667867	0.961975	2.623913e-02	0.016234
300264.674167	0.961897	2.946044e-02	0.016234
300314.680468	0.961772	3.358338e-02	0.016234
300364.686769	1.700259	9.045092e-03	0.016234
300414.693069	1.454066	9.648686e-03	0.016234
300464.699370	2.018411	9.806330e-03	0.016234
300514.705671	4.047422	1.063165e-02	0.016234
300564.711971	1.759693	2.451605e-02	0.016234
300614.718272	2.864595	1.174994e-02	0.016234
300664.724572	6.801559	1.205153e-02	0.016234
300714.730873	4.292980	1.217941e-02	0.016234
300764.737174	4.025060	1.377311e-02	0.016234
300814.743474	3.636547	1.461175e-02	0.016234
300864.749775	4.630996	1.555915e-02	0.016234
300914.756076	5.590048	1.528188e-02	0.016234
300964.762376	6.370657	1.787742e-02	0.032467
301014.768677	5.697639	1.931647e-02	0.032467
301064.774977	5.312818	2.100747e-02	0.032467
301114.781278	6.286628	9.165772e-03	0.016234
301164.787579	7.051192	8.022531e-03	0.016234
301214.793879	8.314705	7.763002e-03	0.016234
301264.800180	1.242691	2.783009e-01	0.032467
301314.806481	5.423932	3.736065e-02	0.016234
301364.812781	4.970866	1.416452e-02	0.016234
301414.819082	9.918085	7.570708e-03	0.016234
301464.825383	2.679384	1.448831e-01	0.016234
301514.831683	5.455978	7.324590e-02	0.016234
301564.837984	5.863612	1.577813e-02	0.016234
301614.844284	4.773017	2.009526e-02	0.016234
301664.850585	3.536908	5.637757e-02	0.016234
301714.856886	6.122750	2.413791e-02	0.032467
301764.863186	6.498683	4.764490e-02	0.032467
301814.869487	1.328573	1.573838e-01	0.032467
301864.875788	8.006175	2.485111e-02	0.032467
301914.882088	7.123875	2.251905e-02	0.032467
301964.888389	5.289442	2.339689e-02	0.032467
302014.894689	6.064305	1.859085e-02	0.016234
302064.900990	6.049162	1.279453e-02	0.016234
302114.907291	7.262845	7.973911e-03	0.016234
302164.913591	8.911424	7.580129e-03	0.016234
302214.919892	7.878430	6.860453e-03	0.016234
302264.926193	6.170613	5.925711e-03	0.016234
302314.932493	5.517676	5.131869e-03	0.016234
302364.938794	6.284201	4.786481e-03	0.016234
302414.945095	3.342234	1.161726e-02	0.016234
302464.951395	5.261988	4.985359e-03	0.016234
302514.957696	0.289772	5.517012e+01	0.032467
302564.963996	3.391807	5.201481e-03	0.016234
302614.970297	3.644580	5.943624e-03	0.016234
302664.976598	4.203019	8.708418e-03	0.016234
302714.982898	4.672347	8.403460e-03	0.016234
302764.989199	4.681906	8.676857e-03	0.016234
302814.995500	5.085935	8.236074e-03	0.032467
302865.001800	3.963148	8.421065e-03	0.016234
302915.008101	3.559757	6.711381e-03	0.016234
302965.014401	4.426907	7.096334e-03	0.032467
303015.020702	1.133621	7.348345e-03	0.032467
303065.027003	3.303023	7.130009e-03	0.032467
303115.033303	2.176711	2.330248e-02	0.032467
303165.039604	2.668342	8.478555e-02	0.032467
303215.045905	0.659443	1.508656e+00	0.016234
303265.052205	5.151509	6.315964e-03	0.032467
303315.058506	1.276845	6.183704e-02	0.032467
303365.064806	0.469840	4.529411e-02	0.032467
303415.071107	0.000000	8.279925e-02	0.016234
303465.077408	0.115234	7.276144e-02	0.032467
303515.083708	0.235144	1.044238e-01	0.032467
303565.090009	3.715534	8.427500e-03	0.032467
303615.096310	1.761544	3.379365e-02	0.032467
303665.102610	1.695436	8.507081e-01	0.032467
303715.108911	0.542435	2.316115e-02	0.016234
303765.115212	1.187368	3.463032e-01	0.032467
303815.121512	0.503377	2.526962e-02	0.032467
