location	LR	alpha
1378660.000000	0.000000	1.200000e+09
1378710.003663	0.130755	3.319130e+04
1378760.007326	0.362412	2.768561e+04
1378810.010988	0.468615	1.235439e+04
1378860.014651	0.292509	5.075883e+04
1378910.018314	0.196846	1.542025e+08
1378960.021977	0.001617	2.576655e+05
1379010.025639	1.266110	7.598788e+03
1379060.029302	0.431843	7.408465e+07
1379110.032965	1.299524	5.459421e+03
1379160.036628	1.564872	2.723103e+03
1379210.040291	2.330876	2.192776e+03
1379260.043953	2.079397	2.397376e+03
1379310.047616	1.785989	2.837640e+03
1379360.051279	1.117934	3.817178e+03
1379410.054942	0.938494	5.915273e+03
1379460.058604	0.225690	3.292769e+07
1379510.062267	0.292906	1.443621e+08
1379560.065930	0.238906	5.108678e+04
1379610.069593	0.322248	2.281134e+04
1379660.073256	0.190791	3.774238e+04
1379710.076918	0.125161	5.916341e+04
1379760.080581	0.154644	4.146372e+04
1379810.084244	0.154679	7.019092e+04
1379860.087907	0.969059	1.007740e+04
1379910.091570	0.000000	1.200000e+09
1379960.095232	0.268510	1.513161e+08
1380010.098895	0.268907	6.287434e+04
1380060.102558	0.510657	6.057595e+07
1380110.106221	1.177657	6.631735e+03
1380160.109883	0.027055	1.898576e+04
1380210.113546	0.011211	1.627569e+08
1380260.117209	1.314390	4.155235e+07
1380310.120872	0.888227	2.495410e+04
1380360.124535	0.063628	3.417114e+07
1380410.128197	1.666949	2.907272e+03
1380460.131860	3.622408	1.355401e+03
1380510.135523	2.448244	8.423810e+06
1380560.139186	4.530426	1.227964e+03
1380610.142848	2.458268	1.327590e+03
1380660.146511	0.990270	1.716058e+03
1380710.150174	0.094623	2.350216e+03
1380760.153837	0.003670	1.909787e+04
1380810.157500	0.003633	5.339428e+04
1380860.161162	0.000054	1.130746e+05
1380910.164825	0.000033	5.260994e+08
1380960.168488	0.183799	5.611775e+04
1381010.172151	0.187030	4.735507e+04
1381060.175813	0.588023	1.166518e+04
1381110.179476	0.020851	5.511626e+07
1381160.183139	0.000000	1.200000e+09
1381210.186802	0.894534	6.494084e+03
1381260.190465	3.522769	2.123572e+03
1381310.194127	3.684306	5.791542e+03
1381360.197790	1.129576	2.514730e+07
1381410.201453	0.233647	1.320585e+05
1381460.205116	0.004240	3.677699e+08
1381510.208778	0.007841	3.113817e+08
1381560.212441	0.000092	5.260592e+04
1381610.216104	0.027450	1.109466e+08
1381660.219767	0.469255	6.407575e+03
1381710.223430	1.635676	8.162262e+03
1381760.227092	1.427474	3.665295e+07
1381810.230755	2.718370	3.418772e+07
1381860.234418	0.192729	9.111415e+07
1381910.238081	6.059036	5.922901e+06
1381960.241743	0.586365	8.492106e+04
1382010.245406	0.083097	9.409831e+07
