location	LR	alpha
3500005.000000	0.000000	1.200000e+03
3500055.001100	0.000000	1.201322e+01
3500105.002200	0.000000	6.000662e-01
3500155.003300	0.000000	3.999560e-01
3500205.004400	0.043715	5.597075e-01
3500255.005500	0.018205	6.651286e-02
3500305.006600	0.044420	1.661298e-01
3500355.007700	0.027741	3.328278e-02
3500405.008800	0.298036	8.493286e-02
3500455.009900	0.006306	8.818566e-01
3500505.011000	0.006476	8.862566e-01
3500555.012100	0.000000	2.789913e-01
3500605.013200	0.045059	1.963440e-02
3500655.014300	0.833685	6.406956e-03
3500705.015400	2.114724	4.768980e-03
3500755.016500	2.676335	4.948309e-03
3500805.017600	3.590529	8.643498e-03
3500855.018700	2.648641	7.036354e-03
3500905.019800	0.064645	1.769535e-01
3500955.020901	0.056495	2.332751e-01
3501005.022001	0.111739	7.639707e-02
3501055.023101	0.000000	5.194676e+02
3501105.024201	0.250964	6.547783e-02
3501155.025301	0.143710	6.337999e-02
3501205.026401	0.044313	8.215365e-01
3501255.027501	0.044313	1.855404e-01
3501305.028601	0.196235	3.004623e-02
3501355.029701	0.708692	1.366947e-02
3501405.030801	0.439096	2.024567e-02
3501455.031901	0.448946	8.042541e-03
3501505.033001	0.139109	1.365470e-02
3501555.034101	0.040412	2.701759e-02
3501605.035201	0.008857	3.924467e-01
3501655.036301	0.048873	2.548565e-01
3501705.037401	0.030156	2.398090e-02
3501755.038501	0.450867	1.617410e-02
3501805.039601	0.224827	8.532470e-03
3501855.040701	0.132097	6.581803e-03
3501905.041801	0.110226	5.091591e-03
3501955.042901	0.193505	3.158211e-03
3502005.044001	0.470029	2.401781e-03
3502055.045101	0.808379	2.064334e-03
3502105.046201	1.167130	1.838906e-03
3502155.047301	1.535501	1.678254e-03
3502205.048401	1.899975	1.572799e-03
3502255.049501	2.238866	1.516123e-03
3502305.050601	2.521944	1.505807e-03
3502355.051701	2.692734	1.553122e-03
3502405.052801	2.539157	1.716745e-03
3502455.053901	2.306248	2.430470e-03
3502505.055001	2.632564	3.267795e-03
3502555.056101	0.507880	1.006277e-01
3502605.057201	1.646238	6.478808e-03
3502655.058301	2.693749	4.046486e-03
3502705.059401	2.034242	4.027445e-03
3502755.060502	1.494291	4.851260e-03
3502805.061602	0.171004	6.671709e-02
3502855.062702	1.359325	2.675199e-02
3502905.063802	1.171044	1.342263e-02
3502955.064902	0.032190	1.288646e-01
3503005.066002	0.000000	6.204764e+00
3503055.067102	0.277447	9.806549e-03
