location	LR	alpha
1378034.000000	0.189263	9.864084e+07
1378084.003171	0.513109	1.112273e+08
1378134.006342	0.211677	2.794787e+04
1378184.009513	0.002895	3.147355e+05
1378234.012684	0.000000	2.702857e+05
1378284.015856	0.000000	3.971065e+05
1378334.019027	1.197863	9.332379e+03
1378384.022198	0.000000	1.200000e+09
1378434.025369	0.262794	1.289804e+08
1378484.028540	0.000000	1.340436e+06
1378534.031711	0.119627	1.043479e+05
1378584.034882	0.255221	3.901679e+04
1378634.038053	0.253180	3.108630e+05
1378684.041225	0.362069	2.452004e+04
1378734.044396	0.013469	3.045694e+08
1378784.047567	0.002412	3.858172e+08
1378834.050738	0.033610	4.293637e+04
1378884.053909	0.001024	3.562316e+08
1378934.057080	0.262062	1.966671e+04
1378984.060251	0.157480	7.290328e+03
1379034.063422	2.330417	1.246623e+03
1379084.066593	4.195434	8.890276e+02
1379134.069765	4.935948	7.968504e+02
1379184.072936	5.064397	7.899291e+02
1379234.076107	4.418193	8.237023e+02
1379284.079278	3.106533	8.971385e+02
1379334.082449	1.802472	1.017850e+03
1379384.085620	4.776436	1.168696e+03
1379434.088791	4.198131	1.528213e+03
1379484.091962	1.014647	1.980065e+07
1379534.095134	4.965509	2.932278e+03
1379584.098305	0.181536	1.798117e+08
1379634.101476	0.000000	1.200000e+09
1379684.104647	0.000000	1.769800e+05
1379734.107818	0.026373	5.108973e+05
1379784.110989	0.000001	4.164600e+05
1379834.114160	1.748841	4.398116e+06
1379884.117331	0.656726	8.565146e+06
1379934.120503	0.780003	1.114151e+08
1379984.123674	0.452464	6.822951e+07
1380034.126845	1.593128	6.777399e+03
1380084.130016	4.236760	3.633291e+03
1380134.133187	5.374419	2.757931e+03
1380184.136358	2.525764	1.888665e+04
1380234.139529	0.947902	3.996813e+07
1380284.142700	0.048604	1.846157e+08
1380334.145871	0.000130	3.536498e+05
1380384.149043	0.000130	2.540558e+05
1380434.152214	0.000000	2.372224e+05
1380484.155385	0.158058	3.559430e+04
1380534.158556	0.457867	1.844223e+04
1380584.161727	1.459799	7.966273e+03
1380634.164898	1.240096	4.374061e+03
1380684.168069	0.777664	3.675077e+03
1380734.171240	0.259572	5.570836e+03
1380784.174412	0.188556	1.231781e+04
1380834.177583	0.172984	2.389575e+05
1380884.180754	0.105654	5.974673e+05
1380934.183925	0.661070	1.203583e+04
1380984.187096	0.179409	6.394629e+03
1381034.190267	0.458865	1.605893e+07
1381084.193438	1.089112	2.686692e+03
1381134.196609	0.000000	2.276186e+05
1381184.199780	0.000000	1.200000e+09
1381234.202952	0.060677	1.001298e+08
1381284.206123	0.368963	2.610997e+07
1381334.209294	0.396709	3.019528e+04
1381384.212465	0.962719	2.290143e+04
1381434.215636	0.685131	9.709664e+07
1381484.218807	0.043889	5.559020e+04
1381534.221978	0.052198	1.365965e+05
1381584.225149	0.000000	6.856309e+05
1381634.228321	0.010903	1.412523e+05
1381684.231492	0.014038	1.297773e+05
1381734.234663	0.028385	5.722633e+04
1381784.237834	0.170312	2.680749e+04
1381834.241005	0.726144	8.106683e+03
1381884.244176	1.309463	4.614493e+03
1381934.247347	0.672583	3.570821e+03
