location	LR	alpha	D
2476401.000000	2.988071	1.103059e+01	0.036100
2476451.009227	4.104371	1.942065e-03	0.018050
2476501.018454	5.093203	1.759578e-02	0.036100
2476551.027681	0.645318	2.651652e+00	0.036100
2476601.036907	3.639275	2.061986e-02	0.036100
2476651.046134	8.552696	1.089964e-02	0.018050
2476701.055361	1.067390	7.997764e-02	0.036100
2476751.064588	9.405591	2.357862e-02	0.018050
2476801.073815	10.338311	2.521400e-02	0.018050
2476851.083042	2.282196	4.630173e-01	0.036100
2476901.092269	9.311453	2.458552e-02	0.018050
2476951.101495	4.356485	5.021233e-01	0.036100
2477001.110722	7.854905	4.635184e-02	0.018050
2477051.119949	11.270818	5.254218e-03	0.018050
2477101.129176	10.631306	5.723941e-03	0.018050
2477151.138403	17.841481	5.839810e-03	0.018050
2477201.147630	9.087525	5.623633e-03	0.018050
2477251.156857	8.584459	2.040273e-02	0.018050
2477301.166083	9.874054	2.563192e-02	0.018050
2477351.175310	10.547171	2.647981e-02	0.018050
2477401.184537	8.114023	2.763801e-02	0.036100
2477451.193764	6.151509	3.496566e-02	0.036100
2477501.202991	14.019660	1.964646e-02	0.036100
2477551.212218	11.961856	1.562932e-02	0.018050
2477601.221444	7.487232	1.531044e-02	0.018050
2477651.230671	2.962432	8.647443e-02	0.036100
2477701.239898	9.822295	3.101769e-03	0.018050
2477751.249125	14.405530	3.068407e-03	0.018050
2477801.258352	6.479702	2.961212e-03	0.018050
2477851.267579	2.654607	1.311091e-02	0.036100
2477901.276806	10.930965	1.284416e-02	0.018050
2477951.286032	5.769464	3.230715e-02	0.036100
2478001.295259	7.070930	3.114496e-02	0.036100
2478051.304486	6.028232	1.075939e-02	0.018050
2478101.313713	11.245355	4.961371e-03	0.018050
2478151.322940	13.949567	5.298767e-03	0.018050
2478201.332167	15.008722	9.061174e-03	0.036100
2478251.341394	3.388640	8.411694e-02	0.018050
2478301.350620	6.184325	1.940647e-02	0.018050
2478351.359847	2.248630	2.069860e+00	0.036100
2478401.369074	2.966981	8.356878e-02	0.036100
2478451.378301	1.624973	1.027252e-01	0.036100
2478501.387528	0.872537	1.624359e+00	0.018050
2478551.396755	4.837795	4.538632e-02	0.036100
2478601.405982	1.913311	1.430079e-01	0.036100
2478651.415208	1.231887	1.566891e-01	0.018050
2478701.424435	4.471877	8.859189e-02	0.036100
2478751.433662	2.261549	1.456622e-01	0.018050
2478801.442889	2.624826	3.903163e-02	0.036100
2478851.452116	3.903276	2.125955e-02	0.036100
2478901.461343	5.125749	1.909191e-02	0.036100
2478951.470570	3.142654	2.550319e-02	0.036100
2479001.479796	4.015142	3.256267e-02	0.036100
2479051.489023	3.385048	5.052398e-02	0.036100
2479101.498250	3.482798	1.583886e-01	0.036100
2479151.507477	1.947906	9.594258e-01	0.018050
2479201.516704	2.481040	6.537645e-01	0.036100
2479251.525931	2.031750	4.309199e-02	0.036100
2479301.535157	1.915639	1.146697e+00	0.036100
2479351.544384	0.945881	3.421854e-01	0.036100
2479401.553611	1.651013	1.003734e-01	0.036100
2479451.562838	8.637710	1.244249e-02	0.036100
2479501.572065	3.855881	6.559427e-03	0.036100
2479551.581292	7.852128	8.718077e-03	0.036100
2479601.590519	1.663334	5.152333e-01	0.036100
2479651.599745	15.099844	5.992211e-03	0.036100
2479701.608972	0.000000	2.732846e+00	0.018050
2479751.618199	1.856930	8.530165e-01	0.036100
2479801.627426	1.518249	9.158931e-01	0.036100
