location	LR	alpha
2476347.000000	24.945463	1.177284e+02
2476397.008272	24.269781	1.260398e+02
2476447.016545	23.976369	1.274950e+02
2476497.024817	22.401325	1.324077e+02
2476547.033089	20.777585	1.383746e+02
2476597.041362	19.884904	1.459334e+02
2476647.049634	12.790828	1.557961e+02
2476697.057906	14.687541	1.599577e+02
2476747.066179	14.717794	1.667245e+02
2476797.074451	16.737214	1.767337e+02
2476847.082724	10.045299	1.899534e+02
2476897.090996	17.346316	1.985075e+02
2476947.099268	18.999583	2.060043e+02
2476997.107541	19.659611	2.116333e+02
2477047.115813	20.992311	2.141338e+02
2477097.124085	15.146701	2.184356e+02
2477147.132358	23.269969	2.184702e+02
2477197.140630	23.564669	2.152766e+02
2477247.148902	21.812830	2.138815e+02
2477297.157175	20.068001	2.125410e+02
2477347.165447	19.753534	2.118677e+02
2477397.173719	0.149044	4.878109e+07
2477447.181992	17.907953	2.129004e+02
2477497.190264	23.083575	2.125547e+02
2477547.198536	25.063564	2.149451e+02
2477597.206809	25.131930	2.201016e+02
2477647.215081	25.796298	2.264764e+02
2477697.223353	17.357172	2.413810e+02
2477747.231626	24.198887	2.503726e+02
2477797.239898	20.134926	2.548200e+02
2477847.248171	14.384414	2.583125e+02
2477897.256443	22.276213	2.599336e+02
2477947.264715	22.541524	2.656830e+02
2477997.272988	0.000000	1.200000e+09
2478047.281260	20.384588	2.888264e+02
2478097.289532	19.998245	3.069888e+02
2478147.297805	0.181744	4.413274e+07
2478197.306077	5.747038	8.724530e+06
2478247.314349	16.565246	4.150905e+02
2478297.322622	19.092496	4.427579e+02
2478347.330894	14.709367	5.935713e+02
2478397.339166	1.037569	2.620697e+07
2478447.347439	3.477683	1.646887e+07
2478497.355711	8.144446	8.160669e+02
2478547.363983	3.911295	4.824981e+02
2478597.372256	0.808844	2.156637e+07
2478647.380528	11.271407	4.121329e+02
2478697.388801	1.216160	1.432302e+07
2478747.397073	13.489319	3.930473e+02
2478797.405345	13.115241	3.876595e+02
2478847.413618	11.844967	3.921342e+02
2478897.421890	10.148875	4.081368e+02
2478947.430162	8.225013	4.370128e+02
2478997.438435	6.184506	4.846097e+02
2479047.446707	4.092726	5.695135e+02
2479097.454979	2.668366	2.083778e+03
2479147.463252	1.532455	7.896362e+06
2479197.471524	2.414226	3.288150e+03
2479247.479796	1.969454	4.287211e+03
2479297.488069	0.893200	8.816658e+04
2479347.496341	0.013688	1.746532e+08
2479397.504613	0.013351	2.889665e+04
2479447.512886	0.000000	4.324459e+05
2479497.521158	0.000000	6.759646e+05
2479547.529430	0.000000	1.200000e+09
2479597.537703	0.000000	1.200000e+09
2479647.545975	0.879830	2.776984e+07
2479697.554248	0.000000	1.200000e+09
2479747.562520	0.174024	6.817372e+07
2479797.570792	0.032682	1.703077e+08
2479847.579065	0.000000	1.200000e+09
2479897.587337	0.000000	2.932220e+05
2479947.595609	0.064428	1.735908e+08
2479997.603882	0.000000	5.755856e+06
2480047.612154	0.018289	1.770041e+08
2480097.620426	1.760252	8.734707e+04
2480147.628699	0.420450	1.076334e+05
2480197.636971	0.000000	5.288835e+06
2480247.645243	0.168522	6.054595e+07
2480297.653516	0.000000	1.200000e+09
2480347.661788	4.574186	3.048106e+03
2480397.670060	8.777108	2.455448e+03
2480447.678333	5.484487	2.144260e+03
2480497.686605	3.905521	2.585638e+03
2480547.694878	2.084900	3.028009e+03
2480597.703150	0.420256	9.183592e+03
2480647.711422	0.017502	1.339440e+05
2480697.719695	0.443027	1.617562e+04
2480747.727967	0.005398	5.350237e+04
2480797.736239	0.002808	1.320307e+05
2480847.744512	0.000000	3.196659e+05
2480897.752784	0.381124	8.387974e+04
2480947.761056	0.000000	2.607698e+05
2480997.769329	0.001143	1.483012e+05
2481047.777601	0.214563	1.336542e+05
2481097.785873	0.725865	1.313036e+04
2481147.794146	0.000000	1.094660e+06
2481197.802418	0.000000	2.817868e+05
2481247.810690	0.000000	1.543028e+06
2481297.818963	0.000000	1.330888e+05
2481347.827235	0.000000	5.330219e+05
2481397.835507	2.389985	2.300593e+03
2481447.843780	2.104732	2.954444e+03
2481497.852052	1.410100	6.225259e+03
2481547.860325	0.250912	4.440409e+07
2481597.868597	1.914718	1.684326e+03
2481647.876869	2.011771	1.480381e+03
2481697.885142	1.869077	1.472180e+03
2481747.893414	1.685223	1.562748e+03
2481797.901686	1.588758	1.795951e+03
2481847.909959	1.732338	2.279884e+03
2481897.918231	1.928428	3.104121e+03
2481947.926503	0.242461	3.152702e+07
2481997.934776	1.573434	3.247428e+07
2482047.943048	1.276432	1.679038e+07
2482097.951320	0.072278	1.016850e+04
2482147.959593	0.013561	2.796480e+07
2482197.967865	0.085867	1.990588e+08
2482247.976137	0.020292	1.880990e+08
2482297.984410	0.006838	2.542389e+08
2482347.992682	0.006886	3.100867e+04
2482398.000955	0.009278	1.246350e+04
2482448.009227	0.021835	6.616724e+03
2482498.017499	0.029350	5.219161e+03
2482548.025772	0.001227	8.136578e+03
2482598.034044	0.000207	1.389976e+04
2482648.042316	0.000108	2.435327e+04
2482698.050589	0.000098	6.583907e+04
2482748.058861	0.000098	4.245615e+08
2482798.067133	0.003939	3.107683e+08
2482848.075406	0.006247	3.016507e+08
2482898.083678	0.036774	4.193229e+04
2482948.091950	0.000000	1.200000e+09
2482998.100223	2.768847	4.530417e+04
2483048.108495	0.000000	8.706371e+05
2483098.116767	0.000000	2.363501e+05
2483148.125040	0.000000	7.689710e+04
2483198.133312	0.000000	4.591838e+04
2483248.141584	0.000000	3.273199e+04
2483298.149857	0.046940	2.881062e+03
2483348.158129	0.117625	2.861125e+03
2483398.166402	0.167596	3.246956e+03
2483448.174674	0.213608	4.133569e+03
2483498.182946	0.308724	5.919500e+03
2483548.191219	1.679777	1.478489e+04
2483598.199491	0.042929	4.228146e+04
2483648.207763	0.033754	2.542912e+04
2483698.216036	0.643625	5.973564e+03
2483748.224308	0.279251	4.050577e+03
2483798.232580	0.212112	3.216330e+03
2483848.240853	0.178355	2.769389e+03
2483898.249125	0.141317	2.573211e+03
2483948.257397	0.091088	2.557628e+03
2483998.265670	0.032451	2.823663e+03
2484048.273942	0.000270	5.499837e+03
2484098.282214	0.000000	1.128876e+04
2484148.290487	0.000001	1.290449e+04
2484198.298759	0.000001	1.523397e+04
2484248.307031	0.000002	1.951195e+04
2484298.315304	0.000003	2.847917e+04
2484348.323576	0.000004	5.736403e+04
2484398.331849	0.000004	2.694643e+05
2484448.340121	0.000000	3.102359e+05
2484498.348393	0.000000	1.957483e+05
2484548.356666	0.000000	3.058379e+05
2484598.364938	0.000000	8.534571e+04
2484648.373210	0.000000	2.067993e+05
2484698.381483	0.071038	2.827566e+04
2484748.389755	0.424445	8.528495e+03
2484798.398027	0.000000	2.454730e+05
2484848.406300	0.000792	3.134004e+08
2484898.414572	2.693406	1.222426e+04
2484948.422844	0.054040	1.773707e+06
2484998.431117	0.073728	1.345707e+04
2485048.439389	0.006856	1.886700e+04
2485098.447661	0.005520	2.993060e+05
2485148.455934	0.363061	4.396317e+07
