location	LR	alpha	D
560538.000000	6.761326	7.181326e-03	0.015313
560588.001057	6.227047	1.935797e-03	0.015313
560638.002115	2.969545	8.516691e-03	0.015313
560688.003172	6.507866	1.967537e-03	0.015313
560738.004230	3.744323	7.509405e-03	0.015313
560788.005287	4.754628	2.166068e-03	0.015313
560838.006345	6.185814	2.017148e-03	0.015313
560888.007402	7.365847	2.034246e-03	0.015313
560938.008460	7.464738	2.226349e-03	0.015313
560988.009517	1.960982	1.966906e-01	0.030625
561038.010575	10.147069	2.313926e-03	0.015313
561088.011632	8.050560	9.615474e-03	0.015313
561138.012690	5.276037	1.001680e-02	0.015313
561188.013747	1.274325	7.163237e+01	0.030625
561238.014805	4.936361	1.092911e-02	0.015313
561288.015862	6.293671	1.145055e-02	0.015313
561338.016919	6.740177	5.687251e-03	0.015313
561388.017977	5.030657	1.265846e-02	0.015313
561438.019034	5.931000	1.333305e-02	0.015313
561488.020092	4.621869	2.138961e-02	0.015313
561538.021149	6.012840	1.788431e-02	0.015313
561588.022207	3.874165	6.600741e-03	0.015313
561638.023264	1.978189	9.020977e-02	0.030625
561688.024322	5.240383	7.029980e-03	0.015313
561738.025379	4.702392	3.883813e-02	0.015313
561788.026437	1.178882	4.239886e-02	0.030625
561838.027494	7.570492	7.653194e-03	0.015313
561888.028552	6.444280	8.258934e-03	0.015313
561938.029609	3.692428	8.406425e-02	0.015313
561988.030667	7.126225	8.113757e-03	0.015313
562038.031724	8.233077	4.629771e-03	0.015313
562088.032782	2.765908	7.644909e-02	0.030625
562138.033839	8.585580	3.951384e-03	0.015313
562188.034896	5.682361	4.001382e-03	0.015313
562238.035954	2.115553	3.076639e-02	0.015313
562288.037011	2.854088	1.121456e-02	0.015313
562338.038069	6.893377	4.356040e-04	0.030625
562388.039126	6.829396	4.363962e-04	0.015313
562438.040184	0.721371	4.447745e-02	0.030625
562488.041241	6.949841	8.218944e-03	0.015313
562538.042299	1.741466	9.569054e-03	0.030625
562588.043356	4.775196	1.466915e-02	0.030625
562638.044414	6.906548	1.707077e-02	0.030625
562688.045471	1.911258	5.033585e-02	0.030625
562738.046529	0.259247	4.791031e+01	0.030625
562788.047586	0.343632	5.522411e-02	0.030625
562838.048644	2.909203	2.255432e-02	0.030625
562888.049701	3.202030	2.003506e-02	0.030625
562938.050758	1.359266	1.198740e-02	0.015313
562988.051816	4.209725	6.122286e-03	0.030625
563038.052873	6.313183	6.841298e-03	0.030625
563088.053931	2.993990	4.744094e-02	0.015313
563138.054988	2.995867	3.508208e-02	0.015313
563188.056046	2.525314	1.074123e-01	0.015313
563238.057103	4.857326	4.444349e-03	0.030625
563288.058161	2.726966	8.629482e-02	0.030625
563338.059218	15.832057	4.145163e-03	0.030625
563388.060276	2.067443	1.404117e-01	0.030625
563438.061333	10.581937	4.080329e-03	0.030625
563488.062391	1.156834	5.019682e-01	0.030625
563538.063448	0.690978	1.264776e+00	0.030625
563588.064506	1.072923	1.617796e+01	0.030625
563638.065563	2.667269	3.366920e-01	0.030625
563688.066620	1.737595	1.411924e-01	0.030625
563738.067678	1.747418	4.330657e-01	0.030625
563788.068735	1.966375	8.567221e-02	0.030625
563838.069793	3.879767	4.270356e-03	0.030625
563888.070850	7.763702	4.195699e-03	0.030625
563938.071908	8.140073	4.123609e-03	0.015313
