location	LR	alpha	D
635506.000000	0.760940	1.191409e+01	0.034948
635556.004111	0.991025	1.000343e+00	0.017474
635606.008222	1.760211	7.254638e-01	0.034948
635656.012333	0.000000	4.139693e-01	0.017474
635706.016444	0.070825	2.264222e-02	0.034948
635756.020555	2.244513	6.777935e-02	0.034948
635806.024667	5.412451	1.500046e-02	0.034948
635856.028778	1.147637	2.349921e-01	0.034948
635906.032889	0.677926	3.425353e-01	0.017474
635956.037000	2.112112	8.889136e-03	0.034948
636006.041111	1.766076	8.621504e-01	0.034948
636056.045222	0.641094	2.111726e-02	0.034948
636106.049333	2.488732	3.436475e-03	0.034948
636156.053444	1.693767	1.501003e-01	0.034948
636206.057555	1.009158	1.119101e+00	0.034948
636256.061666	0.214315	2.661118e-02	0.034948
636306.065778	0.000000	1.712677e-01	0.017474
636356.069889	0.474892	3.656386e-03	0.034948
636406.074000	2.303843	4.088689e-03	0.034948
636456.078111	1.237381	1.497928e-01	0.034948
636506.082222	1.007518	2.785372e-01	0.034948
636556.086333	1.345600	2.404151e-01	0.017474
636606.090444	3.408240	1.365040e-01	0.017474
636656.094555	0.677926	2.446261e+00	0.017474
636706.098666	1.763388	1.410791e+00	0.034948
636756.102777	3.169809	2.697252e-02	0.034948
636806.106889	0.450498	1.251393e-01	0.034948
636856.111000	3.690772	3.369737e-02	0.034948
636906.115111	1.858557	4.880333e-02	0.034948
636956.119222	1.805288	1.094771e-02	0.034948
637006.123333	1.550273	2.530986e-02	0.034948
637056.127444	3.020052	1.409895e-02	0.034948
637106.131555	6.460125	1.091771e-02	0.034948
637156.135666	1.309361	1.304156e-02	0.034948
637206.139777	1.026638	4.630706e-02	0.034948
637256.143888	1.090954	7.173788e-02	0.034948
637306.148000	1.763388	8.591870e+00	0.034948
637356.152111	1.837946	3.902632e-03	0.034948
637406.156222	0.825008	4.874953e-02	0.034948
637456.160333	0.679775	2.835805e-02	0.034948
637506.164444	0.208306	2.242302e-02	0.034948
637556.168555	0.000000	5.877498e-02	0.017474
637606.172666	0.000000	4.721202e-02	0.017474
637656.176777	0.481828	4.654352e-02	0.017474
637706.180888	0.481825	5.804268e-02	0.017474
637756.184999	0.677858	8.286432e-02	0.034948
637806.189111	0.677926	1.265677e-01	0.017474
637856.193222	0.677926	2.678165e-01	0.017474
637906.197333	0.817340	3.344233e-02	0.017474
637956.201444	0.393507	6.059635e-02	0.034948
638006.205555	0.288304	2.871112e-02	0.034948
638056.209666	0.248906	1.879963e-02	0.034948
638106.213777	0.367793	1.306071e-02	0.034948
638156.217888	1.202533	1.001487e-02	0.034948
638206.221999	1.282575	1.022825e-02	0.034948
638256.226110	1.356078	1.094665e-02	0.034948
638306.230222	1.477283	1.124406e-02	0.034948
638356.234333	2.051359	1.194940e-02	0.034948
638406.238444	2.032518	1.283750e-02	0.017474
638456.242555	2.555826	1.356304e-02	0.017474
638506.246666	2.562068	1.081321e-02	0.017474
638556.250777	2.589534	1.151908e-02	0.017474
638606.254888	2.731196	1.050103e-02	0.017474
638656.258999	2.734146	1.098156e-02	0.017474
638706.263110	2.460926	1.287918e-02	0.017474
638756.267221	2.549256	1.911641e-02	0.017474
638806.271333	2.559964	1.498636e-02	0.017474
638856.275444	2.414002	1.598456e-02	0.017474
638906.279555	2.297838	1.432458e-02	0.017474
638956.283666	1.875626	3.119181e-02	0.017474
639006.287777	3.239263	3.510348e-02	0.017474
639056.291888	2.916933	1.976671e-01	0.034948
639106.295999	2.829337	5.112823e-02	0.017474
639156.300110	2.733614	5.247051e-02	0.017474
639206.304221	2.015676	2.625651e-01	0.034948
639256.308332	2.210757	8.552591e-02	0.017474
639306.312444	2.537147	3.842307e-02	0.017474
639356.316555	1.521576	1.227401e-01	0.017474
639406.320666	1.360768	7.310998e-01	0.034948
639456.324777	3.668606	4.384758e-02	0.034948
639506.328888	1.142774	2.160881e-02	0.017474
639556.332999	2.102423	2.680565e-02	0.017474
639606.337110	1.554959	6.209773e-01	0.034948
639656.341221	1.559057	3.221904e+00	0.034948
639706.345332	2.010795	1.946434e+00	0.034948
639756.349443	3.835673	1.141064e-02	0.034948
639806.353555	4.009193	6.784851e-03	0.034948
639856.357666	3.419668	7.327609e-03	0.017474
639906.361777	1.104114	5.603186e-03	0.017474
639956.365888	2.157589	1.410712e-02	0.017474
640006.369999	2.182188	2.686788e-02	0.034948
640056.374110	1.872526	4.885479e-02	0.034948
640106.378221	1.135303	3.027412e-02	0.017474
640156.382332	1.432217	4.178419e-02	0.017474
640206.386443	7.379018	7.300986e-03	0.017474
640256.390554	1.662935	7.350198e-03	0.017474
640306.394666	1.427473	2.730583e+00	0.034948
640356.398777	1.364469	1.242221e-01	0.017474
640406.402888	1.066751	4.136264e-01	0.034948
640456.406999	1.969133	6.262331e-02	0.034948
640506.411110	2.887656	3.978927e-02	0.034948
640556.415221	1.073495	4.792043e-02	0.034948
640606.419332	0.249330	6.824165e-01	0.034948
640656.423443	1.049557	4.346217e-01	0.034948
640706.427554	1.056565	2.447503e-01	0.034948
640756.431665	6.704609	8.024438e-03	0.034948
640806.435777	1.860774	1.339821e-01	0.017474
640856.439888	0.713988	1.149438e+00	0.034948
640906.443999	1.996555	1.386392e-02	0.034948
640956.448110	4.214479	8.199231e-03	0.017474
641006.452221	0.277002	1.569608e-01	0.034948
641056.456332	1.079159	2.828347e-02	0.034948
641106.460443	1.362637	7.528839e-01	0.034948
641156.464554	1.381252	3.203028e-01	0.034948
641206.468665	2.708624	4.340457e-02	0.017474
641256.472776	0.677926	8.147875e+00	0.017474
641306.476888	4.240910	2.141033e-02	0.034948
641356.480999	1.528208	9.126796e-02	0.017474
641406.485110	1.747461	2.518442e-02	0.017474
641456.489221	1.427454	6.575732e-02	0.017474
641506.493332	0.758852	9.877084e-02	0.034948
641556.497443	1.795640	9.411952e-02	0.034948
641606.501554	3.251510	6.760503e-02	0.034948
641656.505665	2.949053	3.347228e-02	0.034948
641706.509776	2.217224	2.867317e-02	0.017474
641756.513887	3.003037	2.561291e-02	0.017474
