location	LR	alpha
635467.000000	2.356326	2.705601e+03
635517.004111	0.933463	5.738335e+03
635567.008221	0.246791	3.118700e+07
635617.012332	2.648030	8.476043e+02
635667.016443	1.413486	8.463415e+02
635717.020553	0.016950	1.328222e+04
635767.024664	0.016502	1.166060e+05
635817.028775	0.000833	1.402289e+04
635867.032886	0.164950	1.698033e+05
635917.036996	0.000000	1.200000e+09
635967.041107	0.284836	1.999043e+03
636017.045218	0.618080	1.330955e+03
636067.049328	0.919342	1.602877e+03
636117.053439	1.904463	4.212205e+03
636167.057550	1.108966	2.215368e+03
636217.061660	0.015843	6.789816e+04
636267.065771	0.094257	8.368797e+03
636317.069882	0.032197	6.005832e+03
636367.073992	0.002046	1.575228e+04
636417.078103	0.001778	4.331493e+05
636467.082214	0.262925	6.517199e+04
636517.086324	1.767959	3.501009e+04
636567.090435	0.019470	6.167979e+04
636617.094546	1.248149	3.502458e+07
636667.098657	0.003388	8.923647e+04
636717.102767	0.260876	1.412281e+04
636767.106878	0.811127	7.894223e+03
636817.110989	0.000000	1.200000e+09
636867.115099	1.387882	1.615310e+04
636917.119210	0.022605	2.019210e+08
636967.123321	0.255178	4.563822e+04
637017.127431	0.246699	1.480388e+04
637067.131542	0.048348	4.269782e+07
637117.135653	0.081580	1.569403e+08
637167.139763	0.058579	2.350727e+08
637217.143874	0.717506	1.590787e+04
637267.147985	0.287608	6.539600e+03
637317.152095	0.032136	8.485156e+04
637367.156206	0.032138	1.662400e+04
637417.160317	0.032913	7.024961e+03
637467.164428	0.037026	4.304989e+03
637517.168538	0.050994	2.725369e+03
637567.172649	0.136598	1.855129e+03
637617.176760	0.217238	1.639306e+03
637667.180870	0.436886	1.120021e+03
637717.184981	1.186564	9.343861e+02
637767.189092	2.104044	8.787749e+02
637817.193202	2.543401	1.067704e+03
637867.197313	2.180583	2.113375e+03
637917.201424	1.941299	4.904263e+04
637967.205534	2.430745	1.940717e+03
638017.209645	2.592955	9.911457e+02
638067.213756	2.711635	6.804093e+02
638117.217866	2.771978	5.437866e+02
638167.221977	2.695776	4.861879e+02
638217.226088	2.475783	4.606995e+02
638267.230199	2.169593	4.499106e+02
638317.234309	1.825009	4.460319e+02
638367.238420	1.467844	4.412407e+02
638417.242531	1.130489	3.998824e+02
638467.246641	0.893435	3.633906e+02
638517.250752	0.659025	3.603783e+02
638567.254863	0.448536	8.350476e+02
638617.258973	0.339819	9.699299e+02
638667.263084	0.240352	1.193018e+03
638717.267195	0.183927	1.525538e+03
638767.271305	0.156963	1.960448e+03
638817.275416	0.138621	2.594926e+03
638867.279527	0.113825	3.744585e+03
638917.283637	0.055463	7.158111e+03
638967.287748	0.030205	9.478057e+04
639017.291859	0.218064	8.256793e+07
639067.295970	1.933117	2.427779e+07
639117.300080	1.512040	3.665047e+03
639167.304191	2.478528	2.417008e+03
639217.308302	0.514241	1.835685e+05
639267.312412	6.596277	1.299667e+03
639317.316523	4.476219	1.246794e+03
639367.320634	1.286610	1.342257e+07
639417.324744	0.569928	9.577054e+03
639467.328855	0.000166	5.140063e+04
639517.332966	0.023184	3.301850e+04
639567.337076	1.390361	7.964562e+03
639617.341187	3.721324	2.291708e+06
639667.345298	2.712208	2.533492e+03
639717.349408	0.817594	3.993332e+07
639767.353519	0.498574	2.059406e+04
639817.357630	2.558630	1.263128e+03
639867.361741	1.080671	1.321434e+03
639917.365851	0.019931	6.162721e+03
639967.369962	0.146797	1.318534e+04
640017.374073	0.000000	3.304517e+05
640067.378183	0.000000	3.837208e+05
640117.382294	0.050467	4.704161e+04
640167.386405	0.136478	4.969355e+05
640217.390515	0.000000	1.200000e+09
640267.394626	0.000000	1.200000e+09
640317.398737	0.270360	1.299647e+08
640367.402847	0.024645	2.183508e+08
640417.406958	0.226522	1.609517e+04
640467.411069	0.000000	1.646141e+05
640517.415179	0.000006	5.786160e+08
640567.419290	0.568156	3.011030e+03
640617.423401	1.135089	2.140659e+03
640667.427512	1.936504	1.861146e+03
640717.431622	0.733052	1.366794e+03
640767.435733	0.019123	4.998220e+03
640817.439844	0.013871	1.036029e+04
640867.443954	0.014143	2.473593e+08
640917.448065	0.054838	2.001630e+08
640967.452176	0.187067	1.315445e+04
641017.456286	0.061224	5.453073e+04
641067.460397	0.241987	1.413200e+04
641117.464508	0.064735	4.865224e+04
641167.468618	0.099321	1.714891e+08
641217.472729	0.986332	5.381382e+06
641267.476840	0.491749	4.663913e+07
641317.480950	0.544313	1.793404e+04
641367.485061	0.060123	1.120688e+05
641417.489172	0.054293	1.052237e+04
641467.493283	0.103836	1.852733e+08
641517.497393	0.212277	1.818920e+04
641567.501504	0.013738	8.459866e+04
641617.505615	0.024934	5.130608e+04
641667.509725	6.148668	2.698049e+03
641717.513836	3.440550	1.847825e+03
641767.517947	0.000369	2.467877e+05
641817.522057	1.317696	1.231713e+03
641867.526168	1.068911	9.862341e+02
641917.530279	1.663130	8.920267e+02
641967.534389	0.742310	1.459585e+07
642017.538500	1.096115	7.359335e+03
642067.542611	0.058369	2.191802e+05
642117.546721	0.040948	1.274514e+04
642167.550832	0.000476	7.759647e+05
642217.554943	0.056257	4.224258e+03
642267.559054	0.000000	4.148425e+04
642317.563164	0.043846	1.119834e+04
642367.567275	0.063785	1.349103e+08
642417.571386	0.035622	7.372695e+04
642467.575496	0.007302	5.870625e+04
642517.579607	0.107046	1.207820e+04
642567.583718	0.048517	2.017304e+08
642617.587828	0.000000	1.301224e+06
642667.591939	0.000000	2.018644e+05
642717.596050	0.039725	1.176762e+04
642767.600160	0.000000	4.269963e+04
642817.604271	0.199820	2.117436e+03
642867.608382	0.131573	3.368101e+07
642917.612492	0.701595	3.172713e+03
642967.616603	0.572484	2.108750e+03
643017.620714	0.011632	4.493755e+04
643067.624825	0.027529	2.788531e+03
643117.628935	0.000477	3.826147e+04
643167.633046	0.136689	3.759442e+05
643217.637157	0.000000	1.200000e+09
643267.641267	0.214852	2.377617e+04
643317.645378	0.099145	3.946604e+04
643367.649489	1.957069	3.567336e+03
643417.653599	1.774660	4.686536e+04
643467.657710	1.577355	1.191831e+03
643517.661821	1.330047	9.979062e+02
643567.665931	1.165086	7.938327e+02
643617.670042	1.203810	1.329790e+03
643667.674153	0.268055	1.181122e+05
643717.678263	1.181911	2.007516e+03
643767.682374	0.252964	1.358385e+04
643817.686485	0.536111	8.617518e+04
643867.690596	3.743880	1.131763e+03
643917.694706	2.366573	1.180946e+03
643967.698817	0.310180	1.056446e+04
644017.702928	0.048614	2.505753e+08
644067.707038	1.192617	7.757098e+06
644117.711149	0.943894	7.791208e+03
644167.715260	0.089481	3.938837e+03
644217.719370	0.000238	1.053296e+05
644267.723481	0.074998	8.795096e+03
644317.727592	0.000000	1.311816e+05
644367.731702	0.033032	4.115413e+04
644417.735813	5.050022	1.612801e+06
644467.739924	2.715632	1.805360e+03
644517.744034	1.285732	2.712815e+03
644567.748145	0.027043	1.869078e+05
644617.752256	0.011065	5.586961e+04
644667.756367	0.129372	5.470237e+04
644717.760477	0.112020	7.277892e+03
644767.764588	0.139447	3.619217e+03
644817.768699	0.171342	2.444465e+03
644867.772809	0.191901	1.844670e+03
644917.776920	0.201835	1.578342e+03
644967.781031	0.070334	1.678353e+03
645017.785141	0.000185	5.698247e+03
645067.789252	0.000146	7.714572e+03
645117.793363	0.000123	1.152695e+04
645167.797473	0.000116	2.174855e+04
645217.801584	0.000116	1.728523e+05
645267.805695	0.030038	1.123018e+05
645317.809805	0.000000	1.200000e+09
645367.813916	0.910925	4.081074e+07
645417.818027	0.270439	4.578598e+03
645467.822138	0.027043	1.121289e+05
