location	LR	alpha
4210.000000	0.040926	1.533773e+08
4260.001916	0.040926	5.219462e+04
4310.003832	0.031391	2.195100e+04
4360.005748	0.000000	1.582614e+05
4410.007664	0.000000	4.221079e+05
4460.009581	0.000000	5.460854e+05
4510.011497	0.000000	1.200000e+09
4560.013413	0.000000	1.200000e+09
4610.015329	0.000000	1.200000e+09
4660.017245	0.000000	7.059904e+05
4710.019161	0.000000	3.349058e+05
4760.021077	0.000000	9.699558e+05
4810.022993	1.018922	1.334596e+04
4860.024909	1.234248	2.613728e+07
4910.026825	1.279404	2.275236e+04
4960.028742	0.168292	1.227479e+08
5010.030658	0.168292	1.227479e+08
5060.032574	0.583704	1.654895e+04
5110.034490	0.482338	1.841113e+04
5160.036406	0.066046	6.821134e+04
5210.038322	0.066038	1.453566e+08
5260.040238	0.178615	2.590319e+04
5310.042154	0.714086	5.441840e+04
5360.044070	0.713845	6.092125e+07
5410.045987	0.747348	1.527387e+04
5460.047903	0.823764	6.594962e+03
5510.049819	0.925838	4.117703e+03
5560.051735	1.048887	3.187897e+03
5610.053651	1.117958	2.817999e+03
5660.055567	1.098643	2.683398e+03
5710.057483	0.988322	2.693632e+03
5760.059399	0.799851	2.846424e+03
5810.061315	0.559663	3.233740e+03
5860.063231	0.325605	4.444656e+03
5910.065148	0.272437	1.050904e+04
5960.067064	0.327965	3.503919e+04
6010.068980	0.328684	1.561355e+05
6060.070896	0.099266	2.437780e+04
6110.072812	0.000000	6.699471e+05
6160.074728	0.000000	1.200000e+09
6210.076644	0.242129	1.015046e+08
6260.078560	0.242129	1.015046e+08
6310.080476	0.094927	1.123865e+08
6360.082393	0.094927	1.123865e+08
6410.084309	0.000000	1.200000e+09
6460.086225	0.000000	1.200000e+09
6510.088141	0.000000	1.200000e+09
6560.090057	0.000000	1.200000e+09
6610.091973	0.000000	1.200000e+09
6660.093889	0.011323	2.271492e+08
6710.095805	0.011323	2.271492e+08
6760.097721	0.007606	2.099505e+08
6810.099637	0.007606	2.099505e+08
6860.101554	0.001083	6.806022e+04
6910.103470	0.000000	1.200000e+09
6960.105386	0.000000	2.533363e+05
7010.107302	0.040391	1.032588e+08
7060.109218	0.040391	1.032588e+08
7110.111134	0.349922	5.712592e+07
7160.113050	0.349922	5.712592e+07
7210.114966	0.094820	5.299775e+04
7260.116882	0.094927	1.123864e+08
7310.118799	0.098173	4.740336e+04
7360.120715	0.467275	7.219628e+07
7410.122631	0.764713	6.114108e+03
7460.124547	1.488668	5.543975e+03
7510.126463	1.450461	8.391788e+03
7560.128379	1.317834	4.298812e+07
7610.130295	1.317834	4.298812e+07
7660.132211	1.525931	1.302864e+04
7710.134127	0.214262	1.070708e+08
7760.136044	0.710645	1.513207e+04
7810.137960	0.419324	7.267896e+07
7860.139876	0.419324	6.694844e+05
7910.141792	1.007072	1.192464e+04
7960.143708	0.419324	1.978919e+05
8010.145624	0.099421	1.543194e+08
8060.147540	0.099421	1.543194e+08
8110.149456	0.227696	2.587919e+04
8160.151372	0.127185	1.058813e+08
8210.153288	0.130595	2.647590e+04
8260.155205	0.020273	1.679972e+04
8310.157121	0.000000	2.768513e+05
8360.159037	0.000000	1.200000e+09
8410.160953	0.000000	1.200000e+09
8460.162869	0.000000	2.872584e+05
8510.164785	0.000000	1.200000e+09
8560.166701	0.000000	2.983423e+05
8610.168617	0.000000	1.139809e+07
8660.170533	0.000000	2.603061e+05
8710.172450	0.000000	1.316564e+05
8760.174366	0.000000	1.880675e+05
8810.176282	0.000000	6.396553e+05
8860.178198	0.000000	1.200000e+09
8910.180114	0.003876	1.987117e+08
8960.182030	0.003876	1.987117e+08
9010.183946	0.008160	4.383054e+04
9060.185862	0.007606	2.099505e+08
9110.187778	0.007606	5.517025e+04
9160.189694	0.007080	2.718655e+04
9210.191611	0.023219	1.400901e+04
9260.193527	0.058819	1.544716e+04
9310.195443	0.048088	1.086982e+06
9360.197359	0.316310	2.310933e+05
9410.199275	0.244194	2.508220e+04
9460.201191	0.000000	6.649184e+05
9510.203107	0.000000	1.200000e+09
9560.205023	0.000000	3.685023e+05
9610.206939	0.000000	1.432934e+06
9660.208856	0.400821	1.586459e+04
9710.210772	0.666965	5.137157e+07
9760.212688	0.666965	5.137157e+07
9810.214604	1.168942	1.105600e+04
9860.216520	0.658917	4.298812e+07
9910.218436	0.658917	4.298812e+07
9960.220352	0.373526	7.484949e+03
10010.222268	0.000000	5.050943e+05
10060.224184	0.106365	3.209639e+04
10110.226100	0.127185	1.058813e+08
10160.228017	0.061390	9.406239e+04
10210.229933	0.061389	8.005620e+04
10260.231849	0.062218	2.517456e+04
10310.233765	0.067993	1.437988e+04
10360.235681	0.072965	1.009128e+04
10410.237597	0.060709	8.371988e+03
10460.239513	0.024420	8.316037e+03
10510.241429	0.000000	8.994887e+04
10560.243345	0.000000	1.301936e+05
10610.245262	0.020476	1.906781e+04
10660.247178	0.048087	7.276206e+04
10710.249094	0.048088	1.344454e+05
10760.251010	0.000000	3.633783e+05
10810.252926	0.000000	1.200000e+09
10860.254842	0.285725	2.817103e+04
10910.256758	0.378839	5.049292e+07
10960.258674	0.352607	2.092707e+04
11010.260590	0.178875	1.112564e+04
11060.262506	0.076638	8.875102e+03
11110.264423	0.020533	8.583135e+03
11160.266339	0.000026	1.804027e+04
11210.268255	0.000000	5.074246e+04
11260.270171	0.000000	6.344572e+04
11310.272087	0.000000	8.463354e+04
11360.274003	0.000000	1.270682e+05
11410.275919	0.000000	2.548464e+05
11460.277835	0.000000	1.200000e+09
11510.279751	0.000000	1.200000e+09
11560.281668	0.000000	1.200000e+09
11610.283584	0.000000	1.200000e+09
11660.285500	0.000000	4.788073e+05
11710.287416	0.000000	1.200000e+09
11760.289332	0.000000	6.814216e+05
11810.291248	0.000000	1.200000e+09
11860.293164	0.000000	2.799578e+05
11910.295080	1.459365	2.813378e+04
11960.296996	1.484817	3.690950e+07
12010.298912	2.240288	8.520411e+03
12060.300829	1.043732	4.337576e+04
12110.302745	1.328209	5.745913e+03
12160.304661	0.316310	3.946490e+07
12210.306577	0.316310	3.946490e+07
12260.308493	0.319567	6.603463e+07
12310.310409	0.704976	5.922408e+03
12360.312325	1.470441	5.556376e+03
12410.314241	1.388802	1.001937e+04
12460.316157	1.508969	4.145738e+07
12510.318074	1.508969	4.145738e+07
12560.319990	0.444351	1.835501e+04
12610.321906	0.000000	1.200000e+09
12660.323822	0.000000	1.200000e+09
12710.325738	0.000000	2.669987e+05
12760.327654	0.000000	1.200000e+09
12810.329570	0.000000	3.761304e+05
12860.331486	0.000000	1.448886e+05
12910.333402	0.000000	8.972586e+04
12960.335318	0.000000	6.498460e+04
13010.337235	0.000000	5.093864e+04
13060.339151	0.000000	5.620506e+04
13110.341067	0.000000	7.380735e+04
13160.342983	0.006707	9.438263e+03
13210.344899	0.029663	1.378293e+04
13260.346815	0.048087	7.174667e+04
13310.348731	0.006491	3.071929e+04
13360.350647	0.000000	5.380254e+05
13410.352563	0.000000	6.800106e+05
13460.354480	0.003796	4.846672e+04
13510.356396	0.020463	1.551355e+05
13560.358312	0.020460	4.978582e+04
13610.360228	0.019601	2.146236e+04
13660.362144	0.237152	1.537407e+03
13710.364060	1.015903	1.493217e+03
13760.365976	1.652826	1.492580e+03
13810.367892	2.210561	1.520748e+03
13860.369808	2.724791	1.574591e+03
13910.371724	3.218490	1.656870e+03
13960.373641	3.705799	1.777564e+03
14010.375557	4.186389	1.962432e+03
14060.377473	4.597303	2.293674e+03
14110.379389	3.463078	3.466391e+03
14160.381305	5.193377	2.972379e+03
14210.383221	2.743951	1.037547e+07
14260.385137	2.743951	1.037547e+07
14310.387053	3.984627	2.610972e+03
14360.388969	2.378530	2.445811e+03
14410.390886	0.020463	6.837504e+04
14460.392802	0.020446	7.534421e+04
14510.394718	0.000000	2.490690e+05
14560.396634	0.000000	7.172025e+05
14610.398550	0.000000	8.041839e+05
14660.400466	0.507794	4.011912e+03
14710.402382	1.571544	4.430360e+03
14760.404298	2.624968	5.233986e+03
14810.406214	4.156434	6.829550e+03
14860.408131	7.105894	4.235522e+04
14910.410047	0.000000	1.200000e+09
14960.411963	0.000000	1.200000e+09
15010.413879	0.000000	2.995052e+05
15060.415795	0.000000	1.200000e+09
15110.417711	0.000000	3.456248e+05
15160.419627	0.000000	1.200000e+09
15210.421543	0.000000	1.200000e+09
15260.423459	0.000000	1.200000e+09
15310.425375	0.000000	1.200000e+09
15360.427292	0.000000	4.732413e+05
15410.429208	0.000000	1.553154e+05
15460.431124	0.000000	9.290281e+04
15510.433040	0.000000	1.009017e+05
15560.434956	0.000000	1.790443e+05
15610.436872	0.000000	7.937856e+05
15660.438788	0.000000	1.200000e+09
15710.440704	0.000008	1.072965e+05
15760.442620	0.000016	3.906325e+08
15810.444537	0.000000	2.766514e+05
15860.446453	0.000000	8.354387e+05
15910.448369	0.000000	2.067771e+05
15960.450285	0.000000	1.179903e+05
16010.452201	0.000000	8.254624e+04
16060.454117	0.000000	6.347766e+04
16110.456033	0.000000	5.156574e+04
16160.457949	0.000000	4.341810e+04
16210.459865	0.000000	3.749388e+04
16260.461781	0.000000	3.299223e+04
16310.463698	0.045321	3.010981e+03
16360.465614	0.238628	2.376372e+03
16410.467530	0.480167	2.135859e+03
16460.469446	0.732217	2.054149e+03
16510.471362	0.970905	2.068544e+03
16560.473278	1.178921	2.170120e+03
16610.475194	1.338781	2.396661e+03
16660.477110	1.427140	2.937059e+03
16710.479026	1.455942	5.492798e+03
16760.480943	1.793721	1.968378e+07
16810.482859	1.793721	1.968378e+07
16860.484775	0.000000	3.317000e+05
16910.486691	0.000000	1.200000e+09
16960.488607	0.000000	1.200000e+09
17010.490523	0.515275	7.188897e+07
17060.492439	0.515326	4.892649e+04
17110.494355	0.316310	3.946489e+07
17160.496271	0.316310	3.946489e+07
17210.498187	1.074642	9.343129e+03
17260.500104	0.580064	6.366839e+07
17310.502020	0.580064	6.366839e+07
17360.503936	0.000000	1.200000e+09
17410.505852	0.000000	1.200000e+09
17460.507768	0.599276	2.561333e+04
17510.509684	0.632620	3.946490e+07
17560.511600	0.532771	1.079712e+04
17610.513516	0.096175	7.052734e+07
17660.515432	0.096175	7.052734e+07
17710.517349	0.072737	9.429479e+07
17760.519265	0.072737	9.429479e+07
17810.521181	0.070545	3.210117e+04
17860.523097	0.047792	4.734878e+04
17910.525013	0.046975	2.518142e+04
17960.526929	0.000380	1.702445e+04
18010.528845	0.000016	5.710174e+04
18060.530761	0.000016	2.300735e+05
18110.532677	0.000016	1.834555e+05
18160.534593	0.000000	2.899105e+05
18210.536510	0.000000	2.943174e+06
18260.538426	0.000000	1.200000e+09
18310.540342	0.028084	1.185473e+05
18360.542258	0.000000	2.824602e+05
18410.544174	0.000000	1.200000e+09
18460.546090	0.000000	1.200000e+09
18510.548006	0.000000	6.426145e+05
18560.549922	0.246707	7.772164e+07
18610.551838	0.246717	7.000164e+04
18660.553755	0.042307	1.593458e+08
18710.555671	0.042307	1.593458e+08
18760.557587	0.232228	9.071165e+07
18810.559503	0.232513	5.206008e+04
18860.561419	0.116925	2.710261e+04
18910.563335	0.007606	1.439716e+05
18960.565251	0.007606	2.753944e+05
19010.567167	0.055605	2.887062e+04
19060.569083	0.051607	2.363184e+04
19110.570999	0.701495	6.222001e+03
19160.572916	0.758389	7.310208e+03
19210.574832	0.454274	1.882011e+04
19260.576748	0.416279	7.376210e+07
19310.578664	0.416279	7.376210e+07
19360.580580	0.324885	1.114565e+08
19410.582496	0.324885	9.982673e+04
19460.584412	0.029255	1.549033e+08
19510.586328	0.029255	1.549033e+08
19560.588244	0.029255	1.549033e+08
19610.590161	0.096175	7.052733e+07
19660.592077	0.096175	7.052733e+07
19710.593993	0.000000	3.033436e+05
19760.595909	0.000000	3.129228e+05
19810.597825	0.000000	4.246153e+06
19860.599741	0.000000	1.200000e+09
19910.601657	0.000000	1.200000e+09
19960.603573	0.000000	7.949786e+05
20010.605489	0.000000	1.200000e+09
20060.607405	0.031137	3.163424e+04
20110.609322	0.658918	7.400670e+04
20160.611238	0.971400	9.958869e+03
20210.613154	1.001985	8.718362e+03
20260.615070	1.066162	1.025585e+04
20310.616986	0.605877	5.230578e+07
20360.618902	0.605877	5.230578e+07
20410.620818	0.059879	6.185190e+04
20460.622734	0.059448	1.678885e+08
20510.624650	0.059448	1.033382e+05
20560.626567	0.000000	1.200000e+09
20610.628483	0.000000	1.200000e+09
20660.630399	0.896860	2.503070e+05
20710.632315	0.896860	1.968379e+07
20760.634231	0.000000	1.200000e+09
20810.636147	0.000000	1.200000e+09
20860.638063	0.000000	3.639034e+05
20910.639979	0.000000	1.200000e+09
20960.641895	0.000000	2.821804e+05
21010.643811	0.000000	1.200000e+09
21060.645728	0.000000	1.200000e+09
21110.647644	0.000048	3.906326e+08
21160.649560	0.000048	3.906326e+08
21210.651476	0.000048	3.906326e+08
21260.653392	0.000000	9.703010e+05
21310.655308	0.000000	2.836306e+05
21360.657224	0.000000	1.660904e+05
21410.659140	0.000000	1.226883e+05
21460.661056	0.000000	1.768148e+05
21510.662973	0.000000	3.164027e+05
21560.664889	0.000000	1.502800e+06
21610.666805	0.096175	7.052733e+07
21660.668721	0.096175	7.052733e+07
21710.670637	0.000000	1.200000e+09
21760.672553	0.000000	1.200000e+09
21810.674469	0.000000	4.713438e+05
21860.676385	1.368328	1.252472e+04
