location	LR	alpha
5223925.000000	0.066867	3.512944e+07
5223975.006816	0.182791	4.449584e+03
5224025.013633	0.108626	5.774238e+03
5224075.020449	0.097020	1.125281e+04
5224125.027265	0.095275	6.269582e+04
5224175.034082	0.095520	6.173895e+04
5224225.040898	0.000767	2.162981e+05
5224275.047715	0.000767	8.837939e+04
5224325.054531	0.003470	2.128920e+04
5224375.061347	0.002850	1.152466e+05
5224425.068164	0.810474	1.822999e+04
5224475.074980	1.160903	8.179160e+03
5224525.081796	0.071663	2.597202e+05
5224575.088613	0.026565	8.047655e+04
5224625.095429	0.632140	5.152212e+07
5224675.102245	0.000000	3.829178e+05
5224725.109062	0.017892	2.255356e+08
5224775.115878	0.004548	6.092010e+04
5224825.122694	0.538190	8.291843e+03
5224875.129511	0.656923	4.571401e+07
5224925.136327	0.104005	1.008265e+08
5224975.143144	1.950492	1.869973e+07
5225025.149960	0.093477	1.091638e+08
5225075.156776	0.012034	2.707649e+08
5225125.163593	0.293694	2.678868e+04
5225175.170409	0.286974	1.926174e+05
5225225.177225	0.199909	5.493013e+04
5225275.184042	0.165490	3.034781e+04
5225325.190858	0.562075	1.151090e+04
5225375.197674	0.021779	2.397815e+08
5225425.204491	0.002792	2.688185e+05
5225475.211307	0.008965	3.159355e+08
5225525.218123	0.550565	5.187500e+07
5225575.224940	2.233446	6.296917e+03
5225625.231756	0.983537	6.771512e+07
5225675.238573	0.000000	1.200000e+09
5225725.245389	0.000011	1.420146e+05
5225775.252205	0.000000	2.024504e+05
5225825.259022	0.000000	1.200000e+09
5225875.265838	0.000000	1.400246e+05
5225925.272654	0.000000	6.158865e+04
5225975.279471	0.000000	3.947590e+04
5226025.286287	0.000000	2.904691e+04
5226075.293103	0.000000	2.297677e+04
5226125.299920	0.042936	2.309909e+03
5226175.306736	0.185871	2.400112e+03
5226225.313553	0.314882	2.619481e+03
5226275.320369	0.486613	2.983600e+03
5226325.327185	1.025801	3.604365e+03
5226375.334002	0.554098	5.879837e+03
5226425.340818	0.303668	6.938937e+03
5226475.347634	0.007210	2.528631e+04
5226525.354451	0.007091	2.564354e+08
5226575.361267	0.104555	1.891940e+08
5226625.368083	0.105078	2.502621e+04
5226675.374900	0.110133	1.046212e+04
5226725.381716	0.110428	6.729788e+03
5226775.388532	0.107151	5.019636e+03
5226825.395349	0.102899	4.020653e+03
5226875.402165	0.098974	3.354563e+03
5226925.408982	0.096337	2.868891e+03
5226975.415798	0.096170	2.495597e+03
5227025.422614	0.098604	2.215502e+03
5227075.429431	0.100446	2.032677e+03
5227125.436247	0.095028	1.958496e+03
5227175.443063	0.077653	2.005807e+03
5227225.449880	0.054938	2.203891e+03
5227275.456696	0.042635	2.571725e+03
5227325.463512	0.044074	2.996247e+03
5227375.470329	0.052131	3.467863e+03
5227425.477145	0.063668	4.112087e+03
5227475.483962	0.079796	5.124877e+03
5227525.490778	0.108947	6.933269e+03
5227575.497594	0.219326	1.095867e+04
5227625.504411	0.020039	2.061869e+08
5227675.511227	0.007456	6.868775e+04
5227725.518043	0.000000	1.200000e+09
5227775.524860	0.623979	1.811345e+04
5227825.531676	0.016475	8.160943e+04
5227875.538492	0.311187	3.338752e+04
5227925.545309	0.005167	1.152088e+04
5227975.552125	0.135940	1.375855e+05
5228025.558941	0.001451	2.372112e+08
