location	LR	alpha	D
635473.000000	5.249693	4.472619e-02	0.037484
635523.003509	2.125159	2.330144e-01	0.037484
635573.007018	2.114599	1.016522e-01	0.037484
635623.010527	1.913113	4.010410e-02	0.037484
635673.014036	1.626703	2.547847e-02	0.037484
635723.017546	0.899397	1.899267e-02	0.037484
635773.021055	1.653391	1.578991e-02	0.037484
635823.024564	1.188123	1.449318e-02	0.037484
635873.028073	1.419998	3.405197e-01	0.037484
635923.031582	0.354905	1.699793e-02	0.018742
635973.035091	0.815363	6.759349e-02	0.037484
636023.038600	0.634808	9.920518e-02	0.018742
636073.042109	0.546334	2.405013e-02	0.018742
636123.045619	1.903023	7.593730e+00	0.037484
636173.049128	3.177950	2.670666e-01	0.037484
636223.052637	3.568774	4.655462e-03	0.037484
636273.056146	1.144468	3.371317e-02	0.018742
636323.059655	1.557336	3.922333e-02	0.018742
636373.063164	2.050808	4.614262e-02	0.018742
636423.066673	1.063557	5.827127e-02	0.018742
636473.070182	1.017860	7.695770e-02	0.018742
636523.073692	3.824977	1.132863e-01	0.037484
636573.077201	3.742031	6.695384e-01	0.037484
636623.080710	1.275736	4.784553e-01	0.018742
636673.084219	0.212927	1.082621e+00	0.037484
636723.087728	0.000000	1.103217e+01	0.018742
636773.091237	0.000000	9.296013e-01	0.018742
636823.094746	2.217182	8.050854e-01	0.037484
636873.098255	1.074816	2.928075e+00	0.018742
636923.101765	1.755891	2.954510e-01	0.037484
636973.105274	0.000000	2.109159e-01	0.018742
637023.108783	0.000000	1.741347e+00	0.018742
637073.112292	0.703500	6.353339e-01	0.037484
637123.115801	1.084868	9.904417e-01	0.018742
637173.119310	0.995358	2.405741e-01	0.037484
637223.122819	0.658547	4.637289e-01	0.037484
637273.126328	2.143017	4.593067e-01	0.018742
637323.129838	4.156674	1.356495e-01	0.018742
637373.133347	1.692804	9.513741e-02	0.018742
637423.136856	1.814633	6.812882e-02	0.018742
637473.140365	1.828801	5.306439e-02	0.018742
637523.143874	1.832209	4.345560e-02	0.018742
637573.147383	1.833466	3.679318e-02	0.018742
637623.150892	1.834057	3.190208e-02	0.018742
637673.154401	1.834384	2.815880e-02	0.018742
637723.157911	1.834584	2.520172e-02	0.018742
637773.161420	1.834717	2.280669e-02	0.018742
637823.164929	1.834810	2.082736e-02	0.018742
637873.168438	1.834879	1.916417e-02	0.018742
637923.171947	1.834932	1.774696e-02	0.018742
637973.175456	1.834972	1.652493e-02	0.018742
638023.178965	1.835005	1.546035e-02	0.018742
638073.182474	1.835031	1.452463e-02	0.018742
638123.185984	1.835053	1.369572e-02	0.018742
638173.189493	1.503716	1.085786e-02	0.018742
638223.193002	1.722380	1.199769e-02	0.037484
638273.196511	1.726934	1.146347e-02	0.037484
638323.200020	0.815626	1.090711e-02	0.037484
638373.203529	1.420241	8.837851e-03	0.037484
638423.207038	2.218544	9.133861e-03	0.037484
638473.210547	2.691283	9.540550e-03	0.037484
638523.214057	1.070744	9.229252e-03	0.037484
638573.217566	1.141479	8.887459e-03	0.037484
638623.221075	1.164438	8.615870e-03	0.037484
638673.224584	0.000000	3.606037e-02	0.018742
638723.228093	1.347568	1.190746e-02	0.037484
638773.231602	1.315647	1.254222e-02	0.037484
638823.235111	0.061530	2.415630e-02	0.037484
638873.238620	0.525603	2.405961e-02	0.037484
638923.242130	0.505160	3.663264e-02	0.037484
638973.245639	0.000000	3.663635e-01	0.018742
639023.249148	0.131937	6.110708e-02	0.018742
639073.252657	0.293996	6.740884e-02	0.037484
639123.256166	1.068968	2.078144e-01	0.018742
639173.259675	2.306022	2.136219e-02	0.018742
639223.263184	1.803500	2.344956e-02	0.018742
639273.266693	0.404101	1.103618e-01	0.037484
639323.270203	0.761513	1.505083e-01	0.037484
639373.273712	1.315656	8.469754e-01	0.037484
639423.277221	3.243112	3.899615e-02	0.037484
639473.280730	2.913149	7.070498e-02	0.037484
639523.284239	2.474130	8.115091e-01	0.037484
639573.287748	2.176213	7.657345e-02	0.037484
639623.291257	2.749053	7.198185e-02	0.018742
639673.294766	2.350868	1.944730e-01	0.018742
639723.298276	2.641593	7.642473e-01	0.037484
639773.301785	0.640924	8.378602e-01	0.037484
639823.305294	0.000000	3.959705e-01	0.018742
639873.308803	0.044188	2.759592e-01	0.037484
639923.312312	0.000000	3.052480e-01	0.018742
639973.315821	0.000000	3.910812e-01	0.018742
640023.319330	1.986977	1.146344e-01	0.037484
640073.322839	1.057698	2.194702e-01	0.037484
640123.326349	0.672871	3.460841e-01	0.037484
640173.329858	0.000000	2.569515e+00	0.018742
640223.333367	0.000000	7.200147e+00	0.018742
640273.336876	2.242571	4.409432e+00	0.037484
640323.340385	0.000000	3.592401e+00	0.018742
640373.343894	0.101131	2.260907e-01	0.018742
640423.347403	1.084868	3.213074e-01	0.018742
640473.350912	0.000000	5.104402e+00	0.018742
