location	LR	alpha
1311297.000000	0.002402	2.535664e+08
1311347.003815	1.475893	2.340521e+02
1311397.007631	4.621484	2.508533e+02
1311447.011446	7.724473	2.708306e+02
1311497.015262	8.985161	2.866897e+02
1311547.019077	9.657197	2.986674e+02
1311597.022892	10.569244	3.224960e+02
1311647.026708	11.118427	3.445486e+02
1311697.030523	11.226797	3.795196e+02
1311747.034338	10.522400	3.947103e+02
1311797.038154	9.339545	4.074821e+02
1311847.041969	7.694052	4.307125e+02
1311897.045785	4.850521	4.684057e+02
1311947.049600	0.000000	1.200000e+09
1311997.053415	1.906375	5.380173e+02
1312047.057231	0.046823	3.793018e+07
1312097.061046	4.483816	5.795222e+02
1312147.064861	6.321617	6.021929e+02
1312197.068677	6.489559	6.493557e+02
1312247.072492	5.659796	7.471999e+02
1312297.076308	1.397292	9.833690e+02
1312347.080123	3.796316	1.694172e+03
1312397.083938	2.000067	9.190503e+06
1312447.087754	0.752140	4.961342e+07
1312497.091569	3.514762	3.366211e+03
1312547.095384	1.772194	1.471812e+07
1312597.099200	0.796283	3.605559e+07
1312647.103015	0.000000	1.200000e+09
1312697.106831	0.020515	3.335597e+03
1312747.110646	0.376472	3.410105e+04
1312797.114461	1.663426	2.129915e+03
1312847.118277	2.005766	1.480493e+04
1312897.122092	0.579449	1.416590e+04
1312947.125907	0.033232	1.803846e+08
1312997.129723	0.000000	1.200000e+09
1313047.133538	0.782948	9.812136e+03
1313097.137354	0.007325	5.295442e+04
1313147.141169	0.006686	1.636200e+08
1313197.144984	0.050323	2.425407e+04
1313247.148800	0.585072	9.582636e+03
1313297.152615	0.353044	1.524961e+04
1313347.156431	0.028529	3.025347e+04
1313397.160246	0.140171	4.291608e+03
1313447.164061	0.000000	3.215867e+06
1313497.167877	0.236365	1.672352e+04
1313547.171692	1.467327	3.854804e+03
1313597.175507	0.000000	9.893644e+05
1313647.179323	0.000000	1.156323e+06
1313697.183138	0.376070	4.961343e+07
1313747.186954	0.137139	1.028904e+08
1313797.190769	0.105259	3.313999e+04
1313847.194584	0.000000	5.873023e+05
1313897.198400	2.285017	3.629514e+03
1313947.202215	2.090114	2.418230e+03
1313997.206030	1.686982	2.310091e+03
1314047.209846	1.115954	2.554761e+03
1314097.213661	0.624239	3.966537e+03
1314147.217477	0.024460	1.339733e+05
1314197.221292	0.024460	1.747287e+08
1314247.225107	0.000000	1.200000e+09
1314297.228923	0.376070	4.961342e+07
1314347.232738	0.134034	1.572328e+04
1314397.236553	0.000000	4.567963e+05
1314447.240369	0.000000	1.371168e+05
1314497.244184	0.107861	5.046087e+05
1314547.248000	0.018311	4.420690e+04
1314597.251815	0.018238	2.270376e+08
1314647.255630	0.018238	6.444958e+04
1314697.259446	0.000000	1.542225e+05
1314747.263261	0.000000	1.200000e+09
1314797.267076	0.278329	8.317403e+07
1314847.270892	0.078149	1.528468e+04
1314897.274707	0.000000	1.200000e+09
1314947.278523	0.355045	7.984660e+07
1314997.282338	0.175581	2.206367e+04
1315047.286153	0.014118	9.139454e+04
1315097.289969	0.392542	5.750358e+04
1315147.293784	4.831470	2.686370e+03
1315197.297599	5.458974	2.593699e+03
1315247.301415	5.708650	2.783608e+03
1315297.305230	0.972959	3.950828e+07
1315347.309046	0.375372	3.195206e+04
1315397.312861	0.000000	1.202308e+06
1315447.316676	0.000000	4.920267e+05
1315497.320492	0.819381	3.634250e+07
1315547.324307	0.000000	3.872890e+05
1315597.328123	0.004703	8.508832e+04
1315647.331938	0.004716	2.443083e+08
1315697.335753	0.000000	1.200000e+09
1315747.339569	0.000000	3.597830e+05
1315797.343384	1.240118	1.225966e+07
1315847.347199	0.376070	4.961343e+07
1315897.351015	0.062400	2.863249e+04
1315947.354830	0.000000	2.942006e+05
1315997.358646	0.000000	1.200000e+09
1316047.362461	1.804464	1.963604e+07
1316097.366276	1.114238	1.841489e+07
1316147.370092	1.114238	1.841489e+07
1316197.373907	5.345999	1.362015e+03
1316247.377722	1.240118	1.225966e+07
1316297.381538	4.626583	1.002554e+03
1316347.385353	1.775950	9.319368e+02
1316397.389169	0.221664	7.879585e+07
1316447.392984	0.000000	7.907536e+06
1316497.396799	3.930257	8.556511e+02
1316547.400615	4.649215	8.861279e+02
1316597.404430	4.429273	1.009458e+03
1316647.408245	0.377418	4.361355e+04
1316697.412061	1.128377	6.706257e+03
1316747.415876	0.621828	5.074970e+07
1316797.419692	0.528201	2.779973e+07
1316847.423507	0.528201	2.779973e+07
1316897.427322	3.961951	1.791667e+03
1316947.431138	3.699303	1.742197e+03
1316997.434953	2.986931	1.956416e+03
1317047.438768	0.750656	3.497144e+07
1317097.442584	0.019388	1.746196e+08
1317147.446399	0.059568	1.175864e+08
1317197.450215	0.059555	7.337046e+04
1317247.454030	0.000000	1.200000e+09
1317297.457845	0.085547	6.090353e+03
1317347.461661	0.558674	4.093826e+03
1317397.465476	0.446383	7.763751e+03
1317447.469292	0.107861	3.007102e+05
1317497.473107	0.557119	9.785985e+04
1317547.476922	0.130202	7.250580e+03
1317597.480738	0.019388	1.634546e+06
1317647.484553	0.376070	4.961343e+07
1317697.488368	0.004804	2.866344e+05
1317747.492184	0.004804	2.535664e+08
1317797.495999	0.142401	1.013457e+08
1317847.499815	0.038776	1.746196e+08
1317897.503630	0.403478	7.754330e+03
1317947.507445	2.319767	1.577296e+07
1317997.511261	0.395941	4.712566e+07
1318047.515076	0.004305	4.669229e+05
1318097.518891	0.004305	1.897669e+05
1318147.522707	1.114237	7.007692e+04
1318197.526522	1.122863	4.084872e+03
1318247.530338	0.023411	3.793018e+07
1318297.534153	0.673587	3.054229e+07
1318347.537968	0.046823	3.793018e+07
1318397.541784	0.750656	3.497144e+07
1318447.545599	0.480704	1.797986e+04
1318497.549414	0.000000	1.200000e+09
1318547.553230	0.000000	1.044456e+06
1318597.557045	0.000000	4.534785e+05
1318647.560861	0.168785	9.045992e+07
1318697.564676	0.221664	7.879587e+07
1318747.568491	5.041741	1.629293e+04
1318797.572307	2.106341	9.541806e+03
1318847.576122	0.000000	5.328655e+08
1318897.579937	0.023411	3.793018e+07
1318947.583753	0.000000	3.366455e+05
1318997.587568	0.000000	1.490986e+06
1319047.591384	0.000000	1.252945e+05
1319097.595199	0.000000	1.030046e+05
1319147.599014	0.000000	4.170482e+05
1319197.602830	0.000000	1.200000e+09
1319247.606645	0.287807	8.742401e+04
1319297.610460	0.287807	9.333409e+04
1319347.614276	0.029398	1.591272e+04
1319397.618091	0.000000	4.431719e+05
1319447.621907	0.000000	1.059673e+06
1319497.625722	0.000000	1.200000e+09
1319547.629537	0.023411	3.793018e+07
1319597.633353	0.023396	5.488072e+04
