location	LR	alpha
560718.000000	0.063682	4.848326e+07
560768.002261	0.000192	1.801724e+05
560818.004523	1.947443	5.658802e+04
560868.006784	0.005865	3.286319e+08
560918.009045	0.058255	2.081146e+08
560968.011306	0.000000	1.200000e+09
561018.013568	0.014021	1.089705e+06
561068.015829	0.368893	2.112092e+07
561118.018090	0.287781	7.930098e+04
561168.020352	0.019907	2.877586e+08
561218.022613	0.003863	1.288708e+05
561268.024874	0.899906	3.064196e+07
561318.027135	0.051894	4.697206e+07
561368.029397	0.898095	1.094085e+04
561418.031658	0.000178	8.785614e+04
561468.033919	0.051763	4.135861e+04
561518.036181	0.000004	4.256600e+05
561568.038442	0.054261	9.576351e+04
561618.040703	0.074209	4.513825e+04
561668.042964	0.000000	1.200000e+09
561718.045226	0.002611	3.456119e+08
561768.047487	0.055354	8.550529e+04
561818.049748	0.000000	1.200000e+09
561868.052010	0.025947	4.425394e+06
561918.054271	0.105764	3.158350e+05
561968.056532	0.612640	7.137529e+04
562018.058793	0.024357	2.315720e+08
562068.061055	0.155139	1.098729e+05
562118.063316	0.171219	4.476706e+07
562168.065577	0.078328	3.967730e+04
562218.067839	0.327063	1.168074e+08
562268.070100	0.000384	3.480549e+05
562318.072361	0.109320	5.379044e+04
562368.074623	0.000000	1.200000e+09
562418.076884	0.000446	4.429920e+08
562468.079145	0.000282	5.358362e+04
562518.081406	0.432371	1.185313e+04
562568.083668	0.012484	2.379406e+04
562618.085929	0.000000	4.829948e+04
562668.088190	0.017795	7.990106e+03
562718.090452	0.025572	2.288896e+04
562768.092713	0.016074	3.042748e+04
562818.094974	0.008419	1.014904e+05
562868.097235	0.000000	1.200000e+09
562918.099497	0.000000	1.278373e+05
562968.101758	0.339469	3.338726e+04
563018.104019	0.000000	1.200000e+09
563068.106281	0.005786	1.671275e+08
563118.108542	0.284423	1.789333e+08
563168.110803	0.059041	1.565374e+08
563218.113064	0.690157	5.435784e+07
563268.115326	0.002180	3.912005e+08
563318.117587	0.622843	6.158038e+07
563368.119848	0.297068	6.048637e+04
563418.122110	0.295643	3.024513e+04
563468.124371	0.345962	3.763827e+04
563518.126632	0.003581	3.708401e+08
563568.128893	0.135298	1.677898e+08
563618.131155	0.010190	8.152810e+04
563668.133416	0.013210	2.676251e+05
563718.135677	0.086611	9.162612e+04
563768.137939	0.065471	8.042683e+04
563818.140200	0.090538	1.675325e+05
563868.142461	0.246159	1.344264e+08
563918.144722	0.013257	2.626853e+08
563968.146984	0.059892	7.492357e+04
564018.149245	0.008091	1.071885e+05
564068.151506	0.009828	8.384993e+04
564118.153768	0.272783	2.435191e+04
564168.156029	0.077771	2.432868e+08
564218.158290	0.099373	3.655280e+04
564268.160551	0.022194	2.720439e+04
564318.162813	0.191652	6.925320e+03
564368.165074	0.062514	1.374083e+04
564418.167335	0.043034	1.866905e+08
564468.169597	0.033080	3.622346e+04
564518.171858	0.000000	2.636149e+05
564568.174119	0.000000	1.200000e+09
564618.176380	0.000570	1.965185e+05
564668.178642	0.000568	2.468955e+04
564718.180903	0.000511	1.343585e+04
564768.183164	0.000000	2.661313e+04
564818.185426	0.106157	1.613803e+03
564868.187687	0.404830	1.865100e+03
564918.189948	0.470267	2.405508e+03
564968.192209	2.162438	3.206529e+03
565018.194471	0.000000	1.200000e+09
565068.196732	0.000000	8.244388e+05
565118.198993	0.105763	9.558074e+04
565168.201255	0.071738	6.250169e+04
565218.203516	0.710438	9.067521e+07
565268.205777	0.107897	6.699318e+04
565318.208039	0.104916	2.248318e+08
565368.210300	1.009740	4.826244e+07
565418.212561	0.032374	2.061883e+08
565468.214822	0.000154	1.416168e+05
565518.217084	0.095010	2.215047e+04
565568.219345	0.651610	1.109711e+08
565618.221606	0.042852	1.754145e+08
565668.223868	0.008134	9.340110e+04
565718.226129	0.000000	6.478800e+08
565768.228390	0.083166	1.573433e+08
565818.230651	0.498570	9.728507e+07
565868.232913	0.654705	7.910691e+04
565918.235174	0.493354	2.817199e+04
565968.237435	0.445500	4.870152e+03
566018.239697	0.001917	1.457432e+05
566068.241958	0.001923	3.775031e+04
566118.244219	0.106006	3.060708e+04
566168.246480	0.001475	1.818976e+08
566218.248742	1.145537	6.006025e+04
566268.251003	0.000000	1.088291e+06
566318.253264	0.000266	4.463841e+08
566368.255526	0.008089	1.863068e+05
566418.257787	0.087910	5.019435e+04
566468.260048	0.074193	5.437004e+04
566518.262309	0.045333	1.428095e+04
566568.264571	0.113012	6.187734e+03
566618.266832	0.182914	4.264723e+03
566668.269093	0.063313	5.516160e+03
566718.271355	0.064384	1.087275e+04
566768.273616	0.053711	1.279450e+05
566818.275877	2.042832	9.572894e+03
566868.278138	0.962110	2.685289e+03
566918.280400	0.000000	2.711450e+05
566968.282661	0.000000	1.200000e+09
567018.284922	0.244184	1.101391e+08
567068.287184	0.000000	1.200000e+09
567118.289445	0.000000	1.200000e+09
567168.291706	0.016801	1.527505e+05
567218.293967	0.246948	8.334769e+07
567268.296229	0.015391	6.943420e+04
567318.298490	0.003448	2.322579e+08
567368.300751	0.000000	4.615682e+05
567418.303013	0.000000	1.876954e+05
567468.305274	0.000000	2.603679e+05
567518.307535	0.000000	6.101899e+04
567568.309796	0.000000	3.455908e+04
567618.312058	0.000000	2.410593e+04
567668.314319	0.000000	1.850783e+04
567718.316580	0.000000	1.501979e+04
567768.318842	0.000000	1.263800e+04
567818.321103	0.000000	1.090821e+04
567868.323364	0.046299	1.776888e+03
567918.325626	0.125360	1.641864e+03
567968.327887	0.367296	1.159329e+03
568018.330148	0.862129	1.103811e+03
568068.332409	1.342876	1.178019e+03
568118.334671	1.671084	1.381142e+03
568168.336932	1.618458	1.808819e+03
568218.339193	1.079041	6.397389e+03
568268.341455	0.928609	6.310660e+07
568318.343716	2.015804	5.896140e+03
568368.345977	1.364706	6.372821e+07
568418.348238	0.722397	9.251186e+07
568468.350500	0.000016	5.728288e+08
568518.352761	0.762235	2.216152e+04
568568.355022	0.290135	1.528841e+05
568618.357284	0.000000	3.441984e+05
568668.359545	0.002913	3.820962e+08
568718.361806	0.242113	9.268195e+04
568768.364067	0.015207	2.433214e+08
568818.366329	0.029209	1.877825e+04
568868.368590	0.018518	1.064265e+05
568918.370851	0.015842	6.291802e+04
568968.373113	0.021786	1.377178e+04
569018.375374	0.030553	7.795704e+03
569068.377635	0.033574	5.573639e+03
569118.379896	0.034395	4.371808e+03
569168.382158	0.029285	3.682851e+03
569218.384419	0.004084	3.631444e+03
569268.386680	0.000000	1.966407e+04
569318.388942	0.000000	2.602356e+04
569368.391203	0.000000	3.846264e+04
569418.393464	0.000000	7.368222e+04
569468.395725	0.539485	2.165247e+04
569518.397987	0.000005	5.911386e+08
569568.400248	0.394935	2.694919e+07
569618.402509	0.001868	3.953190e+08
569668.404771	2.710932	1.159621e+07
569718.407032	0.632606	5.508430e+07
569768.409293	0.000000	4.732860e+05
569818.411554	0.000000	6.813722e+04
569868.413816	0.078845	6.503207e+03
569918.416077	0.883221	3.760198e+03
569968.418338	2.908440	2.832884e+03
570018.420600	0.188449	3.639661e+03
570068.422861	0.430002	6.705720e+03
570118.425122	0.538585	1.034624e+08
570168.427383	0.008827	4.761833e+04
570218.429645	0.114436	7.485259e+03
570268.431906	0.009282	7.301830e+04
570318.434167	0.070854	2.957346e+05
570368.436429	0.239825	1.561383e+04
570418.438690	0.188655	6.082606e+03
570468.440951	2.420609	4.135161e+03
570518.443212	0.514706	5.311556e+03
570568.445474	0.198866	9.337509e+03
570618.447735	0.108369	3.932373e+04
570668.449996	0.108166	2.173120e+08
570718.452258	0.160416	7.307613e+07
570768.454519	0.000000	5.015971e+05
570818.456780	0.446638	1.120888e+04
570868.459042	0.753228	3.001480e+04
570918.461303	1.071161	7.975536e+04
570968.463564	2.820530	1.252546e+07
571018.465825	0.337685	1.210870e+08
571068.468087	0.461699	9.831721e+03
571118.470348	0.045913	2.183388e+08
571168.472609	0.000005	1.925614e+05
571218.474871	0.009828	2.350256e+05
571268.477132	0.000000	2.806331e+06
571318.479393	0.727205	3.431823e+03
571368.481654	0.048203	4.707980e+04
571418.483916	0.000000	2.470842e+05
571468.486177	0.000000	1.200000e+09
571518.488438	0.286853	2.073549e+08
571568.490700	0.288977	1.297584e+04
571618.492961	0.017077	2.869536e+04
571668.495222	0.017144	4.917541e+04
571718.497483	0.624805	3.245790e+03
571768.499745	0.804258	5.965636e+03
571818.502006	0.569833	9.442762e+07
571868.504267	1.090990	7.884496e+07
571918.506529	0.710790	4.364228e+03
571968.508790	0.007544	8.499207e+04
572018.511051	1.069482	7.831192e+07
572068.513312	0.121507	2.349955e+08
572118.515574	1.554070	3.890115e+04
572168.517835	0.169806	6.626076e+07
572218.520096	0.048921	1.408192e+05
572268.522358	0.412271	9.606703e+07
572318.524619	0.285620	2.247456e+04
572368.526880	0.000000	1.200000e+09
572418.529141	0.000000	2.498018e+05
572468.531403	0.025947	3.809109e+05
572518.533664	0.017841	2.692695e+08
572568.535925	0.017236	1.909026e+08
572618.538187	4.768743	1.907337e+04
572668.540448	0.591336	6.189564e+03
572718.542709	0.302044	4.635538e+03
572768.544970	0.000000	4.364060e+04
572818.547232	0.000000	9.164931e+04
572868.549493	0.000000	1.200000e+09
572918.551754	0.003291	8.194740e+04
572968.554016	1.331107	1.686758e+07
573018.556277	0.026793	3.852967e+05
573068.558538	1.048378	6.374072e+03
573118.560799	0.776522	2.453887e+04
573168.563061	0.678748	1.483770e+04
573218.565322	1.402291	4.014835e+03
573268.567583	0.466568	5.191497e+03
573318.569845	0.848292	1.985717e+04
573368.572106	0.469829	9.057760e+07
573418.574367	0.018195	6.206218e+04
573468.576628	0.000000	1.200000e+09
573518.578890	0.018293	3.125789e+08
573568.581151	0.002904	4.739611e+04
573618.583412	0.000000	2.098000e+05
573668.585674	1.218692	2.723791e+07
573718.587935	0.313269	1.740223e+04
573768.590196	0.271848	1.727628e+08
573818.592458	0.308561	1.968331e+04
573868.594719	0.806592	5.694623e+03
573918.596980	0.898532	4.324987e+03
573968.599241	0.423523	3.286572e+03
574018.601503	0.017195	3.225798e+04
574068.603764	0.214688	1.933754e+04
574118.606025	0.108852	7.341596e+04
574168.608287	0.064087	1.758676e+08
574218.610548	0.908285	1.439875e+04
574268.612809	0.768268	6.048623e+04
574318.615070	0.000007	1.197574e+05
574368.617332	0.000583	4.383124e+08
574418.619593	0.000000	5.215854e+05
574468.621854	0.009828	2.706119e+05
574518.624116	0.009828	1.954076e+05
574568.626377	0.000558	4.470599e+08
574618.628638	0.245100	6.760877e+04
574668.630899	0.017452	1.507776e+05
574718.633161	0.453197	9.345766e+03
574768.635422	0.000000	1.034305e+06
574818.637683	0.006559	3.291564e+08
574868.639945	0.000337	2.365193e+06
574918.642206	0.073966	4.473096e+04
574968.644467	0.038760	2.080902e+08
575018.646728	0.076069	1.683133e+05
575068.648990	0.009027	5.511996e+07
575118.651251	0.000000	1.200000e+09
575168.653512	0.000029	2.153890e+05
575218.655774	0.000000	4.695888e+05
575268.658035	0.170181	1.730014e+08
575318.660296	0.078565	4.836182e+04
575368.662557	0.008543	5.566607e+07
575418.664819	0.174103	2.030708e+08
575468.667080	0.061780	5.048031e+07
575518.669341	0.000000	1.200000e+09
575568.671603	0.427630	1.157282e+08
575618.673864	0.217427	3.129443e+04
575668.676125	0.074150	2.434461e+05
575718.678386	0.050376	2.675400e+04
575768.680648	0.307370	6.517876e+03
575818.682909	2.179630	4.178960e+03
575868.685170	0.693716	3.091393e+03
575918.687432	0.530678	2.612631e+03
575968.689693	0.370400	2.464012e+03
576018.691954	0.142240	2.789499e+03
576068.694215	0.041021	3.896126e+03
576118.696477	0.026352	4.982618e+03
576168.698738	0.023316	6.299644e+03
576218.700999	0.012895	8.328700e+03
576268.703261	0.000196	3.826794e+04
576318.705522	0.114602	2.419527e+08
576368.707783	0.000086	3.681393e+05
576418.710044	0.000000	1.200000e+09
576468.712306	0.000000	1.151200e+05
576518.714567	0.207226	3.204605e+07
576568.716828	2.167756	7.327801e+06
576618.719090	0.556166	1.256839e+08
576668.721351	0.433524	1.615046e+04
576718.723612	0.003380	2.206085e+05
576768.725874	0.356506	1.238421e+08
576818.728135	2.034421	1.022330e+04
576868.730396	1.793461	2.469398e+04
576918.732657	0.218840	1.601704e+08
