location	LR	alpha
4398.000000	0.003902	2.994066e+08
4448.001709	0.003902	2.994066e+08
4498.003419	0.054470	2.046880e+08
4548.005128	0.054470	2.046880e+08
4598.006838	0.014552	2.533427e+08
4648.008547	0.014552	2.533427e+08
4698.010257	0.014552	3.029755e+05
4748.011966	0.000002	3.760350e+05
4798.013676	0.528464	1.212981e+04
4848.015385	0.377176	5.544891e+07
4898.017095	0.377176	5.544891e+07
4948.018804	0.909728	4.153929e+07
4998.020514	0.909728	4.153929e+07
5048.022223	0.000000	1.200000e+09
5098.023933	0.000000	1.200000e+09
5148.025642	0.000000	4.759320e+05
5198.027352	0.021873	1.955044e+08
5248.029061	0.021861	7.968091e+04
5298.030771	0.228436	4.492632e+04
5348.032480	0.229669	1.188877e+08
5398.034190	0.115640	9.301768e+07
5448.035899	0.122011	2.082221e+04
5498.037609	0.260412	8.899789e+03
5548.039318	0.321054	6.690159e+03
5598.041028	0.207585	6.097232e+03
5648.042737	0.050150	1.122549e+04
5698.044447	0.078530	1.354099e+04
5748.046156	0.098812	1.803237e+04
5798.047866	0.110848	3.211250e+04
5848.049575	0.111505	3.544697e+05
5898.051285	0.111505	1.546058e+08
5948.052994	0.000000	1.200000e+09
5998.054704	0.000000	1.200000e+09
6048.056413	0.000000	2.953390e+06
6098.058123	0.015533	1.900254e+08
6148.059832	0.015533	1.900254e+08
6198.061542	0.000000	1.200000e+09
6248.063251	0.000000	1.200000e+09
6298.064961	0.026480	2.162124e+08
6348.066670	0.026480	2.162124e+08
6398.068380	0.933159	7.426398e+07
6448.070089	0.933159	7.426398e+07
6498.071799	0.935676	5.347640e+04
6548.073508	0.583821	1.086839e+08
6598.075218	0.583821	1.086839e+08
6648.076927	0.199071	7.457146e+07
6698.078637	0.199071	7.457146e+07
6748.080346	0.003561	2.606618e+08
6798.082056	0.003561	3.165311e+05
6848.083765	0.000000	3.568930e+05
6898.085475	0.000000	1.200000e+09
6948.087184	0.000000	1.200000e+09
6998.088893	0.091714	1.968208e+08
7048.090603	0.091714	1.968208e+08
7098.092312	0.109439	1.617833e+08
7148.094022	0.109439	1.617833e+08
7198.095731	0.109647	6.626317e+04
7248.097441	2.853727	1.379632e+04
7298.099150	0.717628	1.882825e+04
7348.100860	0.331268	1.289958e+08
7398.102569	0.331268	1.289958e+08
7448.104279	0.254801	2.972233e+07
7498.105988	0.353278	1.348166e+04
7548.107698	0.000000	3.738020e+05
7598.109407	0.000000	1.200000e+09
7648.111117	0.356117	1.496819e+04
7698.112826	0.369394	4.628249e+03
7748.114536	0.667871	3.665273e+03
7798.116245	1.071025	3.093457e+03
7848.117955	1.600523	2.636204e+03
7898.119664	2.313472	2.304759e+03
7948.121374	3.205740	2.076480e+03
7998.123083	4.262491	1.908959e+03
8048.124793	5.507752	1.785607e+03
8098.126502	7.566916	1.645672e+03
8148.128212	9.985673	1.771880e+03
8198.129921	4.779119	1.696068e+03
8248.131631	0.002699	3.031804e+08
8298.133340	1.634606	3.366738e+03
8348.135050	1.957874	1.949436e+07
8398.136759	1.957874	1.949436e+07
8448.138469	0.990940	4.058490e+07
8498.140178	0.990940	4.058490e+07
8548.141888	0.990940	4.058490e+07
8598.143597	0.757601	2.129233e+07
8648.145307	0.757601	2.129233e+07
8698.147016	0.943954	6.150452e+07
8748.148726	0.943954	6.150452e+07
8798.150435	1.032443	7.094671e+07
8848.152145	1.032443	7.094671e+07
8898.153854	1.802836	1.269286e+04
