location	LR	alpha
1850790.000000	1.849200	7.531822e+03
1850840.004599	0.322111	2.013703e+04
1850890.009198	0.000000	1.937825e+06
1850940.013797	0.294366	1.093177e+08
1850990.018396	2.575150	1.049361e+04
1851040.022995	2.324012	7.801920e+06
1851090.027594	2.404529	1.652686e+07
1851140.032194	1.088314	6.440170e+07
1851190.036793	2.766645	2.618189e+07
1851240.041392	1.969238	1.723111e+07
1851290.045991	6.000814	2.784776e+03
1851340.050590	0.018556	1.652688e+08
1851390.055189	0.818485	7.674581e+07
1851440.059788	0.007393	2.963436e+08
1851490.064387	0.426905	2.538852e+07
1851540.068986	0.000625	8.497785e+04
1851590.073585	0.000020	5.254477e+08
1851640.078184	0.197408	2.301643e+04
1851690.082783	0.282024	4.615173e+04
1851740.087383	0.326129	4.322081e+04
1851790.091982	0.459058	6.277927e+07
1851840.096581	1.635860	2.525149e+07
1851890.101180	0.010603	2.692295e+05
1851940.105779	0.526237	1.178627e+08
1851990.110378	0.000000	1.200000e+09
1852040.114977	0.000040	4.995369e+08
1852090.119576	0.000000	1.200000e+09
1852140.124175	0.153766	1.440420e+08
1852190.128774	1.509308	2.648908e+04
1852240.133373	0.581761	1.796627e+04
1852290.137972	0.057516	1.367020e+08
1852340.142571	0.521983	2.087404e+07
1852390.147171	3.942833	1.737356e+07
1852440.151770	0.020546	1.222893e+08
1852490.156369	3.057385	3.389128e+03
1852540.160968	3.303386	3.463277e+03
1852590.165567	1.043649	3.330151e+07
1852640.170166	0.030500	1.080204e+08
1852690.174765	0.095676	1.651362e+04
1852740.179364	0.053383	1.112225e+05
1852790.183963	0.132559	2.504347e+04
1852840.188562	1.000457	3.666476e+07
1852890.193161	0.000000	1.200000e+09
1852940.197760	1.306209	1.402974e+06
1852990.202360	0.212296	3.010768e+05
1853040.206959	0.000000	1.200000e+09
1853090.211558	2.017873	3.943016e+07
1853140.216157	2.606401	1.112814e+04
1853190.220756	9.011026	4.299885e+06
1853240.225355	1.201147	1.287180e+04
