location	LR	alpha
1378442.000000	1.869526	1.992456e+07
1378492.003723	0.037480	1.180748e+05
1378542.007446	0.428457	1.345222e+04
1378592.011169	0.153907	1.412672e+08
1378642.014893	0.358075	9.858330e+07
1378692.018616	0.089794	4.701506e+05
1378742.022339	0.283708	1.223603e+08
1378792.026062	0.719673	5.879190e+03
1378842.029785	2.230669	3.418443e+03
1378892.033508	0.697664	3.286587e+07
1378942.037231	3.765064	3.809829e+03
1378992.040955	4.133393	4.370844e+03
1379042.044678	2.188878	2.153746e+07
1379092.048401	1.600826	1.644636e+04
1379142.052124	2.025332	3.696867e+03
1379192.055847	0.067212	1.657995e+04
1379242.059570	0.243813	8.044228e+03
1379292.063293	0.308958	7.486585e+03
1379342.067017	0.261565	9.942778e+03
1379392.070740	0.000000	2.761717e+05
1379442.074463	0.000000	2.339661e+05
1379492.078186	0.001355	3.528484e+08
1379542.081909	0.000000	7.350520e+05
1379592.085632	0.000000	1.200000e+09
1379642.089355	0.000075	1.604603e+06
1379692.093079	0.000052	4.677960e+08
1379742.096802	0.000080	2.390269e+05
1379792.100525	0.015259	2.041616e+08
1379842.104248	4.210978	2.343810e+04
1379892.107971	0.025602	2.466502e+08
1379942.111694	0.019156	2.612212e+08
1379992.115417	0.002935	2.213565e+05
1380042.119141	2.657846	1.096843e+07
1380092.122864	0.355641	7.205407e+03
1380142.126587	1.107728	3.810299e+03
1380192.130310	0.002365	1.441240e+05
1380242.134033	1.383604	2.912276e+07
1380292.137756	0.128872	5.792930e+04
1380342.141479	0.146167	3.861407e+04
1380392.145203	0.401783	9.710736e+03
1380442.148926	0.155793	3.080592e+04
1380492.152649	0.050090	4.435637e+04
1380542.156372	2.360219	4.074494e+03
1380592.160095	0.265590	7.995033e+04
1380642.163818	8.183482	1.576822e+03
1380692.167542	9.400374	1.470285e+03
1380742.171265	2.748271	3.873194e+06
1380792.174988	2.417077	7.204997e+06
1380842.178711	5.766213	1.848344e+03
1380892.182434	0.723756	1.030007e+07
1380942.186157	0.016505	1.992658e+08
1380992.189880	1.222358	8.863600e+03
1381042.193604	0.695687	1.659366e+07
1381092.197327	0.016895	2.254492e+08
1381142.201050	0.312492	1.085820e+04
1381192.204773	0.662847	8.150961e+03
1381242.208496	1.367162	1.318137e+04
1381292.212219	0.021510	1.022159e+05
1381342.215942	0.301038	1.039306e+04
1381392.219666	0.003521	2.385737e+05
1381442.223389	0.003518	1.031132e+05
1381492.227112	0.000000	2.697881e+05
1381542.230835	0.000049	4.798396e+08
1381592.234558	0.000000	1.200000e+09
1381642.238281	0.000000	7.386706e+05
1381692.242004	0.000000	3.324713e+05
1381742.245728	0.001176	6.808866e+05
1381792.249451	0.000000	1.066580e+06
1381842.253174	0.005936	5.430871e+04
1381892.256897	4.685541	3.266231e+04
1381942.260620	0.148581	1.354480e+08
1381992.264343	2.256406	1.702062e+07
1382042.268066	2.429606	2.828718e+03
1382092.271790	1.723149	2.674632e+03
1382142.275513	0.819966	2.680998e+03
1382192.279236	0.083879	2.824106e+03
1382242.282959	0.012311	1.323593e+04
1382292.286682	0.011974	3.204685e+04
1382342.290405	0.011974	7.179664e+04
1382392.294128	0.046702	1.355505e+04
1382442.297852	0.214465	1.262705e+04
1382492.301575	0.725736	2.120792e+07
1382542.305298	0.011183	1.533396e+05
1382592.309021	0.004201	6.567261e+04
1382642.312744	0.694224	7.962478e+04
1382692.316467	2.357125	1.167119e+04
1382742.320190	1.360702	1.209763e+04
1382792.323914	0.010848	2.825532e+08
1382842.327637	0.010848	7.268187e+04
1382892.331360	0.004278	6.609289e+04
1382942.335083	0.004284	4.854670e+04
1382992.338806	0.097739	3.688404e+04
1383042.342529	0.001348	3.691609e+08
1383092.346252	1.971146	2.643545e+07
1383142.349976	0.001064	3.757575e+08
1383192.353699	0.650384	1.747180e+07
1383242.357422	1.981435	2.904187e+07
1383292.361145	0.020087	2.608037e+08
1383342.364868	1.238735	9.172007e+04
1383392.368591	0.133350	1.871750e+08
1383442.372314	1.570154	1.903663e+07
1383492.376038	10.903086	1.694565e+03
1383542.379761	5.100034	2.389767e+06
1383592.383484	0.038665	1.434405e+08
1383642.387207	11.043485	7.468055e+02
1383692.390930	15.451923	6.021693e+02
1383742.394653	7.505235	5.823507e+02
1383792.398376	12.556777	5.211331e+02
1383842.402100	8.704315	5.705485e+02
1383892.405823	1.404777	1.460027e+07
1383942.409546	10.687558	7.851441e+02
1383992.413269	6.947445	1.496076e+03
1384042.416992	0.053259	4.852447e+04
1384092.420715	1.186532	9.081402e+03
1384142.424438	0.000040	6.257167e+05
1384192.428162	0.000000	1.200000e+09
1384242.431885	0.091387	1.189540e+04
1384292.435608	0.215347	1.147148e+08
1384342.439331	0.220615	1.756463e+04
1384392.443054	6.975986	2.418151e+02
1384442.446777	17.418715	2.323108e+02
1384492.450500	22.813406	2.266263e+02
1384542.454224	26.205756	2.237036e+02
1384592.457947	28.169201	2.232204e+02
1384642.461670	28.744108	2.253317e+02
1384692.465393	27.469796	2.308092e+02
1384742.469116	22.061895	2.418583e+02
1384792.472839	0.883111	2.365447e+07
1384842.476562	10.848963	2.648311e+02
1384892.480286	4.886567	1.909268e+07
1384942.484009	21.086646	2.695263e+02
1384992.487732	21.211332	2.693338e+02
1385042.491455	17.628561	2.742705e+02
1385092.495178	21.142121	2.826758e+02
1385142.498901	17.189744	2.904572e+02
1385192.502625	26.516539	2.934575e+02
1385242.506348	23.642279	3.006702e+02
1385292.510071	22.205261	3.068497e+02
1385342.513794	20.572763	3.269934e+02
1385392.517517	15.643191	3.483648e+02
1385442.521240	1.009075	4.526956e+07
1385492.524963	2.616201	1.394048e+07
1385542.528687	7.653876	4.382176e+02
1385592.532410	1.370574	2.176968e+07
1385642.536133	0.172362	3.018205e+07
1385692.539856	0.221940	1.452702e+05
1385742.543579	3.224086	2.208497e+07
1385792.547302	2.691323	9.646038e+06
1385842.551025	19.434639	4.465847e+02
1385892.554749	29.090824	4.192013e+02
1385942.558472	25.831833	4.333454e+02
1385992.562195	0.417590	2.953673e+07
1386042.565918	3.214932	1.385212e+07
1386092.569641	7.896438	5.112076e+02
1386142.573364	16.074325	5.496114e+02
1386192.577087	0.898914	5.009451e+07
1386242.580811	12.825669	5.381434e+02
1386292.584534	0.169997	1.296041e+05
1386342.588257	8.868267	5.367817e+02
1386392.591980	15.605596	6.433908e+02
1386442.595703	5.171452	1.348161e+07
1386492.599426	16.443741	5.672070e+02
1386542.603149	21.661862	4.886894e+02
1386592.606873	22.547270	4.830718e+02
1386642.610596	18.879575	5.210710e+02
1386692.614319	0.580437	3.162542e+07
1386742.618042	8.990902	7.349043e+02
1386792.621765	16.455522	7.507736e+02
1386842.625488	18.011438	8.090173e+02
1386892.629211	15.721694	9.198180e+02
1386942.632935	11.731981	1.316598e+03
1386992.636658	0.767638	7.166407e+07
1387042.640381	6.532464	3.703723e+03
1387092.644104	1.914979	6.562354e+03
1387142.647827	0.000018	4.512811e+05
1387192.651550	0.036460	1.798415e+08
1387242.655273	0.010600	2.384931e+08
1387292.658997	0.066683	2.000531e+08
1387342.662720	0.187999	9.317352e+04
1387392.666443	0.004165	3.105078e+08
1387442.670166	0.000000	1.200000e+09
1387492.673889	0.203412	1.331561e+08
1387542.677612	0.095549	1.665904e+08
1387592.681335	0.000000	1.200000e+09
1387642.685059	0.001615	3.450434e+08
1387692.688782	0.013146	8.341347e+04
1387742.692505	0.395930	7.847500e+07
1387792.696228	0.029998	1.030207e+05
1387842.699951	0.022423	3.212549e+04
1387892.703674	0.000000	6.578654e+05
1387942.707397	0.000139	8.857543e+04
1387992.711121	0.219107	3.940314e+04
1388042.714844	0.026913	2.078175e+04
1388092.718567	1.368396	8.532155e+03
1388142.722290	0.032538	2.872872e+05
1388192.726013	0.003288	3.375755e+08
1388242.729736	0.106821	1.785147e+08
1388292.733459	1.171574	2.994900e+07
1388342.737183	1.468052	3.509347e+07
1388392.740906	2.155279	5.586554e+03
1388442.744629	0.021600	9.904820e+04
1388492.748352	0.414811	1.301155e+04
1388542.752075	0.426681	9.197867e+07
1388592.755798	0.427026	1.935313e+04
1388642.759521	0.476050	5.780784e+03
1388692.763245	0.562585	3.319153e+03
1388742.766968	0.651536	2.305830e+03
1388792.770691	0.760210	1.713608e+03
1388842.774414	0.832206	1.554728e+03
1388892.778137	0.788595	1.566966e+03
1388942.781860	0.646942	1.659151e+03
1388992.785583	0.449146	1.846086e+03
1389042.789307	0.263435	2.201810e+03
1389092.793030	0.159032	2.841243e+03
1389142.796753	0.116571	3.926215e+03
1389192.800476	0.093101	6.269212e+03
1389242.804199	0.071738	1.350615e+04
1389292.807922	0.059851	1.004377e+05
1389342.811646	0.034295	3.131221e+04
1389392.815369	0.000000	2.710194e+06
1389442.819092	0.031285	2.518540e+04
1389492.822815	0.037917	1.740334e+08
1389542.826538	0.178416	3.592477e+04
1389592.830261	0.028181	4.776653e+04
1389642.833984	0.246286	2.942489e+04
1389692.837708	1.267881	5.106513e+03
1389742.841431	2.117207	8.833877e+03
1389792.845154	0.672348	9.391608e+03
1389842.848877	0.057286	2.308232e+04
1389892.852600	0.001624	3.022026e+08
1389942.856323	2.370731	2.332965e+07
1389992.860046	0.000000	1.200000e+09
1390042.863770	0.000000	1.350756e+05
1390092.867493	0.000000	6.387859e+04
1390142.871216	0.000020	4.220760e+04
1390192.874939	0.000020	3.380721e+05
1390242.878662	0.068426	1.029156e+08
1390292.882385	0.000000	1.200000e+09
1390342.886108	0.073123	2.173892e+04
1390392.889832	0.000000	5.019120e+05
1390442.893555	0.000000	1.200000e+09
1390492.897278	0.723756	1.030008e+07
1390542.901001	0.002746	3.082424e+08
1390592.904724	0.013792	7.988884e+05
1390642.908447	0.020650	2.385873e+08
1390692.912170	1.072557	3.720362e+07
1390742.915894	0.059269	1.921794e+08
1390792.919617	0.288107	1.161264e+04
1390842.923340	0.001561	1.048152e+05
1390892.927063	0.001563	4.043274e+04
1390942.930786	0.001823	1.645478e+04
1390992.934509	0.002752	9.751651e+03
1391042.938232	0.005244	6.294500e+03
1391092.941956	0.027436	2.780701e+03
1391142.945679	0.055849	2.431231e+03
1391192.949402	0.082890	2.126471e+03
1391242.953125	0.120540	1.867629e+03
1391292.956848	0.173642	1.690102e+03
1391342.960571	0.225300	1.606485e+03
1391392.964294	0.251086	1.602517e+03
1391442.968018	0.240758	1.680075e+03
1391492.971741	0.207120	1.868068e+03
1391542.975464	0.178094	2.186711e+03
1391592.979187	0.164557	2.603419e+03
1391642.982910	0.156383	3.147373e+03
1391692.986633	0.144314	3.973324e+03
1391742.990356	0.125038	5.449812e+03
1391792.994080	0.102867	8.665726e+03
1391842.997803	0.093495	1.848804e+04
1391893.001526	0.094403	1.800628e+08
1391943.005249	0.248607	1.050604e+08
1391993.008972	2.592490	1.251677e+04
1392043.012695	0.000000	1.200000e+09
1392093.016418	0.000000	2.448326e+05
1392143.020142	0.000000	8.057018e+04
1392193.023865	0.000000	2.559178e+05
1392243.027588	0.000000	1.200000e+09
1392293.031311	0.006278	4.503499e+04
1392343.035034	0.006368	2.937023e+08
1392393.038757	0.182952	7.169267e+07
1392443.042480	1.037110	2.937786e+07
1392493.046204	0.107819	1.464567e+08
1392543.049927	0.105980	1.746948e+08
1392593.053650	0.092635	1.335672e+08
1392643.057373	0.000637	1.111358e+05
1392693.061096	0.089794	1.398177e+08
1392743.064819	0.066202	1.881850e+08
1392793.068542	0.066423	6.534876e+04
1392843.072266	0.083111	6.868756e+04
1392893.075989	0.082946	7.839475e+04
1392943.079712	0.374090	3.988282e+04
1392993.083435	0.068561	3.897993e+04
1393043.087158	0.861279	1.725069e+04
1393093.090881	0.005318	1.758590e+07
1393143.094604	0.862276	3.086062e+03
1393193.098328	1.531610	2.588333e+03
1393243.102051	0.987694	9.000000e+03
1393293.105774	0.194187	1.765913e+08
1393343.109497	0.802325	3.270322e+04
1393393.113220	0.000000	1.547031e+06
1393443.116943	0.766931	9.510164e+07
1393493.120667	0.037730	1.549180e+08
1393543.124390	0.000000	1.200000e+09
1393593.128113	0.000000	1.200000e+09
1393643.131836	0.000000	2.632178e+05
1393693.135559	0.000000	1.200000e+09
1393743.139282	0.075750	1.208368e+08
1393793.143005	0.000000	1.200000e+09
1393843.146729	0.120355	5.245166e+04
1393893.150452	0.022804	5.748947e+05
1393943.154175	0.093012	3.006935e+04
1393993.157898	0.091914	1.807883e+08
1394043.161621	0.455578	7.055903e+07
1394093.165344	0.256826	1.281317e+08
1394143.169067	0.001406	3.472525e+08
1394193.172791	0.040320	2.311051e+04
1394243.176514	0.051607	8.927995e+04
1394293.180237	0.088833	1.643632e+08
1394343.183960	0.042137	3.119953e+04
1394393.187683	0.003905	2.987274e+08
