location	LR	alpha
294757.000000	0.182727	2.327014e+07
294807.002600	0.126546	1.759866e+08
294857.005199	0.202062	3.150637e+07
294907.007799	0.000000	1.371047e+05
294957.010399	0.000000	6.680754e+05
295007.012999	0.000000	6.691929e+05
295057.015598	0.000000	1.200000e+09
295107.018198	0.000000	4.814604e+05
295157.020798	0.170926	1.442237e+08
295207.023398	0.188075	1.305515e+05
295257.025997	0.211364	4.459808e+04
295307.028597	0.304719	1.492772e+04
295357.031197	0.104898	5.092923e+07
295407.033797	0.000626	3.800346e+08
295457.036396	0.000000	3.826075e+05
295507.038996	0.000000	2.622831e+05
295557.041596	0.294872	1.238229e+04
295607.044196	0.234233	6.402710e+07
295657.046795	0.000000	1.200000e+09
295707.049395	0.000000	7.423816e+05
295757.051995	0.005959	5.337715e+04
295807.054595	0.000000	1.200000e+09
295857.057194	0.000000	1.200000e+09
295907.059794	1.666871	2.283923e+07
295957.062394	0.223103	8.087077e+07
296007.064994	0.000000	4.879282e+05
296057.067593	0.000000	2.523856e+05
296107.070193	0.000000	8.146879e+05
296157.072793	0.330958	2.756873e+04
296207.075392	0.000000	3.357809e+05
296257.077992	4.659256	3.246579e+06
296307.080592	0.000000	1.200000e+09
296357.083192	5.724355	4.554791e+04
296407.085791	1.128789	1.499905e+07
296457.088391	0.370995	4.790053e+03
296507.090991	0.000000	1.200000e+09
296557.093591	0.070703	4.820523e+04
296607.096190	0.051074	7.900131e+04
296657.098790	0.069042	1.726798e+08
296707.101390	1.381996	7.535270e+03
296757.103990	1.110319	2.543613e+04
296807.106589	1.681419	7.310429e+03
296857.109189	1.120437	1.431052e+04
296907.111789	0.276219	1.789360e+07
296957.114389	0.000000	1.200000e+09
297007.116988	0.000000	1.200000e+09
297057.119588	0.018282	2.711626e+08
297107.122188	0.000004	5.693550e+08
297157.124788	0.000000	1.200000e+09
297207.127387	0.115275	4.320039e+07
297257.129987	1.497080	1.580230e+04
297307.132587	0.237415	1.568406e+08
297357.135186	0.051368	1.990795e+08
297407.137786	0.076279	2.140700e+08
297457.140386	0.000000	1.200000e+09
297507.142986	0.015046	2.433091e+08
297557.145585	0.000000	1.200000e+09
297607.148185	0.000000	1.130495e+06
297657.150785	0.024811	1.520189e+04
297707.153385	0.119268	6.897314e+03
297757.155984	0.000000	3.749241e+05
297807.158584	0.000000	3.253794e+07
297857.161184	1.049646	1.646866e+07
297907.163784	0.297323	5.966782e+07
297957.166383	0.000831	1.128900e+05
298007.168983	0.000000	3.550010e+05
298057.171583	0.000000	1.200000e+09
298107.174183	1.922650	2.010722e+04
298157.176782	0.053462	2.193482e+05
298207.179382	0.070872	6.276552e+04
298257.181982	0.000000	1.200000e+09
298307.184582	0.000000	1.200000e+09
298357.187181	0.128871	1.899041e+05
298407.189781	0.001360	3.586090e+08
298457.192381	0.003290	1.912998e+05
298507.194981	0.003291	1.115913e+05
298557.197580	0.292267	2.930642e+04
298607.200180	0.101205	1.702681e+08
298657.202780	0.000000	1.200000e+09
298707.205379	0.782881	5.376363e+07
298757.207979	0.000000	2.483487e+06
298807.210579	0.000000	1.200000e+09
298857.213179	0.000000	1.052891e+06
298907.215778	0.000000	1.200000e+09
298957.218378	0.170736	1.658582e+08
299007.220978	0.256520	1.532849e+08
299057.223578	1.050513	3.490738e+07
299107.226177	0.012336	1.252313e+05
299157.228777	0.291373	9.791273e+04
299207.231377	0.885833	1.758848e+04
299257.233977	1.120612	1.203609e+04
299307.236576	0.711438	1.942661e+04
299357.239176	0.416004	2.277321e+04
299407.241776	0.152689	6.722176e+07
299457.244376	0.795825	4.263184e+03
299507.246975	0.301354	8.035820e+03
299557.249575	0.196835	1.846578e+04
299607.252175	0.101755	1.289563e+08
299657.254775	0.227914	1.307302e+04
299707.257374	0.166782	5.762495e+03
299757.259974	0.152825	3.767459e+03
299807.262574	0.193329	2.576832e+03
299857.265173	0.284069	1.764727e+03
299907.267773	0.388715	1.358061e+03
299957.270373	0.454323	1.189017e+03
300007.272973	0.453553	1.106094e+03
300057.275572	0.374146	1.072243e+03
300107.278172	0.216064	1.083290e+03
300157.280772	0.000568	1.167604e+03
300207.283372	0.000001	9.146656e+03
