location	LR	alpha
5223817.000000	1.399242	7.597581e+03
5223867.006918	0.726064	1.183347e+04
5223917.013836	0.042377	1.734136e+08
5223967.020754	0.121468	1.336550e+04
5224017.027672	0.218567	5.753581e+03
5224067.034590	0.112042	3.297243e+07
5224117.041508	0.705088	3.073462e+03
5224167.048426	2.049756	1.244108e+03
5224217.055344	2.903106	1.308698e+03
5224267.062262	1.490947	1.578803e+03
5224317.069180	0.228553	2.114944e+03
5224367.076098	0.011649	5.986203e+04
5224417.083016	0.000870	3.452744e+08
5224467.089934	0.816876	2.980958e+07
5224517.096852	0.122428	1.836960e+04
5224567.103770	0.325987	1.085166e+08
5224617.110688	2.747441	3.191524e+07
5224667.117606	1.158969	5.870613e+03
5224717.124524	0.182406	5.578726e+04
5224767.131442	0.073516	3.557103e+04
5224817.138360	0.053408	2.230829e+04
5224867.145278	0.971530	7.945149e+03
5224917.152196	0.063360	1.356495e+08
5224967.159114	0.590790	1.683372e+04
5225017.166032	0.389928	1.136495e+08
5225067.172950	0.085804	1.553546e+08
5225117.179868	0.189919	9.888439e+07
5225167.186786	0.000390	4.219628e+08
5225217.193704	0.156263	2.899717e+04
5225267.200622	0.114031	3.388462e+04
5225317.207540	0.527437	4.249158e+04
5225367.214458	0.631589	1.970575e+04
5225417.221376	2.532002	8.454558e+03
5225467.228294	0.713025	9.112826e+07
5225517.235212	0.003829	9.512189e+04
5225567.242130	0.183415	5.125596e+04
5225617.249048	0.000000	1.200000e+09
5225667.255966	1.300162	1.053982e+07
5225717.262883	0.797695	2.172913e+07
5225767.269801	0.301595	1.005214e+04
5225817.276719	0.039303	1.579491e+08
5225867.283637	0.037564	4.335308e+06
5225917.290555	1.037487	7.039388e+03
5225967.297473	1.405971	4.338404e+07
5226017.304391	1.524278	5.884289e+03
5226067.311309	1.795035	2.227281e+03
5226117.318227	1.616340	2.230363e+03
5226167.325145	0.948237	2.816612e+03
5226217.332063	0.587206	4.367110e+03
5226267.338981	1.170661	8.365047e+03
5226317.345899	0.159532	1.926525e+05
5226367.352817	0.153750	9.337075e+04
5226417.359735	0.030534	2.235627e+04
5226467.366653	0.012548	7.367000e+04
5226517.373571	0.037743	1.601145e+08
5226567.380489	0.140066	1.628013e+08
5226617.387407	0.139972	2.855705e+04
5226667.394325	0.959945	1.458634e+04
5226717.401243	0.070183	1.719780e+08
5226767.408161	0.070692	2.134269e+04
5226817.415079	0.000373	2.424501e+05
5226867.421997	0.015146	1.680392e+04
5226917.428915	0.613769	2.632680e+07
5226967.435833	0.557061	3.084738e+07
5227017.442751	0.287412	5.633866e+07
5227067.449669	0.070885	1.169471e+08
5227117.456587	0.000001	4.140301e+05
5227167.463505	0.023964	2.859923e+04
5227217.470423	0.009809	3.934398e+04
5227267.477341	0.000000	2.473804e+05
5227317.484259	0.000541	1.385643e+05
5227367.491177	0.008190	6.164377e+04
5227417.498095	0.009302	6.335079e+04
5227467.505013	0.008573	1.809430e+04
5227517.511931	0.000000	9.027022e+04
5227567.518849	0.000000	5.663869e+05
5227617.525767	0.080923	1.517228e+08
5227667.532685	0.884016	5.516709e+07
5227717.539603	1.312473	5.669803e+07
5227767.546521	1.894018	5.503796e+03
5227817.553439	3.703486	3.380976e+03
5227867.560357	0.365676	4.544603e+07
5227917.567275	0.102242	2.822100e+04
5227967.574193	0.003752	2.871927e+08
5228017.581111	0.000000	8.087466e+05
5228067.588029	1.188186	5.205399e+07
5228117.594947	0.724695	6.037295e+03
5228167.601865	0.000000	1.200000e+09
5228217.608783	0.136142	8.136580e+07
5228267.615701	0.336100	1.976947e+05
5228317.622619	0.015221	5.447186e+04
5228367.629537	0.000000	3.064658e+06
5228417.636455	0.254155	2.532522e+04
5228467.643373	0.000000	2.623726e+05
5228517.650291	0.000000	1.200000e+09
5228567.657209	0.143020	1.471998e+08
5228617.664127	0.450008	6.970533e+07
5228667.671045	0.114891	1.474739e+08
5228717.677963	0.000000	1.200000e+09
5228767.684881	0.073405	2.077795e+08
5228817.691799	0.000000	2.911915e+05
5228867.698717	0.394680	9.646412e+07
5228917.705635	0.776035	2.257373e+05
5228967.712553	0.952263	2.361171e+07
5229017.719471	1.922370	3.382494e+03
5229067.726389	0.495118	3.753073e+03
5229117.733307	0.161509	2.922174e+07
5229167.740225	0.000000	1.200000e+09
5229217.747143	1.354907	3.898078e+07
5229267.754061	0.088670	1.833600e+08
5229317.760979	0.118019	1.499086e+05
5229367.767897	0.067147	1.449746e+05
5229417.774815	0.588457	2.608015e+04
5229467.781733	0.711772	2.161058e+04
5229517.788650	1.540038	6.005738e+03
5229567.795568	0.087784	3.259077e+04
5229617.802486	0.000302	1.642609e+05
5229667.809404	0.001268	8.522720e+05
5229717.816322	0.013901	1.011369e+05
5229767.823240	0.005426	2.747258e+04
5229817.830158	0.000007	4.972113e+05
5229867.837076	0.000007	4.424067e+04
5229917.843994	0.245319	2.760978e+03
5229967.850912	0.038099	4.197660e+03
5230017.857830	0.003190	1.437946e+05
5230067.864748	4.208581	2.623779e+06
5230117.871666	2.084570	6.225235e+03
5230167.878584	0.160535	2.056834e+04
5230217.885502	0.771756	1.324781e+04
5230267.892420	1.696963	9.720756e+03
5230317.899338	3.351426	2.757648e+03
5230367.906256	4.071892	1.406420e+03
5230417.913174	3.135299	1.144311e+03
5230467.920092	0.348180	2.998632e+07
5230517.927010	0.001017	9.616613e+04
5230567.933928	1.228577	1.413582e+03
5230617.940846	2.027053	9.421378e+02
5230667.947764	1.937862	9.173185e+02
5230717.954682	1.482415	9.611020e+02
5230767.961600	0.894229	1.047354e+03
5230817.968518	0.283762	1.234266e+03
5230867.975436	0.182352	2.764693e+03
5230917.982354	0.197680	3.236549e+03
5230967.989272	0.182717	4.267913e+03
5231017.996190	0.166497	6.476388e+03
5231068.003108	0.146163	1.258896e+04
5231118.010026	0.124856	2.396470e+05
5231168.016944	0.069621	4.922679e+04
5231218.023862	1.300162	1.053982e+07
5231268.030780	0.365529	6.027723e+07
5231318.037698	0.358813	1.808602e+04
5231368.044616	0.001393	5.684151e+04
5231418.051534	0.000000	2.514982e+05
5231468.058452	0.107370	1.305785e+08
5231518.065370	0.214839	1.293118e+08
5231568.072288	0.281007	1.361477e+08
5231618.079206	0.000781	3.325042e+08
5231668.086124	1.327335	1.034967e+04
5231718.093042	1.284291	5.023241e+03
5231768.099960	0.875394	4.653116e+03
5231818.106878	0.104546	4.736504e+04
5231868.113796	2.486595	5.831015e+03
5231918.120714	0.407839	2.016398e+04
5231968.127632	0.119252	1.121335e+08
5232018.134550	0.043376	9.123121e+04
5232068.141468	0.002781	6.280525e+04
5232118.148386	0.000000	3.591142e+05
5232168.155304	0.000000	8.349282e+04
5232218.162222	0.003190	6.034197e+04
5232268.169140	0.284249	4.906877e+03
5232318.176058	0.889754	3.828529e+07
5232368.182976	1.393096	3.778310e+03
5232418.189894	0.951039	2.485420e+07
5232468.196812	0.290649	2.156241e+03
5232518.203730	2.253677	1.093925e+03
5232568.210648	1.097711	2.869631e+03
5232618.217566	0.472208	2.719634e+07
5232668.224484	0.246911	4.121489e+04
5232718.231402	0.000000	2.427749e+05
5232768.238320	0.000000	7.700888e+04
5232818.245238	0.000035	3.606221e+04
5232868.252156	0.000035	1.583674e+05
5232918.259074	0.000035	2.248715e+05
5232968.265992	0.000000	1.200000e+09
5233018.272910	0.000000	2.808391e+05
5233068.279828	0.074156	3.331296e+04
5233118.286746	0.294371	8.189281e+04
5233168.293664	0.646589	1.767212e+04
5233218.300582	1.719783	4.805517e+03
5233268.307499	0.403342	5.458086e+07
5233318.314417	0.872726	4.437911e+07
5233368.321335	0.035978	6.576832e+04
5233418.328253	0.093469	7.815887e+04
5233468.335171	0.041197	1.212795e+05
5233518.342089	0.070052	1.722646e+08
5233568.349007	0.000000	1.648772e+05
5233618.355925	0.000000	1.200000e+09
5233668.362843	0.012068	2.186591e+08
5233718.369761	0.017067	2.054127e+05
5233768.376679	0.160988	3.040624e+04
5233818.383597	0.161031	3.264376e+04
5233868.390515	1.485065	1.711073e+04
5233918.397433	0.166394	1.077049e+04
5233968.404351	0.129205	8.254992e+03
5234018.411269	1.126541	4.064907e+03
5234068.418187	0.621206	1.715145e+07
5234118.425105	0.652482	8.628737e+07
5234168.432023	0.000469	4.153280e+08
5234218.438941	1.319014	1.847562e+04
5234268.445859	0.000008	1.207271e+05
5234318.452777	0.000368	1.290009e+05
5234368.459695	1.099093	1.573351e+03
5234418.466613	1.558617	1.377179e+03
5234468.473531	0.348216	1.431711e+04
5234518.480449	0.635213	2.095511e+07
5234568.487367	0.025924	2.699706e+05
5234618.494285	0.162234	7.821292e+07
5234668.501203	1.119489	2.408751e+03
5234718.508121	3.066228	1.039851e+03
5234768.515039	3.217434	1.379832e+03
5234818.521957	0.000000	1.179087e+06
5234868.528875	2.043939	2.760443e+07
5234918.535793	0.329841	3.764637e+07
5234968.542711	1.224488	1.785837e+04
5235018.549629	0.989278	2.371243e+05
5235068.556547	0.168237	1.851569e+08
5235118.563465	0.826381	4.481756e+07
5235168.570383	1.076577	2.632112e+03
5235218.577301	5.818970	1.093341e+03
5235268.584219	7.910000	8.551201e+02
5235318.591137	6.501097	9.605048e+02
5235368.598055	4.327671	2.362602e+03
5235418.604973	2.956461	3.311148e+03
5235468.611891	0.937356	4.009341e+07
5235518.618809	1.863595	2.702275e+04
5235568.625727	2.439584	2.320858e+03
5235618.632645	1.508139	1.564209e+03
5235668.639563	0.103853	1.623421e+08
5235718.646481	1.304159	1.214502e+04
5235768.653399	0.004131	9.456732e+04
5235818.660317	0.311040	5.321893e+07
5235868.667235	0.000020	5.229655e+08
5235918.674153	2.880337	5.942516e+06
5235968.681071	0.003556	7.780979e+05
5236018.687989	4.520821	1.250985e+03
5236068.694907	2.312235	9.505010e+06
5236118.701825	3.683947	1.245852e+07
5236168.708743	12.372949	7.350698e+02
5236218.715661	6.685010	6.453889e+02
5236268.722579	5.870076	5.895775e+02
5236318.729497	2.250201	6.158822e+02
5236368.736415	4.520225	7.133596e+02
5236418.743333	0.013736	1.204108e+05
5236468.750251	2.406503	1.767366e+04
5236518.757169	3.905410	2.312226e+03
5236568.764087	0.460253	4.550553e+03
5236618.771005	0.193917	3.292146e+06
5236668.777923	0.878243	4.480096e+07
5236718.784841	0.741742	5.775711e+03
5236768.791759	0.545301	4.629523e+03
5236818.798677	0.045196	6.849537e+03
5236868.805595	0.000000	1.305027e+05
5236918.812513	0.000000	1.200000e+09
5236968.819431	0.000000	1.119097e+05
5237018.826349	1.800250	5.944714e+02
5237068.833266	6.173354	6.618192e+02
5237118.840184	2.454356	9.651659e+06
5237168.847102	0.701753	1.948485e+07
5237218.854020	8.959091	1.570285e+03
5237268.860938	1.595707	1.757869e+04
5237318.867856	12.218829	1.659179e+03
5237368.874774	0.923919	2.581935e+07
5237418.881692	14.751305	4.964300e+02
5237468.888610	17.092265	4.040859e+02
