location	LR	alpha
1850835.000000	0.000041	5.472578e+08
1850885.005099	0.000221	1.543304e+05
1850935.010199	0.000000	2.693134e+05
1850985.015298	0.302102	5.346740e+07
1851035.020398	0.012438	3.781865e+08
1851085.025497	0.001393	4.277593e+08
1851135.030597	0.557627	6.841538e+07
1851185.035696	0.137206	2.683607e+08
1851235.040796	0.001757	4.661044e+08
1851285.045895	2.505804	9.225298e+06
1851335.050995	0.734821	1.896119e+07
1851385.056094	1.335633	1.790506e+07
1851435.061194	0.994609	1.419400e+07
1851485.066293	0.790269	2.081031e+07
1851535.071393	2.570748	3.447964e+03
1851585.076492	1.165520	2.284819e+07
1851635.081592	0.004950	2.740319e+08
1851685.086691	3.825397	1.646239e+03
1851735.091791	2.824336	3.148210e+03
1851785.096890	2.795260	8.069725e+03
1851835.101990	0.908417	3.357242e+05
1851885.107089	3.300838	8.557402e+03
1851935.112189	0.896832	1.223164e+08
1851985.117288	2.050975	2.158632e+07
1852035.122388	1.265664	1.677482e+07
1852085.127487	2.378596	2.169254e+07
1852135.132587	0.119206	3.304611e+07
1852185.137686	2.269731	7.892438e+06
1852235.142786	1.069935	1.038826e+07
1852285.147885	0.865755	5.586829e+07
1852335.152985	0.112673	2.269690e+07
1852385.158084	2.255752	9.056970e+03
1852435.163184	1.170524	2.036418e+07
1852485.168283	0.701162	4.818270e+04
1852535.173383	0.139975	3.888579e+03
1852585.178482	0.001596	1.414908e+05
1852635.183582	0.652267	1.302333e+08
1852685.188681	0.128849	4.307959e+07
1852735.193781	0.000740	1.186225e+05
1852785.198880	0.396364	2.937626e+04
1852835.203980	0.113524	4.855016e+04
1852885.209079	0.000000	6.216924e+06
1852935.214179	0.000000	8.828085e+04
1852985.219278	0.096457	5.336428e+03
1853035.224378	0.224268	8.115485e+03
1853085.229477	0.256047	2.068837e+04
1853135.234577	0.305880	3.698459e+04
1853185.239676	1.372660	3.865970e+07
1853235.244776	0.262965	1.026691e+08
1853285.249875	0.000824	4.262382e+08
1853335.254975	1.179511	2.419245e+04
1853385.260074	0.890856	1.080902e+04
1853435.265173	0.107180	1.835175e+05
1853485.270273	0.107185	9.862865e+04
1853535.275372	0.355277	3.101196e+04
1853585.280472	0.285238	6.989270e+03
1853635.285571	0.187843	3.915548e+03
1853685.290671	0.172882	2.927366e+03
1853735.295770	0.093518	2.605852e+03
1853785.300870	0.011957	6.524063e+03
1853835.305969	0.006369	5.429997e+03
1853885.311069	0.052797	4.547129e+03
1853935.316168	0.066118	5.320916e+03
1853985.321268	0.070724	6.933475e+03
1854035.326367	0.058969	1.021621e+04
1854085.331467	0.000074	1.475626e+06
1854135.336566	0.604574	3.073549e+04
1854185.341666	0.000941	7.135900e+04
1854235.346765	0.000941	1.836339e+05
1854285.351865	0.000941	3.396229e+04
1854335.356964	0.000942	1.870687e+04
1854385.362064	0.000956	1.288446e+04
1854435.367163	0.001030	9.741685e+03
1854485.372263	0.063992	4.526266e+03
1854535.377362	0.234337	4.960584e+03
1854585.382462	0.306950	6.280176e+03
1854635.387561	0.370883	9.188651e+03
1854685.392661	0.428293	1.824808e+04
1854735.397760	0.428030	1.837765e+08
1854785.402860	0.000722	3.955759e+08
1854835.407959	0.049623	3.045461e+08
1854885.413059	0.000534	4.824820e+08
1854935.418158	0.475187	2.172065e+04
1854985.423258	1.087970	1.041638e+08
1855035.428357	0.078519	3.076319e+07
1855085.433457	0.027987	1.043160e+05
1855135.438556	0.027993	1.410803e+05
1855185.443656	0.000000	6.111098e+05
1855235.448755	0.000000	1.200000e+09
1855285.453855	0.093078	1.500931e+08
1855335.458954	0.000000	5.083244e+05
1855385.464054	4.257204	4.380655e+04
1855435.469153	0.356624	1.088903e+04
1855485.474253	0.822662	4.025739e+03
