location	LR	alpha
5223865.000000	3.508579	2.776904e+04
5223915.003008	0.004558	7.994772e+04
5223965.006016	0.000000	4.498068e+05
5224015.009023	0.000000	1.536924e+05
5224065.012031	0.000000	1.200000e+09
5224115.015039	3.625951	1.274914e+04
5224165.018047	1.369505	3.940443e+03
5224215.021055	1.328849	3.018293e+03
5224265.024063	0.811680	2.214990e+03
5224315.027070	0.550532	1.891636e+03
5224365.030078	0.254492	1.959491e+03
5224415.033086	0.000000	4.815996e+04
5224465.036094	0.000000	7.650309e+04
5224515.039102	0.000000	1.859220e+05
5224565.042109	0.000000	1.200000e+09
5224615.045117	0.815241	4.539427e+07
5224665.048125	0.211104	4.243994e+04
5224715.051133	0.073121	4.262679e+04
5224765.054141	0.057242	3.962378e+04
5224815.057149	0.049357	2.883914e+04
5224865.060156	0.584356	9.096069e+03
5224915.063164	0.078457	1.582707e+08
5224965.066172	1.546942	1.384609e+07
5225015.069180	0.336835	1.130302e+08
5225065.072188	0.102466	1.705578e+08
5225115.075196	0.000501	3.983342e+08
5225165.078203	0.046706	2.243214e+08
5225215.081211	0.224374	1.875511e+04
5225265.084219	0.035908	3.126396e+05
5225315.087227	0.047756	3.975641e+04
5225365.090235	0.048656	4.052922e+04
5225415.093242	0.018223	5.891381e+04
5225465.096250	0.182392	2.466616e+05
5225515.099258	0.563414	2.139461e+04
5225565.102266	0.126800	1.714820e+08
5225615.105274	0.000000	1.200000e+09
5225665.108282	0.000000	4.906252e+05
5225715.111289	0.199035	3.984809e+07
5225765.114297	0.753455	1.035957e+07
5225815.117305	0.000000	1.200000e+09
5225865.120313	0.068863	8.934005e+04
5225915.123321	0.924500	2.881045e+07
5225965.126328	0.250428	3.708698e+07
5226015.129336	1.644129	3.767518e+03
5226065.132344	0.975812	2.702713e+03
5226115.135352	0.679229	2.637798e+03
5226165.138360	0.397131	3.326682e+03
5226215.141368	0.515547	4.824382e+03
5226265.144375	1.257326	6.787670e+03
5226315.147383	0.329527	6.218254e+07
