location	LR	alpha
5223885.000000	0.000345	4.033248e+08
5223935.003208	0.000000	2.728069e+05
5223985.006417	0.000000	2.544654e+05
5224035.009625	0.000000	2.629777e+05
5224085.012833	0.002110	3.523715e+08
5224135.016042	0.002105	3.938209e+04
5224185.019250	0.001800	1.890152e+04
5224235.022458	0.005540	1.105207e+04
5224285.025667	0.019052	1.192467e+04
5224335.028875	0.011207	2.583371e+04
5224385.032083	0.010676	1.375608e+06
5224435.035292	0.063673	2.401339e+08
5224485.038500	1.106394	4.523599e+04
5224535.041708	0.720340	1.078243e+04
5224585.044917	0.055814	1.462602e+08
5224635.048125	0.103934	2.055584e+08
5224685.051333	0.000000	7.180668e+08
5224735.054542	0.252648	1.197981e+05
5224785.057750	0.000000	1.200000e+09
5224835.060958	0.030945	2.830392e+05
5224885.064167	0.474865	1.869071e+07
5224935.067375	0.086430	2.305448e+08
5224985.070584	0.059496	3.805229e+04
5225035.073792	0.324329	1.638947e+04
5225085.077000	0.053273	2.391311e+05
5225135.080209	0.048420	1.838596e+08
5225185.083417	0.109545	1.566851e+08
5225235.086625	0.537210	5.336727e+07
5225285.089834	0.000000	4.332435e+05
5225335.093042	0.904275	5.513795e+06
5225385.096250	0.087743	2.384014e+08
5225435.099459	0.089339	3.351065e+04
5225485.102667	0.030266	2.088134e+05
5225535.105875	0.417268	5.250215e+07
5225585.109084	0.392224	1.573835e+08
5225635.112292	0.830102	3.751106e+07
5225685.115500	0.010278	2.736320e+04
5225735.118709	0.185138	2.339570e+04
5225785.121917	0.000000	2.687621e+05
5225835.125125	0.000000	1.200000e+09
5225885.128334	0.090535	8.239233e+04
5225935.131542	0.007372	3.247325e+08
5225985.134750	1.490639	1.291067e+04
5226035.137959	3.837010	3.315271e+03
5226085.141167	5.817574	2.058355e+03
5226135.144375	3.986129	1.881286e+03
5226185.147584	9.092560	1.511839e+03
5226235.150792	2.925693	1.487338e+07
5226285.154000	0.184165	3.660252e+07
5226335.157209	0.000000	1.200000e+09
5226385.160417	0.000000	2.690646e+05
5226435.163625	0.000000	1.200000e+09
5226485.166834	0.003285	1.328616e+05
5226535.170042	0.697011	2.857243e+05
5226585.173250	0.137984	1.212317e+08
5226635.176459	0.139998	1.218920e+04
5226685.179667	0.091967	6.256393e+03
5226735.182875	0.028546	8.039062e+03
5226785.186084	0.027532	6.205438e+03
5226835.189292	0.025604	5.226888e+03
5226885.192501	0.367020	6.295282e+02
5226935.195709	0.211322	6.027174e+02
5226985.198917	0.033738	1.748546e+04
5227035.202126	0.043743	1.114939e+05
5227085.205334	0.016347	4.795886e+04
5227135.208542	0.000000	5.115157e+05
5227185.211751	0.000603	1.156279e+07
5227235.214959	0.067860	3.473338e+04
5227285.218167	7.013473	4.149015e+02
5227335.221376	8.264424	4.052754e+02
5227385.224584	8.487146	4.183175e+02
5227435.227792	7.162218	4.625692e+02
5227485.231001	4.065293	8.386646e+02
5227535.234209	1.302760	2.253431e+03
5227585.237417	0.000448	4.668118e+08
5227635.240626	0.854342	2.544499e+07
5227685.243834	1.234871	2.171710e+07
5227735.247042	2.637061	2.412188e+07
5227785.250251	1.959943	2.579003e+04
5227835.253459	0.014603	2.796020e+08
5227885.256667	0.014868	8.199886e+04
5227935.259876	0.000000	2.585738e+05
5227985.263084	0.000000	3.156946e+05
5228035.266292	1.150879	1.987837e+07
5228085.269501	0.218909	3.187987e+07
5228135.272709	4.590267	4.858275e+03
5228185.275917	0.258405	4.258390e+07
5228235.279126	0.077437	1.956979e+08
5228285.282334	0.000000	1.200000e+09
5228335.285542	0.326319	1.834452e+07
5228385.288751	0.000000	4.342611e+05
5228435.291959	0.000000	6.440306e+06
5228485.295167	0.005201	2.624267e+05
5228535.298376	0.000000	1.200000e+09
5228585.301584	0.749082	2.693599e+04
5228635.304792	0.003566	3.170857e+08
5228685.308001	0.623243	2.504585e+05
5228735.311209	1.257830	2.628376e+07
5228785.314417	2.034188	2.506291e+07
5228835.317626	0.390190	3.041586e+07
5228885.320834	1.334257	4.144499e+07
5228935.324043	0.778624	8.607659e+03
5228985.327251	0.014123	8.774488e+04
5229035.330459	9.819653	1.100715e+03
5229085.333668	12.533398	9.486274e+02
5229135.336876	0.486723	2.240985e+04
5229185.340084	10.936376	8.965350e+02
5229235.343293	5.588757	5.726247e+06
5229285.346501	2.331315	2.010658e+07
5229335.349709	2.362061	1.374792e+07
5229385.352918	8.241270	1.997164e+03
5229435.356126	5.239201	9.292019e+06
5229485.359334	0.087958	8.737885e+04
5229535.362543	0.035362	1.478562e+04
5229585.365751	0.000000	2.739089e+06
5229635.368959	0.632836	5.525677e+04
5229685.372168	0.056590	7.482347e+04
5229735.375376	0.629028	2.138342e+04
5229785.378584	5.813659	2.824429e+02
5229835.381793	13.707391	2.610847e+02
5229885.385001	19.959078	2.545301e+02
5229935.388209	18.927775	2.791632e+02
5229985.391418	18.029065	2.898728e+02
5230035.394626	8.933685	3.552019e+02
5230085.397834	14.183460	3.603179e+02
5230135.401043	1.681428	8.937023e+02
5230185.404251	0.000219	1.162440e+06
5230235.407459	6.185285	8.551417e+02
5230285.410668	1.489050	2.213245e+07
5230335.413876	7.729235	7.473578e+02
5230385.417084	3.854213	7.388264e+02
5230435.420293	0.000062	5.295850e+08
5230485.423501	0.586766	2.116238e+07
5230535.426709	0.000875	4.283141e+08
5230585.429918	0.000875	4.700383e+04
5230635.433126	4.551039	6.016668e+02
5230685.436334	5.336997	5.742770e+02
5230735.439543	4.849459	5.764600e+02
5230785.442751	3.933667	5.988952e+02
5230835.445959	2.883986	6.460636e+02
5230885.449168	1.910516	7.459277e+02
5230935.452376	1.309801	9.322373e+02
5230985.455585	1.254355	1.172380e+03
5231035.458793	1.725545	1.476118e+03
5231085.462001	3.043248	2.050062e+03
5231135.465210	3.308728	1.560014e+07
5231185.468418	0.427367	2.161228e+07
5231235.471626	0.006601	2.283192e+05
5231285.474835	0.006598	4.480902e+04
5231335.478043	0.079407	1.440201e+04
5231385.481251	0.112775	1.467926e+05
5231435.484460	0.327278	1.262397e+08
5231485.487668	0.352507	2.308968e+04
5231535.490876	0.310642	1.110215e+08
5231585.494085	0.379259	3.051468e+07
5231635.497293	0.276806	4.490042e+04
5231685.500501	1.437261	2.900425e+03
5231735.503710	1.289369	2.223171e+03
5231785.506918	1.276693	1.767792e+03
5231835.510126	1.613936	1.446606e+03
5231885.513335	2.224821	1.230180e+03
5231935.516543	3.091855	1.074590e+03
5231985.519751	4.399865	9.620743e+02
5232035.522960	4.977044	8.770926e+02
5232085.526168	4.303505	8.420456e+02
5232135.529376	3.628296	8.874963e+02
5232185.532585	1.190394	1.977406e+07
5232235.535793	1.560680	8.875914e+03
5232285.539001	6.190174	7.236424e+02
5232335.542210	1.709776	4.551882e+04
5232385.545418	9.660990	5.670143e+02
5232435.548626	2.739937	9.634003e+06
5232485.551835	11.833689	4.467063e+02
5232535.555043	13.538938	4.208355e+02
5232585.558251	13.454816	4.154160e+02
5232635.561460	12.474681	4.220427e+02
5232685.564668	10.045605	4.460999e+02
5232735.567876	11.262898	4.626867e+02
5232785.571085	11.273184	4.876122e+02
5232835.574293	7.246571	7.217396e+02
5232885.577502	7.277271	8.578822e+02
5232935.580710	5.030918	9.831973e+02
5232985.583918	0.254498	4.771609e+07
5233035.587127	1.021085	5.149884e+03
5233085.590335	0.298214	1.613740e+04
5233135.593543	0.000628	2.329975e+05
5233185.596752	0.884558	5.418385e+06
5233235.599960	0.458186	2.576228e+07
5233285.603168	2.950933	1.695838e+07
5233335.606377	0.310608	3.761971e+07
5233385.609585	0.369868	7.074028e+04
5233435.612793	2.716161	2.384003e+03
5233485.616002	1.359111	1.535969e+07
5233535.619210	0.422577	1.050684e+04
5233585.622418	0.085724	1.340883e+05
5233635.625627	0.282912	2.660165e+04
5233685.628835	0.092920	4.091084e+04
5233735.632043	0.032351	6.074163e+04
5233785.635252	0.005649	5.483033e+04
5233835.638460	0.282625	1.287326e+08
5233885.641668	0.137994	1.299145e+08
5233935.644877	0.342097	1.299654e+08
5233985.648085	0.048183	4.087515e+04
5234035.651293	0.941842	5.199538e+03
5234085.654502	1.642981	7.268123e+06
5234135.657710	0.003790	3.665686e+08
5234185.660918	5.631352	2.130142e+03
5234235.664127	3.263999	1.209531e+07
5234285.667335	4.713821	1.407850e+03
5234335.670543	2.166672	1.255902e+03
5234385.673752	0.866630	3.197286e+04
5234435.676960	2.037120	1.407853e+07
5234485.680168	7.987936	9.600506e+02
5234535.683377	0.694550	1.396894e+07
5234585.686585	17.686298	6.705399e+02
5234635.689793	15.185183	6.965271e+02
5234685.693002	3.325164	6.657292e+06
5234735.696210	0.692703	1.584082e+04
5234785.699418	1.164081	3.869784e+03
5234835.702627	1.015775	2.901135e+07
5234885.705835	0.200756	3.604592e+07
5234935.709044	2.163737	3.696782e+03
5234985.712252	1.181276	5.202377e+07
5235035.715460	1.572970	2.244367e+04
5235085.718669	0.826189	6.415479e+07
5235135.721877	2.400923	3.773240e+03
5235185.725085	1.962299	3.454458e+03
5235235.728294	2.493259	1.174680e+03
5235285.731502	2.359169	1.074134e+03
5235335.734710	1.975265	2.455374e+03
5235385.737919	0.010433	2.886048e+08
5235435.741127	0.012189	2.379029e+08
5235485.744335	0.165197	1.978813e+04
5235535.747544	0.065113	1.045147e+04
5235585.750752	0.064792	7.014663e+03
5235635.753960	0.175292	5.104145e+03
5235685.757169	0.116878	6.374422e+03
5235735.760377	0.072125	1.311821e+04
5235785.763585	0.054979	7.568272e+04
5235835.766794	0.872578	6.278426e+03
5235885.770002	0.705198	4.746422e+07
5235935.773210	0.378857	2.567108e+05
5235985.776419	0.036304	5.307960e+04
5236035.779627	0.341960	2.711502e+04
5236085.782835	0.194471	4.052829e+04
5236135.786044	0.300858	2.374472e+04
5236185.789252	0.507144	2.089974e+05
