location	LR	alpha
2476113.000000	0.027764	2.453798e+08
2476163.008421	0.027826	2.593694e+04
2476213.016841	0.154533	1.093202e+04
2476263.025262	0.275259	4.918693e+07
2476313.033683	0.102760	3.511795e+04
2476363.042104	0.000000	1.200000e+09
2476413.050524	0.168050	4.098451e+04
2476463.058945	0.174343	1.923560e+04
2476513.067366	0.705179	1.019756e+07
2476563.075786	1.014373	3.437585e+03
2476613.084207	1.308473	4.308984e+03
2476663.092628	1.004073	2.637321e+06
2476713.101049	0.153817	3.766093e+04
2476763.109469	0.224182	4.034296e+07
2476813.117890	0.714904	1.025800e+07
2476863.126311	0.000000	4.065250e+05
2476913.134731	2.206018	2.138430e+07
2476963.143152	2.434817	1.664099e+07
2477013.151573	0.095511	1.664848e+08
2477063.159994	0.228200	2.471334e+04
2477113.168414	0.010279	2.348616e+08
2477163.176835	0.709112	1.068088e+08
2477213.185256	0.170134	8.490201e+07
2477263.193677	0.167494	1.078928e+05
2477313.202097	0.000000	1.200000e+09
2477363.210518	0.000000	1.200000e+09
2477413.218939	0.332931	1.596234e+04
2477463.227359	0.015096	1.355574e+04
2477513.235780	0.004247	1.105360e+04
2477563.244201	0.261265	1.546355e+03
2477613.252622	0.104268	1.521691e+03
2477663.261042	0.000000	5.717300e+04
2477713.269463	0.123650	3.695859e+03
2477763.277884	0.097261	4.870818e+03
2477813.286304	0.571184	6.552500e+03
2477863.294725	0.131561	1.022240e+08
2477913.303146	0.232612	4.447693e+07
2477963.311567	0.000438	6.776130e+05
2478013.319987	0.000000	1.200000e+09
2478063.328408	0.000000	6.981450e+05
2478113.336829	0.714904	1.025799e+07
2478163.345249	0.000000	1.200000e+09
2478213.353670	0.000000	1.523444e+05
2478263.362091	0.238715	4.294991e+03
2478313.370512	0.950183	4.533035e+03
2478363.378932	0.627062	1.113869e+04
2478413.387353	0.412779	1.098882e+08
2478463.395774	0.578909	9.717999e+07
2478513.404194	0.000021	4.831712e+08
2478563.412615	0.000269	1.785000e+05
2478613.421036	0.037195	7.534661e+07
2478663.429457	0.000000	1.389870e+05
2478713.437877	0.000000	6.379576e+04
2478763.446298	0.000000	4.139906e+04
2478813.454719	0.000000	3.064172e+04
2478863.463139	0.000000	2.432181e+04
2478913.471560	0.000000	2.016314e+04
