location	LR	alpha
295024.000000	0.083890	1.524755e+08
295074.006402	0.000000	1.200000e+09
295124.012804	1.213897	4.915207e+04
295174.019206	0.000000	1.200000e+09
295224.025608	0.065077	6.816638e+07
295274.032010	0.527292	5.983542e+07
295324.038412	2.789194	1.787997e+04
295374.044813	0.515066	8.280594e+07
295424.051215	0.000650	1.487211e+05
295474.057617	0.000000	2.687099e+05
295524.064019	0.000000	1.200000e+09
295574.070421	0.000000	3.360306e+05
295624.076823	0.105864	3.362480e+04
295674.083225	0.057786	2.673905e+08
295724.089627	0.000000	1.200000e+09
295774.096029	0.000000	6.272945e+05
295824.102431	0.023595	2.171079e+08
295874.108833	0.177012	1.235664e+08
295924.115235	0.175234	1.364881e+08
295974.121636	0.059351	2.545096e+08
296024.128038	0.184887	2.638735e+04
296074.134440	0.625114	3.691900e+04
296124.140842	0.291316	1.059903e+04
296174.147244	0.072430	1.947346e+08
296224.153646	0.076258	3.594672e+04
296274.160048	0.021136	6.026422e+04
296324.166450	2.695535	9.245378e+03
296374.172852	8.193822	2.678481e+06
296424.179254	2.037230	1.306803e+04
296474.185656	0.000000	3.652196e+05
296524.192058	0.006896	1.113978e+05
296574.198460	0.004440	2.969204e+08
296624.204861	0.000000	1.160737e+06
296674.211263	0.059327	1.712005e+08
296724.217665	0.543380	1.933688e+07
296774.224067	0.562335	1.885106e+07
296824.230469	0.146390	1.578537e+04
296874.236871	0.000000	1.331310e+05
296924.243273	0.000436	1.289759e+05
296974.249675	0.000324	4.112793e+08
297024.256077	0.074160	5.154890e+04
297074.262479	0.158788	1.853703e+08
297124.268881	0.068028	3.775563e+04
297174.275283	0.046599	3.200286e+04
297224.281685	0.137381	4.164103e+04
297274.288086	0.154560	1.659755e+08
297324.294488	0.544372	1.488002e+08
297374.300890	0.000000	1.200000e+09
297424.307292	0.090867	2.590608e+05
297474.313694	0.144403	1.214351e+05
297524.320096	0.058150	2.447719e+08
297574.326498	0.325281	1.406872e+08
297624.332900	0.333160	3.004944e+04
297674.339302	1.028105	9.311806e+03
297724.345704	1.093163	6.314109e+03
297774.352106	0.134482	8.730283e+07
297824.358508	0.210745	2.428491e+04
297874.364909	0.454919	1.907110e+04
297924.371311	0.220294	8.373286e+03
297974.377713	0.004472	4.942726e+04
298024.384115	0.139045	1.626040e+04
298074.390517	0.130578	6.930467e+04
298124.396919	0.132856	6.032324e+04
298174.403321	0.055722	1.628305e+08
298224.409723	0.000000	1.200000e+09
298274.416125	0.003859	3.471411e+08
298324.422527	0.041478	6.591496e+04
298374.428929	0.010788	3.312038e+08
298424.435331	0.167817	6.498246e+04
298474.441733	0.000034	4.959789e+08
298524.448134	0.040020	1.232727e+04
298574.454536	0.000000	1.200000e+09
298624.460938	0.127718	2.145262e+08
298674.467340	0.016094	2.483753e+08
298724.473742	0.016094	1.332443e+05
298774.480144	0.000000	5.356971e+05
298824.486546	0.002260	1.042912e+05
298874.492948	0.852916	5.843019e+03
298924.499350	0.156106	3.314820e+07
298974.505752	0.396848	2.073344e+04
299024.512154	0.119053	2.464956e+08
299074.518556	0.290023	9.701271e+07
299124.524957	0.043953	5.327550e+05
299174.531359	1.167091	4.444351e+05
299224.537761	0.817093	3.855169e+07
299274.544163	0.294809	6.138093e+07
299324.550565	0.461715	1.112344e+08
299374.556967	0.000000	1.394120e+06
299424.563369	0.000000	1.200000e+09
299474.569771	0.083890	1.311300e+06
299524.576173	0.107347	3.520292e+04
299574.582575	0.042447	6.748177e+04
299624.588977	0.059456	3.169349e+04
299674.595379	0.019769	1.295781e+05
299724.601781	0.019846	2.435359e+04
299774.608182	0.020501	1.330759e+04
299824.614584	0.021821	9.015167e+03
299874.620986	0.033551	4.300077e+03
299924.627388	0.068740	3.285284e+03
299974.633790	0.088917	2.742934e+03
300024.640192	0.079567	2.355169e+03
300074.646594	0.048864	2.092865e+03
