location	LR	alpha	D
5223817.000000	3.292140	1.411765e-01	0.020337
5223867.002907	2.030326	1.967308e-01	0.040673
5223917.005815	0.967339	1.199930e-01	0.040673
5223967.008722	0.616046	3.857882e-02	0.040673
5224017.011629	0.322276	8.140939e-02	0.040673
5224067.014536	1.417173	2.581506e-01	0.040673
5224117.017444	3.103134	4.887656e-02	0.040673
5224167.020351	2.700352	2.061928e-02	0.040673
5224217.023258	0.407592	1.793784e-02	0.040673
5224267.026165	0.000000	9.919503e-02	0.020337
5224317.029073	0.000000	1.690833e-01	0.020337
5224367.031980	0.000000	5.723002e-01	0.020337
5224417.034887	0.640224	9.255609e-01	0.040673
5224467.037794	0.096639	2.664428e-01	0.020337
5224517.040702	0.395620	1.691110e-01	0.020337
5224567.043609	2.278290	7.409400e-02	0.040673
5224617.046516	0.705193	2.502435e-01	0.040673
5224667.049424	0.498320	5.480691e-02	0.040673
5224717.052331	0.957600	1.004380e+00	0.020337
5224767.055238	0.095386	1.593004e-01	0.040673
5224817.058145	0.712920	5.469001e-01	0.040673
5224867.061053	0.000000	6.336150e-01	0.020337
5224917.063960	0.000000	2.021550e+00	0.020337
5224967.066867	0.000000	2.950675e+00	0.020337
5225017.069774	0.621963	5.979142e-01	0.040673
5225067.072682	0.114132	2.785989e-01	0.020337
5225117.075589	0.110523	2.974061e+01	0.040673
5225167.078496	0.000000	1.112661e+01	0.020337
5225217.081404	1.687839	6.438052e-03	0.040673
5225267.084311	0.000000	9.930233e-01	0.020337
5225317.087218	1.285552	2.072082e-01	0.040673
5225367.090125	0.492779	9.166608e-02	0.040673
5225417.093033	1.024410	1.483185e-01	0.020337
5225467.095940	2.353647	3.882983e-01	0.020337
5225517.098847	2.520261	1.646064e-01	0.040673
5225567.101754	3.519609	5.507157e-02	0.040673
5225617.104662	1.546876	3.986094e-01	0.040673
5225667.107569	0.210072	8.637795e-01	0.040673
5225717.110476	3.890600	3.958953e-02	0.040673
5225767.113383	3.412856	2.235110e-02	0.040673
5225817.116291	1.799386	7.993803e-02	0.040673
5225867.119198	2.019059	9.678652e+00	0.040673
5225917.122105	0.932932	8.065656e-01	0.020337
5225967.125013	0.932932	3.416368e-01	0.020337
5226017.127920	0.980729	4.547657e-02	0.020337
5226067.130827	1.608065	5.169497e-02	0.020337
5226117.133734	1.137173	5.384393e-02	0.020337
5226167.136642	0.932932	1.053894e-01	0.020337
5226217.139549	0.932932	1.879097e-01	0.020337
5226267.142456	0.932932	8.659542e-01	0.020337
5226317.145363	2.111600	5.250574e-01	0.040673
5226367.148271	0.045782	3.982620e-01	0.040673
5226417.151178	0.000000	3.979944e-01	0.020337
5226467.154085	0.344540	1.999487e-02	0.040673
5226517.156992	0.604806	6.725323e-01	0.040673
5226567.159900	0.467241	1.292509e+00	0.040673
5226617.162807	0.000000	6.262131e-01	0.020337
5226667.165714	1.585859	1.314110e-02	0.040673
5226717.168622	0.086235	1.006977e-01	0.040673
5226767.171529	1.147951	5.017321e-02	0.040673
5226817.174436	1.459743	7.010395e-02	0.040673
5226867.177343	3.228996	5.964886e-02	0.040673
5226917.180251	2.816975	4.531385e-02	0.020337
5226967.183158	1.846752	1.054326e-01	0.020337
5227017.186065	3.227312	1.247582e-01	0.040673
5227067.188972	0.662204	2.557606e-02	0.020337
5227117.191880	0.000000	2.311302e+00	0.020337
5227167.194787	0.957600	9.371179e-01	0.020337
5227217.197694	0.000000	1.764108e+00	0.020337
5227267.200602	0.000000	5.504741e-01	0.020337
5227317.203509	0.108606	5.404550e-01	0.020337
5227367.206416	0.109098	1.661902e-01	0.020337
5227417.209323	0.000000	1.032620e-01	0.020337
5227467.212231	0.000000	1.415299e-01	0.020337
5227517.215138	0.471825	1.382730e-01	0.040673
5227567.218045	0.897333	2.190503e-01	0.040673
5227617.220952	3.918927	5.976720e-02	0.040673
5227667.223860	0.335813	2.297152e+00	0.040673
5227717.226767	1.847268	7.451759e+00	0.040673
5227767.229674	0.156839	3.346900e-01	0.040673
5227817.232581	0.338115	2.493198e+00	0.040673
5227867.235489	0.558699	6.845734e+00	0.040673
5227917.238396	0.000000	5.033643e+01	0.020337
5227967.241303	0.000000	1.546652e+00	0.020337
5228017.244211	0.000000	7.616249e-01	0.020337
5228067.247118	0.889260	6.069114e-01	0.040673
5228117.250025	1.037177	1.868088e-01	0.040673
5228167.252932	1.792784	2.911720e+00	0.040673
5228217.255840	0.000000	4.690439e+01	0.020337
5228267.258747	0.241742	6.901024e-01	0.040673
5228317.261654	0.000000	1.232242e+00	0.020337
5228367.264561	0.000000	4.662832e-01	0.020337
5228417.267469	0.000000	1.168740e+00	0.020337
5228467.270376	0.000000	5.156773e-01	0.020337
5228517.273283	3.998262	1.088206e-01	0.040673
5228567.276190	2.131427	3.425104e-01	0.040673
5228617.279098	0.708757	3.456133e-01	0.040673
5228667.282005	3.663988	6.863883e-03	0.040673
5228717.284912	0.000000	1.678116e+01	0.020337
5228767.287820	1.374897	1.787795e+00	0.040673
5228817.290727	0.325782	2.254407e-02	0.040673
5228867.293634	0.000000	2.102915e+00	0.020337
5228917.296541	0.099248	7.964248e+00	0.040673
5228967.299449	0.815840	6.908444e-02	0.040673
5229017.302356	0.000000	4.562329e-01	0.020337
5229067.305263	0.957600	1.026102e+00	0.020337
5229117.308170	0.270788	2.190560e-01	0.040673
5229167.311078	1.574699	6.806152e-02	0.040673
5229217.313985	2.021899	6.421914e-01	0.040673
5229267.316892	4.536272	1.139418e-01	0.040673
5229317.319799	3.082554	3.753752e-02	0.040673
5229367.322707	3.677265	1.665665e-01	0.040673
5229417.325614	1.425210	9.893640e-02	0.040673
5229467.328521	1.716518	1.150213e-01	0.040673
5229517.331429	0.000000	7.347796e-01	0.020337
5229567.334336	2.945183	2.183145e-02	0.040673
5229617.337243	4.138414	2.219769e-02	0.040673
5229667.340150	5.041326	2.773540e-02	0.040673
5229717.343058	3.006166	2.808050e-02	0.040673
5229767.345965	1.420439	3.525823e-02	0.020337
5229817.348872	2.598637	4.245515e-02	0.020337
5229867.351779	2.467628	5.158001e-02	0.020337
5229917.354687	2.795212	6.570111e-02	0.020337
5229967.357594	2.793836	9.046877e-02	0.020337
5230017.360501	2.487095	1.452090e-01	0.020337
5230067.363409	2.271679	2.767310e-01	0.020337
5230117.366316	2.876815	1.942853e+00	0.040673
5230167.369223	2.475312	5.348325e-02	0.020337
5230217.372130	2.330243	5.951559e-02	0.020337
5230267.375038	1.496915	2.039774e-02	0.040673
5230317.377945	2.379235	2.519496e-02	0.040673
5230367.380852	2.183171	1.691617e-02	0.020337
5230417.383759	0.000000	7.424640e+00	0.020337
5230467.386667	0.000000	2.735562e+00	0.020337
5230517.389574	0.676303	4.920135e-01	0.040673
5230567.392481	0.698139	2.765456e-01	0.020337
5230617.395388	0.506054	1.312976e-01	0.020337
5230667.398296	0.511268	8.486664e-02	0.020337
5230717.401203	0.511875	6.269552e-02	0.020337
5230767.404110	0.512052	4.970918e-02	0.020337
5230817.407018	0.512129	4.117952e-02	0.020337
5230867.409925	2.305671	4.738102e-04	0.040673
5230917.412832	0.111514	5.272706e-02	0.040673
5230967.415739	0.328597	2.567308e-02	0.040673
5231017.418647	0.724839	3.442525e-02	0.040673
5231067.421554	1.206277	4.871179e-02	0.040673
5231117.424461	1.580295	1.837399e-01	0.040673
5231167.427368	2.324807	9.331887e-02	0.040673
5231217.430276	0.000000	7.644655e+00	0.020337
5231267.433183	0.742449	5.349220e-01	0.020337
5231317.436090	1.133392	1.468005e-02	0.040673
5231367.438997	0.338115	1.329625e+00	0.040673
5231417.441905	1.369543	6.139934e-02	0.040673
5231467.444812	1.313422	5.518642e-02	0.040673
