location	LR	alpha
5223873.000000	0.000000	1.200000e+09
5223923.004211	0.000000	1.368559e+06
5223973.008423	0.000000	1.014657e+05
5224023.012634	0.031370	2.465695e+04
5224073.016845	0.031792	1.771338e+08
5224123.021057	0.334823	5.383642e+04
5224173.025268	0.002782	2.975534e+05
5224223.029480	0.002719	2.228395e+04
5224273.033691	0.134634	2.987427e+03
5224323.037902	0.684260	2.649479e+03
5224373.042114	1.966309	2.625817e+03
5224423.046325	3.079335	2.502480e+03
5224473.050536	2.482688	2.539300e+03
5224523.054748	1.897362	2.098159e+07
5224573.058959	0.322303	6.195323e+04
5224623.063171	0.000000	1.200000e+09
5224673.067382	0.000000	1.200000e+09
5224723.071593	0.000000	1.200000e+09
5224773.075805	0.135307	3.848463e+07
5224823.080016	0.003949	1.807843e+08
5224873.084227	0.000000	1.522753e+06
5224923.088439	1.830667	2.111062e+07
5224973.092650	0.034289	4.061766e+04
5225023.096862	0.029799	1.774193e+08
5225073.101073	0.038843	1.523162e+08
5225123.105284	0.000000	6.838629e+06
5225173.109496	0.000000	9.548509e+05
5225223.113707	1.668317	1.533465e+04
5225273.117918	2.117471	1.032422e+04
5225323.122130	1.788506	4.242722e+03
5225373.126341	1.020582	4.095018e+03
5225423.130552	0.790724	4.207970e+03
5225473.134764	0.466282	4.617424e+07
5225523.138975	0.000000	1.200000e+09
5225573.143187	0.003794	2.708941e+08
5225623.147398	1.249309	4.072851e+07
5225673.151609	0.007233	3.034178e+04
5225723.155821	0.000361	1.629438e+05
5225773.160032	0.262366	2.451295e+04
5225823.164243	0.000097	3.140702e+08
5225873.168455	0.188654	2.597069e+04
5225923.172666	0.000000	9.874317e+04
5225973.176878	0.000000	5.223988e+04
5226023.181089	0.000000	3.551433e+04
5226073.185300	0.000000	2.690137e+04
5226123.189512	0.001746	8.242559e+03
5226173.193723	0.002745	1.103432e+04
5226223.197934	0.002698	2.021043e+04
5226273.202146	0.002644	1.238900e+05
5226323.206357	0.003277	2.405378e+08
5226373.210569	0.067653	8.704685e+04
5226423.214780	0.000000	1.149100e+05
5226473.218991	0.000364	3.697019e+04
5226523.223203	0.000361	3.538525e+08
5226573.227414	0.014602	2.713296e+08
5226623.231625	0.014603	4.424380e+04
5226673.235837	0.014747	1.629650e+04
5226723.240048	0.014931	9.993601e+03
5226773.244260	0.014540	7.287848e+03
5226823.248471	0.004462	6.781276e+03
5226873.252682	0.000294	1.186155e+04
5226923.256894	0.000814	1.562270e+04
5226973.261105	0.001561	2.793324e+04
5227023.265316	0.001651	2.871027e+08
5227073.269528	0.365701	2.486914e+04
