location	LR	alpha
294879.000000	1.597138	2.250277e+04
294929.004800	0.004301	3.012165e+04
294979.009600	0.000001	4.608025e+05
295029.014400	0.000000	2.581756e+05
295079.019200	0.000000	1.200000e+09
295129.024000	0.000000	1.200000e+09
295179.028800	0.662593	2.950099e+07
295229.033600	0.275212	1.368250e+08
295279.038400	0.160358	4.321493e+04
295329.043200	0.000821	3.899564e+08
295379.048000	0.000000	1.200000e+09
295429.052800	0.006382	2.046425e+08
295479.057600	0.000000	1.200000e+09
295529.062400	0.041252	1.988955e+08
295579.067200	0.010069	6.004678e+04
295629.072000	0.003179	3.991505e+06
295679.076800	0.007758	3.057157e+08
295729.081600	0.000000	9.849081e+05
295779.086400	0.000000	3.112998e+05
295829.091200	0.000000	1.200000e+09
295879.096000	0.115414	8.848916e+07
295929.100800	0.000000	1.200000e+09
295979.105600	0.001390	3.073091e+08
296029.110400	0.764602	8.525633e+06
296079.115200	0.000001	6.004761e+08
296129.120000	0.152079	3.789035e+04
296179.124800	0.394600	1.123028e+08
296229.129600	2.116567	1.429715e+07
296279.134400	0.000113	3.101844e+05
296329.139200	0.175535	4.842128e+04
296379.144000	5.039272	8.716004e+06
296429.148800	3.659950	9.854582e+03
296479.153600	0.194536	3.134708e+04
296529.158400	0.105467	4.064404e+04
296579.163200	0.000000	2.430512e+05
296629.168000	0.085260	5.091608e+07
296679.172800	0.059236	2.266753e+08
296729.177600	0.000000	1.200000e+09
296779.182400	4.275829	2.534084e+06
296829.187200	1.663322	1.872879e+07
296879.192000	0.065575	4.772040e+07
296929.196800	0.000000	1.200000e+09
296979.201600	0.949508	2.649193e+07
297029.206400	0.469141	3.334579e+07
297079.211200	0.000000	1.200000e+09
297129.216000	0.000000	2.448071e+05
297179.220800	0.076253	5.711768e+07
297229.225600	0.713580	1.222421e+04
297279.230400	2.599420	5.786396e+06
297329.235200	2.355735	2.734529e+07
297379.240000	0.069381	2.174257e+08
297429.244800	0.006551	3.361153e+08
297479.249600	0.180587	1.017267e+05
297529.254400	0.052071	1.564552e+08
297579.259200	0.082773	5.556962e+07
297629.264000	0.000000	1.200000e+09
297679.268800	0.000000	3.101687e+05
297729.273600	0.130533	4.841540e+07
297779.278400	0.641421	1.342446e+04
297829.283200	0.033972	1.506810e+05
297879.288000	1.020896	2.935672e+04
297929.292800	0.000000	1.200000e+09
297979.297600	0.000036	2.861592e+05
298029.302400	0.000001	1.416273e+05
298079.307200	0.022543	3.181421e+05
298129.312000	0.027490	5.589320e+04
298179.316800	0.347297	1.354498e+08
298229.321600	0.032670	2.308096e+08
298279.326400	0.253934	1.919109e+08
298329.331200	0.058595	6.044075e+04
298379.336000	0.223586	3.921095e+04
298429.340800	0.000000	1.200000e+09
298479.345600	0.000000	1.200000e+09
298529.350400	0.280771	2.227353e+04
298579.355200	0.000000	1.200000e+09
298629.360000	0.293346	1.506088e+08
298679.364800	0.770629	5.699523e+07
298729.369600	0.520186	8.091816e+04
298779.374400	0.109115	1.516988e+08
298829.379200	0.103678	3.096924e+04
298879.384000	0.000000	7.905984e+05
298929.388800	0.000000	1.200000e+09
298979.393600	0.278218	2.771316e+07
299029.398400	0.548512	1.111562e+08
299079.403200	0.071441	1.761900e+04
299129.408000	0.000000	5.993521e+05
299179.412800	1.516041	5.909404e+07
299229.417600	1.034984	2.289006e+04
299279.422400	0.309392	1.429551e+08
299329.427200	0.952792	1.042475e+08
299379.432000	0.092417	1.808075e+08
299429.436800	0.000000	1.200000e+09
299479.441600	0.068719	1.916928e+08
299529.446400	0.169322	1.329900e+08
299579.451200	0.000000	4.292074e+05
299629.456000	0.000000	1.200000e+09
299679.460800	0.000000	8.127185e+05
299729.465600	0.000000	1.055158e+05
299779.470400	0.000000	5.642046e+04
299829.475200	0.000000	3.850467e+04
299879.480000	0.000000	2.922465e+04
299929.484800	0.000000	2.354908e+04
299979.489600	0.000000	1.971947e+04
300029.494400	0.000000	1.696119e+04
300079.499200	0.000000	1.487986e+04
300129.504000	0.000000	1.510235e+04
300179.508800	0.000000	1.725088e+04
300229.513600	0.000000	2.011212e+04
300279.518400	0.000000	2.411123e+04
300329.523200	0.000000	3.009542e+04
300379.528000	0.000000	4.003070e+04
300429.532800	0.000000	5.975852e+04
300479.537600	0.000000	1.178245e+05
300529.542400	0.000000	4.159941e+06
300579.547200	0.000000	1.200000e+09
300629.552000	0.293611	2.403348e+04
300679.556800	0.174742	5.206854e+07
300729.561600	0.073171	6.080318e+07
300779.566400	0.000000	3.360910e+05
300829.571200	0.000000	9.100032e+04
300879.576000	0.000000	6.977994e+04
300929.580800	0.000000	1.582985e+05
300979.585600	0.344383	3.447296e+07
301029.590400	0.000000	1.200000e+09
301079.595200	0.014054	4.689038e+04
301129.600000	0.034090	4.814813e+05
301179.604800	0.740996	2.070360e+04
301229.609600	0.177638	1.356637e+08
301279.614400	0.774951	2.392778e+04
301329.619200	0.001057	7.527485e+04
301379.624000	0.002313	7.215754e+05
301429.628800	0.002310	3.598777e+04
301479.633600	0.002222	1.855656e+04
301529.638400	0.002091	1.254444e+04
301579.643200	0.082326	2.371430e+03
301629.648000	0.408954	2.031652e+03
301679.652800	0.831828	1.782487e+03
301729.657600	1.464554	1.558445e+03
301779.662400	2.151793	1.781660e+03
301829.667200	2.436441	1.275861e+03
301879.672000	1.433166	1.829614e+03
301929.676800	2.043841	1.025131e+07
301979.681600	2.468967	1.263566e+03
302029.686400	2.279778	9.915474e+02
302079.691200	2.028391	7.607145e+02
302129.696000	1.837858	6.987218e+02
302179.700800	1.654435	6.945378e+02
302229.705600	1.458663	7.170277e+02
302279.710400	1.218622	7.673092e+02
302329.715200	0.838165	8.727771e+02
302379.720000	0.000000	7.322201e+05
302429.724800	0.021436	5.068160e+04
302479.729600	0.043510	8.692002e+04
302529.734400	0.688289	2.022978e+07
302579.739200	0.000036	8.723164e+05
302629.744000	0.109967	3.301719e+03
302679.748800	0.216189	1.782127e+03
302729.753600	0.137277	2.321157e+03
302779.758400	0.263138	6.689180e+03
302829.763200	0.800676	7.072806e+03
302879.768000	1.133599	5.507114e+07
302929.772800	0.038866	2.439114e+08
302979.777600	0.038866	2.711849e+05
303029.782400	0.056633	9.053388e+04
