location	LR	alpha	D
1850824.000000	0.269794	2.097070e+02	0.034948
1850874.006999	1.701580	2.092410e-01	0.034948
1850924.013999	2.957241	4.171438e-02	0.034948
1850974.020998	3.423736	2.362303e-02	0.034948
1851024.027997	0.993503	4.396056e-02	0.017474
1851074.034997	2.132852	7.875185e-02	0.034948
1851124.041996	1.386665	1.379186e-01	0.017474
1851174.048995	1.579525	4.130951e-01	0.017474
1851224.055994	1.786577	1.517911e-01	0.017474
1851274.062994	1.724645	7.226177e-02	0.017474
1851324.069993	2.017898	3.312882e-01	0.034948
1851374.076992	1.063714	1.111904e-01	0.034948
1851424.083992	0.000000	2.071967e-01	0.017474
1851474.090991	0.000000	1.517257e+00	0.017474
1851524.097990	0.620247	7.797170e-02	0.034948
1851574.104990	0.482521	3.252473e-01	0.034948
1851624.111989	0.000000	9.151931e-01	0.017474
1851674.118988	1.684979	2.038009e-01	0.034948
1851724.125987	0.297195	1.900961e-01	0.034948
1851774.132987	0.000000	1.077878e+00	0.017474
1851824.139986	1.711930	1.246919e+00	0.034948
1851874.146985	0.231757	1.217901e+00	0.034948
1851924.153985	0.671809	6.500486e+00	0.017474
1851974.160984	1.920014	1.686317e-01	0.034948
1852024.167983	0.671809	1.014197e+00	0.017474
1852074.174983	0.134552	6.894621e-02	0.034948
1852124.181982	0.324779	8.300598e-01	0.034948
1852174.188981	2.747684	1.575031e-01	0.034948
1852224.195980	1.767609	3.013064e+00	0.034948
1852274.202980	1.552700	1.973781e-01	0.034948
1852324.209979	0.873183	1.209556e-01	0.034948
1852374.216978	0.257586	1.313971e+00	0.034948
1852424.223978	1.414029	2.091098e-01	0.034948
1852474.230977	1.863227	1.391611e-01	0.034948
1852524.237976	0.000000	1.774617e+00	0.017474
1852574.244976	1.282267	3.698026e+00	0.034948
1852624.251975	0.750424	2.402068e-01	0.034948
1852674.258974	0.000000	4.569867e-01	0.017474
1852724.265973	0.000000	4.851617e-01	0.017474
1852774.272973	0.000000	4.748156e-01	0.017474
1852824.279972	0.153068	3.667480e-01	0.034948
1852874.286971	0.311962	1.009148e-01	0.034948
1852924.293971	0.764467	4.711314e-02	0.017474
1852974.300970	0.671809	2.536946e-01	0.017474
1853024.307969	0.671809	1.233198e-01	0.017474
1853074.314969	0.000000	1.146296e-01	0.017474
1853124.321968	0.000000	2.194666e-01	0.017474
1853174.328967	1.156228	4.038330e-01	0.034948
1853224.335966	0.671809	2.248889e+00	0.017474
1853274.342966	3.494102	2.284222e-02	0.034948
1853324.349965	1.068493	2.722978e+00	0.034948
1853374.356964	1.280631	2.727658e-02	0.034948
1853424.363964	2.000349	1.207681e-01	0.034948
1853474.370963	2.096946	6.194840e-01	0.034948
1853524.377962	2.090195	2.336348e-02	0.034948
1853574.384962	0.000000	1.405400e-01	0.017474
1853624.391961	0.421924	7.159560e-02	0.017474
1853674.398960	0.671809	1.020399e-01	0.017474
1853724.405959	0.671809	1.775304e-01	0.017474
1853774.412959	0.671809	6.823204e-01	0.017474
1853824.419958	0.330723	3.445835e-01	0.034948
1853874.426957	0.093501	7.336174e-02	0.034948
1853924.433957	0.000000	1.106664e-01	0.017474
1853974.440956	0.000000	1.888009e-01	0.017474
1854024.447955	0.688515	8.244475e-02	0.034948
1854074.454955	0.722970	1.570275e-01	0.034948
1854124.461954	1.243494	2.957269e+00	0.034948
1854174.468953	1.441500	2.889405e-01	0.034948
1854224.475952	3.035308	1.918392e-02	0.034948
1854274.482952	0.000000	2.051880e-01	0.017474
1854324.489951	0.000000	1.106093e-01	0.017474
1854374.496950	0.000000	7.571124e-02	0.017474
1854424.503950	0.000000	5.755288e-02	0.017474
1854474.510949	0.000000	4.641971e-02	0.017474
1854524.517948	0.000000	5.701200e-02	0.017474
1854574.524948	0.000000	7.477800e-02	0.017474
1854624.531947	0.000000	1.086287e-01	0.017474
1854674.538946	0.000000	1.984749e-01	0.017474
1854724.545945	1.798432	1.404264e-01	0.034948
1854774.552945	1.970076	1.656194e-02	0.034948
1854824.559944	0.154134	2.700268e-01	0.034948
1854874.566943	3.895897	2.545431e-02	0.034948
1854924.573943	0.819331	5.267225e-01	0.034948
1854974.580942	0.357188	2.372436e-01	0.034948
1855024.587941	0.965842	1.192986e-01	0.034948
1855074.594941	1.414847	6.329284e-02	0.034948
1855124.601940	3.019470	2.881858e-02	0.034948
1855174.608939	1.282681	1.754616e-01	0.034948
1855224.615938	0.413766	9.603726e-01	0.034948
1855274.622938	0.972378	4.694417e-02	0.017474
1855324.629937	4.785064	6.294919e-02	0.034948
1855374.636936	4.799153	7.810623e-02	0.034948
1855424.643936	2.097324	2.336627e-01	0.017474
1855474.650935	2.577839	1.730377e-01	0.017474
1855524.657934	2.111704	8.018288e-02	0.034948
1855574.664934	1.490958	5.759953e-02	0.034948
1855624.671933	0.623683	5.927146e-01	0.034948
1855674.678932	0.677926	1.562717e+00	0.017474
1855724.685931	0.000000	8.768129e-01	0.017474
1855774.692931	2.740076	1.940783e-02	0.034948
1855824.699930	2.841202	3.211131e-02	0.034948
1855874.706929	3.312109	1.338921e-01	0.034948
1855924.713929	0.583848	4.329954e-01	0.034948
1855974.720928	2.291277	2.340137e-01	0.034948
1856024.727927	1.858452	1.367865e-01	0.034948
1856074.734927	0.245516	8.412155e-01	0.034948
1856124.741926	0.027771	4.034708e-01	0.034948
1856174.748925	0.817169	5.223091e-02	0.034948
1856224.755924	1.169447	1.113628e-01	0.034948
1856274.762924	1.440991	1.597821e-01	0.034948
1856324.769923	0.000000	3.777157e-01	0.017474
1856374.776922	0.354488	2.776345e-02	0.034948
1856424.783922	0.000000	1.366132e+00	0.017474
1856474.790921	0.506942	9.508034e-02	0.034948
1856524.797920	0.179634	6.975899e-01	0.034948
1856574.804920	0.761864	1.734228e-01	0.034948
1856624.811919	2.805454	1.449066e-01	0.034948
1856674.818918	0.249330	9.826602e-01	0.034948
1856724.825917	1.587400	1.686007e-01	0.034948
1856774.832917	0.677926	1.028204e+01	0.017474
1856824.839916	1.209816	1.822603e-01	0.034948
1856874.846915	0.794018	1.087755e+00	0.034948
1856924.853915	0.875112	6.056139e-02	0.034948
1856974.860914	1.009884	4.027446e-01	0.034948
1857024.867913	0.677926	4.184226e+00	0.017474
1857074.874913	2.165170	3.516474e-01	0.034948
1857124.881912	1.084079	4.357997e-01	0.034948
1857174.888911	0.478368	7.458563e-02	0.034948
1857224.895910	0.516686	1.592212e+01	0.034948
1857274.902910	0.664482	2.933776e-01	0.017474
1857324.909909	0.664482	1.319988e-01	0.017474
1857374.916908	0.664482	8.515654e-02	0.017474
1857424.923908	0.000000	1.110329e-01	0.017474
1857474.930907	0.000000	2.066504e-01	0.017474
1857524.937906	0.743177	2.348622e-02	0.034948
1857574.944906	0.463653	3.441219e+01	0.034948
1857624.951905	2.676100	3.069431e-02	0.034948
1857674.958904	0.193213	2.183449e-01	0.034948
1857724.965903	0.000000	2.416480e+00	0.017474
1857774.972903	1.753278	8.683754e-01	0.034948
1857824.979902	0.664482	3.245006e-01	0.017474
1857874.986901	1.139865	1.211960e-01	0.017474
1857924.993901	1.098767	1.379214e-01	0.017474
1857975.000900	2.777062	6.030124e-02	0.017474
1858025.007899	3.472616	1.558601e-01	0.034948
1858075.014899	1.062147	3.751747e-01	0.017474
1858125.021898	1.059024	2.552003e-01	0.034948
1858175.028897	1.682741	7.791252e-01	0.034948
1858225.035896	0.463033	1.988106e+00	0.034948
1858275.042896	0.714625	1.339718e+00	0.034948
1858325.049895	1.989797	3.923793e-01	0.034948
1858375.056894	2.258109	1.259141e+01	0.034948
1858425.063894	3.269873	8.215585e-02	0.034948
1858475.070893	1.834365	6.871177e-01	0.034948
1858525.077892	2.395249	3.759149e-01	0.034948
1858575.084892	0.997316	4.430513e-01	0.017474
1858625.091891	1.398612	8.882840e-02	0.017474
1858675.098890	1.420096	6.483019e-02	0.017474
1858725.105889	1.423506	5.104082e-02	0.017474
1858775.112889	1.424544	4.208858e-02	0.017474
1858825.119888	1.424984	3.580808e-02	0.017474
1858875.126887	1.425212	3.115856e-02	0.017474
1858925.133887	1.425346	2.757772e-02	0.017474
1858975.140886	1.425433	2.473508e-02	0.017474
1859025.147885	1.425492	2.242371e-02	0.017474
1859075.154885	1.000371	2.276371e-02	0.017474
1859125.161884	1.425567	1.889282e-02	0.017474
1859175.168883	1.425592	1.751393e-02	0.017474
1859225.175882	1.000375	1.772065e-02	0.017474
1859275.182882	1.425626	1.528306e-02	0.017474
1859325.189881	1.425639	1.436799e-02	0.017474
1859375.196880	1.033388	1.355631e-02	0.017474
1859425.203880	0.000000	1.511723e-02	0.017474
1859475.210879	0.000000	1.613361e-02	0.017474
1859525.217878	0.000000	1.729650e-02	0.017474
1859575.224878	0.000000	1.864005e-02	0.017474
1859625.231877	0.000000	2.020991e-02	0.017474
1859675.238876	0.000000	2.206851e-02	0.017474
1859725.245875	0.000000	2.430360e-02	0.017474
1859775.252875	0.000000	2.704243e-02	0.017474
1859825.259874	0.000000	3.047695e-02	0.017474
1859875.266873	0.000000	3.491081e-02	0.017474
1859925.273873	0.000000	4.085439e-02	0.017474
1859975.280872	0.000000	4.923701e-02	0.017474
1860025.287871	0.000000	6.194759e-02	0.017474
1860075.294871	0.000000	8.350434e-02	0.017474
1860125.301870	0.892540	1.371902e-02	0.034948
1860175.308869	3.112666	1.546442e-02	0.034948
1860225.315868	0.875297	1.323275e-01	0.034948
1860275.322868	0.293751	2.950061e-01	0.017474
1860325.329867	1.825891	2.182333e+00	0.034948
1860375.336866	4.827464	2.032224e-02	0.034948
1860425.343866	1.685223	1.972835e-01	0.034948
1860475.350865	1.088246	2.287243e-02	0.034948
1860525.357864	0.987480	3.826790e-01	0.017474
1860575.364864	0.938147	1.474838e-01	0.017474
1860625.371863	0.998856	9.134374e-02	0.017474
1860675.378862	1.002112	6.615986e-02	0.017474
1860725.385861	1.674192	5.186142e-02	0.017474
1860775.392861	1.007413	7.662486e-02	0.017474
1860825.399860	1.006948	1.125702e-01	0.017474
1860875.406859	0.999675	2.120397e-01	0.017474
1860925.413859	0.930968	7.310893e-01	0.017474
1860975.420858	0.052094	3.268262e-01	0.034948
1861025.427857	1.932574	2.305156e-02	0.034948
1861075.434857	2.271614	1.131345e+00	0.034948
1861125.441856	0.000000	1.612502e+00	0.017474
1861175.448855	0.363840	3.323832e-02	0.034948
1861225.455854	0.190764	1.140935e+00	0.034948
1861275.462854	0.000000	2.528293e-01	0.017474
1861325.469853	0.000000	1.231150e-01	0.017474
1861375.476852	0.000000	8.136872e-02	0.017474
1861425.483852	0.000000	9.957173e-02	0.017474
1861475.490851	0.000000	1.701907e-01	0.017474
1861525.497850	0.702877	1.144490e-02	0.034948
1861575.504850	0.144436	2.895021e-02	0.034948
1861625.511849	0.038420	2.093629e+00	0.034948
1861675.518848	1.512985	7.632413e-02	0.034948
1861725.525847	0.249330	8.865736e-01	0.034948
1861775.532847	0.000000	2.241615e-01	0.017474
1861825.539846	0.000000	1.158974e-01	0.017474
1861875.546845	0.000000	7.815206e-02	0.017474
1861925.553845	0.000000	5.895246e-02	0.017474
1861975.560844	0.000000	4.732592e-02	0.017474
1862025.567843	0.000000	3.952989e-02	0.017474
1862075.574843	0.000000	3.514680e-02	0.017474
1862125.581842	0.000000	4.117794e-02	0.017474
1862175.588841	0.000000	4.970774e-02	0.017474
1862225.595840	0.000000	6.269457e-02	0.017474
1862275.602840	0.000000	8.486734e-02	0.017474
1862325.609839	0.399075	1.988039e-02	0.034948
1862375.616838	0.246480	6.048902e-02	0.034948
1862425.623838	1.810030	8.971185e-01	0.034948
1862475.630837	3.363598	4.411748e-02	0.034948
1862525.637836	0.329843	4.789264e-01	0.017474
1862575.644836	2.387073	9.115438e-02	0.034948
1862625.651835	1.247747	1.665914e-01	0.034948
1862675.658834	0.815967	3.955942e-02	0.034948
1862725.665833	0.000000	2.465796e-01	0.017474
1862775.672833	0.000000	1.216140e-01	0.017474
1862825.679832	0.000000	8.071036e-02	0.017474
1862875.686831	0.000000	1.161517e-01	0.017474
1862925.693831	0.513641	2.415976e-02	0.034948
